User,Reter,Comment,Votes,Time,Count
@哆啦A红吖,,人民币不漂亮，我还是爱,5463,2019-08-31 22:24,2
@配图无水印,,不管人民币变成什么样 我都对她始终不渝,4640,2019-08-31 22:24,3
@改名字上热评,,美不美颜无所谓，主要喜欢我们伟大的领袖毛主席,3564,2019-08-31 22:25,15
@一只村草,,我对人民币只有量的需求，美不美还不所谓,1565,2019-08-31 22:26,4
@落·涟漪Lone,,漂不漂亮我都爱,1484,2019-08-31 22:24,1
@悸动持续传达,,现在天天追新闻联播,924,2019-08-31 22:25,3
@木南naruto,,最爱人民币，哈哈，我肤浅了,463,2019-08-31 22:24,2
@帝都都督,,喜欢一个人的感觉就是 无论你穿什么颜色的衣服我都觉得好看,441,2019-08-31 22:59,8
@一句话入你心,,中国人民最美，中国人民币也最美,167,2019-08-31 22:24,2
@狼毛榴莲町,,论彩虹屁，是在下输了,193,2019-08-31 22:25,2
@谁在熊,,感觉现在一天不看新闻联播，吃奶都没了力气,127,2019-08-31 22:24,2
@你2444,,钱好不好看不重要，重要的是能不能花,70,2019-08-31 22:27,5
@肖像素描定制,,我要钱，新的旧的都行,66,2019-08-31 22:24,5
@追星有何感觉,,还有美颜效果,43,2019-08-31 22:24,10
@求真先生说,,无论容貌如何变化，你都是一生的最爱。￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥,42,2019-08-31 22:26,4
@咀嚼浪漫2018,,人民币一换，物价飞涨,49,2019-08-31 22:43,1
@往事皆尽散,,应该说说贬值,42,2019-08-31 22:38,2
@千黛汐Rebecca,,人民币不管啥样我都喜欢,19,2019-08-31 22:24,7
@青风独映,,颜值？不谈贬值么？,40,2019-08-31 22:54,1
@你可以回头看我一眼吗,,人名币有了它 窝窝头一块钱4个 买买买,16,2019-08-31 22:25,6
@邱啊求囚啊球,,走假币的路，让假币无路可走,32,2019-08-31 22:25,3
@Rani-7,,最美中国人民币,13,2019-08-31 22:25,4
@崔铿_,,为什么我觉得像天地通,20,2019-08-31 22:32,1
@iBingo,,我眼中最美的就是毛爷爷，什么颜色的都行,9,2019-09-01 00:03,17
@黍米一枚,,好不好看不重要，重要的是我喜欢,5,2019-08-31 22:29,1
@-SUN-8,,,4,2019-08-31 22:28,3
