User,Reter,Comment,Votes,Time
@改名字上热评,,还是那句话:对于恐怖分子，原谅他们是上帝的事，我们的任务就是送他们见上帝。,8242,2019-09-01 08:28
@我长高变瘦还有希望吗,,假记者太猖狂了,5022,2019-09-01 08:28
@媒人,,假记者发布假新闻，造成舆论恐慌更可恶！,3813,2019-09-01 08:29
@XY-沖淡平和,,不只有假记者证；有真记者证的很多也不是好东西。,3014,2019-09-01 08:30
@上臣,,止暴制乱，愿香港早日恢复安宁！乱港分子再闹也翻不了天，香港永远是中国的香港！,789,2019-09-01 08:28
@帝都都督,,关注帝都都督 ：自由美利坚，枪击每一天，天天降半旗，你说皮不皮,530,2019-09-01 08:28
@求真先生说,,大量假记者证是关键。,495,2019-09-01 08:29
@关你屁事2019,,有组织有计划有预谋的一场示威,240,2019-09-01 12:36
@馨you灵犀,,紧急状态，重新核验记者身份，提高记者门槛，凡是假冒记者的，从严从重处理。哪都能看到一群黄背心围着警察，这属于滥用冒用第四权。,293,2019-09-01 08:32
@泥鳅面相,,乱港阴谋可见一斑,238,2019-09-01 08:28
@善良小魔女-pitton,,记者证满天飞,150,2019-09-01 08:29
@柳市镇,,中央要继续加大力度给警察支持，上次决定让几位香港警察来京参加庆祝国庆就给了警队很大的鼓舞，警察没人疼，中央疼！！,119,2019-09-01 08:31
@月小团_,,这个剧，出演人员可真多,103,2019-09-01 08:30
@外星世界驻地球观察员,,谴责有用还要警察干吗？现在我们只关心什么时候实施《紧急法》。,71,2019-09-01 08:28
@柠袖呦,,应该严厉打击这些假记者，还香港报纸一片真实。当然，香港真记者也有问题,52,2019-09-01 08:32
@你看到我的小熊了吗_000,,假记者证,61,2019-09-01 08:28
@天使之家天使嘉年华,,强烈要求整顿香港司法，教育及媒体机构,35,2019-09-01 08:35
@今日宝藏,,废青聚是一坨屎，散是满地稀。,31,2019-09-01 11:54
@上臣,,太猖狂了 必须严惩,25,2019-09-01 08:28
@XUNiGameMeow,,假记者证？！二十块钱一张都不肯出钱的么？！,20,2019-09-01 08:46
@一目了然JX,,早该查了！一群假记者妨碍警察执法！,24,2019-09-01 08:31
@Polly530,,如果事情发生在大陆，估计没有一个礼拜就已解决,25,2019-09-01 08:29
@帝吧爆破组,,先清理一波假记者,11,2019-09-01 08:34
@现女友是我-,,作假的必须严惩,15,2019-09-01 08:28
@一只猪蹄丶,,抓了就严惩！！！！,13,2019-09-01 08:28
@冰之月1105,,什么时候可以惩治那些黑记,8,2019-09-01 08:29
@Polly530,,你们可别麻溜的放出来了,11,2019-09-01 08:28
@网恋奔现,,你们开心就好 我们大陆人民表示理解,7,2019-09-01 09:12
@奇cheese妙想,,应该趁此机会，宣布所有记者证无效，由何君尧议员领导专项小组，重新审批记者证！通不过审查的记者一律罢免记者资格，没有记者证上街一律按暴徒和妨碍公务罪进行拘捕。彻底断了假记者的命根！,10,2019-09-01 09:05
@作家肖永乐,,香港是中国的香港、法治的香港，绝不能再乱了！依法制暴，必须重拳亮剑，严惩违法乱港分子，让香港早日回归安宁！,8,2019-09-01 10:55
@微恋人,,一帮废柴假装记者有什么用，既然那么厉害 假装领导啊,5,2019-09-01 09:02
@wy诗和远方,,继续保释！,3,2019-09-01 08:59
@刘先生爱黄先生ING,,收网了,2,2019-09-01 08:44
@十二岁时我不知道时间过得这么快,,请继续,3,2019-09-01 08:43
@芝芝Ciisy,,太可恶了！,3,2019-09-01 08:28
@上臣,,呵呵,2,2019-09-01 08:28
@喧哗中的宁静,,还用造假？！香港记者证不是明码标价么？！一顿饭钱就买一个……废青果然脑子有问题,3,2019-09-01 11:48
@眼里有银河lynn_,,这些司马的假记者,1,2019-09-01 16:13
@fx笑fx,,长者的话怎么说的？“你们非常熟悉西方那一套理论，但是你们毕竟too young，媒体要提高自己的姿势水平”,2,2019-09-01 14:22
@艾李布里,,事态越来越严峻了,1,2019-09-01 14:17
@AoYuXinEr,,拘捕有什么用！下午就放出这些恐怖分子继续制造爆乱！有什么用,1,2019-09-01 14:17
@今天你喜欢现男友了没,,假记者真的是害人不浅，严惩,1,2019-09-01 12:38
@真命天子之忠贞卫士,,#香港警方查获大量假记者证# 难怪镜头里只有警员持枪动作而不见暴徒袭击警方画面啦 查看图片,2,2019-09-01 12:32
@iBingo,,果然，拿手机拍的也叫记者,1,2019-09-01 12:17
@我YOYO小情绪,,这些渣渣,1,2019-09-01 11:40
@黄小_cat,,还有一个月，快点大结局吧,1,2019-09-01 08:43
@番茄Kiki蛋,,严惩！！！,1,2019-09-01 08:38
@懒懒不熬夜,,希望香港的警察们保护好自己，保护好家人 公道自在人间,3,2019-09-01 08:29
@拓儿宝宝,,发动朝阳群众检举举报,3,2019-09-01 08:28
@鱼儿42081,,秒表掐起来！,2,2019-09-01 08:28
@听雨也等风,,,2,2019-09-01 08:28
@月亮月亮请等等我,,黑记,2,2019-09-01 08:28
@炸完米花就去爆洋芋,,以前我还很同情港人，现在我看到香港就想踩一脚，早就该做的事非等到现在,1,2019-09-01 15:19
@EvOnR,,已经穷的连记者证都没办法支付了吗？,1,2019-09-01 12:44
@简简单单说不出的懈怠,,暴徒必须被严惩！,1,2019-09-01 08:55
@婉兒smw,,從他們戴口罩遮面、帶頭盔、打傘就知道，他們是一群幹著見不得人勾當的蛆蟲。,2,2019-09-01 08:35
@摇摇花生,,严查！处理！,1,2019-09-01 08:29
@苏苏0917,,必须严惩,1,2019-09-01 08:29
@茉莉狂跑,,记者证20元不能再多。,1,2019-09-01 08:29
@不要再亲我啦,,干就完了,1,2019-09-01 08:29
@-你是我的满心欢xi-,,要严惩！,1,2019-09-01 08:28
@陈磊明-ACMA,,警察下次一个一个查记者证，看看有多少个真的,2,2019-09-01 08:28
@对儿BU,,假记者证。。。画重点。。。,1,2019-09-01 08:28
@佛山市安晟包装制品有限公司,,一、严肃整治香港的教育系统，教材要统一发放！ 二、对香港媒体进行严格审查，对于滥发新闻的媒体停业整顿！触犯法律的严惩！ 三、对香港的司法体制进行彻底改革，对于歪曲事实的法官革职审查！ 这是我们有良知的中国公民（包括港澳台）的强烈要求！支持的点赞！,2,2019-09-01 11:51
@superteamV,,感觉还是有很多港人的态度不是很明确,1,2019-09-01 23:10
