User,Reter,Comment,Votes,Time
@lamlichao,,特朗普叫你们都撤出中国,4950,2019-09-02 07:22
@我是希尔瑞思,,老板被开业的假象迷惑了吧，想想麦德龙的现状吧。,1279,2019-09-02 07:23
@喵星人没有星球,,表面一套背后一套 评论配图,39,2019-09-02 08:58
@魏婧子Mirror_,,贸易战打不赢的关键不是我们国人不爱国而去支持国外产品 最关键还是中国的发展水平确实不如发达国家 一些键盘侠与其在网上说抵制 不如在家多读读书 为中国的发展出一份力,33,2019-09-02 08:17
@yi個人想你,,评论一层酸的掉牙。日子是要过的，柴米油盐酱醋茶是自己家庭的。东西便宜又好，百姓购买有何好酸的。,24,2019-09-02 08:49
@Harold118,,不是说要美企退出中国吗？还开店？,19,2019-09-02 07:45
@hesitapepp,,杭州不来吗,21,2019-09-02 07:22
@Kevin爱摄,,这家公司支持台独的,14,2019-09-02 07:36
@渣男侦探所,,真火爆,11,2019-09-02 07:22
@肖宁,,养活一帮中间商赚差价,10,2019-09-02 08:59
@华西视光恶霸,,不懂就要问，我记得以前茅台有个新闻说“就这个价，谁低就取缔谁”，问题来了，这超市哪来的货,10,2019-09-02 08:18
@永远的Alex2013,,希望在赚中国人钱的时候不要做伤害中国人感情的事！,8,2019-09-02 08:38
@狐狸夜莺,,所以爱国就是抵制美国超市？现在国内这么多公司都有外资或者外国人持股，你爱国什么都别用啊，自产自销，零件也不要买大公司的，别让美国人获利,6,2019-09-02 08:23
@青年病-Er,,台独企业，大家可以了解下他们台独史,4,2019-09-02 11:25
@鹤云朗,,我朋友火速去办了一个平安costso信用卡 …………,4,2019-09-02 08:22
@丁丁TV,,这样的购买力告诉美国的商人，中国的消费能力有多强，和中国作对就是跟钱过不去！,6,2019-09-02 08:03
@fight_yl,,免费退货啊！！还便宜！,7,2019-09-02 08:04
@莹火虫视讯,,这其实是个很好的范例，让西方那些中国经济唱衰论者见识下大中国的市场有多诱人。最诱人的市场就在这里，欢迎过来一起玩，但是对于那些不守游戏规则的，对不起！你们只有羡慕的份和继续酸的权利。,2,2019-09-02 09:59
@kitty小杯,,小心你川普爸爸制裁你,2,2019-09-02 08:33
@嘉定陪酒哥,,来深圳广州开一个吧,5,2019-09-02 08:18
@小妖精QQ爱,,开到宝山来吧，居民超多,4,2019-09-02 08:11
@香港fei青马没了,,来江苏开啊 无锡 苏州 常州 南京,3,2019-09-02 10:03
@调皮鬼小二,,啥时候来二线城市开～,2,2019-09-02 08:17
@秦大良造-,,加大了零售业市场竞争。,2,2019-09-02 08:13
@喜纵谈,,网传开市客的政治立场有问题啊 吃瓜,4,2019-09-02 07:54
@Garfield_ibiza,,他有钱赚，我们可以买到实惠的商品，为什么要抵制？？？？,4,2019-09-02 08:43
@Bursaa,,你们用实际行动证明特朗普确实是个傻子。,3,2019-09-02 08:08
@执筆話情,,真火爆,2,2019-09-02 07:22
@Ashleywing_,,啥时候来佛山呢？？,2,2019-09-02 10:15
@如雾过去,,别没事就喊着爱国爱国抵制抵制的 现在菜市场一根带点肉猪肋排菜市场要卖到25一斤 自家烧一碗红烧肉39 青头菜4～5元一斤 100块钱都买不到几个菜 等到菜啊买不起了 我看你们还爱不爱国  一天到晚口号喊得比谁都高 真打起仗来 跑的比谁都快 再说人家这个超市东西比外面便宜 老百姓不去买便宜的去买贵的？,4,2019-09-02 09:57
@iams可达鸭,,北京啥时候开？,3,2019-09-02 09:21
@million9971,,北京为什么没有姓名,3,2019-09-02 08:19
@l尊貴會員l,,求广州开一家,2,2019-09-02 10:10
@墨梓芿,,中国城市很多呀，别只盯着上海嘛,2,2019-09-02 09:59
@fan-yanni,,9012年了沙雕爱（卖）国粪青还有不少，今天抵制明天抵制，最应该抵制的是脑残。,6,2019-09-02 08:49
@andoph,,特朗普心态炸裂,1,2019-09-02 08:10
@Halen_喵,,先就政治表态，立场坚定再说开不开分店，要不开的多黄的多。,7,2019-09-02 08:01
@蓝蓝安安,,继续便宜就行,2,2019-09-02 07:34
@爱闪烁的星星,,一个便宜三个爱！每个月还贷手里没有几个钱了，怎能不省着点用？所以这个超市火是理所当然的啊！,1,2019-09-02 18:26
@橘里奈-,,怎么老开在上海不能换个地方？？？,1,2019-09-02 11:35
@改名要等一年,,怎么什么东西都喜欢在上海？不把我北京放在眼里？,0,2019-09-02 08:53
@萌萌哒萌萌哒的猫,,开在浦江瑞和城那里，那里有浦江线，又接近奉贤和南汇。和临港新城接近,1,2019-09-02 08:28
@想取个好听的名儿呀,,OMG小地方的人没见过这样的，真想去见识一下,1,2019-09-02 08:12
@小柠檬大未来Fa,,开个在浦东可以凑下热闹,1,2019-09-02 08:09
@Alex戒定慧,,想起迪士尼,2,2019-09-02 07:24
@勇敢者抗争到底,,请求关注，谢谢！我在上海的住房在我们全家没有签字也没有法院裁决的情况下被暴力强拆了，无家可归流落街头！上海市静安区华兴新城动迁组公然践踏宪法和物权法，在我们没有签字也没有法院裁决情况下，动迁组的暴力殴打劫持拘禁，把我家所有财物洗劫一空把我家房子暴力强拆的行为是不可姑息的！,0,2019-09-02 10:05
@糖糖糖-Yq,,像我同学，他们根本不关心这些，照样去排迪士尼的长队，我也无语,1,2019-09-02 07:55
@石上栽花者,,趴下从闸门下抢着爬进去是真的丢人，买就好好买,0,2019-09-02 11:55
@RUAN博,,期待国内零售巨头搞一个类似的大卖场,0,2019-09-02 11:11
@铁打小权的老婆,,大酱哥带的我怀疑,0,2019-09-02 10:44
@鲸鱼与北歌·,,尝到甜头了,0,2019-09-02 09:58
@打着灯笼看日出,,为啥只有上海有,0,2019-09-02 09:53
@吴富涛,,川建国:我让你们撤出中国，怎么？你们是听不懂英语是吧？,0,2019-09-02 09:53
@花栗鼠的阔板牙,,看来康桥的店也快开起来了,0,2019-09-02 09:48
@喝多了茶顏悅色的男孩兒,,快来长沙吧,0,2019-09-02 09:22
@维京足球,,只要物美价优，谁都喜欢。,0,2019-09-02 09:21
@Anabella2552,,和中国婚都结了，现在要生个小孩了,0,2019-09-02 09:20
@_自来卷,,他心想中国市场太大了,0,2019-09-02 09:19
@爆小姐的万水千山,,这不是支持台独的企业吗,0,2019-09-02 09:14
@狗崽供应商老昌,,人家是为了占领市场开的,0,2019-09-02 09:08
