User,Reter,Comment,Votes,Time,Count
@锦鲤小哥,,不求高寿，最起码，能让人有尊严地离开。,934,2019-09-01 22:23,3
@哆啦A红吖,,都能够治愈吧,485,2019-09-01 22:21,1
@热心市民查先生,,不是多选题，差评。,442,2019-09-01 22:21,1
@唐同学叫臭猫,,其实糖尿病挺恼火的，，，,214,2019-09-01 22:29,1
@男颜鉴赏中心,,抑郁患者：我好了,107,2019-09-01 22:23,2
@唯爱日月与卿,,咽炎鼻炎等各种慢性病，各种癌症,107,2019-09-01 22:22,1
@耳東是JIAN啊,,所有都能治疗不好吗？为什么要选择？,47,2019-09-01 22:24,1
@我是Mr丶x,,免疫系统疾病！！！,22,2019-09-01 22:29,1
@百香果的气息,,小孩子才会做这种选择题。二个怎么够？我要二十个,10,2019-09-01 22:26,4
@君子藏器於身待時而動,,艾滋,13,2019-09-01 22:23,1
@拉姑,,癌症吧,12,2019-09-01 22:21,2
@吉通风水命理,,这个有点让人无法选择！,9,2019-09-01 22:23,1
@一路风瑜同洲26,,就不能全选么？？？？？,7,2019-09-01 22:21,1
@Kanye不喜欢,,必须脱发,6,2019-09-01 22:34,1
@九月-下,,痛经,8,2019-09-01 22:26,1
@嘻哈教父,,我好了,2,2019-09-01 22:23,2
@狗渣浪,,,2,2019-09-01 22:23,1
@姓凡名娜,,风湿,8,2019-09-01 22:22,1
@努力变成更好的涂涂,,穷,1,2019-09-01 22:32,1
@无聊的54321,,死亡,2,2019-09-01 22:21,1
@Revengas,,人类之癌:吊癌，事实证明科学发展也确实已经快要把这个物种从地球上除名了,3,2019-09-01 22:26,1
@找回健康的世界,,一个正在肆意蔓延的传染疾病—生殖器疱疹,1,2019-09-01 22:52,1
@00YANG艸,,我妈妈，奶奶都因为癌症而离开。癌症太苦了。化疗很苦。最后的日子也很苦。,4,2019-09-01 22:47,1
@emxlmv,,癌症,3,2019-09-01 22:23,1
@知音你太美,,不孕不育吧，别问我为什么,2,2019-09-02 08:05,1
@韦宁Hathaway,,希望大家能理解抑郁症，60来自遗传，40来自后天，及抑郁症癌症没可比性，重度会产生幻听幻觉及自杀，有多少抑郁症患者自杀离世的，癌症如果没法医治也会死亡，类别不一样，坏的结果都一样。且抑郁症被评为全球第二大疾病，不被理解会恶化病情，吃药其实没什么用，我四年前是中度，自己想开了才会慢慢好,3,2019-09-01 23:39,1
