User,Reter,Comment,Votes,Time
@李他他不热闹,,感觉很适合开快递箱,1056,2019-09-02 19:57
@瓜的喵星人,,我的话会很想剪掉那个尖,714,2019-09-02 19:57
@切点藕来烙馅儿饼,,看着浑身难受,374,2019-09-02 20:02
@Pan-婉莉,,接受不了这个审美,272,2019-09-02 20:06
@促进消化的笨呐呐,,看着别扭啊,126,2019-09-02 20:07
@Ain_Beauty君,,这是要逼死强迫症患者……,123,2019-09-02 20:06
@myflower权志龙,,有没有适合学生党朴素的那种,5,2019-09-02 19:46
@我是AD钙奶宝宝,,我觉得挠人应该会很疼,4,2019-09-02 23:12
@建安归客,,强迫症受不了,5,2019-09-02 20:32
@饱餐予被爱,,@改名为什么要被限制 我咋觉得不好看啊,2,2019-09-02 22:11
@桔子奶奶走天涯,,@胡萝卜肉兔 @MusicRadio艺馨,0,2019-09-02 20:30
@一只怪咖w,,强迫症看着难受,8,2019-09-02 20:15
@-浦铭心,,怕挖伤家猪,0,2019-09-02 22:21
@荣耀夏小语,,@神探迪迪 我前十年就引领时尚了,0,2019-09-02 22:42
@KFC的西红柿酱,,@看过那么多爱情转位 来美甲,0,2019-09-08 11:00
@桥本坏奈老婆,,@有钱才是最重要 ？,0,2019-09-03 01:04
@香蕉真的很甜,,@叫我肉肉宝宝 快来康康快来康康,0,2019-09-03 00:52
@亮晶晶是亮晶晶呀-,,@想做閑魚的鹹魚就要有閑 [費解][費解][費解][費解][費解][費解][費解],0,2019-09-02 23:24
@Geetam,,我怎么越来越不懂时尚了@芝士琳酱,0,2019-09-02 22:10
@一半是你的婆娑时光,,会划到自己吧,4,2019-09-02 20:34
@小糯好运来,,好丑。。,2,2019-09-02 22:21
@鹤_明天就会暴富,,拿来剔牙刚好,2,2019-09-02 21:34
@安蓝a,,那个口红的有点奇奇怪怪啊哈哈,3,2019-09-02 20:49
@宁易张张,,挠痒痒怎么办？？？？,2,2019-09-02 20:37
@其宝94,,强迫症受不鸟,0,2019-09-02 22:13
@Fan晓9Black-Better,,实在接受不了打扰了,2,2019-09-02 20:20
@Yyyyy-uu,,逼死强迫症吗,1,2019-09-02 22:08
@007_LuckyLuna,,10个刀片，开快递好使,1,2019-09-02 21:59
@千妤千玺xxxx,,有个美甲师修甲型的时候也给我修成这样，我最后自己把它磨平，搞了半天这是口红型？？？？？？,1,2019-09-02 20:50
@软软甜甜是松茸呀,,逼死强迫症…,0,2019-09-03 00:26
@滤镜小仙子,,347好看,0,2019-09-02 22:51
@瓜虫o,,啊，我怎么觉得这么好看哈哈哈哈,0,2019-09-02 22:33
@要喜欢吃豆芽,,精致么,0,2019-09-02 22:29
@CHIAKICHO,,难看死,0,2019-09-02 22:26
@再不改名字就贰零贰零年了,,是想拿指甲开快递箱吗？......,0,2019-09-02 22:23
@千山画_,,强迫症想减掉,0,2019-09-02 22:19
@一只小怪兽呢,,只有我看了强迫症吗,0,2019-09-02 22:18
@大哥二哥三哥我,,抓人很疼吧,0,2019-09-02 22:17
@嫌淡超人打怪兽KO,,,0,2019-09-02 22:17
@NA只白包,,强迫症受不了,0,2019-09-02 22:17
@小柒酱x,,想给他掰正过来，要不就全剪了,0,2019-09-02 22:13
@疯狂的菠萝喵,,丑,0,2019-09-02 22:12
@沉默是最好的独白,,真难看,0,2019-09-02 22:12
@神本千代,,惹,0,2019-09-02 22:05
@yoong小樂,,强迫症受不了这种美甲。。,0,2019-09-02 22:05
@唯有鹿哥知心,,我有强迫症,0,2019-09-02 21:57
@瑞希希Cho,,不是为了挠人而准备的么？,0,2019-09-02 21:57
@Gina-王笑晴,,@田园-Tina,0,2019-09-02 21:57
@FF_Ay,,被戳到会很痛吧,0,2019-09-02 21:56
@darling今天营业了吗,,这玩意挠自己胳膊不得剌死你,0,2019-09-02 21:55
@Nn很棒棒,,看起来扣头很爽的样子,0,2019-09-02 21:51
@lucky-米菲030,,get,0,2019-09-02 21:49
@纪年夏之,,丑,0,2019-09-02 21:49
@双一的NEVAEH,,逼死强迫症,0,2019-09-02 21:47
@什嚒彤彤__,,想挠谁挠谁？,0,2019-09-02 21:43
@江南小野花今天枯萎了吗,,处女座表示接受无能,0,2019-09-02 21:31
@皓泽大人,,这也太尖锐了,0,2019-09-02 21:28
@_易烊都行,,强迫症不合适,0,2019-09-02 21:25
@温暖的战v,,可怕，容易锉到屁股,0,2019-09-02 21:07
@Detective·Pro,,隔脉挺好使应该,0,2019-09-02 20:41
@C丶叮叮叮咚,,@-Ajingg,0,2019-09-02 20:38
@随性的鱼干小姐,,不戳嘛？,0,2019-09-02 20:28
@小姑娘的大白兔奶糖,,我怕戳到自己,0,2019-09-02 20:25
@Zoe喜欢GD,,好看个球,0,2019-09-02 20:22
@Gritotheyongtory,,我不成  我讨厌这个形状,0,2019-09-02 20:21
@雪妃ros,,不好看,0,2019-09-02 20:12
@wAmLsDn,,原谅我的审美已经跟不上时代的潮流了,4,2019-09-02 20:11
@Dean小陈陈,,看得我一个没有强迫症的人强迫症都要犯了，超级想把那个尖尖剪对称,2,2019-09-02 20:02
@你枕边有书我枕边有猪,,强迫症不能接受,1,2019-09-03 01:06
@寻人可归,,我jiao得有点chou,1,2019-09-02 23:31
@一生所爱一生-,,看着有种想要吐的感觉（不是说丑，而是强迫症 所以看着好难受的那种感觉。虽然真的也没觉得好看,1,2019-09-02 21:51
@仙女本仙黄佳予,,抠鼻屎不错,1,2019-09-02 21:37
@喝着真果粒压压惊,,美甲现在都这么怪吗？无法想象啊,1,2019-09-02 21:34
@鲤鱼丸啊,,图片评论 评论配图,1,2019-09-02 21:23
@曲项向天歌9951,,这叫不容易撞款？这是另类好吗？还精致？我表示真的超级超级好难看啊！,1,2019-09-02 21:19
@锦时w,,我想拿指甲剪把它剪圆,1,2019-09-02 21:11
@Treyak,,这和男朋友大家的话会很厉害,1,2019-09-02 20:19
@仙贝杀手_,,很容易划伤自己和别人吧,1,2019-09-02 20:13
@莺时城南,,挠人好用,1,2019-09-02 19:58
@www7240,,欣赏不来,1,2019-09-02 19:58
@闺蜜叫我莉莉选,,强迫症接受不了,0,2019-09-22 23:27
@zmy且以深情共白头,,,0,2019-09-20 23:17
@姚佳宾,,@刘猫力,0,2019-09-12 23:27
@Ye佼,,这么好看的指甲 不用来拆快递 可惜了,0,2019-09-08 12:03
@树旁的小月亮,,一本正经地胡说八道,0,2019-09-07 16:30
@June_Bin,,这可以是随身携带的防狼利器，太长容易反甲断甲，建议短一点，留两个大拇指的边缘涂薄一点，练练就能“一甲封喉”（,0,2019-09-06 08:26
@艾yifan,,巨丑,0,2019-09-05 20:18
@潞潞潞潞潞潞_小怂,,不会刮到自己吗？拆快递挺不错,0,2019-09-05 17:21
@HHHrrYyy,,是想戳死谁,0,2019-09-05 13:44
@一只被煮熟的虾的主人,,@SUNYRO,0,2019-09-04 01:46
@Biu一bong,,这直接扣人很疼吧！哈哈哈哈哈哈哈,0,2019-09-03 23:43
@123你知道我在等你吗,,适合打架,0,2019-09-03 21:21
@Sunshine-_-L,,我挠人可疼可疼了嗷,0,2019-09-03 13:35
@Hi闫儿,,第一张看着好恶心,0,2019-09-03 04:58
@黄叽三-,,第一个真的恶心我去,0,2019-09-03 03:20
@啊呜小包子,,比较锐角的那边，不小心戳到身上会不会疼啊,0,2019-09-03 03:01
@予纵,,我觉得能挠死人,0,2019-09-03 02:40
@囧囧囧瑟夫斯鷄_,,抠鼻屎都会刮鼻子,0,2019-09-03 02:20
@凯源玺是我的唯一,,我觉得握拳可以把自己戳死,0,2019-09-03 01:35
@想做幸运的v琦琦v,,被蚊子叮了会挠出满指甲肉丝儿吧,0,2019-09-03 01:22
@Suki-Xx-w,,逼死强迫症系列,0,2019-09-03 01:22
@韩都衣舍清香草,,挠人，你值得拥有,0,2019-09-03 01:21
@CORORO_,,是不是要逼死我这种对称狂…,0,2019-09-03 00:01
@Jlxxxxx,,我强迫症表示接受不了。反正我是不会做这样的,0,2019-09-02 23:58
@波耶娃每日活在梦里,,徒手开快递,0,2019-09-02 23:57
@困兽_LC,,现在越来越接受不了流行的美甲了，接受不来,0,2019-09-02 23:51
@樊雪晶啊,,不说逼死强迫症。怎么挖鼻屎呢,0,2019-09-02 23:47
@皮卡皮丶皮卡秋,,图三好看,0,2019-09-02 23:37
@第三人称iiiiiii,,我这强迫症。。。,0,2019-09-02 23:36
@每天都在被男朋友气,,这不是磨指甲磨坏了之后的形状嘛,0,2019-09-02 23:34
@刚好月圆,,欣赏不了,0,2019-09-02 23:27
@陈橙子呦,,好丑,0,2019-09-02 23:21
@我就是薯片小姐呀,,拼了命的想剪掉那个尖,0,2019-09-02 23:00
@小分同学快减肥,,一不小心划着脸可就遭了,0,2019-09-02 22:57
