User,Reter,Comment,Votes,Time,Count
@C_hPeng,,想知道选不能算的是什么想法 字母歌在NBA也是全明星东部票王＋MVP 在这次没什么星味的世界杯铁定的第一巨星啊 这有什么疑问吗,8,2019-09-02 00:25,1
@是吉吉筱可爱鸭,,世界杯唯一超巨,4,2019-09-02 02:01,1
@吾乃GKSpidey,,美国在打谁,2,2019-09-01 21:46,1
@chaosrrrrn,,我都想笑了  nba里的mvp在世界杯都算不上第一了,2,2019-09-02 09:09,3
@落霞与珏,,我伦总才是,1,2019-09-01 21:49,1
@小男人的倔强,,你说他是巨星，没毛病 第一巨星……,1,2019-09-02 07:35,2
@成天200,,不看篮球,0,2019-09-02 07:35,2
@月亮_便利店,,希腊打得是黑山…,0,2019-09-01 21:46,1
@奈何桥本环奈何桥,,1300多人真他妈酸,1,2019-09-03 19:34,3
@张猛1979,,,0,2019-09-02 07:43,3
@逃亡的航航,,。。,0,2019-09-02 07:43,3
@勒布朗今天三双了吗,,黑山,0,2019-09-01 21:47,1
@GYM小白,,那美国在打啥...,0,2019-09-01 21:46,1
@Jayking丶,,你赶紧去领个盒饭吧,0,2019-09-01 21:46,1
@一位普通的篮球迷,,黑山吧 捷克和美国打,0,2019-09-01 21:46,1
@吴振奇,,捷克还是黑山,0,2019-09-01 21:46,1
@喝酸奶舔瓶盖_,,你确定希腊打捷克吗,0,2019-09-01 21:45,1
@顺qwert,,当之不愧,0,2019-09-02 19:33,3
@HBFFUZAI,,希腊窒息的防守太强了,0,2019-09-01 21:48,1
@樱木花道Sakuragiii,,希腊打的是黑山好吗,0,2019-09-01 21:46,1
@昙花演幻,,厉害了,0,2019-09-02 09:17,3
@再见理想201708,,,0,2019-09-02 09:11,3
@二分钟馗6476789677,,您婆婆婆婆肉末汤,0,2019-09-02 09:08,3
@kk不down,,我参与了@微博篮球 发起的投票【字母哥是不是2019篮球世界杯第一巨星？】，我投给了“当之无愧”这个选项，你也快来表态吧~要哭就哭出来,0,2019-09-02 01:48,1
@缘分5532208702,,厉害,0,2019-09-02 00:33,1
@奈何桥本环奈何桥,,1300多人真他妈酸,1,2019-09-03 19:34,3
@顺qwert,,当之不愧,0,2019-09-02 19:33,3
@昙花演幻,,厉害了,0,2019-09-02 09:17,3
@再见理想201708,,,0,2019-09-02 09:11,3
@chaosrrrrn,,我都想笑了  nba里的mvp在世界杯都算不上第一了,2,2019-09-02 09:09,3
@二分钟馗6476789677,,您婆婆婆婆肉末汤,0,2019-09-02 09:08,3
@张猛1979,,,0,2019-09-02 07:43,3
@逃亡的航航,,。。,0,2019-09-02 07:43,3
@奈何桥本环奈何桥,,1300多人真他妈酸,1,2019-09-03 19:34,3
@顺qwert,,当之不愧,0,2019-09-02 19:33,3
@昙花演幻,,厉害了,0,2019-09-02 09:17,3
@再见理想201708,,,0,2019-09-02 09:11,3
@chaosrrrrn,,我都想笑了  nba里的mvp在世界杯都算不上第一了,2,2019-09-02 09:09,3
@二分钟馗6476789677,,您婆婆婆婆肉末汤,0,2019-09-02 09:08,3
@张猛1979,,,0,2019-09-02 07:43,3
@逃亡的航航,,。。,0,2019-09-02 07:43,3
@成天200,,不看篮球,0,2019-09-02 07:35,2
