User,Reter,Comment,Votes,Time,Count
@mgl929,,讲到赔本才能中质量能好才怪,119,2019-09-02 13:47,1
@等到星光都灿烂,,太可怕了，大桥垮塌事故原因是什么,37,2019-09-02 13:46,1
@反正我很欧气,,希望有关部门能重视起来,40,2019-09-02 13:46,1
@李李李李李姣,,,22,2019-09-02 13:46,2
@卖神乐的醋昆布,,安全第一啊 太可怕了,12,2019-09-02 13:46,1
@CY尛笨瓜,,杜绝豆腐渣工程,6,2019-09-02 13:46,2
@hello易漂亮,,太可怕了  必须要好好调查,5,2019-09-02 13:46,1
@熬夜小公举ysq,,真的太可怕了安全第一,4,2019-09-02 13:46,1
@嘿忘了告诉你,,严惩不贷！还老白姓一个说法,5,2019-09-02 13:46,1
@星辰摇,,赔钱可以不干啊，赔钱又投标什么的真有意思,2,2019-09-02 15:19,1
@圈小扒,,支持你,0,2019-09-02 14:00,1
@天蝎座的见开,,最近建筑事故越来越多了,0,2019-09-02 13:57,1
@有一天转角遇到我,,一定要多查查安徽，特喵的我一个安徽人真心觉得安徽好多地方黑的要死,7,2019-09-02 14:10,1
@丽丽和头牌今天合作了吗,,不是，我想问知道赔本还去投标？,0,2019-09-02 15:40,2
@芭拉棋,,安徽什么都是最低中标，看来什么行业都一样,1,2019-09-05 06:50,1
@ThingsWrong,,安徽政府是全国最黑的政府，没有之一,9,2019-09-02 15:53,1
@奥黛丽_赫忭,,我们那儿人神烦安徽的，每次竞标他们为了中标压的那个价格啊，算下来，除非全用豆腐渣的零件材料，不然根本没得赚。。。,2,2019-09-05 01:44,1
@来个可口的女孩子,,这句话我都听很多人讲了？从哪来抄来的？,2,2019-09-02 17:36,1
@UNIQ合体,,我们这边修的路，拖拖拉拉修了很久，说资金不到位，影响交通就算了，，完工两个月，路上就出现了坑坑洼洼，有的地方，还不如不修的时候平坦,2,2019-09-02 14:27,1
@每个明天都很好,,这个钢架是铺助支撑平台，施工中出现意外有很多因素，施工环节的不规范，忽略安全小问题，或者材料不合格，负责安全监管的不到位都会发生事故。只能出最终结果。我们也是做路桥的总承包。国家对建筑文明施工，质量检测真的很严，可是还是避免不了有些事故的发生，大家都理性一点。,3,2019-09-02 14:23,1
@莫jack,,刘德华和梁家辉演的【黑金】看过没？这就是活生生的例子。,0,2019-09-03 07:42,1
@一言难尽的女汉子,,注意安全,0,2019-09-02 13:46,1
@专职宝妈1987,,了解情况,0,2019-09-02 13:46,1
@卷珠帘君,,豆腐渣工程害人害己,0,2019-09-05 23:51,1
@黄桃和oranges,,说实话，安徽公共交通这块真的很有问题，每次在高速上开车，路况变差就知道进安徽了,3,2019-09-05 21:01,1
@妙天手制瓷,,只怕是国家拨的款很充足，不知道又好过了谁,0,2019-09-04 03:15,1
@zhang0376,,都一样，这种就是先把活弄过来再说,0,2019-09-02 15:23,1
@朝阳少帅,,可怕,0,2019-09-02 13:46,1
@匢莣莪_F,,真是可怕至极啊,0,2019-09-02 13:46,1
@为寂寞的夜空画上一个月亮z,,唉，都是生命啊！,0,2019-09-02 13:46,1
@刘小诺到这儿来,,太阔怕了,0,2019-09-02 13:45,1
@我的名字你的姓氏Aileen,,安徽很多行业都是低价中标，常态了,2,2019-09-02 15:44,1
@鸢弦易断,,贪官污吏少不了,1,2019-09-03 09:17,1
@一只喝牛奶的yang,,还记得那年大雪，合肥十几处公交车站台被压塌导致人死亡的事故了么,1,2019-09-02 15:47,1
@技术学院学不到技术的技术员,,彻查事故原因！严查责任方！,1,2019-09-02 15:43,4
@戏帅哥,,等官方报告，豆腐不背锅，最重要的是，祝受伤的人平安，早日脱离危险！,1,2019-09-02 14:52,1
@Whatever空欢喜,,这不是国内大多数公家招标的现状吗,0,2019-09-08 09:37,3
@兰兰深兰,,中标方偷工减料怪招标方低价中标？低于成本价中标不会起诉调查吗。不可否认招投标法是有一些问题，但是企业诚信为本政府公平公正都是自己的分内之事，不可能说一方做不好是因为另一方没做好吧。,0,2019-09-08 08:32,3
@Evil_twin,,低价中标一定要多注意质量还有中标人资质问题,0,2019-09-08 01:35,3
@不平事随吐,,现在政府干预市场太严重了，单价一压再压，还要保质保量,0,2019-09-08 00:09,3
@做完测试发现你们堪忧,,政府盲目压价，中标者只有偷工减料才能获利，不恰当地形容“官逼民反”,0,2019-09-08 00:02,3
@lll111ilft,,政府标没个投,0,2019-09-07 21:56,2
@LiveFMe,,放屁呢，投标有个最底标值，低于这个值，此次投标直接作废,0,2019-09-07 16:24,2
@南溟大人啊,,还好在建的时候塌了，不然还要甩锅到那个货车司机呢,0,2019-09-07 09:03,1
@天若有情天亦老201602,,又看到了熟悉的  相关部门,0,2019-09-07 07:11,1
@深山见,,我跟大家透个底，土建里边除了苗木都不怎么挣钱，利润很透明，像这种纯桥梁施工没有利润可压缩，却还是低价中标说明是从上到下的腐败。我们做土建，预算都怕算少了做不下来，比其他竞标方价格低的话甲方也不会考虑你的。施工方不想偷工减料也没办法，桥梁属于市政工程，这个锅的源头在政府。,0,2019-09-07 02:16,1
@丘丘圈圈,,安徽的建筑质量真的需要好好查查,0,2019-09-07 00:52,1
@那扎a,,使劲查,0,2019-09-07 00:01,1
@不疯会死喵星人,,,0,2019-09-06 23:17,1
@甜豆有内涵,,哪个地方不是这样？按正常价格怎么能中？当然是也便宜越好！,0,2019-09-06 20:44,1
@欠了瓷国一套房,,绝对是包工头的锅，五人包工头的那种小团队,0,2019-09-06 19:50,1
@我就是只没尾巴的猴儿,,不光安徽需要赔本才能中标，全国各地都这样,0,2019-09-06 16:15,1
@心里住着个大奇葩,,格式化，死人了也就通报下，国内各行各业质量问题频频出现，也啥办法呢……,0,2019-09-06 15:52,1
@爱温暖爱阳光我是晴朗,,就算高利润也一样，该塌还是塌，因为无论是高利润还是赔本，他的用料不会改变。,0,2019-09-06 13:09,1
@follow-your-heart2,,一棒子打死也太过分了，地域黑？有意思吗？呵呵！,0,2019-09-06 11:34,1
@清醒的她,,严查！！！,0,2019-09-06 11:21,1
@豁达ing,,@天外飞仙world,0,2019-09-06 08:26,1
@萌大宝戎戎,,国庆前期，全国狠抓安全生产，全面深入加强安全稳定工作，安徽企业就是这样给国家70周年大庆献礼啊！,0,2019-09-06 00:49,1
@新的一天新昵称,,七十周年大庆马上就要到了 一个两个净会添堵,0,2019-09-05 20:42,1
@牙齿少半颗,,一建机电里边正好有这个钢结构支撑架垮塌风险分析,0,2019-09-05 17:43,1
@狄遇见,,可是安徽人工确实低啊。,0,2019-09-05 17:12,1
@Miss占里予,,严查,0,2019-09-05 15:41,1
@甲乙阿丙,,国企那群人办事  一开始就要铺好甩锅的路,0,2019-09-05 14:13,1
@FMmini,,可怜的穷人,0,2019-09-05 11:54,1
@又倦了秋,,不都是这样吗，低价中标，凭什么给你做,0,2019-09-05 01:01,1
@一只超甜的Riley,,是真的，家里有亲戚就是包工程修路的，有人来检查才会真工实料，平时都偷工减料很严重，其实也是为自己后代埋下祸根,0,2019-09-05 00:06,1
@嫩羊吃老草,,做个吃瓜群众就好，呵呵一下，在这说什么都没有意义！,0,2019-09-04 22:39,1
@回首o灯火阑珊,,我好像听说过，工程标中了之后如果满足一定条件是可以追加报价的。,0,2019-09-04 20:15,1
@24度24,,还好垮的早,0,2019-09-04 19:10,2
@Yang大吉吉吉吉吉,,,0,2019-09-04 18:11,2
@哭瞎的九零后孤寡老人,,这么宽的桥都能搞塌。。。。,0,2019-09-04 18:10,1
@徐浩东TARDIS,,为什么把价格压这么低？其中有没有人赚差价？要好好查一查才行。,0,2019-09-04 01:14,1
@若水三千灬只取一瓢,,邓超设计的？,0,2019-09-03 23:47,1
@wangpolestar,,丢人！,0,2019-09-03 21:59,1
@520的喵妈,,中国的低价中标规则,0,2019-09-03 20:09,1
@叶花花real,,最关键的是中标以后还容易存在。。。层层。。转包的现象,0,2019-09-03 17:38,1
@昌珉啊,,实话,0,2019-09-03 16:25,1
@zhE_yukoAraki,,造孹,0,2019-09-03 12:58,1
@全部都是你zhen,,是的，安徽的项目对投标企业卡的也很严格！,0,2019-09-03 06:31,1
@许南以北,,施工单位是哪家,0,2019-09-02 21:40,1
@小灰灰是个狼宝宝,,这评论很明显刷的,0,2019-09-02 20:17,1
@boheme111,,反*腐的一个副作用就是很多行业都不可避免的走向了低价中标，基本只看价格，恶性竞争杀伤了很多正规有实力的企业，一些资质不够的企业中标后偷工减料，贻害无穷，我们公司就是一个受害者,0,2019-09-02 19:30,1
@楼酥稞,,降到赔本才能中？,0,2019-09-02 19:28,1
@怪怪滴女子,,请不要地域性歧视，一杆子打死，谢谢！,0,2019-09-02 19:06,1
@小莓果m,,钱大部分都被分开了。批下来的很多的好嘛。就是一层又一层，剩到下面是多还有利润的。但是很多人就爱偷工减料,0,2019-09-02 18:59,1
@知之ion,,一般不是上头卖项目吗？中不中标基本上逗你玩,0,2019-09-02 17:19,1
@是胖虎幺,,你会招一个赔钱的标？,0,2019-09-02 15:39,1
@风月迢迢,,@花生酱没了,0,2019-09-02 15:38,1
@赫敏的小马甲,,如果真的话那真的要好好查查了,0,2019-09-02 15:23,1
@欧文stan,,想起了信号。。,0,2019-09-02 15:11,1
@香雪海然,,查他公示，这个标的正常不？,0,2019-09-02 14:58,1
@一択彼女加藤惠,,基建狂魔,0,2019-09-02 14:46,1
@Audax_Lee,,垃圾建筑行业 无论做设计做施工 全都是大幅降价中标 就这样还要求质量？,0,2019-09-02 14:45,1
@sushisun,,那政府的钱都到谁的腰包了？,0,2019-09-02 14:29,1
@JAME4LEE,,不要乱带节奏 施工过程中所涉及的因素很多 这明显是技术原因不过关导致的,0,2019-09-02 14:26,1
@胖头宇小姐,,低价中标是国家规定的，中标法了解一下，不是省份，行业的问题。推行综合评分法又需要专业人才的培养，所以还有很长的路走,0,2019-09-02 14:13,1
@百变张韶涵,,采购查查,0,2019-09-02 14:11,1
@西柚味的小叮当fh,,希望有关部门严查安徽！特别是一些小地方！！,0,2019-09-02 14:09,1
@li天若有情il,,一查到底追究责任、,0,2019-09-02 13:47,2
@我是一个孤独的身影,,不太了解不发意见,0,2019-09-02 13:47,2
@Baby叫大爷,,安全第一,0,2019-09-02 13:46,3
@南方姑娘i的爱,,希望人都没事保佑,0,2019-09-02 13:46,2
@吃不到的清补凉,,太危险了,0,2019-09-02 13:46,1
@美少女keai,,了解,0,2019-09-02 13:46,1
@鑫鑫大码女装,,吓人,0,2019-09-02 13:46,1
@健月小花,,太可怕了，这个要注意安全,0,2019-09-02 13:46,1
@冷将太,,可怕,0,2019-09-02 13:46,1
@钴蓝678,,好可怕啊，好危险,0,2019-09-02 13:46,1
@TTF微博呀,,太可怕了,0,2019-09-02 13:46,2
@清风配酒2008,,都是生命啊，幸好是在建的时候出事了，要不要是建好后有人从那里过，死的更多,0,2019-09-08 16:47,3
@锅ba超人,,现在豆腐渣少多了,0,2019-09-07 06:42,1
@抓鱼有瘾,,了解一下吧  一个缩影,0,2019-09-05 21:28,1
@-晓捷,,我老家，心痛,0,2019-09-04 17:13,1
@威士忌1116,,好好查一查当官的吧,0,2019-09-03 22:43,1
@丑女乄敌,,要是建成了还更危险  ，我的天呀，这是拿生命当赌注吗？,1,2019-09-02 14:21,1
@默片時待,,竞标竞标你懂的，都那么一回事，高了人家说中饱私囊，低了肯定赔本，在二三四五六七八转包，还想建什么,1,2019-09-04 12:35,1
