User,Reter,Comment,Votes,Time
@人间至乐,,阿姨。,263,2019-09-03 00:24
@穎潁頴,,害 我跟男朋友第一次见面他就说我卡粉了 我居然还同意跟他在一起 我可真善良,118,2019-09-03 00:36
@超級無敵脆啵啵,,希望看了这么多“对女生最大杀伤力的话”的你，能够避免说错话伤害人，而不是为了伤害人,104,2019-09-03 00:29
@小猪佩景,,你痘痘怎么这么多，少点化妆，皮肤好了会很好看的,84,2019-09-03 04:43
@Iyeoooeas,,：你一个女孩子 你也好意思,94,2019-09-03 01:21
@宥维独自美丽,,说原生长相的真的不能忍,53,2019-09-03 00:19
@HL哇咔咔_,,你脸真大,33,2019-09-03 00:28
@1号飞行嘉宾-,,你看看你的牙 口红粘上面了（我体育老师说我的,35,2019-09-03 00:22
@努力学习吧老子要做个女神啊,,你长得一般,27,2019-09-03 00:51
@中投靓仔奥尼尔,,你胖,28,2019-09-03 00:21
@小梁子大纯子Jay,,指手画脚的我都挺烦的,29,2019-09-03 01:00
@不可爱达人,,你原来这么xxx啊？（黑或者胖之类的词）,16,2019-09-03 00:21
@予悸里,,我去翻你的过往不是嫉妒 只是遗憾,10,2019-09-03 01:09
@梦境贩卖馆__,,你口红假的,9,2019-09-03 00:25
@竹野早見,,你胖了,6,2019-09-03 01:54
@我他娘爱叫啥叫啥,,,9,2019-09-03 01:58
@北城前年76326,,关你屁事,0,2019-09-03 09:29
@请叫我Mosquito,,最过分的话：你小时候好好看……现在哎～长残了长残了～岁月是把杀猪刀！,8,2019-09-03 01:59
@桥豆麻袋sw,,你好矮（那我能不能说你胖眼睛小还单眼皮没有眉毛睫毛短鼻子塌？,4,2019-09-03 08:44
@你要不要吃冰激凌啊,,你看看你 一个女生,5,2019-09-03 01:51
@黄种人7号,,图片评论 评论配图,3,2019-09-03 00:29
@花痴的追星少女,,向男生说你dym来了,3,2019-09-03 10:21
@oioioi二进制酱,,“我就是喜欢瘦子，这是喜好，改不了”,3,2019-09-03 07:34
@Barbara-yin,,我跟你在一起真觉得够够的了 &quot;咱俩再试试吧，一起去一些地方”，“不想”“是不想跟我去吗” “嗯” “我和你处的没感觉” “你就没什么想和我说的吗”“没有，有我就不分手了”,2,2019-09-03 10:09
@为你而战·肖,,脸和脖子两个色,4,2019-09-03 06:39
@AmyPo木,,你胸比我还小,5,2019-09-03 03:33
@TD莱蒙德,,@你做饭真好吃 你本人就长这样,2,2019-09-03 07:07
