User,Reter,Comment,Votes,Time,Count
@俊宝201314,,这绝对不是巴蒂的正常水平，失误太多了今天。不过王蔷也是打的好,3,2019-09-02 07:43,1
@john7707,,中国女人猛啊！！！！,1,2019-09-02 07:43,1
@读万卷书行万路里,,加油王蔷，我们天津姑娘就是棒,2,2019-09-02 07:50,1
@不要做废青,,太棒了,2,2019-09-02 07:22,1
@迷上馒头人,,王蔷,1,2019-09-02 07:23,1
@RussellWho,,@饼干cookie的麻麻,1,2019-09-02 07:49,1
@流苏小迷弟,,干得漂亮,1,2019-09-02 07:44,2
@无级变速上下求索路茫茫其修远兮,,网球厉害的，都是两个字的姓名。,1,2019-09-02 14:53,1
@腹黑丶逗比小熊猫,,[加油],0,2019-09-03 00:44,1
@长弓射日QK,,突破,0,2019-09-02 13:22,1
@lindalumei,,美蔷,0,2019-09-02 12:19,1
@王蝈蝈1986,,继续加油,0,2019-09-02 11:07,1
@摇摇摆摆ydyy,,恭喜,0,2019-09-02 10:05,1
@快樂的分享Nicole,,期待下场和小威的比赛,0,2019-09-02 08:31,1
@kim-LEEDO,,牛逼！,0,2019-09-02 08:25,1
@红高粱2000,,,0,2019-09-05 07:23,1
@仨仨爱网球,,所以不让恋爱是正确的,0,2019-09-04 07:08,1
@小猪熊网络,,种子选手,0,2019-09-04 06:40,1
@成名曲20090214,,厉害了，王蔷加油！,0,2019-09-04 00:29,1
@汐汐小衣恋,,加油,0,2019-09-04 00:14,1
@van文,,6649464946469494944,0,2019-09-03 09:54,1
@流苏小迷弟,,真棒,0,2019-09-03 09:20,2
@二培小短腿儿,,，,0,2019-09-03 09:11,1
@充满热情的大团团,,，,0,2019-09-03 07:47,1
@甜甜甜要好好的,,。,0,2019-09-03 07:42,1
@Trundler,,加油加油,0,2019-09-03 07:15,1
@小懒猫9426,,。,0,2019-09-03 07:10,1
@白羊小cocoa,,。,0,2019-09-03 07:03,1
@阿真阿美阿卜,,帅呆了酷毙了[加油][加油],0,2019-09-03 06:47,1
@Z我是射手座Z,,加油,0,2019-09-03 05:55,1
@募直向前JX,,路过,0,2019-09-03 05:17,1
@萌美青春小铺,,,0,2019-09-03 00:29,1
@悦读海,,：能,0,2019-09-03 00:19,1
@我s额,,。,0,2019-09-03 00:06,1
@高山流水65482,,下一场干掉小威,0,2019-09-02 23:13,1
@blackmagicgeyg70770,,，,0,2019-09-02 18:02,2
@我和我的影子18,,节节高,0,2019-09-02 17:49,1
@大以诺89618,,祝贺她,0,2019-09-02 17:48,1
@你七哥呢,,下一轮对谁？,0,2019-09-02 16:26,1
@星空武林,,恭喜,0,2019-09-02 15:56,1
@庄zhuang2012,,恭喜金花王蔷,0,2019-09-02 15:19,1
@星空的思念518,,666666,0,2019-09-02 11:52,2
@星空的思念518,,666,0,2019-09-02 11:52,2
@娇娇2748,,恩,0,2019-09-02 11:40,1
@w堂豆豆,,好,0,2019-09-02 11:00,1
@哈登666666,,厉害,0,2019-09-02 10:33,1
@花生日记司令员小高,,加油,0,2019-09-02 10:24,1
@儒雅的阿茂,,哦,0,2019-09-02 10:02,1
@月月71583,,好,0,2019-09-02 09:23,1
@ScorHo,,又迎来一波新的网球风，加油，放手一搏,0,2019-09-02 09:13,1
@AJIN_37860,,恭喜，继续前进,0,2019-09-02 09:13,1
@me好饿e,,,0,2019-09-02 09:08,1
@秋天来了吗099,,美蔷，我爱你,0,2019-09-02 08:51,1
@我是酷酷鱼鱼,,恭喜美蔷,0,2019-09-02 07:44,1
@伦巴第的阳台,,娜姐接班人找到了,0,2019-09-02 07:17,1
@辅助是个小傲娇,,阿哈哈哈哈哈哈哈哈哈哈哈哈哈哈！！！ @w君离y,0,2019-09-02 08:32,1
@林英辉呦,,厉害了,0,2019-09-02 08:04,1
@帅气的静锅锅,,美蔷,0,2019-09-03 14:28,1
@Skye115,,牛逼！,0,2019-09-03 08:33,1
@RogerRoar,,中国男人也可以，像中国男排中国男足一样，冲出世界,0,2019-09-03 07:48,1
@原理微博可以改名,,更期待能进决赛,0,2019-09-02 11:15,1
@暮然回首在那灯火阑珊处疯隆小贰,,亚洲赛季有巨分要保，压力山大…,0,2019-09-02 11:02,1
