User,Reter,Comment,Votes,Time
@神奇的馒头盖01,,钟南山-中国工程院院士，著名呼吸病学专家，中国抗击非典型肺炎的领军人物，曾任广州医学院院长、党委书记，广州市呼吸疾病研究所所长、广州呼吸疾病国家重点实验室主任、广州医科大学附属第一医院国家呼吸系统疾病临床医学研究中心主任、广东省老科学技术工作者协会会长,8322,2019-09-02 18:35
@偷粥-,,哇！！！什么神仙运气！他可是钟南山啊！！！！,5562,2019-09-01 12:50
@易飞飞飞,,即使这样了前座还是不会调高座位…,1794,2019-09-01 11:04
@银渐层啊啊啊啊,,我妈的恩师,1178,2019-09-01 23:34
@ZyxLyx,,作为广东孩子的我从小听到大的传奇人物医学界大佬,676,2019-09-02 18:34
@Naedon_啤酒鸭,,谁给我科普一下钟南山先生，谢谢了,529,2019-09-02 18:33
@再也不开微博会员peace,,钟老师就是神仙啊,323,2019-09-02 18:38
@超爱芝士并努力减肥的矮子,,我知道钟南山奖学金！！！！,142,2019-09-02 18:36
@神响,,因为飞机脏啊。。。,84,2019-09-01 10:43
@再哔哔毒死你,,编写内科课本的男人,121,2019-09-02 18:36
@阿陳姑娘呀,,我以为钟南山是神雕侠侣里的地名，看了科普知道自己这么孤陋寡闻真想给自己个大嘴巴子。,110,2019-09-02 18:43
@BLACK南葛,,完全看不出来他都83岁了！！,107,2019-09-02 18:37
@不加糖才是真的甜,,我去，这小孩子运气太好了吧,94,2019-09-02 18:33
@墨然无狸,,哇，我们的广医大的招牌,49,2019-09-02 18:36
@默默无闻1路人,,孩子真幸运,47,2019-09-02 18:32
@心事喵喵喵,,在飞机上身体出状况了能遇上同一趟航班的医生真的很幸运，我之前从重庆回北京的时候双手发麻不受控制了，吓得离飞机落地还有45分钟的时候让空姐帮我叫救护车，感觉自己要挂了，还好同行的两个医生一直帮我调节呼吸，在我身体缓和一点后才离开，特别感谢他们，我真的很幸运,41,2019-09-02 18:39
@霹雳猪BiBi,,看到本人真的会肃然起敬，曾经抗击非典的英雄，在飞机上短途的旅程依然打开笔记本电脑在工作。 评论配图,35,2019-09-02 19:43
@Kinny_Chow,,希望社会都这样温暖,14,2019-09-02 18:35
@大哥的迷豆,,钟南山是谁呀我要去百度了,12,2019-09-02 18:34
@FC-Arsenal-14,,钟院长这出诊费得多少....,5,2019-09-02 18:48
@cool小绿蛇,,神仙运气,10,2019-09-02 18:32
@94号小饼干,,我给钟南山院士和他夫人订过高铁票（骄傲脸,8,2019-09-02 18:52
@可爱温柔山鸡妹,,我以为，钟南山是一座山，我才疏学浅,3,2019-09-02 18:49
@琪琪兔崽子,,这运气太好了！,3,2019-09-02 18:39
@多吃点素o,,幸运男孩！！！！,7,2019-09-02 18:33
@柒公子V,,真是路遇神仙//@神奇的馒头盖:钟南山-中国工程院院士，著名呼吸病学专家，中国抗击非典型肺炎的领军人物，曾任广州医学院院长、党委书记，广州市呼吸疾病研究所所长、广州呼吸疾病国家重点实验室主任、广州医科大学附属第一医院国家呼吸系统疾病临床医学研究中心主任、广东省老科学技术工作者协会会长,2,2019-09-02 18:48
@花醉易伤颜,,阎王要你五更死，谁敢留你到三更。 不不不 钟老不仅敢还能抢,1,2019-09-03 07:22
@哥就是长颈鹿头上内两个小啾啾,,遇到天使了,1,2019-09-02 22:06
@Xxscutedays,,这哪里像80多岁的人啊？？？,5,2019-09-02 18:56
@半仙嬷嬷,,这是遇神仙啊~,3,2019-09-02 18:46
@叶赫那拉辰,,院士:终于到我出马了,6,2019-09-02 18:33
@小福胡同学啊,,这名字听着就不是普通人，,0,2019-09-02 20:07
@木木木木佳-,,每次看到这种新闻都好感动,2,2019-09-02 19:14
@吾Yy先生,,早就听闻钟南山大名,1,2019-09-02 18:49
@华柒宝贝,,我也不知道，，为什么对这个9岁的小孩，拿着手机没人管，这个事情，发表评论,0,2019-09-02 18:43
@好好学习好好生活不要懈怠,,渍渍渍，神仙运气！！！,1,2019-09-02 18:41
@海螺小北鼻,,厉害了，钟南山，神仙级别的人物啊,5,2019-09-02 18:36
@产科医生温弘,,小朋友太幸运了，遇到了编辑医学教科书的大佬，祝他早日康复,1,2019-09-02 23:58
