User,Reter,Comment,Votes,Time
@花澤江菜,,团结就是力量，听哭了多少人.....,22106,2019-09-02 13:06
@给我来一杯桃桃红茶,,最好笑的是突然下的暴雨让我在宿舍都听到了他们的欢呼声，没多久就在各个群里看到了这个视频哈哈哈哈哈哈哈哈！！！大一的孩子们真的太天真了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,12521,2019-09-02 13:13
@众生草木不见青山,,你们那里雨好大 不知道全有大不大,8710,2019-09-02 13:06
@叛逆行为艺术,,单纯的学生可能没听说过室内队列训练哈哈哈哈,4358,2019-09-02 13:06
@我辣到吐奶,,你们在哪个学校 评论配图,2078,2019-09-02 13:06
@各类聊天记录,,又是时候把我的扣扣的9个太阳贡献出来了,1764,2019-09-02 13:06
@按时吃饭r,,你们还有大伞  我们是真的淋雨,850,2019-09-02 13:06
@今日宝藏,,只要思想不滑坡，办法总比困难多,703,2019-09-02 15:48
@DaAndY,,哈哈哈哈哈哈，广大的路过，朋友圈看到笑死了,631,2019-09-02 13:08
@阿鞭先生,,上海交大的都直接淋雨军训,450,2019-09-02 13:07
@洪世贤,,是骡子是猪咱也拖出去教练,272,2019-09-02 13:07
@yymxx-,,看看下雨的广大食堂,284,2019-09-02 15:55
@小众渔暴,,萧敬腾看了都无雨…,251,2019-09-02 13:07
@绵阿勉,,广大校友笑了,276,2019-09-02 13:24
@晚风如诉_,,我军训那几天下雨，原本唱的团结就是力量后来教官让我们唱种太阳,198,2019-09-02 13:58
@我要给你两坨子,,全有，我这里天黑了，你那里黑了吗,73,2019-09-02 13:08
@按时吃饭r,,所以你们是喜欢这个瓢泼大雨还是大太阳,83,2019-09-02 13:07
@今日宝藏,,下午撑伞是对雨的不尊重，所以你们……,45,2019-09-02 15:47
@candyshinn,,这不是我们学校吗……,48,2019-09-02 13:25
@友达面馆-南昌店,,,29,2019-09-02 13:06
@投稿,,要不然怎么能叫军训,36,2019-09-02 13:07
@是你的木兮,,哈哈哈哈哈哈哈哈哈后续是然后他们在饭堂军训,44,2019-09-02 14:30
@女人都是流氓,,我好羡慕他们，我宁可淋雨也不愿意面对现在的女朋友，她每天都虐待我,20,2019-09-02 13:06
@荞麦芝士,,哈哈哈哈哈广州朋友说顶着雨棚跑步,26,2019-09-02 13:06
@STRAWBERRYREK,,我寻思我大一军训的时候恰好海南有台风 我们都是淋着雨站军姿的,13,2019-09-02 13:19
@香菜花椒我不可,,你以为有猪瘟你就身价暴涨？,14,2019-09-02 13:06
@豆豆豆子吃火锅沾芥末,,欧，我的母校，师弟师妹好可怜,12,2019-09-02 13:15
@M00Xxxxxxx,,是我太天真,5,2019-09-02 13:06
@圆脸汪,,@Sylvie傻fufu,1,2019-09-02 14:14
@创业未半而中道暴富,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈广州大学 隔壁广美还有跳舞的,21,2019-09-02 13:15
@魔鬼大猪蹄子,,哈哈哈哈哈哈广大后续在线补图,22,2019-09-02 14:55
@快乐收集站ll,,这力量是铁 这力量是刚,6,2019-09-02 13:07
@ka-noom,,哈哈哈哈哈哈哈我们大学,7,2019-09-02 13:31
@赖富贵的小迷妹,,土木的啊，那正常，毕业后去工地搬砖风吹雨淋多着呢,9,2019-09-02 13:09
@勇敢者抗争到底,,请求关注，谢谢！我在上海的住房在我们全家没有签字也没有法院裁决的情况下被暴力强拆了，无家可归流落街头！上海市静安区华兴新城动迁组公然践踏宪法和物权法，在我们没有签字也没有法院裁决情况下，动迁组的暴力殴打劫持拘禁，把我家所有财物洗劫一空把我家房子暴力强拆的行为是不可姑息的！,5,2019-09-02 19:44
@番茄鱼丸子头,,我来放图了！！！！去年我们是真的惨！不过淋起来挺舒服的…就是担心手机…… 评论配图,7,2019-09-02 15:53
@浅央央_,,我们之前军训下雨的时候，大学城校区因为饭堂大而且还有隧道之类的地方，照常训练，我们北校区就因为地方小一下雨就停训,11,2019-09-02 14:38
@辛普森小卷毛-,,@叮叮叮丁小浩,1,2019-09-02 13:34
@老汉叫我卖锅盔,,照样军训 评论配图,7,2019-09-02 18:17
@PeachJamBae,,？@-成天想著玩-,0,2019-09-02 14:29
@明日歌壹玖玖肆,,@Imsadlsts 哈哈哈哈哈哈哈哈哈,0,2019-09-02 13:20
@11II-,,@ijisoo 哈哈哈哈哈,0,2019-09-02 13:12
@周小虫haha,,有伞就不错了,3,2019-09-02 13:07
@限号,,你以为猪肉涨价你就安全了？幼稚！,3,2019-09-02 13:06
@熟悉的烟雨,,卧槽我学校？？,3,2019-09-02 13:23
@木子二又贝er,,我笑死了,2,2019-09-02 13:21
@lycily_,,想起我们军训午休的时候 女生在寝室集体求雨,6,2019-09-02 13:06
@慕樱-,,@ffattt 哈哈哈我那一届广州大学不用军训啊我觉得,3,2019-09-02 17:32
@王渝锋,,四个角的人很惨哦,4,2019-09-02 13:14
@SHEIPAPA,,@Uni·P 太狠了,0,2019-09-02 13:09
@究竟什么叫做敏感词汇,,我就在这学校里军训呢妈的,2,2019-09-02 17:55
@不知名的小网友呀,,哈哈哈哈哈哈哈哈哈哈，可以可以，可以回忆一辈子的青春,3,2019-09-02 13:32
@罗楚君19年要行好运啦,,@爱吃肉的阿米 @一只索大 笑断头,1,2019-09-02 13:35
@杨嘉铭Wayne,,那可不嘛,1,2019-09-02 13:18
@林东宁,,害，看着他们这么辛苦，忍不住笑出声来,1,2019-09-02 13:08
@沙雕萌鹅,,我们清华大学的校友有没有,1,2019-09-02 13:07
@次掉你,,实惨,1,2019-09-02 13:07
@EbVV,,不用军训啦,2,2019-09-02 13:07
@神经病医院保安队长,,抢到了有宝的前排，开心,1,2019-09-02 13:06
@明媚小仙女儿,,说好的你若军训 便是晴天呢？,2,2019-09-02 13:06
@树懒懒ao,,第二,1,2019-09-02 13:06
@晚风也无你也无,,太惨了,1,2019-09-02 13:05
@每一天都是新的废柴,,啊哈哈哈哈太狠了,2,2019-09-02 13:06
@给我一个曼妥思,,土木工程,2,2019-09-02 19:47
@Iriiiiiis_,,@奥莉爱吃奥利奥olivia,0,2019-09-02 14:25
@kilig呀,,@ThreeZe_,0,2019-09-02 14:02
@鸢嬣,,这   真狠啊,4,2019-09-02 13:24
@六元的最爱,,@-Kaauyao尧 我笑了,1,2019-09-02 18:47
@1只faye,,这届的新生最白了红红火火恍恍惚惚,3,2019-09-02 17:14
@晴晴晴天de烊光,,女孩子淋雨对身体很不好的，我觉得没必要。尤其是女孩子生理期,3,2019-09-02 17:06
@是小喜儿呀啾咪啾咪,,我看到了土木工程学院,1,2019-09-03 18:34
@AlmostLkim,,我们华农下雨了还要军训，伞都没有,1,2019-09-03 09:43
@吃橘的啊xi,,暨大大学就不用,1,2019-09-02 21:39
@你注定要发光,,哈哈哈哈哈哈哈广大特产沙雕,1,2019-09-02 21:14
@没有灵魂的一只猪一只猪,,wc我同学拍的,1,2019-09-02 19:23
@散落银河一颗星-,,广大再次喜提热搜,2,2019-09-02 18:53
@未成年穷人蓝若冰,,土木的孩子太可怜了。,2,2019-09-02 18:36
@你有毒啊啊啊哦,,真没必要这个，短短十几天也锻炼不出来什么,2,2019-09-02 15:48
@舟渡DAYTOY,,哈哈哈哈哈哈哈太惨了我们雨天发雨衣军训。。。。,2,2019-09-02 13:25
@TinkyChen,,@李念源 哈哈哈哈哈,0,2019-09-02 13:22
@李子宇的小仙女,,还有点小温馨小浪漫？,2,2019-09-02 13:08
@三横王-,,我的妈耶 太辛苦了,1,2019-09-02 13:06
@识遍了风月连城细雨里空茫,,哇太可怜了，我只能默默的为你们种太阳了,1,2019-09-03 10:52
@你是蛋蛋吧,,浙江大学了解一下？,1,2019-09-03 06:54
@小凡念念lmh,,总会有方法让你军训,2,2019-09-02 21:32
@萌芽forever1314,,请把新征程扣交翠香,1,2019-09-02 20:47
@Lyric-melody,,哈哈哈哈哈哈哈哈过气男网红的出击,1,2019-09-02 20:04
@奥莉仔olivia,,日晒雨淋风雨同舟哈哈哈哈哈牛逼,2,2019-09-02 20:02
@张浩楊,,啊哈哈哈哈哈哈哈哈,1,2019-09-02 19:42
@heyukee,,团结就是你姨娘～,1,2019-09-02 18:30
@林俊杰天下第一,,不是应该唱种太阳吗,1,2019-09-02 17:48
@咩次郎,,幸好我没有考上这所大学,3,2019-09-02 17:21
@入我心海201006,,好惨,1,2019-09-02 17:01
@一只冬移,,我们大学，我的上一届学长学姐们，台风天，继续军训，摔倒在泥潭里，爬起来继续摔,1,2019-09-02 16:46
@Nefermepastoncoeur,,@_Petter_Pan,1,2019-09-02 16:28
@-OHIMXFE,,@zq-徐卓奇,1,2019-09-02 16:26
@阿啡酱,,大雨还在下他们心里好害怕,1,2019-09-02 16:14
@西柚味的夏天耶,,@你是救兵派来的猴子吗,1,2019-09-02 15:58
@嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嗝,,@DrowningInMyLove,0,2019-09-02 15:06
@柠檬蜂蜜也会过期,,@眼屎巴贝儿,0,2019-09-02 14:41
@Bella啦拉啦,,@Cynthialyly 好惨,0,2019-09-02 14:32
@Oykarry,,@OUANGII,0,2019-09-02 14:18
@tiktok沙雕视频,,太狠了 评论配图,0,2019-09-02 13:49
@haruuuuwz,,@-Yoooooogurt-,0,2019-09-02 13:19
@梨花诗真的不饿,,@DiamondDimash 笑晕了,0,2019-09-02 13:16
@伊丽莎绿,,哈哈哈哈哈哈哈哈哈哈哈逃不过逃不过,1,2019-09-02 13:07
@红眼兔子X,,？？？萧敬腾去了？？？,1,2019-09-02 13:07
