User,Reter,Comment,Votes,Time
@三寸小娘_992,,我无语了，别人注册的魔童哪吒，又不是哪吒，能不能不要恶意曲解带节奏？？？,420,2019-09-03 17:04
@昊昱晟晏,,光线这吃相太难看,188,2019-09-03 18:31
@苇牙YOYO,,光线不注册，会有人去抢注的，有些公司就是干这个的,219,2019-09-03 18:35
@luloulou1990,,明天把国庆节注册了是不是大家过节得交费？,203,2019-09-03 16:51
@安琪拉屎呀,,哪吒是大家的，魔童哪吒是人家的,168,2019-09-03 20:57
@喵_小二,,这里体现了双标的可怕，如果光线被抢注的事情发生估计底下评论就是“为什么不提早就注册呢？”,83,2019-09-03 23:18
@幸运守护麦MikeAngelo资源站,,下午愉快,2,2019-09-03 17:21
@娱毒,,趣图评论 评论配图,8,2019-09-03 21:14
@娱毒,,好微博，是老铁用心的杰作！,1,2019-09-03 16:54
@那天与你邂逅的狐狸,,之前华为注册整个山海经的时候，风评可不是这样子的呢，什么属于中华的浪漫说的头头是道的,24,2019-09-03 22:30
@了不起的权,,支持，可惜还是有点晚，你不注册，难道被流氓公司注册呀,4,2019-09-05 21:54
@呢称不可用2580故事会,,封神榜有人注册了吗,3,2019-09-03 20:51
@BeautyMiChele,,我去注册一个孙悟空算了,0,2019-09-04 05:33
@sunny_chen618,,六老师：我以为我的事情过去了说……怎么又被拉出来打,4,2019-09-03 18:36
@蓝天梦遥,,专利这东西，刺激了发展也形成了恶意竞争。立法仍需完善，有些应该不允许注册,2,2019-09-03 22:27
@董鹏鹏_,,图片评论 评论配图,1,2019-09-05 23:44
@予悸里,,有多喜欢才能在一人身上失恋无数次,1,2019-09-05 00:04
@憧憧的未来300,,如果认为这是抢注，看看漫威，你就知道什么叫抢注,6,2019-09-03 22:59
@看不懂多蒙,,,0,2019-09-04 20:50
@我家夏大大,,在这里提醒各位哪吒公司，不用着急，提起商标异议，全部一起提，注册不下来的,1,2019-09-04 18:57
@夏至V风,,1点点奶茶,0,2019-09-03 23:59
@夏至V风,,,0,2019-09-03 23:59
@若楠LOVE,,，,0,2019-09-03 23:28
@loveyouforever520lang,,，,0,2019-09-03 23:13
@未去与过来,,1,0,2019-09-03 23:11
@半杯醉4559,,。,0,2019-09-03 23:07
@kg0519,,好的,0,2019-09-03 23:02
@-靖先森,,。。,0,2019-09-03 22:50
@愺莓没有菋,,支持,1,2019-09-03 22:20
@睡不醒的单身dog,,听说过敬汉卿吗,4,2019-09-03 21:46
@漂亮的爱博7,,没看过呢,2,2019-09-03 21:07
@六森枳荔,,没问题啊，别人带来了这么大的影响力，现在哪吒这个名词就是可以带来经济效益，多少盗版横行？注册个商标怎么了，你不想买就不买呗。,0,2019-09-05 12:32
@_rainforest,,娜吒之魔童出世,0,2019-09-05 09:15
@胖MM19901009,,,0,2019-09-04 22:04
@晚安么么么么哒,,,1,2019-09-04 00:59
@里林23711,,不注册，等着盗版偷钱？看看淘宝多少哪吒的盗版周边了,2,2019-09-04 00:39
@Claudia-xxxF,,呃呃呃呃呃呃呃,0,2019-09-03 23:11
@漢泱然,,还是注册吧，省的被韩国人注册了,3,2019-09-03 22:45
@漂东京桜IOL,,天道轮回。,0,2019-09-03 21:39
@迷者旅途,,哪咤又不是他独有的注册他妈啊。这也能过审。,2,2019-09-03 22:29
@湖北担当哥,,一,0,2019-09-09 12:39
@湖北担当哥,,一,0,2019-09-09 12:05
@爱月亮一辈子,,1,0,2019-09-09 10:43
@语布繁,,注册个商标，他们不注册就会被抢掉了。 ,0,2019-09-08 07:43
@木鬼酱zoey,,哪吒能注册？各大神话人物名称是可以注册商标的？,0,2019-09-07 19:42
@華燈初上_人在街角,,陈浩民张裕野是不是也可以注册,0,2019-09-07 17:35
