User,Reter,Comment,Votes,Time,Count
@东浩君,,现在他们把特区政府砸了我也不关心了,4591,2019-09-02 22:59,1
@莫吃肉,,陈方安生，永不超生。,3536,2019-09-02 22:59,1
@帝都都督,,陈方安生，港独戏精，猪鼻大葱，到处哼哼,2505,2019-09-02 23:02,3
@晴川姐姐,,陈方安生不得安生！,1340,2019-09-02 22:59,9
@正义联合,,那就赶紧陈方安息吧,1290,2019-09-02 22:59,2
@冲浪啊冲浪啊,,安生，不安生。国泰，也不国泰。,750,2019-09-02 22:59,1
@Smile-初衷,,绝对的hanjian行为，太可耻了。,556,2019-09-02 23:00,1
@渡你眉眼与川,,一天不看新闻联播 就浑身难受,373,2019-09-02 22:59,4
@追星有何感觉,,棺木盖，土里埋，全村老小等上菜。,237,2019-09-02 23:00,6
@列宁斯基,,这消息已经听了三个月了,196,2019-09-02 22:59,3
@最诗词,,都不会有好下场，病魔早日战胜他们,138,2019-09-02 23:00,2
@谁还不是个年费会员,,废青会为此付出代价,80,2019-09-02 22:59,7
@天黑去非洲,,央视从什么时候开始每天骂街了，怎么跟怨妇一样！你赶紧动手呀，把他们全抓起来呀，就不相信他们不怕！你们整天叽叽哇哇，真够窝心的！,88,2019-09-03 05:41,1
@在何方是归途,,想换个话题聊，这么久了还没摆平,60,2019-09-02 23:21,1
@他不懂我的心520,,#主播说联播# 看看现在香港的旅游，我是一名旅游从业者，从去年港珠澳大桥开通一直到今年5月，香港火爆的程度，排队过关排三四个小时，吃饭排队排两个多小时，我住在28楼，早上提前40分钟等电梯，依然拿着我28寸箱子爬下来的，可是自从乱港事件发生后，没有人去香港了，香港多少人失去工作了！,38,2019-09-02 23:10,2
@羞答答说我是猪,,不是我杠，这主播这么多天问来问去有意思吗，有效果吗,56,2019-09-03 07:45,1
@甜奶粥,,你问有p用？我都看烦了,59,2019-09-03 08:25,2
@旋旋猫猫,,得了，都喊话两个月了，这招对那边不管用，都是做给内地民众看的，但你这完全没效果，大陆民众会怎么看？怎么笑话你？有想过吗？！,53,2019-09-03 08:05,1
@魏炜萍,,能不上热搜了嘛，看腻了……,48,2019-09-03 07:54,1
@追星有何感觉,,现在做人不能陈方安生。,24,2019-09-02 22:59,6
@喝牛奶大赛冠军,,废青们应该都饿了吧，咱们送点儿猪肉过去给他们吃吧。,22,2019-09-02 23:01,6
@我是小婷_camille,,我们不惹事！但我们也不怕事！,18,2019-09-02 22:59,1
@苏达水,,尝试着让主播们不再照本宣科说时事新闻是个突破，但这样的内容和姿态，略显做作了。不如就找类似“新闻评论员”来。,32,2019-09-03 09:24,1
@白栗16416,,说实话，真的烦了。但又忍不住来看。什么时候大结局？,22,2019-09-03 08:00,2
@小李我爱你啊啊啊啊,,？？？天天发天天谴责，天天说他们？他们能听到？？？,26,2019-09-03 09:01,1
@来自加拿带的电鳗,,天天问，看着都烦，跟营销号似的,31,2019-09-03 08:28,1
@百香果的气息,,卖港求生会下地狱,11,2019-09-02 23:00,2
@奇一果0,,新学期第一课，希望乱港分子学会爱国,14,2019-09-02 23:02,1
@东城维影,,每天问，每天谴责。换个话题吧。,13,2019-09-03 07:43,1
@哥本哈根达斯维达斯沙宣,,成天发这视频有什么用？？？香港那些人谁来看？？谁会来理你？？拿点实际行动出来,22,2019-09-03 00:58,1
@善良小魔女-pitton,,陈方安生你对得起你祖先吗？,6,2019-09-03 08:45,3
@蓉儿Roner,,真的看腻了，没点实质性的解决方式,17,2019-09-03 08:34,1
@甜橘儿-nity,,感觉说的这些话gd根本听不懂,10,2019-09-02 23:20,1
@我的前男友ai,,他们的教材我觉得有必要换,6,2019-09-02 23:03,2
@_Sky_sun,,天天问，天天质疑，天天谴责，快点剧终吧……,10,2019-09-03 08:19,1
@吴玉超,,陈方安息,5,2019-09-03 01:15,1
@_ei丶丶,,我求你别问了 他们不看新闻联播的,10,2019-09-03 10:45,1
@小布条儿,,一句话形容一个人特别不安分 “陈方安生和我一样的安生”,4,2019-09-02 23:01,1
@夜深梦醒,,“央视主播建议 央视主播笑问 央视主播问”整一次就算了天天来？整些虚头巴脑的看多了真的烦,16,2019-09-03 08:28,1
@灬蓜角灬,,人家用激光笔照射驻港部队总部大楼，你们连屁都不敢放一个，天天在新闻联播讲这些废话，有啥子用？内地老百姓这样闹，估计坟上都开始长青草了！做点有用的，不要搞这些名堂，香港人不吃这套！,14,2019-09-03 10:37,1
@周家兵,,大家百度陈方安生就知道她是什么来头。如果有证据证明她卖港求荣，为什么香港执法部门不依法依规抓捕并判决她？这背后的问题，真的看不懂啊。求懂的大神解读一下。,5,2019-09-02 23:08,1
@常威你不是说你不会武功ma,,这么说  香港人能看到吗   估计就大路人看,10,2019-09-03 08:21,2
@Carrilson,,她的先辈还是抗日英烈，真的不要太可耻,8,2019-09-02 23:14,1
@小师妹的圆珠笔,,我只想知道猪肉什么时候降价,4,2019-09-03 12:55,1
@天使猫猫猫_50266,,我不想杠，这新闻联播香港能看到吗？别到头来我们大陆人给这白激动,6,2019-09-03 10:43,1
@清远俊仔01,,现在美国让港毒极限施压警队与特首，全然不顾法治与道德，人性让如此踩踏。美国狗可恨。中国加油，香港加油。,7,2019-09-02 23:38,1
@DEARLEO-miss,,他们有人听得进去？？这些都是说给自己人听的，说得太温柔了就没耐心继续看,4,2019-09-03 09:13,1
@潘舟舟Nea,,出卖香港 出卖自己的灵魂,3,2019-09-03 00:47,1
@小丑辉你给我站住,,香港永远中国听我的好吗,3,2019-09-02 22:59,3
@净翻白眼,,天天怼天怼地的没用,6,2019-09-03 08:28,1
@王一博的甜甜小桃仔,,安生个锤子哦，都要去世了呵呵。,3,2019-09-02 23:32,2
@很難再快樂-,,安生？买港求荣不得安生，终将遭人民唾弃！,3,2019-09-02 23:19,1
@南图至,,教材能不能换了,2,2019-09-03 11:29,1
@Carinawei-wei,,这个陈方安生老太  这么老了还天天搞事情 ,3,2019-09-03 08:28,1
@小泽黛佳,,退一万步讲如果真的打仗了，只有大陆会帮香港好吗，这些废青怎么还不懂？,2,2019-09-03 08:20,1
@小五的故事199305,,支持赞,2,2019-09-03 01:19,2
@花浅觅,,看这些反派何时下线？,2,2019-09-03 01:01,1
@红糖三角ed,,天天嘚啵嘚啵听累了，不行动就少叫嚣，烦。,7,2019-09-03 09:10,1
@Findlay_Lei,,"我不想听蚂蚱了,我想知道猪肉价格啥时候降",3,2019-09-03 09:45,1
@阿七要好好读书,,安生却不安生,2,2019-09-02 23:10,1
@阳光盐巴APA,,又开始谴责了...,6,2019-09-03 07:35,1
@邯郸LYON,,陈方安生不得安生,2,2019-09-02 23:05,1
@蔡文姬,,期待国庆70周年阅兵,2,2019-09-02 23:00,1
@今天你长胖了吗ww,,别问了出台点措施吧 我觉得港独不看新闻联播的,2,2019-09-03 11:26,1
