User,Reter,Comment,Votes,Time
@信号来自太空,,这是野生动物，而且繁殖没有普通小鱼那么快，不谈残忍，这是无视生态的表现，结果最后海豚数量减少之后，还不是要周边国家和全世界为他们的行为买单。,258,2019-09-03 14:08
@人生如戏13429,,选支持的，是日本鬼子的后代吗？,218,2019-09-03 14:00
@科技jun,,这也太残忍了吧,63,2019-09-03 14:02
@如果花生会唱歌,,海豚好像数量也不多吧。这样。。。真的可以么。而且海豚那么可爱。。。。,51,2019-09-03 14:19
@一只怪咖w,,太残忍了，动物的命就不是命吗,22,2019-09-03 14:06
@月亮坝下耍弯刀,,不管什么表态都没用。,20,2019-09-03 14:07
@Whale-Fall-z-j,,日本人还有啥不吃的？就差吃人了吧………真的觉得变态,11,2019-09-03 14:27
@拉布-NewGate,,只要不是濒危物种，适度捕杀是可以的，就好像虎鲸会捕猎海豚一样，人也是生物圈的一份子，不过分就行,9,2019-09-03 14:42
@陳可微微微微微,,海豚那么可爱 为什么要杀豚豚 嘤嘤嘤,9,2019-09-03 14:09
@阿卡索资讯,,太残忍了！！！,1,2019-09-03 15:11
@风存梦影,,选择支持的那些人，不知道有没有百度过,6,2019-09-03 15:03
@我是最辣的女孩,,为什么没有组织可以管？联合国那些不能管吗？日本人真是丧心病狂，希望这些渔民赶快死了诛九族，把他们的肉丢到大海喂鲨鱼,5,2019-09-03 14:40
@青野言道,,我怎么记得我国政府是赞同的呢？,6,2019-09-03 14:06
@Hi密斯邓,,反对，太残忍了，整片海都是红色，隔着屏幕都能闻到血腥味，反对，反对，强烈反对！！！！,8,2019-09-03 14:07
@沐陽Yi,,已经被曝光好多次了！！,6,2019-09-03 14:06
@小娘子美呀,,我看那个纪录片看哭了，没人性的屠杀,3,2019-09-03 16:31
@超级爆爆龙w,,谴责,1,2019-09-03 14:03
@春日里的回忆h,,害，我们在这争论这些残不残忍的问题，那人家小日本又不会管我们，而且评论区里有些人还吵起来了，真没必要,1,2019-09-03 16:32
@呀_你也冲浪呐,,推荐各位看一看《海豚湾》这部电影，豆瓣评分很高的,1,2019-09-03 16:11
@张较瘦爱飙车,,关键是我们在微博上再反对。。。小日本还是照样捕杀,2,2019-09-03 14:49
@jhoneys,,之前报道日本捕猎海豚的时候有人说相当一部分是中国收购的，不希望中国参与，看到日本也要看到自己,0,2019-09-03 20:35
@方才的方才,,不支持,0,2019-09-03 16:30
@微光光光光光光光光光光光光,,反对，但不是因为太残忍,0,2019-09-03 15:33
@江南皮革厂CEO大老板黄鹤,,日本鬼子赶紧死绝了算了,1,2019-09-03 20:56
@阳光阴YGY,,去看看《海豚湾》！！！,2,2019-09-03 15:03
@小玉面狐仙,,感谢为未来人类灭绝的道路上，日本做了巨大的贡献。,2,2019-09-03 14:42
@梦中情人王靖雯,,海豚湾没有海豚了。,2,2019-09-03 14:27
@陳可微微微微微,,不支持,1,2019-09-03 14:08
@这是一颗想抱熊猫的小红豆,,鲸类属于海洋杀手，它们吃的鱼远超人类吃的。而且到处跑，吃遍了全球。鱼都让给鲸了人吃啥？渔民靠啥活？日本捕杀鲸类某方面看来是个好事，总比咱们自己动手强，坏名声让日本承担，周边所有国家跟着闷声享福。我支持限量不支持滥杀，物种灭绝对谁都没好处。顺便说一句，在捕鲸协会上中国投了支持票。,1,2019-09-03 18:03
@赵弘仪,,我们反对又能怎样呢？？无能为力,4,2019-09-03 14:01
@小鹿豌豌,,怀疑那些说支持的就是平时虐猫虐狗报复社会的沙雕吧,1,2019-09-03 15:00
@你野哥啊,,我们先把玉林屁股擦干净吧,2,2019-09-03 14:43
@煮不熟的小虾米,,捕杀鲸鱼与海豚，对于经济来说是好的，但是对于生态来说，无疑是毁灭性的。食物链的部分缺失，会造成整个生态系统的破坏，人类的一个小举动，就会对其他生命造成毁灭性的打击，去看看寂静的春天吧，保护好保护好我们的家园,1,2019-09-03 14:27
@yang小小茜-,,很多人都说 日本当地人有礼貌之类的 但背后做残忍血腥的事,1,2019-09-03 14:17
@加油_陶太郎,,之前有个纪录片，叫海豚湾，他们吃了这些肉，后果就是体内重金属残留，学校有的都是被逼吃的，校长也无奈，祸害下一代嘛,1,2019-09-03 14:17
@用户不悦8888,,支持的那几个是什么想法,1,2019-09-03 14:02
@Crush_y1,,点错了！！！！！！我要点的是反对,1,2019-09-07 21:04
@一面明媚一面阴霾,,太变态了，这么聪明可爱充满灵性的动物也下得去手,0,2019-09-06 13:15
@带带杰洛特i,,不是因为海豚鲸鱼轰炸了广岛吗,0,2019-09-06 11:44
@国士无双09423,,慢慢减少数量同时考虑给当地人民找到新的经济增长点,0,2019-09-05 15:39
@ABC70之月牙弯弯,,我他妈不支持有用吗？人家也不听我的啊，我不能决定，也没能力杀了那群破坏生态的人，买卖这一环节更没参与过。所以，以后再也不想看这类新闻了，看了除了让自己糟心别无他法,0,2019-09-04 08:22
@树下种瓜,,看过海豚湾的人应该都会反对吧，太残忍了,0,2019-09-03 20:39
@th1stle,,建议看一下海豚湾里的日本人是怎么屠杀海豚的,0,2019-09-03 20:12
@Q排骨同学,,,0,2019-09-03 19:35
@我又回来了玩微博,,中国仍在吃鱼翅，日本仍在杀海豚,0,2019-09-03 18:32
@守护麻友友TB,,这是对自然界的破坏  强烈反对 伤害我们的动物朋友,0,2019-09-03 16:22
@Amanda宋小姐,,日本人太血腥了，直接让他灭亡，那些杀海豚吃海豚的人都下十八层地狱，油煎炸,0,2019-09-03 16:21
@Hey_大寕,,反对！！！！！！！！！！！！！！！！,0,2019-09-03 16:06
@Hey_大寕,,为什么要捕杀海豚。。。,0,2019-09-03 16:05
@无乃李,,支持的心态是有病么,0,2019-09-03 15:39
@我只想改个用户名,,一部纪录片叫海豚湾讲的就是日本人杀海豚，太残忍了，小日本,0,2019-09-03 15:30
@Luhan的歌,,他们是没有别的生存方式？,0,2019-09-03 15:02
@跳什么舞,,海豚是高等动物。和猩猩 人类都是高等动物。有了基本的思想,1,2019-09-03 15:00
@Kar-Jac,,海豚湾还是唤不醒装睡的人,0,2019-09-03 14:56
@行测申论不到79不改名,,海豚能吃吗？,0,2019-09-03 14:53
@顶端尖尖,,强烈推荐大家去看那个纪录片，就叫《海豚湾》，因为日本禁止进入太地町拍摄，很多画面都是他们团队冒着危险非正式拍摄的，十分纪实。而且日本还借口说“我们是用于科研”。,1,2019-09-03 14:52
@ChrisMendes,,海豚湾的纪录片，一大批人都没看过，还在这儿瞎喷，看完就知道禁止是为什么了，那不是一般的残忍灭绝人性,1,2019-09-03 14:48
@阿离-2019,,限制捕捞,0,2019-09-03 14:45
@庞誉Max,,所以明年地震海啸光顾日本不是没有道理的，当作是报应就行了,0,2019-09-03 14:42
@炒鸡动的吼吼,,,0,2019-09-03 14:33
@芒果的星期9,,这跟我有什么关系,0,2019-09-03 14:30
@介个人很懒,,我身边就走一个人，女儿嫁到日本了，天天说人家日本多好，素质多高，呵呵,0,2019-09-03 14:29
@小镇在此,,支持的人是怎么想的,0,2019-09-03 14:27
@胖北要变小瘦北,,我现在还记得纪录片海豚湾的那被血水染红的海滩！残忍！,1,2019-09-03 14:24
@易易--小肿,,,0,2019-09-03 14:23
@甜梨先生2375,,反对的话 他们就不捕了吗？,0,2019-09-03 14:20
@碧影若清,,建议一味骂的人好好查一查 日本人猎杀鲸鱼和海豚 到底是用来干什么的,0,2019-09-03 14:17
@AgliaLYJ,,70多年的传统,0,2019-09-03 14:14
@Alex_cola,,海豚有毒,0,2019-09-03 14:12
@咸鱼一条啊哈哈哈,,这不是犯法吗！,0,2019-09-03 14:11
@另请高明吧-,,太残忍了 看过海豚湾 真心讨厌日本这个国家,0,2019-09-03 18:47
@金钱豹子3,,反对捕捞,0,2019-09-03 16:36
@暴走小战车,,小须鲸类并不是什么濒危的 适当捕杀有利于近海渔业,0,2019-09-03 15:13
@小乔大乔入我怀,,猪也有生命，鸭也有生命，为什么我们还要吃肉？双标狗，吃的时候还不忘添饭,0,2019-09-03 15:02
@莱美大药房,,#日本海豚湾进入血腥捕猎季# #男人十二时辰# 没有买卖就没有杀害,0,2019-09-03 14:30
@爱哭鬼蕾,,我忘记在哪里看见的，其实日本并不是唯一一个捕杀鲸鱼的国家，也不是捕杀鲸鱼最多的一个国家，而海豚湾的纪录片本身就有黑化的意思。,2,2019-09-03 14:24
@Crush_y1,,点错了！！！！！！我要点的是反对,1,2019-09-07 21:04
@一面明媚一面阴霾,,太变态了，这么聪明可爱充满灵性的动物也下得去手,0,2019-09-06 13:15
@带带杰洛特i,,不是因为海豚鲸鱼轰炸了广岛吗,0,2019-09-06 11:44
@国士无双09423,,慢慢减少数量同时考虑给当地人民找到新的经济增长点,0,2019-09-05 15:39
@丰草落英,,看过日本捕鲸杀海豚的视频，太血腥暴力了。欧洲那些动物保护机构应该加大对日本的谴责与骚扰。,0,2019-09-04 08:46
@ABC70之月牙弯弯,,我他妈不支持有用吗？人家也不听我的啊，我不能决定，也没能力杀了那群破坏生态的人，买卖这一环节更没参与过。所以，以后再也不想看这类新闻了，看了除了让自己糟心别无他法,0,2019-09-04 08:22
@江南皮革厂CEO大老板黄鹤,,日本鬼子赶紧死绝了算了,1,2019-09-03 20:56
@Crush_y1,,点错了！！！！！！我要点的是反对,1,2019-09-07 21:04
@一面明媚一面阴霾,,太变态了，这么聪明可爱充满灵性的动物也下得去手,0,2019-09-06 13:15
@带带杰洛特i,,不是因为海豚鲸鱼轰炸了广岛吗,0,2019-09-06 11:44
@国士无双09423,,慢慢减少数量同时考虑给当地人民找到新的经济增长点,0,2019-09-05 15:39
@丰草落英,,看过日本捕鲸杀海豚的视频，太血腥暴力了。欧洲那些动物保护机构应该加大对日本的谴责与骚扰。,0,2019-09-04 08:46
@ABC70之月牙弯弯,,我他妈不支持有用吗？人家也不听我的啊，我不能决定，也没能力杀了那群破坏生态的人，买卖这一环节更没参与过。所以，以后再也不想看这类新闻了，看了除了让自己糟心别无他法,0,2019-09-04 08:22
@江南皮革厂CEO大老板黄鹤,,日本鬼子赶紧死绝了算了,1,2019-09-03 20:56
@树下种瓜,,看过海豚湾的人应该都会反对吧，太残忍了,0,2019-09-03 20:39
