User,Reter,Comment,Votes,Time
@啵的腰果虾仁,,帅哥永远是挡不住他的光哒 评论配图,20,2019-09-02 20:17
@陪哥哥一起躲猫猫的子陌,,没错，还是我，前排,7,2019-09-02 20:15
@北北老婆,,清清爽爽大学生,7,2019-09-02 20:17
@澈野,,易烊千玺 评论配图,9,2019-09-02 20:18
@宝北的小朵儿,,白鞋子的少年易烊千玺,6,2019-09-02 20:16
@我千很忙你要乖,,我的宝贝是天使,6,2019-09-02 20:20
@四个字的烊烊,,易烊千玺 评论配图,3,2019-09-02 20:31
@L-Y-2019,,清爽的大学生,1,2019-09-02 22:35
@M啵M-koss,,白球鞋？,2,2019-09-02 22:00
@千玺的六个小核桃,,没有和他不搭的颜色,3,2019-09-02 21:55
@帅小孩555,,哥哥鞋的价格都是我无法企及的,2,2019-09-02 20:36
@一起数烊烊,,易烊千玺易烊千玺易烊千玺,3,2019-09-02 20:32
@易颗糖呀i,,话不多说好看,3,2019-09-02 20:25
@少年回头望笑我还不赶快跟上,,想要同款～,2,2019-09-02 20:41
@留歪歪呀,,我的宝贝是天使,1,2019-09-02 23:02
@易玊尔D,,,1,2019-09-02 21:46
@唯1De鹿,,一如既往的帅,1,2019-09-02 20:20
@团鹤团蟹团圆_暮挽心1106,,宝贝 你为什么介么帅,0,2019-09-03 09:50
@王中王一玺,,霸道总裁不见了，剩下一只可爱的海绵宝宝 评论配图,0,2019-09-03 00:17
@王中王一玺,,霸道总裁不见了，只剩下一只可爱的海绵宝宝,0,2019-09-03 00:09
@烊是甜心小丸子,,易烊千玺,0,2019-09-02 23:59
@易烊千玺的铁头i,,每套穿搭都超爱@TFBOYS-易烊千玺 ,0,2019-09-02 23:53
@十一58,,超级干净的他配上超级干净的小白鞋，嘻嘻,0,2019-09-02 23:10
@井玺_,,校园里最帅的少年,3,2019-09-02 21:29
@小小猪爱睡懒觉lucky,,1和7，2和6是同一天一个活动,0,2019-09-02 20:34
@千玺的小胡子巴啦,,易烊千玺好帅,2,2019-09-02 21:58
@玺哈西哈嘻嘻哈哈,,太酷了我玺,2,2019-09-02 20:39
@恒温动物x,,易烊千玺 评论配图,1,2019-09-03 09:52
@一生注定凯源玺,,千玺好帅,1,2019-09-02 21:14
@陪哥哥一起躲猫猫的子陌,,我要认真评论了！！话说p6烊烊穿的鞋和上个微博p8凯凯穿的是同款么！？,2,2019-09-02 20:22
@受伤也有形,,,1,2019-09-03 08:23
@涛声飞扬58083,,,0,2019-09-03 08:10
@添福宝199109,,好帅,0,2019-09-03 06:37
@我们的信仰不忘初心,,#明星有多少双白球鞋#  易烊千玺穿上白球鞋，清爽又时尚，这样的帅哥走在哪里都能吸引人目光,1,2019-09-03 00:10
@爱吃芝士的sophie,,弟弟怎么都好看,0,2019-09-02 22:34
@黄婷君0725,,转发微博,0,2019-09-02 20:22
@想和哥哥滑滑梯,,椰子啊,0,2019-09-02 20:16
@噶讨厌,,易烊千玺太帅了,1,2019-09-02 20:17
@别叫我唉,,超爱四字弟弟,1,2019-09-02 20:17
@张大仙儿啊呀,,少年模样,1,2019-09-02 20:17
@快手八十一卦大全,, 帅哥永远是挡不住他的光哒 评论配图,0,2019-09-06 10:14
@仲冬贰拾捌-,,易烊千玺,0,2019-09-03 10:04
@不頭腦和沒高興_,,是我的男孩了,0,2019-09-03 00:06
@-A几木JIMU-,,哈哈哈哈哈哈,0,2019-09-03 00:01
@搭配的日常,,易烊千玺真帅,1,2019-09-02 23:56
@橙子开花,,好奇他要自己洗鞋子吗？,0,2019-09-02 23:13
@小易的千纸鹤M,,我们烊烊脚脖子好细  好好看,0,2019-09-02 22:57
@我没有_xxxx_,,哥哥帅气,0,2019-09-02 22:32
@越力努越幸运,,清爽又时尚,0,2019-09-02 20:17
@Murray_Spurs,,易烊千玺好乖,0,2019-09-02 20:17
@Joan世界2000,,清新帅气有活力,1,2019-09-02 22:21
@A喽歪歪,,我的宝贝是天使,1,2019-09-02 22:19
@偶妮腻,,,1,2019-09-02 22:04
@I-miss-you321,,是他是他，就是他 评论配图,1,2019-09-02 21:36
@七月小橙子,,帅气小哥哥,0,2019-09-03 10:48
@Majestic烊,,我爱哥哥,0,2019-09-03 10:17
@i-枫林晚,,帅气崽崽,0,2019-09-03 10:01
@咱烊的艳芬吖,,啊啊啊啊啊好好看的千玺啊,0,2019-09-02 22:37
@另一个豆儿,,,0,2019-09-02 22:37
@圆润的卤蛋,,易烊千玺,0,2019-09-02 21:24
@可米舟,,我看你有眼光滴很,0,2019-09-02 21:00
@李易什么千玺嘿,,我爱,0,2019-09-02 20:57
@易哒谙烊,,这恐怕是天使吧,0,2019-09-02 20:49
@易哒谙烊,,世上最好的易烊千玺,0,2019-09-02 20:48
@凌淩零灵嘻嘻嘻,,帥！！！！,0,2019-09-02 20:34
@濂溪清浅,,清爽少年,0,2019-09-02 20:22
@万家落,,爱了爱了啊,0,2019-09-02 20:19
@shinhwa橙子09497,,一如既往帅,0,2019-09-02 20:18
@天空出现了彩虹,,特别喜欢好帅气。,0,2019-09-02 20:18
@酒浓情伤1358,,真的超帅！,0,2019-09-02 20:18
@地瓜滴爸,,一如既往帅啊,0,2019-09-02 20:18
@白浅浅陌,,帅气逼人啊,0,2019-09-02 20:17
@青衣漫扬,,清秀，有活力,0,2019-09-02 20:17
@鹿花521,,好帅呀,0,2019-09-02 20:17
@没人伴的哇,,那必须的,0,2019-09-02 20:17
@梦想从这里开始1234,,白白的不错,0,2019-09-02 20:17
@逢人不必多言,,太帅了，又有气质,0,2019-09-02 20:17
@全是一场梦,,易烊千玺好帅啊,0,2019-09-02 20:17
@思思念念2016,,青春活力,0,2019-09-02 20:17
@__七月月,,啊啊啊千玺好帅,0,2019-09-02 20:17
@橙味小狐,,帅气哥哥啊,0,2019-09-02 20:17
@Healing_1214,,哈哈易烊千玺真的帅,0,2019-09-02 20:17
@有内双的奔波儿灞,,大喊一声我可以,0,2019-09-02 20:17
@不可思议8888,,太帅了,0,2019-09-02 20:17
@豆芽值得买,,真的太帅了,1,2019-09-02 20:18
@爱玺易生易世1314,,啊啊啊啊,0,2019-09-03 09:51
@人生几何121888,,6666,1,2019-09-03 06:51
@mmmm大脸猫mmmm,,穿上小白鞋，玺子哥就是最靓的仔,0,2019-09-02 23:54
@等待中的你2333,,喜欢第三张蹲着的红衣少年,0,2019-09-02 23:10
@做个俗俗的人,,@TFBOYS-易烊千玺 小白鞋不同穿戴之玺子哥篇,0,2019-09-02 20:50
@芸千芸玺,,,0,2019-09-02 20:18
@菲儿胖胖,,我们最美好的少年@TFBOYS-易烊千玺 ,1,2019-09-02 23:34
@含0609,,帅帅哒,0,2019-09-02 22:53
@小易和小温,,啊啊啊啊好帅,0,2019-09-02 20:36
@小绵羊452423,,真好看,0,2019-09-02 20:17
@用户辛月1987,,喜欢，易烊千玺,0,2019-09-02 20:17
@快手八十一卦大全,, 帅哥永远是挡不住他的光哒 评论配图,0,2019-09-06 10:14
@七月小橙子,,帅气小哥哥,0,2019-09-03 10:48
@Majestic烊,,我爱哥哥,0,2019-09-03 10:17
@仲冬贰拾捌-,,易烊千玺,0,2019-09-03 10:04
@i-枫林晚,,帅气崽崽,0,2019-09-03 10:01
