User,Reter,Comment,Votes,Time
@天真说小哥我还要,,我也不想要穿Bra呜呜呜呜呜呜呜我也想解放自己 ,2273,2019-09-03 11:16
@拥有帅气脸蛋的人,,菊姐slay！！！,1083,2019-09-03 11:17
@李比童,,女性穿bra很大一部分是更卫生健康吧。,487,2019-09-03 11:15
@路遇少年失了心,,支持我菊姐  从取悦自己开始,543,2019-09-03 11:19
@我男神彭于晏1,,菊姐真的很牛呀,328,2019-09-03 11:20
@天真说小哥我还要,,大夏天的 热到融化 谁想要穿bra啊哭了,267,2019-09-03 11:19
@今天为姐打鸣了嘛,,和菊姐一起接受挑战吧,165,2019-09-03 11:20
@菊豆的扭蛋,,菊姐太酷了！ 穿衣自由是21世纪女性都应该追求的！支持BA挑战 评论配图,118,2019-09-03 11:22
@今天为姐打鸣了嘛,,和菊姐一起支持BA挑战 ！真实的女性力量，是从取悦自己开始。 评论配图,116,2019-09-03 11:19
@我并不是很想说话,,菊姐真的太牛了,58,2019-09-03 11:18
@王达达TYP,,有没有 1？想在菊姐这找1 评论配图,50,2019-09-03 11:26
@王菊的不称职粉丝,,解放胸部 穿衣自由这才是真实女性力量，只为了取悦自己，无关乎旁人的眼光,36,2019-09-03 11:24
@瓜宁,,姐妹们不要再用那么厚重那么紧的bra束缚自己啦！胸部的美丽是来源于自信和健康，不是为了迎合别人的想法哦！,37,2019-09-03 13:13
@Kanfleag,,呜呜呜我不穿我不穿,29,2019-09-03 11:19
@天真说小哥我还要,,#BA挑战#  取悦自己 从解放自己开始,19,2019-09-03 11:20
@Ww_小莹,,真的特别喜欢菊姐呀,14,2019-09-03 11:20
@-清盐-949-,,不是说不穿的话会下垂？？,15,2019-09-03 11:19
@罐罐粉呀,,支持菊姐,6,2019-09-03 11:18
@是记录甜甜的小号,,菊姐酷酷哒,11,2019-09-03 11:16
@ReviewNew,,超开心，抢到首赞 评论配图,13,2019-09-03 11:14
@每天都要喝可乐啊,,我就知道菊姐最牛了,10,2019-09-03 11:22
@梦里弹琴心不乱,,也太释放自己了吧，菊姐也太牛了,7,2019-09-03 11:18
@周星星End,,跟着菊姐一起解放 评论配图,21,2019-09-03 12:01
@哈喽胖大星,,菊姐，真的我爱了,7,2019-09-03 11:15
@王菊的不称职粉丝,,我愿意！我愿意！和你一起@王菊,6,2019-09-03 11:25
@Always_any,,姐,4,2019-09-03 11:15
@猫咪叫三声陌生人,,bra有时就像刑具,8,2019-09-03 11:58
@顾惜无忘,,一起和菊姐参与挑战吧,3,2019-09-03 11:19
@王龙龙的小心情,,菊姐的确是越来越给力了。,2,2019-09-03 11:42
@保定小姐姐,,咱们菊姐棒棒哒,2,2019-09-03 11:20
@青春温柔相待,,菊姐真棒,2,2019-09-03 15:25
@三分比上篮准,,不穿久了会不会下垂......,1,2019-09-03 13:47
@TEENS--,,支持菊姐,1,2019-09-03 13:33
@王达达TYP,,回复@飙车狂魔企鹅酱 的表态:想要老公,1,2019-09-03 11:34
@小萝莉王瑜菲,,菊姐越来越牛啦！,2,2019-09-03 11:28
@腊鸡微薄今儿个d闭了吗,,支持！我真的很羡慕a或b胸的姐妹，如果我b胸，谁也别想让老子戴罩。靠北，d胸是真的流汗烦到要死，走路跑步颠的要死,5,2019-09-04 01:10
@安联球场的更衣室,,希望胸罩能变成一件可有可无的装饰物。完全合适的胸罩很难遇到，而胸罩带来的勒痕让人十分不适，还增加副乳、乳腺癌的风险。让人在国内也能放心享受nobra的快乐吧！,5,2019-09-03 16:50
@_Yune_,,我的妈！菊姐太slay,3,2019-09-03 11:23
@是七分,,菊姐厉害了，支持菊姐 评论配图,1,2019-09-03 11:19
@就业再下岗的伟人K,,@AJ的甜甜圈 菊姐厉害啊,1,2019-09-03 11:18
@土味少女莫得感情,,我已经很久没穿bra了,2,2019-09-03 14:21
@_Cattitude,,国外的女明星上街很多都不穿bra，nipple就凸着，特羡慕，我都不敢这样，怕被人指指点点,5,2019-09-03 11:43
