User,Reter,Comment,Votes,Time
@大姨妈,,,129,2019-09-03 16:42
@沙雕信箱,,愿平安！,113,2019-09-03 16:49
@少女甜句,,,51,2019-09-03 16:40
@点点粉星,,,56,2019-09-03 18:30
@期货了解一下,,愿平安,35,2019-09-03 09:32
@贞子飘飘过,,,23,2019-09-03 16:57
@iBingo,,唉，又是一群英雄,15,2019-09-03 18:44
@山茶吗,,,9,2019-09-03 16:36
@I-AM-CUTE-GUY,,希望平安无事,6,2019-09-03 18:32
@Yuboo啦,,平平安安比什么都重要,1,2019-09-03 22:26
@语哥,,在外注意安全,4,2019-09-03 16:39
@为你熬夜,,,3,2019-09-03 16:46
@是小袁哇,,,1,2019-09-03 17:04
@龙宝宝萌大眼,,愿，往后余生无病无痛无灾无难！,0,2019-09-03 23:43
@MM20160606,,,0,2019-09-03 23:35
@淘宝京东天猫赶集凡客,,愿平安,0,2019-09-03 23:05
@拓跋逸逸,,注意安全啊。唉…,0,2019-09-03 22:40
@彭芃耶,,平安！,0,2019-09-03 22:34
@布丁是我的小心肝呀,,愿平安,1,2019-09-04 00:26
@与李敏镐恩恩aiai,,愿平安 渔业就是靠天吃饭 辛苦,1,2019-09-03 20:04
@千千万万MXH女孩之一,,安息，大海还是恐怖,1,2019-09-03 18:48
@兔子大运赞赞赞,,,1,2019-09-03 18:28
@阿噜哩哦哈,,,0,2019-09-04 01:40
@Lillian康小康,,很心酸,0,2019-09-04 01:35
@我是刘好看啊,,愿平安,0,2019-09-04 01:24
@白日梦想家哦一西,,愿大家平安,0,2019-09-04 01:15
@橘妹真好看啊,,,0,2019-09-04 00:59
@米糯糯201708,,,0,2019-09-04 00:52
@Elina暖暖,,,0,2019-09-04 00:50
@ye官晓婷,,平安,0,2019-09-04 00:23
@听说小呆是锦鲤,,我的天哪，两个家庭啊,0,2019-09-04 00:23
@竹子加大,,,0,2019-09-04 00:11
@yaoyaoayaoyao,,,0,2019-09-03 23:56
@高高xxx,,,0,2019-09-03 23:51
@EXO_小狼,,,0,2019-09-03 23:49
@演讲的猫咪,,,0,2019-09-03 23:48
@马上取关别着急,,,0,2019-09-03 23:41
@有点赫了,,愿安，4月中旬去东极旅游，船员和渔民都很好，会热心解答，因为一个人旅游会特别关照我开船时间要及时赶到,0,2019-09-03 23:12
@杜兰特我爱你我爱你kd,,,0,2019-09-03 23:08
@正在跑向W同学的K同学,,一路走好,0,2019-09-03 23:07
@薇薇安-高,,两位走好,0,2019-09-03 22:30
@uuuuulia,,,0,2019-09-03 22:29
@Aiaiaiang,,,0,2019-09-03 22:28
@画与桔,,愿平安,0,2019-09-03 22:28
@萌爱乔,,,0,2019-09-03 22:27
@奥斯尔,,祈福。别有事。平安回家。,0,2019-09-03 21:30
@星星闪耀着亮晶晶的光芒,,好可惜,0,2019-09-03 21:27
@今天是热爱科研的CC吗,,,0,2019-09-03 20:23
@我喜欢南方因为我怕的,,没看懂，这不都穿了救生衣吗？,0,2019-09-03 19:43
@酷爱猫咪的我,,,0,2019-09-03 19:36
@一只宅版,,唉,0,2019-09-03 19:34
@沉静如昔,,谢谢你们曾经努力营救，来过，你们永远与爱同在,0,2019-09-03 19:30
@草莓味的grace_fay,,,0,2019-09-03 19:29
@在眺望着你,,曾是船员的我看到这条微博很痛心，一路走好兄弟,0,2019-09-03 19:26
