User,Reter,Comment,Votes,Time
@北美吐槽社,,梁振英时期要改国民教育，他们就上过街了。,478,2019-09-03 09:50
@一罐笑颜,,香港和内陆其实走了两个极端，香港教出来的是过于反叛，叛逆，而内陆教出来的童鞋过于顺从甚至愚中，容不得他人说一丝缺点，没有思辨和批判精神，历史书上对于某些敏感时期也是草草带过，闭目塞听，只歌颂，不批判，这点离香港教育就差远了,251,2019-09-03 09:51
@幽篁君,,如果我们中小学的教材能普及到港的中小学，或许是一次质改变。起码能让香港的青少年知道中国有今天的成绩来之不易。。。,142,2019-09-03 09:51
@高昊然,,梁振英时期要改国民教育，他们就上过街了。,63,2019-09-03 09:50
@梦泪曦,,慢慢就和大陆教材一样了，过渡期而已，谁也翻不了天。现在是两制，那是看得起你，一制你照样没辙。国际？任何国际都是白给,71,2019-09-03 09:52
@白马黄沙,,主要的事情说三遍：除了驻军，还必须夺回教育，司法，新闻三块阵地，否则渔村仍将离心离德！！！,77,2019-09-03 10:02
@大嘴发言人,,看过一本通识教材，现在还说中国内地有农业税，其实早在2006年就取消了,39,2019-09-03 09:51
@炕头上的炕席,,闹一闹就会有糖吃？不要再惯着他们啦，，内地把门守好，拒绝一个废青进入内地，不要污染我们内地！,39,2019-09-03 09:53
@江宁百年耻犹在,,大陆的教育确实也存在不足之处，但是香港的教育万万不可，思辩和反抗精神当然要有，但不等同于香港这种闹独立，摇美英国旗，甚至叫嚣要重新做殖民地！你可以对政府有意见，甚至反抗，但爱国和维护国家统一必须的，也是责任，不然就是千古罪人！,42,2019-09-03 10:08
@谢怜,,现在改？哈哈哈哈哈,11,2019-09-03 09:50
@深夜胖虎,,现在改？哈哈哈哈哈,14,2019-09-03 09:50
@渡你眉眼与川,,现在改？哈哈哈哈哈,12,2019-09-03 09:52
@聂寒鞅,,其实谁都知道，现在没办法只能说实话了。,8,2019-09-03 09:50
@TimeMachien,,自从追了这部剧，三观真的被颠倒,10,2019-09-03 09:51
@RhythmD,,现在改三十年后才有效果，早去干嘛了？？？？,4,2019-09-03 09:55
@真善美地说,,港人治港难治理，动不动就人权要自由要诉求，一群废青，这样下去香港沦为中国的三四线城市了,5,2019-09-03 10:01
@罗熙姨母一号番茄酱,,谁改,4,2019-09-03 09:50
@颍川谢宝树,,过去支持“反国教”的内地人全是白痴，没有例外！,9,2019-09-03 09:51
@vicky薇萋,,要改，然后又上街反对吗……,4,2019-09-03 09:51
@曾珣51957,,不只是要改，而且是绝不容许不改！同为血浓于水的同胞，就是要对自己的祖国全面了解！,5,2019-09-03 09:55
@VICI维途国际,,出了问题才意识。。。,2,2019-09-03 10:38
@朱洵,,香港要用重典，动大手术才有得救！,2,2019-09-03 10:41
@南沙群岛WJG,,香港的教育必须得改。否则只能培养出乌合之众。,2,2019-09-03 10:00
@XieDell,,闹吧！这就是香港的文化大革命……闹个10年，然后再拨乱反正………,3,2019-09-03 09:59
@小扣柴扉的夏天,,反华教材编撰者禁止出境、内地缺席判决教唆罪入内地可逮捕、向香港亲中学校提供内地教材、使用反中教材学生在内地入学、求职、在香港中资机构都必考中国历史、香港学校学生会学生一律不得招聘……等等，有那么多可以做的事20多年却全都没做。,7,2019-09-03 09:58
@小镜Vinna,,笑死了…,1,2019-09-03 09:53
@我有点神神叨叨,,他们不上学貌似也耽误不了我们的学业,2,2019-09-03 09:59
@萌萌-201703,,从这次暴乱可以看出，国民教育的必要性和迫切性，否则这次暴乱不会是最后一次，并且会越来越多，希望国家的中央政府必须大力推进爱国教育课，不惜一切代价的推进，晚推不如早推,2,2019-09-03 20:10
@木木成林燕在中,,有一堆反对派的议员，当时要改教材不是就被否决了吗，现在要如何搞？？,1,2019-09-03 12:29
@斯人若彩虹兮遇见方知有,,香港的制度有问题，必须改！,1,2019-09-03 10:20
@圆圆小火车是amao的,,今天刚学，这是教育的负向功能。由于教育和政治，经济发展不相适应，教育者的价值观念和思维方式不正确，教育内部结构不合理等因素，使教育在不同程度上对社会和人的发展起阻碍作用。,2,2019-09-03 18:19
@朱俱婆说,,那叫偏颇？看来，校长的认识也不咋样,3,2019-09-03 09:54
@Spidey-L,,猪撞树上了你知道要拐了,2,2019-09-03 09:52
@渴不渴以再,,记得当时全港明星上街游行反对国民教育，包括一些大明星，周润发，容祖儿，twins，等等等等,1,2019-09-03 20:28
@寰宇星痕GC,,台湾的教科书更严重，也是黑中国。有慢慢把中国史列为世界史一部分的趋势，强调台湾本土史。一本历史书一半讲台湾史。渐进洗脑台湾年轻人，让其内心就认为自己是台湾人不是中国人。,2,2019-09-03 11:10
@考马斯亮蓝君,,需要老师吗，我我我，我可以当一个很好的很有感染力的爱国教师。请求出战,0,2019-09-04 01:22
@狮子座的樱,,还有，爱国教育。,0,2019-09-03 19:15
@水大鱼大鸿蒙激荡三十年,,警惕废资（资本主义）给废青出钱,0,2019-09-03 13:40
@來一da芥沫,,其实这次香港动乱，其实算是把香港大家不知道的很多都暴露出来了，至少是广而告知了，以后就看如何整改～,0,2019-09-03 13:26
