User,Reter,Comment,Votes,Time
@喝牛奶大赛冠军,,武磊哥说两年够了！！！国足加油！！！,595,2019-09-04 08:56
@列宁斯基,,国足应该要加油啦,368,2019-09-04 08:56
@左右江南,,国足加油，支持国足进世界杯的请点赞,329,2019-09-04 08:56
@吃不胖的甜心超人,,2022年世界杯期间我觉得中国火锅店生意肯定特别好,201,2019-09-04 09:02
@喷子,,这次就看国足的了,123,2019-09-04 08:56
@GeorgeJRFeng,,怎么看都像莫比乌斯环或者克莱因瓶,71,2019-09-04 09:18
@性科普bot,,武磊哥说两年够了！！！国足加油！！,48,2019-09-04 08:56
@打不到我哈哈,,冬天举行，五大联赛都在踢球，到时候怎么踢,13,2019-09-04 09:05
@我是小L的姐姐,,国足加油！,18,2019-09-04 08:56
@搞笑的废人,,国足加油,9,2019-09-04 09:02
@笑看红尘的杰瑞鼠,,加油,7,2019-09-04 08:55
@热心人儿,,希望能看到你们的身影,5,2019-09-04 09:07
@tangbaosheshou,,国足加油,6,2019-09-04 09:13
@长海木空,,希望到时候的新闻标题不要是：主场憾负无缘卡塔尔世界杯,2,2019-09-04 10:37
@幻爱随心,,是时候安排每日放点历史回忆，尤其是香港以前殖民的时候！,3,2019-09-04 10:01
@肛铁侠,,国足加油！！！,3,2019-09-04 09:03
@GaryZD,,11月？这怎么吃烧烤，喝扎啤,3,2019-09-04 08:57
@永恒的爱_克里斯,,冬天,2,2019-09-04 09:22
@玉面小姣龙·,,卡塔尔那么异域风情...我们也想去看看,2,2019-09-04 09:15
@小菁豆leah,,又 又又要世界杯了,1,2019-09-04 13:17
@羲小宇与鱼,,莫比乌斯环,1,2019-09-04 13:17
@小鲤鱼呢啊,,国足加油啊！,1,2019-09-04 12:19
@姬子姐姐,,国足加油吧！,1,2019-09-04 10:59
@yukee大宝贝,,看标题，我以为在安徽举办,0,2019-09-04 10:21
@洋姐-Krystal,,期待期待,1,2019-09-04 10:04
@兵河洗甲,,中国男足，加油干吧…,1,2019-09-04 09:34
@橘猫两三只,,国足加油啊,1,2019-09-04 09:15
@玛格丽特的点心,,世界杯又可以期待了～,1,2019-09-04 08:58
@商日二班燕旭杰,,我觉得2022年我们国足必将出线,1,2019-09-04 08:57
@女鬼,,带国足玩么？,1,2019-09-04 08:56
@W-yuan远,,国足加油，阿根廷足球加油,1,2019-09-04 11:48
@胡萝卜的糖葫芦,,国足加油！！！！！,1,2019-09-04 10:04
@仓鼠保育员,,国足加油哦[加油],1,2019-09-04 09:15
@Anthony_Sean,,弘扬卡塔尔拉面文化，就看这届世界杯了,2,2019-09-04 10:25
@erpan120,,世界第一大运动足球，世界第一大赛事世界杯。,1,2019-09-04 13:20
@唠叨肉,,真好看 就像吃火锅下的牛骨髓,1,2019-09-04 13:03
@AKA宇智波佐助,,国足加油啊！,1,2019-09-04 12:55
@出走的远方,,不能在外面边看足球边撸烧烤了,1,2019-09-04 12:34
@大脸莉爱吃肉,,怎么那么晚啊11月,1,2019-09-04 12:10
@往东十五里,,直播8，赞助的？,1,2019-09-04 11:35
@-Kieran-,,莫比乌斯环,1,2019-09-04 10:42
@奔跑菲,,留给中国足球队的时间可是不多了,1,2019-09-04 09:37
@奔跑菲,,中国什么都去了，就是中国足球队没去,2,2019-09-04 09:29
@斌哥哥james,,真tm像麻花,1,2019-09-04 09:17
@蓝色城外听弦音,,有希望看到国足的身影吗,1,2019-09-04 09:14
@世界第一大帅比坑鹏,,看起来像莫比乌斯环,1,2019-09-04 08:59
@这将是一个最长的昵称没有之一,,留给中国队的时间不多了！,2,2019-09-04 08:58
@水大鱼大鸿蒙激荡三十年,,,0,2019-09-04 12:47
@菲哥哥眼泪,,希望可以在世界杯看到国足,0,2019-09-04 10:31
@D·0323,,,0,2019-09-05 14:49
@KUN的Rock少女莉娜碎,,莫比乌斯环？,0,2019-09-04 23:39
@郭洪钧,,三大球要好好抓起来了！,0,2019-09-04 23:19
@豪惜,,。。。,0,2019-09-04 22:16
@我真的就只想睡觉,,都快2022年了……过得好快啊,0,2019-09-04 21:25
@YQ自在如风的少年,,除了中国队，中国球迷中国品牌啥的都去了,0,2019-09-04 16:58
@恨自己不是蓝忘机,,期待国足,0,2019-09-04 16:22
@貓喵呜物语,,国足加油呀！可以的！,0,2019-09-04 15:04
@lishililuofan,,8,0,2019-09-04 12:12
@胡小六六儿,,14年最好看,0,2019-09-04 12:07
@汽水瓶里的飞鱼,,转发微博,0,2019-09-04 11:58
@Love_2-6,,在冬天的话嘿嘿嘿,0,2019-09-04 11:53
@荔枝橙i,,国足，加油！！！！[加油],0,2019-09-04 11:53
@庐陵启程,,青花瓷版的兰州拉面！哈哈！,0,2019-09-04 11:33
@改这个昵称就没人发现了我了嘻嘻,,加油加油,0,2019-09-04 11:31
@兰迪ZDar,,希望c罗会参加 也希望国足能进！！！,0,2019-09-04 11:30
@是可爱的人儿呀z,,听说国足还在这个假期加练了罚球,0,2019-09-04 11:20
@炮轰平安县城,,这不就是莫比乌斯圈吗,0,2019-09-04 11:18
@小姐姐腿短又咋的,,加油。,0,2019-09-04 11:00
@怦然心动我的恶魔总裁,,先把中餐厅开到卡塔尔，迪拜，阿布扎比那里去，世界杯一来肯定能赚翻，然后撤走,0,2019-09-04 10:56
@全哥不吃鱼,,这意思是无情无尽的发发发？,0,2019-09-04 10:54
@周林玲0,,哈哈，二宝也是足球后卫呢,0,2019-09-04 10:26
@烟台我是大葱123,,国足已经预定一个名额了，很多老将包括郑智可以第一次参加世界杯了,0,2019-09-04 10:22
@-NICo婷仔,,国足又要又要又要加油了,0,2019-09-04 10:21
@滋诺豪FLke,,为什么是冬季举行？,0,2019-09-04 10:20
@Cat世无双,,国足请加油,0,2019-09-04 10:18
@喜羊羊吃起来味道不错_,,好看诶！国足加油，期待2022冬天,0,2019-09-04 10:15
@努力奋斗的咸鱼君-,,国足只顾赚钱进不进世界杯这么重要吗，,0,2019-09-04 10:14
@死在圣诞夜,,国足冲鸭,0,2019-09-04 10:12
@演员季风,,感觉国足又有人要背黑锅了,0,2019-09-04 10:02
@安静的甜豆包,,莫比乌斯环啊,0,2019-09-04 09:59
@唐古寒,,留给我们的时间还有两年。,0,2019-09-04 09:53
@今天也是酸菜丑河豚,,国足加油啊,0,2019-09-04 09:53
@童_Laocoon,,莫比乌斯纸环？,0,2019-09-04 09:42
@我叫小猪蹄子,,冬天的世界杯,0,2019-09-04 09:37
@爱娜小妞0506,,国足加油！！！！,0,2019-09-04 09:31
@美食分享君丶,,@刘文庆29 咱俩去看,0,2019-09-04 09:27
@碎毛啊,,@兰州城市之光livehouse 到处都是我！,0,2019-09-04 09:26
@峰林海涛,,卡塔尔见！,0,2019-09-04 09:20
@有间少年喜欢你,,,0,2019-09-04 09:20
@欺负老子没会员,,希望国家足球运动员能够激扬慷慨 ，相信自己，为国争光,0,2019-09-04 09:19
@Beautyzdx春花秋月,,加油,0,2019-09-04 09:12
@7equals24,,我以为是个搪瓷勺子,0,2019-09-04 09:06
@激萌小乖乖,,国足加油！,0,2019-09-04 09:00
@茶苯海明_L,,国足加油吧,0,2019-09-04 08:58
@Emily_Khoo,,加油加油,0,2019-09-04 08:58
@章萌今天胖了嘛,,加油,0,2019-09-04 08:56
@清枫flyfree,,挺好看的,0,2019-09-04 08:56
@花弧06430,,加油,1,2019-09-04 08:56
@王甜甜的女孩T,,加油鸭,0,2019-09-04 08:56
@叶伟哲-Design777,,阿拉伯数字8，有什么含义嘛,1,2019-09-04 13:42
@一束冬夏,,不是要转移给中国举办吗,1,2019-09-04 13:36
@xback笙洛兴,,@凯帕_阿里萨巴拉加,1,2019-09-04 13:34
@请叫我威尔先森,,以前的世界杯都是给人一个激情的夏天，下次来个激情的冬天……,0,2019-09-05 19:24
@步六孤CR7,,希望阿根廷能夺冠，梅西不再遗憾,0,2019-09-04 23:11
@倾清晨y,,世界杯还可以在冬天举行？,0,2019-09-04 22:48
@不入耳klm,,国足[加油],0,2019-09-04 22:28
@这位幸运的宝宝,,,0,2019-09-04 19:45
@睡奈Y,,6,0,2019-09-04 19:06
@是双鱼锦鲤呀,,国足加油[加油],0,2019-09-04 18:08
@博闻知行,,莫比乌斯环？,0,2019-09-04 16:22
@jay23333,,因为这次世界杯是冬天办的,0,2019-09-04 15:54
@默默守着我男神,,,0,2019-09-04 14:47
@逆风逍遥子,,搞得好像国足能去踢一样，去了也能在vip看台买球。,0,2019-09-04 14:27
@时代中选择前行,,怎么不是夏天了,0,2019-09-04 13:20
@沉迷学习T日渐消瘦,,莫比乌斯带，永远没尽头,0,2019-09-04 13:16
@邓衡华,,似一个英文“无穷大”符号和阿拉伯数字中的“8”,0,2019-09-04 13:10
@蟹先生Crab,,想问一下，卡塔尔世界杯，是不是意味着卡塔尔队至少会进八强,0,2019-09-04 13:09
@机智的qq还行,,中国队给我冲,0,2019-09-04 12:55
@YIN基拉,,期待。,0,2019-09-04 12:55
@y3_time,,北方人迎来首次无法户外烧烤啤酒的世界杯,0,2019-09-04 12:51
@张立健丶,,漂亮,0,2019-09-04 12:50
@陈Yue啊,,,0,2019-09-04 12:50
@可能为什么maybe,,希望还能一起看一起讨论,0,2019-09-04 12:48
@abcdefg那年,,挺漂亮的！,0,2019-09-04 12:45
@BeautyAppraiser,,我也争取去看比赛,0,2019-09-04 12:41
@安坐如席,,国足一定要加油啊啊啊,0,2019-09-04 12:40
@股圣帅帅锅,,感觉是姨妈巾缠起来了,0,2019-09-04 12:36
@钟楚楚2018,,我爱世界杯！,0,2019-09-04 12:32
@DML豆,,国足进世界杯让外国人知道什么叫做包场,0,2019-09-04 12:31
@百里公,,不用说了，国足不参加,0,2019-09-04 12:30
@我心情不孬,,还有人对国足存在幻想？我他喵都幻想二十几年了，操,0,2019-09-04 12:27
@佳琦阿姨丶,,语文最后一道考题，请描述一下2022年足球会徽和寓意,0,2019-09-04 12:21
@苦瓜啊,,国足加油！！！,0,2019-09-04 12:19
@青山烟雨青衫客O_o,,没人怨国家队，只是求周琦别打国家队了,0,2019-09-04 12:18
@喜欢乔治的山东仔,,莫比乌斯环,0,2019-09-04 12:18
@我真是一条傻狗,,第一次看冬天的世界杯,0,2019-09-04 12:15
@喂喂维w,,诺比乌斯环,0,2019-09-04 12:13
@MNIXDD,,国足才是真爱，看别的球队都是为了买彩票，看国足是不掺杂任何利益的,0,2019-09-04 12:08
@那艺年,,好,0,2019-09-04 12:06
@慕乡空谷,,,0,2019-09-04 12:05
@清汤面点灬,,摩比斯环,0,2019-09-04 12:05
@神神神沈大人,,老婆希望能和你一起看@只想吃山竹,0,2019-09-04 12:01
@ktmgmaq,,世界杯不都是在夏天举办的吗,0,2019-09-04 11:55
@丶缠绵oc,,大力发展归化的同时，北上广三支顶级球队有钱出钱有力出力，就是要打进2022世界杯，这场豪赌如果输了的话~中国足球又会是一地鸡毛,0,2019-09-04 11:48
@斯蒂芬男士,,冬天踢世界杯，五大联赛全部折了！,0,2019-09-04 11:43
@古德morning007,,国足必胜！！！世界杯夺冠！！！,0,2019-09-04 11:36
@旋转的小萝卜头,,有归化球员了，也有武磊土锋了，感觉可以出线,0,2019-09-04 11:32
@JK_Lin1V1,,还不如用莫比乌斯环呢,0,2019-09-04 11:31
@励恩国际少儿英语,,转发微博,0,2019-09-04 11:27
@HKTs007,,来吧世界杯,0,2019-09-04 11:22
@东小明-,,挺好看的，我喜欢,0,2019-09-04 11:22
@HKTs007,,世界杯来吧 我的天下,0,2019-09-04 11:22
@Louise_露露,,觉得好看,0,2019-09-04 11:21
@小市民李sir,,开幕式时间是我生日全世界为我庆祝,0,2019-09-04 11:11
@Lee-Janan,,看得出有个球关系吗？,0,2019-09-04 11:09
@amuro卓,,这是梅比乌斯之环,0,2019-09-04 11:07
@Ayte,,有点像眼镜蛇,0,2019-09-04 11:07
@一个爱吃桃子的大西瓜,,只听见开局哨子一响，解说：留给中国队的时间不多了,0,2019-09-04 11:02
@小懿先生与琉克大魔王,,天津十八街麻花为本届世界杯最大赞助商,0,2019-09-04 11:00
@IRIS--李,,拉面团子？？？,0,2019-09-04 11:00
@梅者如西啦啦啦,,国足加油&quot;8&quot;,0,2019-09-04 10:58
@飞不高的牛落在跑不快的鸟身上,,这是兰州拉面师傅设计的吗？,0,2019-09-04 10:57
@刘一碗儿,,收拾一下准备卖世界杯！,0,2019-09-04 10:57
@巴香马猪,,@ZXRou ,0,2019-09-04 10:53
@贾寳玉,,莫比乌斯带？,0,2019-09-04 10:52
@型男PU包包,,国足应该心里想，妈的，上次被骂风波还没有过，这么快又来，这是要整死我啊！,0,2019-09-04 10:52
@妖精吃俺老孙一棒,,第一反应：自杀吊绳,0,2019-09-04 10:52
@蓝烟斋,,这会标我看出中国陶瓷的感觉,0,2019-09-04 10:51
@-奜林古德,,冬天举办吗,0,2019-09-04 10:51
@乖乖上班的七月,,怎么有种异域风情hhh,0,2019-09-04 10:50
@亚琨塔,,放心吧  能进16强,0,2019-09-04 10:49
@Alivies,,虽然我对国足没多大信心，也请国足加油,0,2019-09-04 10:48
@大大大大苏33_,,已阅，和中国没什么关系,0,2019-09-04 10:38
@武六道道,,#国际足联发布2022年世界杯会徽# 重要通知：2022年世界杯将不会出现熬夜看球的场景，因为那个时候是中国所在时区的早上上午，那将会是上班时间，上班时间，上班时间。强烈建议公司组织集体观看世界杯,0,2019-09-04 10:38
@时间终会带走你我,,挺随意的啊,0,2019-09-04 10:37
@我内的小迷妹,,8    ∞,0,2019-09-04 10:36
@詹姆兰尼斯特的金右手,,这次有戏,0,2019-09-04 10:34
@1惊落梧桐,,这才叫世界杯，篮球算什么世界杯,0,2019-09-04 10:33
@卖希望的小屁孩,,莫比乌斯环,0,2019-09-04 10:33
@dasuanView,,四年？四年之后又四年？都18年了大哥！这样下去，不用进世界杯了，我们举半世界杯吧,0,2019-09-04 10:32
@凌云17,,挺好看的，简洁醒目,0,2019-09-04 10:31
@张景Mario,,国足争取进世界杯！加油！你们是最有钱途的！,0,2019-09-04 10:29
@努力并再努力坚持生活下去,,之前新闻说要取消卡塔尔的举办权。现在还不是一切正常,0,2019-09-04 10:28
@简活菌,,莫比乌斯环,0,2019-09-04 10:28
@Wind8_,,搜哈中国,0,2019-09-04 10:28
@头条张黄,,埃尔克森加油，把中国队带进世界杯,0,2019-09-04 10:27
@嘚啵嗖的,,国足有实力进吗？,0,2019-09-04 10:27
@小东王不小,,梦比乌斯环么,0,2019-09-04 10:25
@深澈见底的水,,中国永远不缺最棒的球迷,0,2019-09-04 10:25
@漫游世界的卡夫卡,,这个会徽感觉很棒,0,2019-09-04 10:25
@_城堡的小窝_,,在冬天啊?不是都夏天的吗,0,2019-09-04 10:25
@安庆国土,,【#国际足联发布2022年世界杯会徽#】,0,2019-09-04 10:25
@帅帅帅帅秦,,加油国足,0,2019-09-04 10:22
@桃桃桃桃大王,,国足加油！留给中国队的时间不多了！这次争取出线！展现大国球队的英姿！一步一步来、我才二十四！等得起！,0,2019-09-04 10:21
@Mr_____何,,国足群：兄弟们又有比赛了 先来个大保健犒劳犒劳,0,2019-09-04 10:20
@不会取网名的的患者,,有规划球员，希望大点了,0,2019-09-04 10:19
@sue-Scorpio,,有什么用 国足那个德性 多少年了改不了 指望2年脱胎换骨,0,2019-09-04 10:19
@FACE扫描仪,,啥时候抽签摇票！,0,2019-09-04 10:19
@张张张张zhuo琦,,莫比乌斯环？,0,2019-09-04 10:18
@花落前度,,哇这个好数学啊！,0,2019-09-04 10:16
@0118发如雪,,希望国足巴西B队出现吧,0,2019-09-04 10:15
@没人知道我单身7年辽,,八好意思2020我要灭绝辽,0,2019-09-04 10:15
@夜虽暗我心独明,,我还是选择希望，国足加油！,0,2019-09-04 10:15
@秘语天言,,这个会徽含义好,0,2019-09-04 10:14
@直走不回头y,,开始期待啦,0,2019-09-04 10:14
@柏林雾,,虽然希望不大，但是国足加油！,0,2019-09-04 10:13
@超龄完颜阿骨打,,不知道啥时候我也热爱足球了。,0,2019-09-04 10:12
@Garcelo,,这次结束别墅必靠大海,0,2019-09-04 10:09
@老口米,,啥意思？8？,0,2019-09-04 10:09
@不二law,,国足请好好准备！！！,0,2019-09-04 10:09
@msigner,,中国总冠军,0,2019-09-04 10:09
@吴天宇strikeback,,@宇哥考研,0,2019-09-04 10:05
@逍遥robin,,还挺好看的,0,2019-09-04 10:05
@KILSXM,,国足加油！！！,0,2019-09-04 10:05
@封水微澜,,唉……国足尽力吧,0,2019-09-04 10:03
@wink-hey,,依旧觉得与我们无瓜,0,2019-09-04 10:03
@桃源乡的歪星人,,先赢亚洲十强赛再说吧,0,2019-09-04 10:02
@爱听肖邦,,莫比乌斯环太帅了吧,0,2019-09-04 10:02
@--郭小蓉,,国足加油！,0,2019-09-04 10:01
@解答杂活店,,期待你们的蜕变 尽力而为,1,2019-09-04 10:01
@我也可以叫李NA,,标志好帅,0,2019-09-04 10:01
