User,Reter,Comment,Votes,Time,Count
@薯条配炸鸡,,说不看从着找你ma存在感呢？爱你ma看不看，不看滚。,172,2019-09-04 18:58,1
@七-西love布-仔,,黑也黑完了，喷也喷过了，今天晚上还是那句话，中国队加油,132,2019-09-04 19:03,1
@希木斯,,都他妈给我冲啊,66,2019-09-04 18:56,1
@sc放学别走的饲养员,,不看,22,2019-09-04 18:56,1
@折木剑的温华,,稳稳当当  加油 中国男篮[加油],21,2019-09-04 19:03,1
@他的笑容总有一天变得耀眼,,为第一主队加油，周琦魔王归来，就一次也行,17,2019-09-04 18:56,1
@巴普洛夫正在死亡,,周琦25+15+5,6,2019-09-04 19:07,1
@Swaggy61,,反正中国近些年给委内瑞拉贷款900亿美金,1,2019-09-04 19:12,1
@便利贴多愁,,不能,1,2019-09-04 21:25,1
@焦糖_Cappuccino,,姚明应该让李楠上 教练当的确实不行 换个角色 去投篮 ！最大的问题是教练 不是周琦！中国队打的毫无章法 没战术！一盘散沙！李楠到底在干啥？,1,2019-09-04 20:43,1
@海边的符号,,干他娘的,1,2019-09-04 19:07,1
@爱与信仰不可辜负,,希望打得聪明点！,1,2019-09-04 19:03,1
@勇气满满的西红柿炒鸡蛋,,每次的特么是生死战，无论强弱,1,2019-09-04 19:03,1
@屁股上有个豆,,必须拿下。长个脑子,1,2019-09-04 19:02,1
@Crush_Xu,,黑归黑，晚上支持还是支持的，男篮加油，冲进奥运！,2,2019-09-04 19:00,1
@Boyka,,中国队勇夺世界杯。,2,2019-09-04 18:59,1
@BeTheBest100,,投遗憾落败的能别投票？ 跳过很难吗？,1,2019-09-04 18:58,1
@大肥猫V,,是男人，给我干回去@周琦_9,1,2019-09-04 18:58,1
@PiperLeeDL,,中国队加油,1,2019-09-04 18:57,1
@不愧是我的,,还是必须要有信心,1,2019-09-04 18:55,1
@野hunk,,神经病,0,2019-09-06 13:49,1
@2019冲鸭啦啦啦啦啦,,唉,0,2019-09-06 11:19,1
@爱打球的水母,,郭艾伦爆砍60 三分球20中15,0,2019-09-06 02:41,1
@一小撮鱼腥草,,冲啊！！！整起来！！！！,0,2019-09-05 14:52,1
@别吵我睡觉L,,现在对中国队的体力是个考验,0,2019-09-05 12:41,1
@关M鸟事_250,,在哪里看直播,0,2019-09-05 12:24,1
@单海梦,,早就输了,0,2019-09-05 11:47,1
@一棵红杉,,支持归支持，打不过归打不过,0,2019-09-04 20:48,1
@树之恋1086,,三分太差了，还老是投,0,2019-09-04 20:23,1
@闲庭灬信步7,,喷归喷，中国男篮加油啊！！！,0,2019-09-04 19:56,1
@白子兮_kelly,,我参与了@虎扑篮球 发起的投票【大家觉得今天中国男篮会拿下比赛吗？】，我投给了“问题不大，可以拿下”这个选项，你也快来表态吧~加油啊，大宝贝们，,0,2019-09-04 19:51,1
@韩七里007,,周琦你TM别换国籍了，加油加油。阿联加油加油加油加油,0,2019-09-04 19:50,1
@sm110_xcar,,太多次悬崖边上了，眼睁睁掉下去的过去了。,0,2019-09-04 19:48,1
@李亚波蛋,,讲道理 骂完之后还是支持中国队 中国队加油！,0,2019-09-04 19:45,1
@newwilson,,可以把评论里那些推博彩平台的封一下吗，乌烟瘴气,0,2019-09-04 19:44,1
@草粉姐姐_,,哭过 骂过 失眠过 今天起我们仍然要给男篮们加油 毕竟 这是我们的主队。,0,2019-09-04 19:37,1
@Law_Hey,,打委内瑞拉问题不大,0,2019-09-04 19:33,1
@夏沫浅雨CC,,转发微博,0,2019-09-04 19:30,2
@一个究极选择困难症患者,,死战到底！！！中国加油,0,2019-09-04 19:30,1
@暗夜痴汉,,你凭啥敢讲“问题不大”？,0,2019-09-04 19:29,1
@Fadeaway66,,加油啊，中国男篮，一定要赢,0,2019-09-04 19:22,2
@Akaaaya,,阿联加油 大侄子加油,0,2019-09-04 19:22,1
@Rainbow9907,,我参与了@虎扑篮球 发起的投票【大家觉得今天中国男篮会拿下比赛吗？】，我投给了“问题不大，可以拿下”这个选项，你也快来表态吧~,0,2019-09-04 19:21,1
@diao炸天6,,毒奶一口,1,2019-09-04 19:17,1
@BHCY13,,虽然依旧对前天的比赛生气，但是今天背水一战，一定要拿下！,0,2019-09-04 19:16,1
@Supremepice,,冲,0,2019-09-04 19:15,1
@国_类地007,,给我冲,0,2019-09-06 17:34,2
@曲有误郎应顾,,我觉得可以赢的,0,2019-09-06 17:03,2
@李大嘴T,,还把大魔王看在眼里吗,0,2019-09-06 16:04,2
@我的老噶就在这个屯,,虽然很想他们赢，但是目前来看中国队短板太多，教练问题太大，希望他们背水一战，不要命的打一场吧,0,2019-09-06 15:36,2
@你稳我唔到-,,我不是刻意黑 就男篮的状态来说 输定了,0,2019-09-06 15:34,2
@cc王桥虹ccccc,,电视都砸坏了，再不赢没东西砸了,0,2019-09-06 15:18,1
@走着走着走着就丢了丶,,给我干。我看到个视频。有个教练说你能就上。赢了算你们的，输了算我的。加油,0,2019-09-06 13:59,1
@如歌201110,,加油！,0,2019-09-06 11:14,1
@廖大毛X,,必胜的球，妥妥拿下！,0,2019-09-06 09:56,1
@白日梦太多脑子已内存不足,,我参与了@虎扑篮球 发起的投票【大家觉得今天中国男篮会拿下比赛吗？】，我投给了“遗憾落败，未能出线”这个选项，你也快来表态吧~略略略，我又忘记买体彩了,0,2019-09-06 02:18,1
@做个梦给你呀o,,都比完了，你这投票搞这么多天有意义吗,0,2019-09-05 19:54,1
@真鱼七七,,有希望才有未来，加油，你们是最棒的,0,2019-09-05 15:53,1
@你把辣条藏哪了,,比赛结束了，我看看评论里骂人的，说别人抖机灵的，都还在不,0,2019-09-05 14:38,1
@我赞同,,别欺骗自己了,0,2019-09-05 13:25,1
@ESwxy,,加油个鬼哦  被虐惨了啊,0,2019-09-05 13:15,1
@活得久看得多,,周琦砰砰砰,0,2019-09-05 12:58,1
@叶子文辰,,都结束了，还投票？退票吧,0,2019-09-05 12:40,1
@平哥丶shadow,,我预测中国队险胜,0,2019-09-05 11:52,1
@不装X的北极熊,,已经死了,0,2019-09-05 11:22,1
