User,Reter,Comment,Votes,Time
@星探长,,对手也一脸茫然,212,2019-09-04 23:00
@星探长,,明明是为了多保住人，怎么自己出局了？？？？？,89,2019-09-04 23:10
@星探长,,痛击我的队友，保护我的对手[加油],53,2019-09-04 23:07
@EverybodyupA,,辣鸡综艺，中国男篮基本功都差成啥样了，还有功夫天天参加综艺,46,2019-09-04 23:07
@起零起一,,不是很能理解选人标准，交了一百分答卷的人却被淘汰？,110,2019-09-04 23:09
@L姓i豆,,刘鸿博淘汰了？！！！我家峰是又少了一名得力干将？！！卧槽！今天不适合打篮球,125,2019-09-04 23:11
@妙不可言_444,,刘鸿博被淘汰了还看啥？？？篮球是只要身高不要技术吗？？？,97,2019-09-04 23:05
@静Yj79290,,开始怀念我的灌篮第一季，张宁和小祝，还有乖伦的日子,91,2019-09-04 23:38
@jessie89_,,看不清自家领队的问题还在说有剧本？怎么做人都不会,31,2019-09-05 00:23
@枫枫的心肝宝贝疙瘩面,,对家球迷也表示看不懂,31,2019-09-04 23:41
@soul丶末年,,看不懂。一开始花了那么多战力值要一个队就是想要他。这转手淘汰了？？？因为打的太好。组织后卫要两米？？？什么破节目,38,2019-09-04 23:15
@邓北北的小熊XIWE,,害，咱不懂也不敢问,32,2019-09-04 23:23
@挥洒热血的Lane,,杜锋要赢，觉得后卫线人够了，早锋线和内战！所以就算个人在强，在整体里面还是要被排除啊。杜锋有问题但也没问题。,21,2019-09-05 00:00
@小乔和书童,,感觉双方无论阵营都挺喜欢他的，淘汰确实有点可惜，而且感觉杜指导有些强硬啊，应该两个领队有商有量的,9,2019-09-05 01:51
@jessie89_,,怀念就活在过去。剧本有本事自己去递？,5,2019-09-05 00:22
@糖糖汤汤-,,刘鸿博被淘汰太可惜了，看到后面都没心情看了,7,2019-09-05 00:04
@增增增增肥,,这个不是按战力值淘汰吗？战力值有什么用啊？,8,2019-09-04 23:33
@KevinCurry,,所以说，中国教练选人标准就是高壮，其他都是次要，中国队输了活该啊,2,2019-09-05 09:50
@为你醒酒,,尊重领队的选择,0,2019-09-05 00:00
@爱笑爱生活的悠悠,,杜峰说是因为他们需要个子高的球员，服了，中国篮球为什么打成那样，原因找到了,4,2019-09-05 07:14
@麦果的花园Garden,,@_YIiAng 你说的那个？,0,2019-09-04 23:22
@老实人阿介,,有钱人的生活，往往是这样枯燥,1,2019-09-05 06:53
@十豆加ff,,我太喜欢看他和张梓晨打了,0,2019-09-05 11:38
@十豆加ff,,弄得我都不想看了,0,2019-09-05 11:33
@可以的卷卷,,大锋锋的判断，我有点不相信啊！总感觉小峰峰有自己想法但是尊重合作伙伴，所以没办法按自己想法来！我也很喜剧伦和豪、可是没办法我太喜欢峰哥了！看的我很难受！,2,2019-09-05 00:50
@爱吃草莓的琛子,,只看身高，不看得分？那海选抢刘鸿博干嘛,5,2019-09-04 23:26
@BAEK啵啵虎G,,不理解，我觉得不公平甚至,6,2019-09-04 23:23
@怎么还不能改名字啊,,杜峰可能看到了刘鸿博防守有点软   杜峰说了四次走下线他也没走,6,2019-09-05 00:04
@李李李李李易峰吖,,里面最喜欢的球员之一，真觉得可惜,5,2019-09-04 23:46
@慕林浩MLH,,中国篮球没啥希望了……今天彻底死心了,3,2019-09-04 23:43
@_爱吃巧克力的新酱,,？？？,2,2019-09-04 23:36
@大腿艺,,刘整场都在单打，战术也不执行，尤其最后四秒，不听话的杜峰没理由留下他，后卫最重要的是让队友更出色,1,2019-09-05 07:45
@抱走郎佳子彧,,？？？醉了,0,2019-09-04 23:13
@等峰来diediedie,,希望有复活赛  一定把他给我复活回来啊啊啊啊,2,2019-09-05 00:25
@ThitJee0504,,意难平,2,2019-09-04 23:25
@猪梨叶,,中国的教练真的都很有想法,7,2019-09-04 23:24
@Jyaoooo_,,当初花这么多战力值为的不就是得到清北整个团吗 而且就想要的也是刘鸿博 wc哇搞不懂 烽骑士队里印象最深的也就刘鸿博了,6,2019-09-04 23:18
@笑丶不一样怎么在一起,,为啥李易峰不拦着,0,2019-09-05 19:33
@甜酱不太甜,,,0,2019-09-05 07:29
@时间以北慕城南,,李易峰应该拦着 哎,0,2019-09-05 06:58
@苏栋梁_,,不用看了 去看灌篮2,0,2019-09-05 04:51
@粉粉嘎拉瓦,,我真的无语,0,2019-09-05 02:05
@安吉拉北鼻啊,,就是不理解为什么要淘汰他，就因为身高吗？他身高也还可以啊,0,2019-09-05 00:34
@颜奇奇forever,,原来是最看好的淘汰了 我说呢,0,2019-09-04 23:59
@淘宝上架,,我觉得是为了话题度才淘汰刘鸿博的，这不是鹅厂的一贯作风吗,4,2019-09-04 23:53
@好多静静呀,,害！,0,2019-09-04 23:46
@Coisini625,,卧槽，刘鸿博淘汰了，那……阔能就不看了，本来是保住别人，反而自己淘汰了,4,2019-09-04 23:45
@BAEK啵啵虎G,,好多人都是冲豪哥去的,1,2019-09-04 23:24
@微博问答,,Hi~您好，您发布的文章已被创建同名问题，文章内容被收录为回答。此问题将会吸引更多用户参与讨论，您的文章也会被更多网友看到，带来更高曝光和互动量~戳→→刘鸿博意难平！！！最努力却被淘汰？？？,0,2019-09-04 22:58
@七嘻雪碧,,我都还没看，你给我说刘鸿博被淘汰了？？这么优秀的都被淘汰了？？那我还看个啥,1,2019-09-05 00:04
@仙草味的青梅,,为什么要淘汰他?震惊！,3,2019-09-04 23:13
@liangyifenjiag,,真的好喜欢他啊,1,2019-09-08 12:22
@一加一同学浪里个浪,,破节目，有林书豪我也不看了,1,2019-09-05 10:57
@一颗橙心永不改,,是不是因为周琦要来了,0,2019-09-06 13:56
@七52602,,我给气死,0,2019-09-06 09:41
@杰跑跑,,娱乐剧何必当真,0,2019-09-06 07:58
@neZnik,,难的看中的小哥哥就这么没了,0,2019-09-05 22:49
@养了一只小泰迪,,好可惜他被淘汰啊  内涵有剧本或者骂杜指导的个别粉丝能不能不给你们的蒸煮招黑啊   竞技体育就是这样的 不到最后一秒谁都料不到结局,0,2019-09-05 22:29
@Jeeyi_,,这还有什么看的？？最好的后卫淘汰了,0,2019-09-05 20:25
@-辞小影-,,我去！刘鸿博淘汰 这看啥啊,0,2019-09-05 18:31
@与风俱净Lxk,,没什么看头儿了,0,2019-09-05 16:39
@zhAnG_DayTwo,,搞不懂在这里喷什么周琦？周琦对位的是非洲人，你以为都是大学生？,0,2019-09-05 12:28
@幸运曦__一,,刘被淘汰 我都气死了。什么鬼。这么厉害一个人淘汰 给对手机会吗 看不下去了,0,2019-09-05 10:26
@CDM9992018,,节目效果罢了,0,2019-09-05 10:19
@请叫我强格雷斯,,从矣进宏 刘鸿博的淘汰就可以看出，这节目传达的思想就是 : 篮球就是一个巨人的游戏，身高比较矮的无论你再怎么努力 无论你表现得再出色都不会有好的结果。这就是节目的中心思想，旨在告诉大家 个子矮就别打篮球了 ，《我要高个子打篮球》,0,2019-09-05 09:25
@伦家小橘子,,唉 杜锋当初为了刘鸿博先把他队友拉过来 一共花了300万战力值 现在因为身高把他淘了 这场一直在刘鸿博在投篮 真的不明白 把刘鸿博淘汰了 进危险区的那个就一定能打回来吗……,0,2019-09-05 08:57
@swdf2018,,杜指导性格不是盖的,0,2019-09-05 07:42
@霍夫曼编码你会了吗,,确实很可惜 好喜欢刘鸿博 但是尊重最后的选择 后卫太多了 就像最后也淘汰了发带小哥哥一样,0,2019-09-05 07:34
@未完代許,,果断的棋了，没有这就是灌篮第一期的感觉了。太难以置信了。,0,2019-09-05 07:22
@是辫儿嫂啊,,这tm是什么骚操作,0,2019-09-05 07:20
@啊呜啊呜ww,,不是很理解,0,2019-09-05 07:17
@freestyle_my_Hyuk,,现在回过头来看他说自己去危险区拼一下的时候甚至想哭。。没想到自己会被淘汰，觉得拼一下肯定能回来。。结果直接淘汰他，一晚上想这个事睡不着。，是真的太难过了,0,2019-09-05 07:15
@rain112703589,,唉,0,2019-09-05 07:14
@郝泽宇今天报道了吗,,电光飞侠的其实也很懵,0,2019-09-05 06:59
@背着蜗牛闯红灯,,我嘞个去，刘鸿博，当初为了留下他，两队长都抢他 现在却淘汰了？！我最看好的一个。,0,2019-09-05 06:56
@一直很喜欢哥哥,,真的无语有李易峰在我也不看了,0,2019-09-05 05:44
@Ds文丽,,只是为了看峰峰去的,1,2019-09-05 04:37
@Ds文丽,,不懂篮球不发表言论,0,2019-09-05 04:36
@梦中的哈德森H刺猬,,刘鸿博有一点防守吗，自己得分多，然而对位的那个也不少啊。他防守不上对抗，也不怎么伸手……,0,2019-09-05 04:31
@什么名字别人会知道我或不知道我,,唉，还是一起合影过的那个小哥哥呢,0,2019-09-05 03:29
@戆嗒嗒额77,,无语 最优秀的被淘汰,0,2019-09-05 03:22
@aMber丶桃子,,反正郑宇圻最帅,0,2019-09-05 02:05
@苍山赋雪,,我觉得冠军很大可能是林书豪队了虽然我是烽骑士女孩,0,2019-09-05 01:53
@EvanLKY,,峰哥是不是不想淘汰刘鸿博啊,0,2019-09-05 01:44
@EvanLKY,,,1,2019-09-05 01:41
@Chiu--uuu肉,,可是我在这一集……突然get到了王可的帅点p5好好看……,0,2019-09-05 01:30
@Bobby-0922,,会不会是因为后面有复活呢所以故意淘汰哈哈哈,0,2019-09-05 01:20
@拿铁微甜YoYo,,why？？？不理解为什么是淘汰他？,0,2019-09-05 01:11
@一片薄荷味的柠檬,,今天果然不适合看篮球,0,2019-09-05 00:57
@小猪粉淇,,害 把人要气死了,0,2019-09-05 00:55
@要做清华的女人,,实惨。被砸重金收过来结果第一局就out了，这想得到啊,0,2019-09-05 00:54
@诗若然然,,真的表示对手粉也看不懂这操作，我当时以为刘鸿博是直接保的那个。,0,2019-09-05 00:34
@小王八蛋你干哈呢,,啊啊啊啊啊，一脸懵逼还没来得及看呢,0,2019-09-05 00:16
@Ann彬彬有你,,超讨厌杜锋,1,2019-09-05 00:12
@发光的烈酒,,电光队也是一片惊诧 实名可惜,1,2019-09-05 00:10
