User,Reter,Comment,Votes,Time
@霹雳卡霹雳噜啦啦,,存天理 灭人欲 想到这句话,46,2019-09-04 10:04
@婊哥,,圈养还不够，还要把圈越缩越小,17,2019-09-04 10:43
@唐浩枨,,难道以后得人类就要全都统一吗？那跟机器有什么区别？,14,2019-09-04 10:26
@是一个很無趣的人-,,幸好自己毕业得早系列,17,2019-09-04 10:24
@赤道以北最帅微博名,,我能怎么看，我都毕业好多年了。当然是举双手赞成。,6,2019-09-04 10:40
@让我飞一次吧,,支持,0,2019-09-05 01:36
@FuiTerSvc,,把技术投去有用的地方吧 放过我们,6,2019-09-04 10:19
@好多小野兽,,放过学生吧，做个人吧 你们不当人也让学生有当人的自由哇,3,2019-09-04 10:36
@言司晨,,没必要吧，感觉好别扭,4,2019-09-04 10:18
@巴音布鲁克滑雪王子碰碰胡,,公务员会需要这套系统的,3,2019-09-04 10:53
@11-12-13-14,,我觉得……这样他们的学生时代没啥好回忆的了,2,2019-09-04 10:50
@喵了个咪和花花,,高校没必要吧,3,2019-09-04 10:27
@九尾珊喵,,幸好我毕业的早……,2,2019-09-04 10:16
@NBA战神蔡徐坤,,好像有这设备学生就不玩游戏不睡了一样，该玩的一样玩该睡的一样睡,0,2019-09-04 20:49
@门口的蚂蚁,,支持，老师不用再管课堂纪律可以专心讲课。,0,2019-09-04 12:37
@心若子渝,,还让我们学生党活不,0,2019-09-04 12:06
@盛夏星空kate,,支持的都是家长，反对的都是学生,0,2019-09-04 11:53
@瓶亻子LOVE小C,,劳改也差不多是这样吧？,0,2019-09-04 11:50
@万年单身左轮枪,,作为一个已经毕业的人来说 我反对 学生作为无限可能 如果被统一化 那就只有一种可能了,0,2019-09-04 11:49
@Whatsupfred,,本来有些课就是新创的 拿学生做小白鼠 然后我们还因为没法选择被迫上课 上就上吧 还不给走神,0,2019-09-04 11:24
@包包包子脸蛋,,录播教室衍生出的功能不是早就应用起来了，k12教育可以用，到了大学就不能用了吗,0,2019-09-04 11:09
@沙雕鲨雕,,支持的一般都不是学生,0,2019-09-04 10:58
@我对桃儿毛儿过敏但是我又想吃,,让他上班公司也用上这个技术,0,2019-09-04 10:55
@第七轩丶宣,,我选择支持，反正我工作了,0,2019-09-04 10:55
@寻找生活的光,,监督有时候可能很好的知道自己和比你努力的人的差距，做好隐私保护性。有时候也能很好的体现老师的问题。有力就有弊吧。,0,2019-09-04 10:47
@1圣夜精灵1,,道高一尺，魔自然会高一丈的。,0,2019-09-04 10:43
@Mr_Crizy,,支持！反正我毕业了,0,2019-09-04 10:42
@山谷城市,,在大学自由的时光不容易，出了社会，到处都是压力。,0,2019-09-04 10:35
@Goodness-鹏,,高举人权的大旗 为的都是自己的诡计不被暴露,2,2019-09-04 10:27
@孙难难难啊,,识别到没到就行了,1,2019-09-04 10:20
@突然下了雨,,没必要，学生适当管管就行了，没必要把每一个人都培养成科学家，人各有志，不同的岗位需要不同的人才,1,2019-09-04 10:13
@我是机勃生生的嘤嘤啊,,这么绝决还有什么快乐呢,1,2019-09-04 10:13
@好奇害死盯裆猫,,监狱嘛？,1,2019-09-04 10:13
@何北大v,,想象一下一个ai二十四小时监控你。怕了怕了,0,2019-09-04 12:09
@靡菲斯托5995497181,,社会所有公共地方都装上吧，贪官办公室的我们众筹买高清的,0,2019-09-04 11:37
@我就不信港话不得,,素质教育真的很重要了，高校很多时候靠自觉，但自觉的人又太少了，只能用外力来逼迫了,0,2019-09-04 10:57
@安静的羊陀先生,,支持，反正我已经毕业了,0,2019-09-04 10:54
@啦啦啦6635902255,,我个人觉得对于自制力差的同学还是很有效果的吧！高中及以下适用，到了大学我觉得就没必要了，这种方式难免有些不当，这么大的孩子了学不学的看自己，不学别人逼你学到了社会也不会有太多成长。不如吃点苦头自己领悟。,0,2019-09-04 10:40
@大美女你猜我是谁958,,肯定是支持的啊,0,2019-09-04 10:36
@陪着夜遥望星空,,非常有必要，增加对学生的管束，实际上到大学还要管。,0,2019-09-04 10:24
@goodday2016减1,,愿意努力的人不用监视都自然会努力,1,2019-09-04 10:20
@叮铃咣当i,,为什么不作用于寻找走失儿童之类的,0,2019-09-04 10:20
@黑夜燃烧草原,,@黑夜燃烧草原: 人脸识别能够识别人的微表情，同时能够有效监控人的活动规律。这种识别超出一般民事活动需要，并且对人的隐私进行记录，属于过度监控，公众场合采集当事人隐私已经违反了相关法律。在违法的基础上，无须探讨争议，而是应当依法取缔及罚款问题。,0,2019-09-05 07:33
@Pokeman_muaK,,建议所有行政部门也使用这一系统嗷,0,2019-09-04 10:47
@黑夜燃烧草原,,@黑夜燃烧草原: 人脸识别能够识别人的微表情，同时能够有效监控人的活动规律。这种识别超出一般民事活动需要，并且对人的隐私进行记录，属于过度监控，公众场合采集当事人隐私已经违反了相关法律。在违法的基础上，无须探讨争议，而是应当依法取缔及罚款问题。,0,2019-09-05 07:33
@让我飞一次吧,,支持,0,2019-09-05 01:36
@黑夜燃烧草原,,@黑夜燃烧草原: 人脸识别能够识别人的微表情，同时能够有效监控人的活动规律。这种识别超出一般民事活动需要，并且对人的隐私进行记录，属于过度监控，公众场合采集当事人隐私已经违反了相关法律。在违法的基础上，无须探讨争议，而是应当依法取缔及罚款问题。,0,2019-09-05 07:33
@让我飞一次吧,,支持,0,2019-09-05 01:36
@NBA战神蔡徐坤,,好像有这设备学生就不玩游戏不睡了一样，该玩的一样玩该睡的一样睡,0,2019-09-04 20:49
@门口的蚂蚁,,支持，老师不用再管课堂纪律可以专心讲课。,0,2019-09-04 12:37
@何北大v,,想象一下一个ai二十四小时监控你。怕了怕了,0,2019-09-04 12:09
@心若子渝,,还让我们学生党活不,0,2019-09-04 12:06
@盛夏星空kate,,支持的都是家长，反对的都是学生,0,2019-09-04 11:53
