User,Reter,Comment,Votes,Time,Count
@tyloveqingfeng笑,,休团期间，馨仪生了个孩子，青峰生了了专辑#苏打绿休团后首次公开合体#,1498,2019-09-04 18:31,1
@今天也恐ky精了,,祝苏打绿主唱吴青峰《太空人》大卖,1013,2019-09-04 18:52,1
@流水村瀑儿,,支持苏打绿的请点赞,707,2019-09-04 18:07,3
@防身防狼喷雾,,总算合体了！,574,2019-09-04 18:50,1
@追青小柠檬,,苏打绿主唱9.6《太空人》全面上线 共同期待吧,357,2019-09-04 18:54,1
@FuSYuuu,,吴青峰新专辑《太空人》0906正式发行，预购销量超好，好期待喔。 评论配图,272,2019-09-04 18:54,1
@铁盒的钥匙孔透了光绣了好久,,绿团，演唱会开起来吧！,278,2019-09-04 18:52,1
@04-08-12,,吴青峰太棒啦 评论配图,153,2019-09-04 18:54,1
@以歌Y_,,苏打绿主唱吴青峰9.6个人专辑《太空人》全面上线 共同期待吧,97,2019-09-04 18:57,1
@T奈何以,,全宇宙的朋友们大家好，我们是苏打绿！,87,2019-09-04 18:53,1
@红柚很好吃,,等很久了,81,2019-09-04 18:49,1
@一只会说话的喵喵_,,打粉过年！！,71,2019-09-04 18:55,1
@一切随缘追星狗,,还是原来的味道,68,2019-09-04 18:55,1
@aaaaattttl,,好爱你们,60,2019-09-04 18:56,1
@小王子的眼睛亮晶晶,,专辑预售期间销量就有七万张喽~9.6新专太空人正式发行，大卖大卖！ 评论配图,55,2019-09-04 18:56,2
@太空備忘記-,,请多多支持9.6吴青峰《太空人》 评论配图,46,2019-09-04 19:00,2
@zooooywind,,期待吴青峰首张专辑《太空人》！预购销量破七万张真的太太太厉害了！也超级期待苏打绿合体,46,2019-09-04 18:58,2
@未了愿,,开心，祝福祝福,37,2019-09-04 18:52,1
@小王子的眼睛亮晶晶,,哈哈哈哈哈哈哈哈哈,29,2019-09-04 18:52,2
@鲸巨信,,这话说得很吴青峰了,34,2019-09-04 18:53,1
@这是一封简单的小青书,,祝青峰的新专辑《太空人》大卖！ 评论配图,30,2019-09-04 19:01,1
@踏落泥土香,,支持吴青峰新专《太空人》！！！！ 评论配图,30,2019-09-04 18:57,1
@二十多岁的小女孩,,哇哇哇哇哇哇是苏打绿呢,18,2019-09-04 18:59,1
@迷路的木子洋洋阿,,只有我一个人觉得他唱歌难吗，看着都烦，路边卖唱的都比他好听,6,2019-09-04 18:45,8
@腥膻天团爱吃苹果,,哈哈哈哈哈可可爱爱,18,2019-09-04 17:27,1
@天天晴朗de蘇打,,预祝太空人大卖,7,2019-09-04 19:34,1
@带花儿的粉色小旗袍,,欢迎苏先生 评论配图,7,2019-09-04 19:22,1
@小陳的備忘記,,等明年！！！,5,2019-09-04 19:19,3
@99愛峰,,哈哈 預購七萬真牛！正式版繼續給他買破10萬,6,2019-09-04 19:01,1
@玺为歌来,,哈哈,4,2019-09-04 19:56,1
@他的歌我的梦,,苏打绿为新人歌手站台支持,4,2019-09-04 19:41,1
@叫包菜的一只猫,,#苏打绿休团后首次合照# 太空人真的超好听！！,6,2019-09-04 19:43,2
@荞荞悄悄瞧瞧,,毋需心急，静待回归。 休团期间绿团每个人都很好呢[可愛],2,2019-09-04 20:34,1
@w晚了个安w,,“不可以忘记我们喔 因为苏打绿才不会忘记你们呢” 评论配图,3,2019-09-04 20:21,2
@叫包菜的一只猫,,#苏打绿休团后首次合照# 太空人宝宝和大家都要茁壮成长！！！,6,2019-09-04 19:40,2
@小陳的備忘記,,苏打绿,4,2019-09-04 19:04,3
@w晚了个安w,,哭了,1,2019-09-04 20:05,2
@shaquila3,,好久不见 #苏打绿休团后首次合照# 苏打绿,1,2019-09-04 19:56,1
@随风追峰1985,,喜欢爱怼人的青峰,3,2019-09-04 19:40,1
@爱追剧滴花痴小抽疯,,,1,2019-09-04 19:37,4
@是暖的猫系吖,,我团终于再喜提热搜了,3,2019-09-04 19:36,1
@小陳的備忘記,,,2,2019-09-04 19:19,3
@LittleBear_LX_Mitch,,小威好帅啊……,4,2019-09-04 19:01,1
@安于豢养的喵咪,,真的很认真的在休团,0,2019-09-04 20:25,1
@Jaeka,,,2,2019-09-04 19:44,1
@晚涧_,,哇啊啊啊啊！我错过了直播啊！ 大家都胖了惹……,2,2019-09-04 19:44,1
@空气中的视听与幻觉1019,,演唱会开起来！,2,2019-09-04 19:43,1
@月光少女小乂,,期待苏打绿,2,2019-09-04 19:40,2
@芥子纳须弥nn,,谢谢前辈们支持新人小峰，坐等2020年...,2,2019-09-04 19:40,1
@月光少女小乂,,太激动了！！！,2,2019-09-04 19:39,2
@刘六六小姐呀,,还有几个月，等你们,2,2019-09-04 19:38,1
@iBingo,,承包了童年啊,4,2019-09-04 19:03,12
@无邪的易晓茜,,要支持青峰的新专辑哦,1,2019-09-04 19:38,2
@无邪的易晓茜,,哈哈哈总算合体了,1,2019-09-04 19:37,2
@蔡程昱今天签下龚子棋了吗,,加油啊啊啊！！也没有很久啦！！,2,2019-09-04 19:16,1
@今天学习了吗233-,,苏打绿合体啦！青峰solo第一张专辑《太空人》也将9月6号正式发行(●°u°●) 」，这张写了17年的专辑真的充满诚意呀！不如买来听听看,2,2019-09-04 19:13,1
@李长歌y会创造奇迹吗,,我哭了哭::&gt;_&lt;,1,2019-09-04 21:45,1
@成熟了感性了帅呆了爱了,,期待9月6号新专辑《太空人》专辑大卖啦,1,2019-09-04 19:38,1
@辛小星_,,青峰好娇羞哦,1,2019-09-04 19:30,1
@污力媛媛丶,,期待新专辑太空人发货。,1,2019-09-04 19:30,1
@喵喵糖喵喵,,祝苏打绿主唱吴青峰《太空人》大卖,1,2019-09-04 19:29,1
@坐在月亮弯上w,,,1,2019-09-04 18:57,1
@Leo-cosmos,,wow~,0,2019-09-04 23:14,1
@他非举起右手点名,,啊啊啊啊我要看演唱会,0,2019-09-04 21:52,1
@花花花花花花花花花花花满楼,,好想你们 赶紧回来吧,0,2019-09-04 21:34,1
@毛毛相信天天晴朗,,#苏打绿休团后首次合照# 还有半年，快了快了,0,2019-09-04 20:50,1
@筱爽爱紫棋,,我们是苏打绿,0,2019-09-04 20:18,1
