User,Reter,Comment,Votes,Time,Count
@玲玲振玉,,赶紧250退国籍去乌克兰吧，没人留它们,546,2019-10-10 08:02,1
@你家的九师叔,,这群逼怕是乌克兰在哪里都不知道吧,240,2019-10-10 08:14,1
@肥肥小熊37294,,如果有一天，一群大陆公安下来就把港铁站砸了，纵火，香港人怎么看？如果有一天，一群解放军冲出来，把大班西饼也给砸了，还把东西劫掠一空，香港人怎么看？如果有一天，一帮中国旅游团在街上堵路扔燃烧弹掟砖头砸警察，香港人怎么看？一模一样的事情，换个人做就是对的？,128,2019-10-10 08:12,1
@來電未顯示,,废青向往的是无法律约束可以自由打砸抢烧，不被制裁，说到底就是他们想要恐怖分子的生活,208,2019-10-10 08:04,1
@只能改一次名字不知道叫什么好,,他们敢这么整，无非就是还有亲妈在。所以他们敢撒泼，敢沉默，敢袖手旁观……嘴里不说，心里认定，家里再怎么乱，老妈子也要默默收拾，顺便做饭洗衣,123,2019-10-10 08:12,1
@专注投机三十年,,要是有脑子还叫废青吗？,110,2019-10-10 08:05,1
@呆子笛牛囚,,今日乌克兰，欧洲子宫；明日香港，亚洲子宫？,57,2019-10-10 08:19,2
@有如果的王木木,,赶紧去乌克兰吧，没有路费我们给你们捐！,53,2019-10-10 08:03,1
@百鬼夜行冥主派,,什么两制尊严?是骑在大陆人头上高高在上的威严吧 。,62,2019-10-10 08:23,1
@吾亦为,,昨天和一个相对理性一点的黄丝交流，发现他竟然分不清爱尔兰共和国和北爱尔兰，我估计那个女的八成是把乌克兰当成荷兰、爱尔兰之类的吧,51,2019-10-10 08:21,1
@yellow嘻,,它们哪里看得了那么远？不过为了眼前一点蝇头小利罢了。,35,2019-10-10 08:15,1
@海港SirHabaSir,,希望香港好似鳥克蘭,31,2019-10-10 08:19,1
@喜欢咕噜的童童,,什么叫一国下重新有两制，有自由，想请他们举例说明一下，香港什么时候不是两制？他们什么时候又失去了自由,30,2019-10-10 08:40,1
@花开蔷薇_,,蟑螂脑子都有坑，和正常人不一样，不想呆在中国，赶紧掏250，爱去哪去哪,25,2019-10-10 08:15,1
@我家的喵叫阿砖,,乌克兰，欧洲子宫！香港，想成为亚洲子宫吗？满嘴粗言猥语的港女应该很期待吧！,4,2019-10-10 08:11,1
@大长腿关刀,,脑子是个好东西，可惜它们没有。,11,2019-10-10 08:06,1
@总有憨憨要笑死我,,我觉得乌克兰挺好的，这样吧，我出钱250，退了中国国籍，你去乌克兰吧，答应我,3,2019-10-10 12:45,1
@雾飞舞1125,,在现在的一国两制下香港人怎么没自由怎么没尊严了？犯罪不用受制裁就是自由和尊严吗？,8,2019-10-10 08:20,1
@醒着做梦的陆仁嘉,,一部分脑子有病的.还不能代表.中立.路人派,5,2019-10-10 08:10,3
@Popeye丹丹妈,,自己废不承认不反省，还不自强不努力等政府分钱，这是一个什么地方文化，让他们如此自大美好。,5,2019-10-10 08:28,1
@D清香玫瑰,,智力低下至这种程度，李摘瓜还说废青是香港未来主人翁。,1,2019-10-10 12:34,1
@babybox2005,,没脑子的，说香港人没有政治观念，真是这样！他们电视没有国际新闻吗？应该多让他们看看新闻联播，,6,2019-10-10 08:32,1
@soup女神,,我很不理解到底谁在墙内和墙外。你随便问一个大陆老百姓他都能聊出来国际问题，也知道发生的一些国际事情能发表自己的看法（乌克兰的结局大部分大陆人都知道）可是我问了一些外国朋友，他们根本不知道什么国际问题甚至不知道乌克兰的结局！关于亚洲国家除了战乱落后一无所知,3,2019-10-10 10:06,2
@二次元的立方,,废青垃圾,6,2019-10-10 08:16,1
@橙色柳丁15,,三个字，就是没文化，根本搞不清情况。stupid!,6,2019-10-10 08:11,1
@转起来的猪C-POP,,他们有脑就不会这样说这样做了！,5,2019-10-10 08:09,1
@雨后漫步168,,港独可以去乌克兰看下，他们心目中现在的乌克兰,4,2019-10-10 08:17,1
@愛皮斯坦,,香港还可以再乱，还不够，市民挺享受的嘛,3,2019-10-10 08:46,1
@楚小丫6789,,赶紧250退国籍去乌克兰吧，没人留它们！！！,1,2019-10-10 09:34,2
@王熙文老婆,,钱不够我们给你掏，把祖宗十八代都带着都行,1,2019-10-10 09:31,1
@抹茶戚风,,哇 赶紧去，脱离国籍，没有路费我给你们募捐,1,2019-10-10 09:29,1
@乱世蛋散,,這麼說吧，教育的失敗，是這件事裡面，最重要的一個因素2別說什麼房價不房價的。我們老師都有說過“基礎都沒打好，怎麼起萬丈高樓平地起？”，香港的教育基礎失敗，不是12345，是意識形態教育的失敗。腳本沒做好，你再做其他部分，都是徒勞的。,1,2019-10-10 09:23,1
@无聊之肥,,不是应该去叙利亚吗,2,2019-10-10 09:13,1
@虹伶伶伶,,快去啊乌克兰，垃圾废青,1,2019-10-10 09:07,1
@白白白酱,,咁钟意乌克兰，咁就祝香港同乌克兰一样有同样嘅好嘅结果[太開心],2,2019-10-10 08:50,1
@Mr·fahrenheit,,,1,2019-10-10 08:45,1
@靳生有你相伴,,这些蟑螂只看到西方主子希望它们看到的。,1,2019-10-10 08:28,1
@michelle0812,,赶紧打包送去乌克兰。这提议不能更好,1,2019-10-10 08:27,1
@快乐的米其林林,,好像乌克兰申请入欧盟都被拒了,1,2019-10-10 08:22,1
@闪耀闪闪闪丁丁,,曱甴有脑噶咩？某脑噶嘛！思考唔到呢滴问题噶,1,2019-10-10 08:16,1
@羚113114,,强烈建议将港独分子送往内地北方罗卜泊种树五十年义务劳作,1,2019-10-19 09:49,2
@小萝卜糖泥的卡姿兰大眼,,我还记得前两天乌克兰有个新闻……川普和副总统政斗，两人都威胁乌克兰不站队就断他们的救济金,1,2019-10-10 17:08,1
@凌晨一点注册,,作一下乌克兰也得。别甩国给内地就成。穷不死你丫的。,1,2019-10-10 12:30,1
@北京祝福你2022,,警惕颜色革命，保家卫国！,1,2019-10-10 09:07,1
@不爱橘子的橙子小姐,,郭杰瑞,1,2019-10-10 08:03,1
@千禾小兵,,这视频直接放外网去吧，你这不能下载保存，放不过去啊,0,2019-10-30 23:57,3
@泡泡的面膜,,发育不全,0,2019-10-10 23:58,1
@授渔2019,,黄尸向往的时候,0,2019-10-10 14:58,1
@丁丁飞过沧海,,快去乌克兰，挺向往成为子宫啊。,0,2019-10-10 14:26,1
@信仰失联,,因为波兰乌克兰的历史都差不多。都是历史上被强奸惯了，反而觉得被奸很酸爽的国家。,0,2019-10-10 13:50,1
@风子烬,,你们哪里不自由不民主了？就算你200万反对派，那还有500万人不支持你们，按照民主少数服从多数的原则，你们是不是应该停止无理的诉求？明知道美国利用你们来做贸易谈判的筹码，你们为了实现无理的诉求，积极配合美国，要牺牲14亿中国人的利益，你们这所谓的民主自由是不是太自私太极端了。,0,2019-10-10 13:21,1
@蘭蘭蘭蘭蘭蘭裳,,怎么这么没有脑子…………真是无语,0,2019-10-10 13:07,1
@桃桃乌龙柚子茶,,想到国家还在为这些人努力维持着和平就很气愤,0,2019-10-10 13:02,1
@hui敏敏敏呀,,嘉尔ins 求救,1,2019-10-10 11:35,1
@wf68的玫瑰,,他们什么时候能醒啦？,0,2019-10-10 09:32,1
@初曦_不中次奖绝不改名,,他们真的还有脑子吗？,0,2019-10-10 09:30,1
@楚小丫6789,,,0,2019-10-10 09:21,2
@牛根小妹,,真係腦裝屎,0,2019-10-10 08:21,1
@依依麋鹿了,,唉，香港快点好起来吧,0,2019-10-10 08:19,1
@轩辕是阿飞,,脑子是个好东西，可惜它们没有！//@水果王子关刀:脑子是个好东西，可惜它们没有。,0,2019-10-10 08:14,1
@醒着做梦的陆仁嘉,,没脑子的,1,2019-10-10 08:09,3
@醒着做梦的陆仁嘉,,它们垫背货.,0,2019-10-10 08:09,3
@星雨的雨,,制杖……,0,2019-10-10 08:08,1
@壹吨肉葡萄,,250快点走,0,2019-10-10 08:06,1
@公益养老史话,,曱甴们是不是该划为无国籍人？,1,2019-10-10 08:06,1
@涟漪雪柳,,呵呵，曱甴是想早点下地狱，没脑的曱甴！,0,2019-10-10 08:02,1
@KimJane,,所以才叫废青啊,0,2019-10-10 08:02,1
@当嘀当滴呛,,但是我们的教育部的某些做法确实容易滋生出这样的苗头，尤其在高等学府，在未来中国建设者的地方，搞那些留学生政策（如果是友邦也算了。印度 韩国 日本 甚至西欧来的，他们也是一样的）可能我说的有些极端。不过这很容易给人拽尾巴,1,2019-10-11 16:26,1
@BenBen郑恩泽,,准备好签证来内地做性工作者了吗？港毒女,0,2019-10-31 03:02,4
@Domo剑,,鬼城,0,2019-10-24 14:05,1
@风化中的蚂蚁,,自由西是免费的伟大的，想学乌克兰女人可以收费？那不是侮辱了革命两个字吗？,0,2019-10-21 15:59,1
@Olivia咕咕哒,,我支持以暴制暴，多学学西班牙警察，赶羊一样敲打暴徒哈哈哈哈,1,2019-10-20 20:27,3
@Olivia咕咕哒,,好喜欢这个老外，汉语很溜,0,2019-10-20 20:25,3
@Olivia咕咕哒,,以后我真的瞧不起香港人，一个个文化水平这么低连乌克兰在哪都不知道说不定把乌克兰当成了爱尔兰挪威了,1,2019-10-20 20:24,3
@羚113114,,香港和乌克兰好像，不努力生活就想推到政府吃救济生活,0,2019-10-19 09:48,2
@痛苦是生命的底色,,挺好！自由去吧,0,2019-10-17 13:12,1
@猪肉花儿,,确实不理解，香港人是怎么没有自由和尊严了？为什么会有这种想法？,0,2019-10-16 22:19,1
@欧juy976,,一直不懂他们在讲什么自由尊严，外国人不敢反抗，窝里斗挺在行的,0,2019-10-16 00:13,1
@君君假仙女,,我想提个建议。在国外的爱国者，买个投影式的，放个白布，手机投影一下香港视频可以吗,0,2019-10-15 23:52,1
@一棵大白杨cr,,@MarsandMurrie,0,2019-10-15 20:43,1
@烂木头_Bernese,,说到乌克兰，正好前段时间公司接了上合组织的培训，来了一群乌克兰人，能感觉出来，真的算很差了，医疗方面，教育程度都很一般，乌克兰可能非常希望港独青年去做二等公民,0,2019-10-15 17:37,1
@BenBen郑恩泽,,准备好签证来内地做性工作者了吗？港毒女,0,2019-10-12 04:11,4
@心量臻摯,,暴徒们麻烦你们都去进乌克兰国籍就好！那边有你们想要的自由民主！不要整天来香港搞事情！,0,2019-10-12 03:24,1
@忽而嗨哟咿呀呦,,,0,2019-10-11 21:42,1
@权志龙快点营业,,滚吧滚吧,0,2019-10-11 17:16,1
@gongbin0822,,郭锥好评！其实我也希望港独过得像乌克兰一样,0,2019-10-11 15:48,1
@Halton_S红墙,,乌克兰还真是盛产美女,0,2019-10-11 14:44,1
@Cecilio-JT,,送她去切尔诺贝利中心,0,2019-10-11 14:23,1
@5482kiki,,这些片子能不能在香港的电视，街上的大屏幕播一下，给香港人一个反醒，打砸的是他们的家！,0,2019-10-11 14:22,1
@细雨馨光,,想要完整的视频……,0,2019-10-11 14:01,1
@Father涂必明,,杀,0,2019-10-11 10:29,1
@时间是没有意义的,,看着香港沉沦，也算是①段可笑的历史。心在笑也为很气。,0,2019-10-11 09:19,1
@刘诺一我女婿,,@我是郭杰瑞  郭锥的采访,0,2019-10-11 01:33,1
@Taigorgorgor,,废青所做的一切来源于无知，无知的人只会被兽性驱使,0,2019-10-11 00:34,1
@小倩zzzzz,,我昨天跟一个支持香港暴动的人提到乌克兰，希望他能独立理智思考，结果他认为从摆脱专制的角度，乌克兰已经走在前列了，神经到无可救药。这人跟别人辩论的语气明明就是个正常人，怎么思想那么奇葩呢 评论配图,0,2019-10-11 00:30,1
@炊烟袅袅伴寒梅,,香港的教育都教出一帮什么人啊？,0,2019-10-10 23:13,1
@人间可爱葵,,向往乌克兰红灯区吧,0,2019-10-10 23:08,1
@swallow487,,那么想去就去吧，消除你们的国籍，我们国家也不稀罕你们这帮垃圾,0,2019-10-10 23:05,1
@奋斗的小猫仔,,哎呦，我支持想走的就赶紧滚，想留的就留下,0,2019-10-10 22:45,1
@zhiyuan406,,不是有很多外国国籍的吗，想走的赶紧走，没人留。但是香港是我们的地盘。,0,2019-10-10 22:25,1
@天天向上既Ivy,,250快去乌克兰啊,0,2019-10-10 21:50,1
@谁能倾杯谁易醉,,自由和尊严,0,2019-10-10 21:50,2
@袅绕半支烟,,让香港腐烂，很好的资本主义教材，很好的西方民主自由示范区。只要这块地是我们的，五十年后刮骨疗伤！,0,2019-10-10 21:10,1
@84汤圆,,怎么你了，就没有自由就没有尊严了,0,2019-10-10 20:15,1
@爱BangBang偲会赢,,如果有基金真的能帮曱甴移民到乌克兰，我愿意捐100块,0,2019-10-10 19:59,1
@伤与痛什么时候会离开我的家,,//@伤与痛什么时候会离开我的家:香港今天存在了很多高分低能的所谓精英分子。但他们其中，究竟有几个真正的去了解过今天的乌克兰平民状况？ 条条大路通罗马。但如果这个罗马是两个选择: 1. 进步中的国泰民安 2. 理想主意中的无底线自由 我是会选择第1点的《进步中的国泰民安》,1,2019-10-10 19:46,2
@伤与痛什么时候会离开我的家,,香港今天存在了很多高分低能的所谓精英分子。但他们其中，究竟有几个真正的去了解过今天的乌克兰平民状况？ 条条大路通罗马。但如果这个罗马是两个选择: 1. 进步中的国泰民安 2. 理想主意中的无底线自由 我是会选择第1点的《进步中的国泰民安》,0,2019-10-10 19:45,2
@紫月的紫世界,,因为它们是鸡，就喜欢做鸡,0,2019-10-10 19:07,1
@虾条是只猫咪,,有香港和没有香港对现在的中国没有太大的区别。砸吧…毕竟港人治港，高度自制。主权归我就行了。50年一到就划到三线城市。,0,2019-10-10 18:49,1
@最快怂条,,废青要是脑子好使，还会去打砸抢烧,0,2019-10-10 18:40,1
@我可能是头狮子,,乌克兰妹子可以来中国发展,0,2019-10-10 17:51,1
@TigerC-H,,郭杰瑞哈哈，去看看郭杰瑞这个美国人自己做的节目吧，美国人眼中的中国，印度等等,0,2019-10-10 17:49,3
@弗兰克雷,,以后就是深圳市香港区的节奏。,0,2019-10-10 16:26,1
@怡然0451,,因为他们是越南人后裔,0,2019-10-10 16:21,1
@Arvi90,,请问英国佬给了他们什么样的自由和尊严？,0,2019-10-10 16:14,1
@无重复吐槽,,感谢香港不遗余力地为我们展示西方“自由”“民主”制度的虚伪，感谢甴曱，黄尸以及名为“李姐”的香港“好市民”的激情表演，让我们的感官得到一次升华，从愤怒到淡然一笑，从爱国到更爱国。,0,2019-10-10 14:50,1
@看到听到了,,祝曱甴早点去乌克兰！,0,2019-10-10 14:43,1
@仙儿姐WENKI,,这帮傻子是真不知道现在乌克兰什么样了！,0,2019-10-10 14:43,2
@仙儿姐WENKI,,太可笑了，就跟活着觉得煎熬，羡慕别人死了就可以上天堂一样！然后各种花式作死，还找外人来帮自己赶紧脱生，坚信这是通往天堂之路,1,2019-10-10 14:31,2
@蝕心之智,,乌克兰又不蠢 人家才不想收蟑螂,0,2019-10-10 14:12,1
@JJKcnc,,带点脑子吧曱甴,0,2019-10-10 14:05,1
@ON_1990,,额，也可以在街头放爱国片给他们看看，现代战争片给他们看看,0,2019-10-10 12:44,1
@梁home,,因为没去过乌克兰，所以想象的很好,0,2019-10-10 12:42,1
@杨小朵1999,,真心呢，全部送去乌克兰体验生活。 一群读不出书来的笨玩意。,0,2019-10-10 11:40,1
@Lily區,,单凭破坏自己生活的家园这点（打砸烧的人）从：道德. 法律. 两个方面都是错到极点！是暴徒行为！世界没一个地区的人可以允许这样情况发生，去砸美国铁路试试，砸英国的试试，到处纵火，去砸美国银行试试！暴力行为越来越严重，香港今天的局面真的只能怪香港人自己！,0,2019-10-10 11:32,1
@我还是宝宝丿,,他们快去吧，没钱的话我们可以给他们发起众筹,0,2019-10-10 11:30,1
@碧海青天的风,,发起一个把废青送到乌克兰行动吧，单程车票，机票，餐费全包。,0,2019-10-10 11:26,1
@哈哈哈哈吃西瓜,,一群被坏人忽悠瘸了的傻子…………。,0,2019-10-10 11:25,1
@小小桃子Em,,你永远叫不醒一个装睡的人，中国还有句老话说得好，不撞南墙不回头,0,2019-10-10 11:22,1
@Craneflower,,最后觉着废青也是富人搜刮财富的又一操作模式！把本来不穷的整更穷，富的变更富！！！,0,2019-10-10 11:18,1
@你算哪包小薯片呀,,没有祖国爸爸 他们现在就是伊拉克 在废墟拥有自由 真希望可以那样 一群没良心的曱甴,0,2019-10-10 11:13,2
@你算哪包小薯片呀,,消国籍去乌克兰吧 曱甴真的没脑,0,2019-10-10 11:10,2
@老紫菜,,永远叫不醒想要装睡的傻子。毕竟上面的贼已经画好了大饼给下面想要不劳而获的傻子了。,0,2019-10-10 11:10,1
@毎天坚持每天不一样,,冇脑既废青就想香港越过越穷，越过越乱,1,2019-10-10 11:04,1
