User,Reter,Comment,Votes,Time
@曝料一哥,,他一个人唱起国歌的时候，眼泪出来了，一个人在一群人面前没有畏惧，比起那些缩起来的人要强百倍，真汉子，保护好自己！,31525,2019-09-02 22:58
@曝料一哥,,虽千万人吾往矣，它们不配当人！！,14680,2019-09-02 22:46
@林哥爆料,,看着很心酸。自己的国土上，承认自己是中国人却成了异类！,19750,2019-09-02 22:52
@2019还是只喜欢张艺兴,,看了想哭，要好好保护好自己啊同学,11539,2019-09-02 22:47
@努力赚到自己想要的一切,,感觉势单力薄，好心酸，也没个人出来一起反抗,9552,2019-09-02 22:54
@himissmo,,一个人的时候要注意安全啊,5766,2019-09-02 22:51
@郑板牙,,这个年轻人现在怎么样，很是挂念其安危。请同校陆生相互照应。,4491,2019-09-02 23:08
@公子花无缺,,为什么今天的香港会成这样港独横行，看到唯一一个红衣青年孤独坚守着爱国信念，大声高唱义勇军国歌，那么单薄，只有一人，我泪眼模糊,3494,2019-09-02 23:23
@Vivian-汤圆麻麻,,好心酸。我看有评论有的人说他二愣子。我能体会到一个人在一群人里的斗争。说实话，我也是那种会气到争着争着就气哭自己了。,3123,2019-09-02 23:06
@三哥家的girl,,好心酸，这场闹剧何时才能结束？心疼这位小哥哥，在场的没人出来和他统一战线，希望他不要受到伤害！,1787,2019-09-02 23:24
@觉醒不怕晚,,真正的中华民族的血性男儿！,1660,2019-09-02 23:19
@丿丿流月,,香港活该乱，其他市民一副事不关己的样子，我觉得内地警察不用去管香港，香港人不配被拯救，让他们自己解决，最好天天杀人，杀的差不多的时候一国一制。,1213,2019-09-02 23:15
@青城少主R,,是个汉子，放在建国前一定是为祖国前仆后继的英雄人物,945,2019-09-02 23:09
@奶糖薄荷ht,,还中文大学，真是对不起这俩字！校长是死了,883,2019-09-02 23:06
@景安不说话,,保护好自己啊同学！！你独自唱国歌的场景让我瞬间哭了，它们不配为人，你是我们中华民族的骄傲！！保护好自己啊！！,696,2019-09-02 23:15
@多Ci多漂亮_,,@人民日报 内地学生也要注意保护自己，相信他接下来会被各种报复，希望祖国保护他。中国人在自己的土地上被叛国者欺负,541,2019-09-02 23:17
@勒勒的旭青,,最心酸的国歌声，香港必须置于死地才能复生！,456,2019-09-02 23:08
@seeker_yuan,,做了我这种怂货不敢做的事。只能转发支持[加油]加油,338,2019-09-02 23:19
@六十年龙象,,一个人，更显整个学校烂透了,292,2019-09-02 23:20
@今天也是想要努力的一天_,,注意安全！！,267,2019-09-02 22:51
@非欢亦非喜,,我们要保护穿红色衣服的这位同学，被废青包围会不会有危险。求媒体多关注他。看到他一个人的无助眼泪都出来了。广大同学都醒醒吧。。。你们是中国人不要被人看了笑话也别被旁人利用了啊,217,2019-09-02 23:08
