User,Reter,Comment,Votes,Time
@麻烦看到让我滚去减肥,,给你带孩子是出啥事了你天天盯人家看？那你不放心把孩子领回家自己带不就行了,3498,2019-09-05 09:21
@渣男侦探所,,出问题可以要求查看监控，但是不可以监视幼师的工作！没人有这个权利,2972,2019-09-05 09:20
@天蓝1112,,只是希望 出事的时候 监控别坏了,1832,2019-09-05 09:21
@Leon_小廉,,看监控这个本事就是侵犯别的孩子和老师的隐私，另外监控视频到了网上就有被黑的风险，一味强调要看的家长，本身就是不懂法也没有安全意识的,1740,2019-09-05 09:22
@你寡姐姐,,我女儿的幼儿园就可以实时监控，有个账户密码，随时可以登入，但是每次时间有限，想继续看要先退出来再登入。其实我没看超过三次，但是有这个查看的权利我觉得很安心。,1231,2019-09-05 09:22
@核必如此,,钱到位了都好说，月薪十万的话随便看,696,2019-09-05 09:22
@洗个痛快zhao儿,,说支持家长的，你愿意在你的办公室放个摄像头，让你的领导随时随地盯着你吗？,626,2019-09-05 09:24
@我弟名叫骆福来,,你以为你看的是自己的孩子，可在别人家长眼里你也在看他们的孩子。这一点隐私都没有。我也不允许别人监视我的孩子,527,2019-09-05 09:28
@我要操死我自己,,理解，我们这里的幼儿园是每天开放两个小时视频。照顾了双方情绪。,288,2019-09-05 09:21
@404房客,,别人的孩子你有权监控？,317,2019-09-05 09:21
@开心李猪猪,,我女儿已经小学三年级了，从托儿所开始到幼儿园到小学，从来没有家长提出过如此“脑残”的意见，我想也不会有！你真么不信任老师和园方，回家自己带孩子吧，信任是相互的……,245,2019-09-05 09:28
@麦嗝儿nolia,,居然那么多人选应该我的天……实时监控啊什么是实时不知道吗？家长有什么权利实时监控？想过幼儿园一开放实时监控被有心人利用怎么办吗？控制欲收一收好吗？,235,2019-09-05 09:45
@篮球动图大全,,我倒觉得酒店厨房的监控应该给顾客实时看！,174,2019-09-05 09:24
@瑶琴三尺胜雄师,,信任早透支没了，现在哪个幼儿园不让看？,154,2019-09-05 09:21
@中___中,,去年hhl出事的时候，孩子幼儿园安了监控，但是只有公检法有权查看，这个没毛病，家长都可以理解。 如果不放心孩子上幼儿园，那最好还是自己带比较好,158,2019-09-05 09:23
@慕帆丶,,我自己也有幼儿园啊，我们2016年开始就做到了APP全程监控，正常生活与教学区域24小时全覆盖，随时可以查看，厨房区域更是绝对无死角。想怎么看就怎么看。双语教学，艺术教育，社会体验，还有的一样不少～,146,2019-09-05 09:26
@下班之前给我答复,,人家不是怕你实时看监控，是怕有些家长喜欢远程遥控。。。就比如你在工作，客户就全程站你背后不停的瞎指挥，你能舒服吗？当然大部分家长没这么事儿，但一班只要有一两个，那老师这一天就要浪费很多时间去“听话”，人家又不是你家孩子专职保姆,151,2019-09-05 09:33
@帅气C的大虎村,,查看实时监控，你是搞间谍的吗,108,2019-09-05 09:21
@Nonexm,,哪能时时看啊，别的小朋友和老师就没有隐私啊？,96,2019-09-05 09:22
@超级无敌小猴子_,,我家小姑娘上的幼儿园园长说，我们学校每个教室都有监控，如果遇到什么问题，欢迎来我办公室我可以调取监控让你看。但是我们监控不连接家长的手机，我不希望老师对孩子的教育是在监控下完成的，这样对老师也不尊重，彼此首先应该建议信任感，这样老师也会尽心去对待孩子。,94,2019-09-05 10:14
@微薇的心,,领回家自己带吧,73,2019-09-05 09:22
@98-5492,,不要说只想看自己孩子哦，评论里那么多说幼儿园虐童的，不就是担心自己孩子被虐待嘛，说来说去还是想监控老师，一点都不在意别人的隐私会不会被侵犯，你把老师当什么了？既然这么不信任，自己带吧。,81,2019-09-05 10:03
@来杯酒还是咖啡,,那么多选支持的，人的三观越来越崩了，,68,2019-09-05 09:53
@Xiaojiu-c,,天天监控真的有病,56,2019-09-05 09:22
@原图儿,,可以不看，但是有事情的时候就别说监控什么的坏了,58,2019-09-05 09:26
@桃子_啦啦,,为什么不给看，不是怕老师对孩子不好，而是担心家长小题大作，孩子刚上学难免会有不适应的地方，会出现有某个孩子刚开始表现的不合群，孤单的现象。家长看到这种情况肯定很心疼，然后自我放大孩子的痛苦，但是哪个孩子成长没有挫折呢？不是说幼儿园不给看，就是有见不得人的事。ps：我不是幼儿园老师,75,2019-09-05 09:32
@酸酸酸的牛奶,,不放心就在家自己教多好，省得担心,49,2019-09-05 09:33
