User,Reter,Comment,Votes,Time
@今天也得吃饭哦,,百因必有果 你的报应就是我,3113,2019-09-04 18:15
@付月贞Aynur,,我还没有男朋友，你帮我找一个吧！,1849,2019-09-04 18:16
@炸鸡芒果冰可乐,,哈哈哈，连这话都说的求生欲满满,1409,2019-09-04 18:16
@180KG选手,,哥哥你真好看,1121,2019-09-04 18:13
@聃琦鹤儿宝宝_,,哎呀这小表情绝了绝了！,695,2019-09-04 18:15
@酱酱酱油咩---,,这个男的好像易烊千玺和霍建华啊,447,2019-09-04 20:55
@吴所谓拉x,,哥哥你可以的，嘻嘻嘻,320,2019-09-04 18:18
@发国密码,,笑容好暖啊！特别的帅气。,177,2019-09-04 18:19
@老5之新皓,,好的，小黑哥听你的,104,2019-09-04 18:27
@聃琦鹤儿宝宝_,,黑娃子嗓子不舒服？多喝点烫水！,40,2019-09-04 18:25
@不想说我无邪,,哈哈哈哈哈哈笑死我了,44,2019-09-04 18:47
@YourEyess,,我顶！！,26,2019-09-04 18:13
@辣条泥,,求生欲原来就是这样的,10,2019-09-04 21:02
@蓝西兰花,,帅气的小哥哥，心动了,18,2019-09-04 18:20
@SG仙人掌,,这个视频我是不是看过,7,2019-09-04 18:20
@只想爱昊昊,,哎呀妈呀  我们老黑上热搜了,5,2019-09-04 21:49
@祎RUAI,,记得有空回来看看我和孩子,2,2019-09-04 22:18
@琳恩是我,,泽哥的演绎太完美,3,2019-09-04 21:14
@不哭不闹不炫酷,,爱笑的男孩，最迷人,4,2019-09-04 19:24
@c洁大大来巡山zzZ,,黑泽你喉咙怎么了？！哈哈哈哈哈怎么老咳啊,5,2019-09-04 18:12
@柯南哎呦喂,,太可怕了，你这个朋友真的是猪队友，太坑了，远离他,3,2019-09-04 21:10
@烧烤仙女,,求生欲太强了,3,2019-09-04 19:19
@叫我佳佳好了AoA,,求生欲极强的小黑,2,2019-09-04 23:09
@山竹舞秋风,,太真实啦,3,2019-09-04 21:36
@七个咕噜噜,,@JANEL99 小包本包,1,2019-09-04 18:51
@矫情不存在,,哥哥的笑容好帅,4,2019-09-04 19:23
@海底月是天上月loves,,哥哥，缺女朋友不,0,2019-09-04 20:56
@皎是月,,,0,2019-09-04 20:50
@傻猪傻队友,,做人不容易啊,2,2019-09-04 19:48
@微微大博主,,求生欲不错,2,2019-09-04 19:43
@大微博主,,求生欲不错啊,2,2019-09-04 19:39
@大连星海湾,,满满的求生欲啊,2,2019-09-04 19:30
@还是那个君君,,你的尬笑好像韩美娟,1,2019-09-05 13:31
@小香竹子,,这个笑容好撩！,1,2019-09-04 23:29
@姝媛小姐姐,,果然求生欲很强嘛！,1,2019-09-04 23:06
@-Hooooy-,,热搜通知书！,1,2019-09-04 22:25
@月下漫步独赏,,满满的求生欲啊,1,2019-09-04 21:21
@爱吃零食的小涵,,被泽哥的笑容迷住了,1,2019-09-04 21:11
@不吃南瓜吃东瓜,,你是我的男朋友，我对你温柔,1,2019-09-04 21:08
@河豚泰国公主,,庸俗,1,2019-09-04 21:07
@_看看太阳,,不好意思，我没有男朋友,1,2019-09-04 21:01
@不想说我无邪,,哈哈哈，哥哥你被逮到了吧,1,2019-09-04 20:57
@粉红色的榕,,男生真的是太难了哈哈哈,1,2019-09-04 20:53
@夜猫子汪汪汪,,哈哈哈我只想笑，求生欲太明显了！,1,2019-09-04 20:51
@穆木tu,,好帅啊！！！,1,2019-09-04 20:44
@梦潇丫丫,,泽哥，爱你就对了,1,2019-09-04 18:25
@粉鲸鱼西西,,今天也帅帅的,1,2019-09-04 18:23
@伟盈睿,,男朋友的标准选择。,1,2019-09-04 18:22
@囍祉浪,,表白我的小哥哥，敲击爱你,1,2019-09-04 18:22
@_SHIKI__,,说实话不好吗,1,2019-09-04 21:49
@放手是原谅不翻旧账,,阿泽太难了，这要求生欲得满分吧,1,2019-09-04 19:26
@婷婷婷baby-l,,黑娃子你竟然看其他女生,1,2019-09-04 19:23
@菲言诺诺,,太真实了哦,1,2019-09-04 19:14
@亭林镇老三,,笑的真暖,1,2019-09-04 18:16
@逐梦路上hy,,我是第四个，哈哈,1,2019-09-04 18:10
@Yimo_艺默,,@CFTOAndCTL 好帅啊迷上了,0,2019-09-26 18:57
@甜咬咬,,我说实话这小哥演技不错的！,1,2019-09-05 10:17
@z小姐na,,黑泽啊啊啊啊啊啊,0,2019-09-05 08:23
@一闪一闪Estrela,,今天也是跟黑泽网恋的一天,0,2019-09-05 08:02
@鹿鸣是余生啊,,黑娃子你又来和付老丝谈恋爱了,0,2019-09-05 06:01
@就试下名字这么长可不可以,,@Vana张亦文 I’m in love,0,2019-09-05 05:43
@而他与他,,有多一般,0,2019-09-05 01:19
@会走路的芒果君,,哎呀，这哥哥甜的我都想恋爱了哈哈哈哈,0,2019-09-05 01:10
@Slpueeeny,,帅死了,0,2019-09-04 23:35
@小贝不加香菜,,太像了哈哈哈还哈哈,0,2019-09-04 23:04
@短毛猫兮,,你怎么这么会演戏！,0,2019-09-04 22:09
@溜溜的南瓜,,得过且过吧哈哈哈,0,2019-09-04 21:39
@hapwyy,,哈哈哈哈,0,2019-09-04 21:30
@育还是那个育,,哈哈哈哈，喜欢泽哥比心心哈哈,0,2019-09-04 21:07
@Ariga-,,行吧,0,2019-09-04 20:59
@草莓味的萌妹吖,,哈哈哈，我想说对男朋友可能才是真爱哈哈哈哈哈哈哈,0,2019-09-04 20:52
@祖国的小花见一朵掐一朵,,@是七月呀- 啊哈哈哈啊哈哈哈,0,2019-09-04 20:45
@喜欢老番茄的酸茄果炒鸡蛋,,别以为我记不得这视频是你发过的,0,2019-09-04 19:52
@LEEYEESIN,,@鱼鱼今天也要开心呀 ,0,2019-09-04 19:47
@秋风揽明月,,哈哈哈 活着真难,0,2019-09-04 19:18
@布丁奶茶都是糖,,哈哈哈哈笑死我了,0,2019-09-04 19:10
@棠梨圆子,,笑起来好像易烊千玺啊,0,2019-09-04 19:08
@仁川DEI,,小黑哥哥你剧本都谁给你写的,0,2019-09-04 18:48
@米子脆,,日常表白你！,1,2019-09-04 18:24
@小屿是座孤岛哇,,黑娃子你白了,0,2019-09-04 18:22
@linxlg,,一给无力giaogiao,0,2019-09-04 18:22
@谁家的郭小妹,,就冲你说的这句话，对他温柔一天吧,2,2019-09-04 21:09
@水溶西最爱,,哈哈哈哈那几声咳太到位了,2,2019-09-04 19:15
@做个温柔人叭,,笑起来真好看！ 评论配图,2,2019-09-04 18:16
@obsessionmlt,,@Das_BBer ,1,2019-09-05 09:00
@UglyXXX,,求生欲这个词太臭了,1,2019-09-05 07:10
@Aimee_hhx,,啊啊啊啊黑泽！,1,2019-09-05 00:17
@bulabulalala,,"MD,劳资一个男的都逗笑了",1,2019-09-05 00:09
@plurity,,@双猪座的饭小花哈哈哈哈哈哈,1,2019-09-04 21:10
@执筆話情,,没男票，你负责分配吗,1,2019-09-04 20:42
@乐观的胖虎,,好帅气呀！！！！,1,2019-09-04 19:42
@寻找幸丶福,,哈哈哈求生欲满满,1,2019-09-04 19:25
@Coral拾瑜,,,1,2019-09-04 19:24
@狗血言情剧二号女配,,@ppi小彭友 ,0,2019-11-13 12:52
@金多多多多多多多多多多多多多,,爱你,0,2019-11-08 21:11
@_sumesh,,每天看一百遍跟着傻笑一百遍都不烦,0,2019-11-06 23:32
@千与千千啊,,也就看了10来遍,0,2019-10-31 18:02
@官溯源全球粉丝后援会会长,,老视频啦~,0,2019-09-29 17:52
@没共你饮过冰,,我太可以了！！！,0,2019-09-22 22:27
@仇家太多不愿意暴露名字,,庸俗,0,2019-09-22 21:43
@做个快乐的左撇子肖,,@弓弦月2009,0,2019-09-17 18:18
@luzz_紫,,库存呀我都啃了无数遍了,0,2019-09-15 23:15
@许可思密达,,,0,2019-09-13 22:59
@赴饯,,黑娃子爬,0,2019-09-08 08:39
@做个养生的大婧儿-,,黑娃子变了，又变得帅了一点,0,2019-09-08 00:49
@小张朋友的熊猫眼,,今天这个一般，那昨天看的呢~,0,2019-09-07 21:53
@luzz_紫,,我最喜欢得一个视频 哈哈哈 没有之一,0,2019-09-06 21:55
@住在云朵上luxuriate,,昨天看的哪个？,0,2019-09-06 21:33
@是你得不到的懿姐,,哈哈哈哈哈哈哈哈哈哈哈哈哈太逗了,0,2019-09-05 18:06
@小FAIRY7,,感觉我拿着手机傻笑着像个傻子哈哈哈哈哈哈，太甜了～,0,2019-09-05 16:06
@_LEESH,,又是和黑娃子网恋的一天呢 虽然是哑巴 但依旧开心,0,2019-09-05 15:57
@风吹海浪朵朵花,,好帅,0,2019-09-05 12:05
@Lesly5,,我一个老阿姨看的都笑出了声,0,2019-09-05 11:47
@喵萌萌是个小太阳,,哈哈哈哈哈哈，黑泽完美演绎,0,2019-09-05 07:45
@我的鸡汤博,,这颜值我粉了 太帅了吧,0,2019-09-05 07:33
@暮烟渺,,很早的视频了吧,0,2019-09-05 07:29
@kirilul,,哼！！,0,2019-09-05 07:24
@毛嘚嘚-,,热搜了 你摊上事儿了,0,2019-09-05 07:23
@MMM的小可爱,,哈哈哈哈哈哈哈黑泽,0,2019-09-05 07:12
@女茕,,飘了飘了黑,0,2019-09-05 06:47
@刘笑晨,,@刘家宏_,0,2019-09-05 06:30
@扑通扑通我的人生___,,飘了飘了 热搜了,0,2019-09-05 05:19
@林更新的前世情人,,开始突然傻笑真的四字弟弟的cuoj,0,2019-09-05 01:50
@未从拥有0919,,帅,0,2019-09-05 00:47
@萧南絮爱称萧希希,,这个小哥哥还挺好看,0,2019-09-05 00:42
@很忙有作业,,这个男孩子好帅啊啊啊,0,2019-09-05 00:42
@一桶小鱼干也不能少,,@Lelouch-Lamperoge,0,2019-09-05 00:04
@英啊妹,,黑泽 你是变白泽了吗？？？呜呜呜 感觉比我都白了啊,0,2019-09-05 00:00
@当代白日梦粉碎机,,黑泽好帅我好爱,0,2019-09-04 23:53
@人生海海lu,,我泽上热搜了真感人,0,2019-09-04 23:40
@钮祜禄huanhuan,,小哥哥好帅啊，像千玺，像林更新，有时候又有点像霍建华,0,2019-09-04 23:28
@尉晨煜,,好帅啊，笑到我心里去了，我要关注你,0,2019-09-04 23:19
@从心你就怂了,,帅死啦，我要关注了,0,2019-09-04 23:18
@泷泽萝媛,,宁也太可爱了,0,2019-09-04 23:09
@JIA嘉宁·,,哈哈哈好帅哈哈哈哈好帅,0,2019-09-04 23:08
@仙女味儿的CD宝儿,,我实在太喜欢你笑起来的样子啦,0,2019-09-04 23:07
@張静誩,,哇哦 黑泽,0,2019-09-04 23:05
@无网人士,,热搜有小黑泽,0,2019-09-04 23:02
@克拉克芸芸,,表情太抓人了吧,0,2019-09-04 23:01
@阳梦李-lmmmy,,您热搜了,0,2019-09-04 22:48
@名字难起啊嘎嘎,,这波优秀,0,2019-09-04 22:46
@青春若有颗不老的心,,有点像千玺又有点像霍建华,0,2019-09-04 22:07
@JeongJyeo,,笑的太好看了吧！,0,2019-09-04 22:07
@樱桃小丸子wo来了,,你这样的才会有女朋友,0,2019-09-04 22:05
@珊珊的黄,,行吧，生气了,0,2019-09-04 21:56
@今天也是要努力的一,,爱了爱了,0,2019-09-04 21:50
@招财旺财全能人才,,这种场合我从不动手，只动脚,0,2019-09-04 21:47
@小疯子Double,,哈哈，泽，喜提rs,0,2019-09-04 21:42
@自娱自乐Studio,,#当代男生的求生欲能有多强#  这满满的求生欲都要从屏幕溢出来啦！ 最后的笑容有没有融化了你的心？,0,2019-09-04 21:41
@歪理大师姐,,看到哥哥，有种恋爱的感觉啊,0,2019-09-04 21:41
@筱筱小朋友吖,,哈哈哈心疼，但我绝不温柔,0,2019-09-04 21:38
@我有一个超A的微博名,,好帅哦 有林一霍建华的影子,0,2019-09-04 21:38
@闹闹市中心,,居然在微博看到了,0,2019-09-04 21:38
@几百个月大宝宝,,现在的男生好甜啊,0,2019-09-04 21:35
@只想爱昊昊,,哈哈  好喜欢你 李泽,0,2019-09-04 21:34
@是一弦吖,,爱了,0,2019-09-04 21:23
@肉丸小圆子的玫瑰,,好开心，,0,2019-09-04 21:19
@yarnsq,,天呐你太可爱了,0,2019-09-04 21:19
@鱼儿香菜,,泽哥是我的理想型男友,0,2019-09-04 21:15
@萤火囧,,哎哟，好喜欢你的笑容哦,0,2019-09-04 21:14
@周周95977,,完了黑泽被自动分组在美女里了。黑珍珠？,0,2019-09-04 21:10
@justlivewell617,,好帅呀,0,2019-09-04 21:08
@啸篠啸,,哈哈哈哈，泽哥笑起来太帅了啊,0,2019-09-04 21:05
