User,Reter,Comment,Votes,Time
@小炮炮丶炮,,旁边日本人怎么笑那么开心,16,2019-09-05 14:31
@杨阿帆帆帆,,怎么感觉救援的人笑,14,2019-09-05 14:34
@我是幼稚园的那个谁,,想认识这个直播记者小哥哥~,4,2019-09-05 14:20
@咸鱼诗蓝,,还有事要经过神奈川，麻烦。。,5,2019-09-05 14:44
@Yamazaki-Aisu,,橋問題？？？,1,2019-09-05 18:43
@梦想旅行B787,,京急线,0,2019-09-05 14:28
@Agent_Bart,,平安,0,2019-09-05 14:12
@郑州帥哥00,,人家之前不抢橘子，咱们出这事你试试看,1,2019-09-05 19:38
@细雪的月光,,日本的交通真的是. 不！方！便！,0,2019-09-05 20:34
@一颗特别菜的特别的菜,,你看他们笑起来的样子像不像当年日航123泡温泉的自卫队,0,2019-09-05 18:27
@kooolooovv,,希望平安,0,2019-09-05 14:11
@kooolooovv,,？,0,2019-09-05 14:11
@小丑辉你给我站住,,我天，好恐怖，愿平安,0,2019-09-05 14:05
@Okami·,,幸好我上午在睡觉,0,2019-09-06 11:15
@90后的风轻云,,平安,0,2019-09-05 20:33
@Pickey917,,记者播报的很好哇,0,2019-09-05 18:40
@成醴,,望平安,0,2019-09-05 18:25
@野原新之助·五岁,,太吓人了,0,2019-09-05 17:54
@小qiu同学521,,去学校的车都没有了,0,2019-09-05 16:25
@小qiu同学521,,卡车司机死亡了,0,2019-09-05 16:25
@小qiu同学521,,死了1人,0,2019-09-05 16:24
@宋远智l,,明天之前能恢复吗,0,2019-09-05 16:15
@aa溜达玩儿,,等会下班怎么办,0,2019-09-05 15:01
@卢瑟堡堡主,,想看道歉,0,2019-09-05 14:59
@银联在线商城日本馆,,但愿人愿安好，珍爱生命，安全驾驶。,0,2019-09-05 14:36
@小炮炮丶炮,,这里的特急列车是和国内的特快列车是一个意思吗,0,2019-09-05 14:30
@小炮炮丶炮,,行车不规范，亲人两行泪,0,2019-09-05 14:28
@小炮炮丶炮,,应该是很古老的线路了，周围建筑密度那么高,0,2019-09-05 14:26
@小炮炮丶炮,,日本的这趟特急列车是货车还是客车啊,0,2019-09-05 14:24
@飆馬野郎_,,。。。还以为是印度新闻，日本居然也能出卡车撞火车这种事,0,2019-09-05 14:22
@小炮炮丶炮,,这起事故的原因是什么啊,0,2019-09-05 14:20
@飛鳥熤空,,@草莓酱酱j 横滨,0,2019-09-05 14:16
@koneko,,,0,2019-09-05 14:07
@此生吾爱大小熊,,日本这么严谨的国家怎么会发生这种事？我不信我不听,0,2019-09-05 16:00
@糯米饭63385,,小日本,0,2019-09-05 20:06
@Six妮妮,,一名五十多岁男停止心跳,0,2019-09-05 19:17
@北方-劲松,,安全第一。,0,2019-09-05 17:22
@冻壳壳,,电车司机没事吗,0,2019-09-05 14:28
@冻壳壳,,那岂不是要停好多辆电车了,0,2019-09-05 14:25
@冻壳壳,,是栏杆没及时放下来吗,0,2019-09-05 14:20
@刘筱翊,,没人,0,2019-09-05 18:22
@刘筱翊,,,0,2019-09-05 18:22
@藕片有点甜,,有群众伤亡吗,0,2019-09-05 16:16
@Okami·,,幸好我上午在睡觉,0,2019-09-06 11:15
@细雪的月光,,日本的交通真的是. 不！方！便！,0,2019-09-05 20:34
@90后的风轻云,,平安,0,2019-09-05 20:33
@糯米饭63385,,小日本,0,2019-09-05 20:06
@郑州帥哥00,,人家之前不抢橘子，咱们出这事你试试看,1,2019-09-05 19:38
@Six妮妮,,一名五十多岁男停止心跳,0,2019-09-05 19:17
@Yamazaki-Aisu,,橋問題？？？,1,2019-09-05 18:43
@Pickey917,,记者播报的很好哇,0,2019-09-05 18:40
@一颗特别菜的特别的菜,,你看他们笑起来的样子像不像当年日航123泡温泉的自卫队,0,2019-09-05 18:27
