User,Reter,Comment,Votes,Time
@山东少年先锋队,,你可以等警察走了再跳回去,7465,2019-09-05 08:02
@父母的bot,,以后找个没人的地方死哦,5084,2019-09-05 08:04
@于与菊,,这种人就应该再踹回去，丢人现眼的玩意,2151,2019-09-05 08:01
@晴川姐姐,,不值得救,727,2019-09-05 08:01
@阅读手记,,那再给它放回去吧,608,2019-09-05 08:02
@浅藏-,,可能一瞬间的情绪化吧，但人生路本就艰难险阻，还是要自己救自己。警察叔叔很棒。,313,2019-09-05 08:11
@OnlyHotGuy,,踹下去,275,2019-09-05 08:02
@牡丹丶正宫娘娘,,不知好人心 ,174,2019-09-05 08:03
@功夫熊猫xm,,一键放生吧,163,2019-09-05 08:01
@徐研玲,,平静后表示感谢了，但是有点心疼民警,187,2019-09-05 08:06
@JAM_299,,可能是那一瞬间害怕了 之后恢复情绪就好了,78,2019-09-05 08:06
@熊宝宝会卖萌,,白眼儿狼,62,2019-09-05 08:02
@大肥肥肥柴,,在情绪平静之前 我能一脚把她踹回去,60,2019-09-05 08:04
@丹妮儿幸福哦,,估计脑子进水了,55,2019-09-05 08:05
@刘家小女才子,,别等她平静下来啊，说完那句话，就直接在给扔回河里,35,2019-09-05 08:21
@美好小石集,,要是我这暴脾气，果断把它给再扔进去,33,2019-09-05 08:21
@墨染笙歌,,再怎么心情不好，也不能对救自己的人这个态度，人家也是冒着生命危险去做这个事的，可以不出声，但是怼人是不对的。,37,2019-09-05 08:15
@非著名特警,,民警救起落水女子后被怼......不要这么情绪化,7,2019-09-05 09:39
@哎吖小面货,,那你特么能不能找个没人能看见你的时候跳,12,2019-09-05 08:39
@风华正茂的旺哥哥啊,,让我想起了复旦黄山十八驴，可悲,10,2019-09-05 08:27
@IZhongduwei007,,亲 这边建议您下次si远点。。。,10,2019-09-05 09:19
@萌星人宠物日记,,成年人了想清楚再说话,4,2019-09-05 08:48
@-浮生白忆-,,好心喂狗了可还行,9,2019-09-05 08:01
@忘性大于记性95,,评论里的“好人”如果把这个新闻和为了救人殉职的新闻放一起看，就不会这么圣母了吧,7,2019-09-05 10:41
@Optimistic·Adam,,那你自己回到河里去吧  然后自己想办法上来   不上来也行,5,2019-09-05 09:16
@俄罗斯军事主题游,,死了也可以,6,2019-09-05 08:01
@麦草jay,,素质真的很重要,4,2019-09-05 09:11
@翯宁,,看清楚了看见最后一句话了，什么平静下来表示感谢，呵呵，肯定做什么亏心事了，不然这么气急败坏干啥，正常人可不会被救还这么生气的,7,2019-09-05 08:32
@左手已穿越,,求你把她扔回水里,5,2019-09-05 08:38
@阳光罐子214,,有本事，到一个无人烟的地方去跳。。敢吗,2,2019-09-05 12:11
@为啥你们都是会员QAQ,,傻玩意双商低还没素质,2,2019-09-05 12:00
@喵胖和她,,顺手再扔回去不就好了,2,2019-09-05 11:43
@Anny_Q_serenity,,给她扔回去。,3,2019-09-05 08:29
@星落妩攸,,虽然生命诚可贵，但是我是真的想把她踹下去,1,2019-09-07 18:46
@白色呓语,,从哪救的送哪去,1,2019-09-06 07:34
@美女梦可,,下次就别救了，让她死吧。生命就只有一次她不珍惜那怪不了别人何况她还不懂感恩。如果是得了抑郁症那另当别论毕竟抑郁症的人是生病了不是自己想要结束生命的。,1,2019-09-05 11:03
@幸福的露出屁屁,,这种人反手就应该拘留！,1,2019-09-05 08:29
@田地梁心,,呦，不好意思，耽误您投胎了！祝您下次成功。,1,2019-09-05 08:22
@cj565,,艾草，那你挣扎个毛，直溜溜沉下去不好吗,1,2019-09-05 08:17
@铁棍山药的土琵琶,,其实自杀的，我一般是不支持救的，因为会有机会害死解放军、消防员或者其他市民！,2,2019-09-05 08:17
@蔡徐坤的小芳,,？？,1,2019-09-05 08:02
@多巴安NANA,,...,1,2019-09-05 08:01
@Spitt贤才,,那你再下去,1,2019-09-05 08:01
@流年VS假面,,神经病啊，这女的,0,2019-09-05 09:43
@能把头笑掉吗,,？？？？什么人,0,2019-09-05 22:00
@柚柚姐姐爱Apple,,这种人…,0,2019-09-05 20:56
@迷鹿SAMA的微博,,以后多换几个地方试试 越偏越好 别浪费警力资源了,0,2019-09-05 17:48
@非著名宅男频道,,农夫与蛇,0,2019-09-05 16:08
@宁珂儿,,不值得，给他扔回去吧,0,2019-09-05 15:23
