User,Reter,Comment,Votes,Time,Count
@九顶山老怪,,不说了，咋们扛八一军旗,7386,2019-09-05 10:09,1
@珠山人,,国旗可进奥运会，但鬼子军旗不能进入，国际奥委会应该禁止。,3839,2019-09-05 09:37,1
@稀有的希,,韩国人这点还是比较有骨气的,425,2019-09-05 11:11,1
@斯文的痞子挚,,我觉得这个可以联合抵制，亚洲这些国家深受其害，不能忘记历史，更不能让日本军国主义这么冠冕堂皇的换个新衣服。哪怕连一丁点苗头都是对他国悲惨历史的又一次践踏！,321,2019-09-05 11:27,1
@kjj1415926,,若是旭日旗在东京奥运会上升的话，中韩朝应该共同发表声明，不参加！,197,2019-09-05 09:53,1
@傻批真多,,这就是所谓的日本人，表面跟你客客气气，礼貌的很，好像很文明。内心都有一颗扩张充满军国主义的种子，希望那些精日能早日看清。,148,2019-09-05 11:29,1
@西红柿炒鸡不要蛋,,那就热烈庆祝广岛长崎核爆呗,144,2019-09-05 11:37,1
@而你总是温酒饮药笑谈她嘱,,两颗核弹还没敲醒日本人吗，还是扔的少了，战争的痛苦忘记得太快了,104,2019-09-05 11:37,1
@-临渊而望,,你们咋不扛着靖国神厕里的死鬼进入会场呢？,89,2019-09-05 11:39,1
@你不操心我名字,,当初部署萨德的时候棒子可厉害了！现在这个时间想起中国了，有趣,39,2019-09-05 11:18,3
@特浓美式不加奶,,中国进场时候用大喇叭360°播放裕仁天皇投降诏书,40,2019-09-05 12:40,1
@东蔡鸟,,中国肯定不管，毕竟现在要和日本搞好关系,30,2019-09-05 10:13,1
@張浩翔pri,,中韩友谊靠日本,30,2019-09-05 11:15,1
@Y刑怿,,蓝鹅颁奖的时候那帮举旭日旗的孙子们却不得不听《义勇军进行曲》看五星旗升旗，气不气？,31,2019-09-05 11:15,1
@Weirdo-snm,,日本这是要宣扬法西斯思想吗？不过他们好像也从来不觉得自己有错,23,2019-09-05 11:35,6
@爱吃各种鱼的大猫,,到时候扛八一军旗，现场除了唱国歌，再来一首：大刀向鬼子头上砍去。,21,2019-09-05 11:31,1
@南湘说,,那我们扛八一军旗去参加东京奥运会吧,21,2019-09-05 11:16,2
@_一閃一閃亮瞎眼,,没听说过体育比赛带军旗进场的！还是法西斯产品！美国人在太平洋上也见过这军旗吧！,16,2019-09-05 11:39,3
@FayFay小朋友,,莫名其妙要带旭日旗进去 什么居心啊日本 没国旗吗 偏偏在自己的国土上举办奥运会要这样做 示威吗？,12,2019-09-05 11:35,1
@vov女王陛下,,这是什么旭日旗，明明就是大姨妈全漏的图标,12,2019-09-05 11:51,1
@云月无羁,,中国必须反应,18,2019-09-05 09:40,1
@红泥小火炉丷暖,,敌人的敌人就是朋友,10,2019-09-05 11:17,1
@盛不盛世我都安宁,,那是不是纳粹余孽能扛着卍字旗进会场？,14,2019-09-05 11:44,1
@Yan闫放Fang,,用呗，一个破国旗把你们吓成这个样，我就不信日本能靠这国旗能打败中国,5,2019-09-05 11:30,1
@D喵喵_,,老毛子干掉他 评论配图,4,2019-09-05 13:33,1
@李小路的贾奶亮了,,那到时候我们可以把日本战败朗读投降那段录音录下来，一人扛个音响轮流放呗,7,2019-09-05 12:40,3
@小新的书虫,,当初是谁死活都要安装美国的萨德的？,5,2019-09-05 11:58,1
@篮球真爱,,守住希望！重拾信心！中国男篮力擒韩国，郭艾伦命中大心脏三分，阿联生死时刻献死亡抢断，保住了直通东京奥运会的门票。看到大姚最后一节，一直站在中国队替补席，全场进球就鼓掌，无论谁下来，都主动和队员击掌，给与鼓励，为了中国男篮，真的操碎了心，还好，今天赢了 评论配图,1,2019-09-07 03:32,2
@那些随风而逝的时光,,@奥林匹克运动会 日本东京奥运会要带纳粹标志的旭日旗，处理一下，别等我们的怒火,6,2019-09-05 11:42,3
@郎佛音,,那我们进场的时候能不能要求放日本投降时的影像,5,2019-09-05 11:38,2
@朱海文非主流865,,旭日旗是日本军国主义的象征，我们反对日本仔用旭日旗,5,2019-09-05 12:18,1
@爱美的小豆芽m,,要不韩国别去了，给奥运场地一片净土，然后，说不定这个举动，还能阻止旭日旗进奥运呢，一举两得,5,2019-09-05 12:09,1
@房姐说房事,,日本很飘啊,2,2019-09-05 13:24,1
@小爷很雅,,照日本这样子说，那我奥运会吹冲锋号也行了?,4,2019-09-05 12:30,1
@无根的ye,,本来以为换个首相会好一点，没想到都是一丘之貉，垃圾！,2,2019-09-05 12:08,1
@星语心愿QIng,,死不悔改，贼心不死,3,2019-09-05 11:57,1
@因为是会员所以可以改五次名,,日本咋想的？？脑子被门夹了吗,1,2019-09-05 11:51,1
@战略忽悠局fmq,,咱们是大国不跟省一般见识,3,2019-09-05 11:42,1
@孟哥兜里的小叮当,,这个必须禁止，旭日旗代表的是日本军国主义,6,2019-09-05 11:40,1
@Mirror_小鱼,,生气,2,2019-09-05 11:13,1
@是喵星人不是毛球,,战败国法西斯的军旗都能进场，我觉得这不是中韩朝和其他亚洲国家要抵制的问题了，所有饱受二战伤害的国家都该抵制。,2,2019-09-05 12:49,1
@Mr吴默,,小日本是不是疯了。这是公开支持右翼，当世界人民是傻子吗,3,2019-09-05 12:13,1
@种花家阿中哥哥的脑残粉,,这就充分揭露了日本军国主义之心不死啊！,3,2019-09-05 11:53,1
@高个子大瘦子大长腿,,那我们把原子弹的蘑菇云打印在旗子上带过去吧,2,2019-09-05 11:44,1
@WAFER·韦弗,,青天白日旗 和八一军旗 都举着进场 让小日本看看,4,2019-09-05 11:33,1
@宇宙大王皮拉夫,,我国运动员乘坐轰20和航母去日本参赛，这不过分吧,1,2019-09-05 14:23,1
@昂旭,,看看人家韩国，就应该整整小日本，小日本亡我之心不死！从上海的军刀楼和南京的刀把楼就可以看出，日本的很多大财团多年以来简直是韬光养晦的想整我大中华，从根上欺负我们,4,2019-09-05 14:16,1
@JMaster第一候选人,,联吧,1,2019-09-05 13:54,1
@金坷垃123456789,,进场中韩各扛一颗原子弹模型！就是那两颗小男孩和大胖！小日本欺人太甚了！,1,2019-09-05 12:59,1
@NJ勐子,,那我们中国队每人举着南京大屠杀遇难者照片入场,1,2019-09-05 12:57,1
@想不到名字的一天,,不要拿侵略文化污染体育行吗,4,2019-09-05 12:39,1
@轩辕末,,联合抵制，不去东京,2,2019-09-05 12:30,1
@奔跑猿,,奥运象征的是和平，军国主义的旗帜 不应该在奥运会上出现，而且又是日本自己在 本土举办奥运会，日本曾经的这面旗帜给 亚洲各国 都带来了非常大的伤害，让它出现在奥运会不合适,3,2019-09-05 12:13,1
@跺跺跺跺脚,,拿我的八路军军服过来,1,2019-09-05 11:57,1
@吾不能寐,,等下日本禁半导体材料输出中国怎么办？,2,2019-09-05 10:45,1
@kevinsong123,,这次和希特勒举办那次奥运会有点像,0,2019-09-05 16:29,1
@慕洋畜死光光,,棒子国终于准备做人事了,1,2019-09-05 13:40,1
@hywyr119-11Kam,,严重支持！这是军国主义旗帜！,2,2019-09-05 12:37,2
