User,Reter,Comment,Votes,Time,Count
@97-哈哈,,能个屁啊 尼日利亚赢韩国40+,347,2019-09-06 22:16,1
@桑木未陨,,jp天皇点赞,530,2019-09-07 12:28,1
@心诚已北,,今天打发肯定不能，打波兰那样的表现就有机会，除了最后的失误不算。加油,177,2019-09-06 22:17,1
@flywk,,尼日利亚小组赛108-66韩国，排位赛中国77-73韩国，所以最后一场，中国惨败尼日利亚。,56,2019-09-06 22:16,1
@1belieber3,,自信点好不？,3,2019-09-06 22:42,1
@鸿福在明,,成功收米舒服 评论配图,2,2019-09-06 22:18,1
@Vinci只会打字,,理智讲有点困难，但还是往死了干，最后一场了，中国加油！,15,2019-09-06 22:17,1
@小喵佩徐,,死磕到底[加油],5,2019-09-06 22:16,1
@与善仁言善信,,盲猜，广东球迷，不信，去看！ 评论配图,5,2019-09-06 22:28,1
@大寺沟酸菜集团本溪CEO,,主要看我辽双子星今晚被招待的好不好，不然下场演你，李楠还得背锅,2,2019-09-06 22:16,1
@17-giao,,无内鬼,14,2019-09-07 12:23,1
@就无与伦比继往开来吧,,所以你总是看不起，所以你总是不信相信。 所以你有什么资格当看客？,2,2019-09-06 22:51,1
@zerorq,,中国真实实力在32球队25左右，只比韩国，日本，菲律宾，约旦，塞内加尔，科特迪瓦，安哥拉，强一点点，发挥不好也有可能输球，所以别妄想16强，踏踏实实练好基本功 评论配图,3,2019-09-06 22:17,1
@snkrsss,,讲真的，我敢想,3,2019-09-06 22:16,1
@你不在乎2012,,看完这场，我觉得应该被虐死，打个韩国都费劲,3,2019-09-06 22:19,1
@小刘游啊游啊游啊游endless229,,万一…尼日利亚拿了之前中国队的剧本？或者土耳其的也行,4,2019-09-06 22:19,1
@取个什么名字呢哈哈哈,,尼日利亚可难了。今天赢韩国也没那么容易啊。,4,2019-09-06 22:17,1
@老子就是17怪,,白斩鸡你敢信？,2,2019-09-06 22:19,1
@风休意凄凉,,波兰不强吗，还不是拼成那样，一切皆有可能。,4,2019-09-06 22:18,1
@周巧灵,,相信奇迹！老天保佑！,0,2019-09-06 23:14,1
@腐棱囧棍君,,不要奶！上两场也这么说！,2,2019-09-06 22:16,1
@本溪小孟,,非洲球队人来疯，只要开局把他们打乱，给他们打急，就有机会，千万不要让他们连续得分,3,2019-09-07 05:13,1
@我是家有12,,不投票了，我不想往那个框里点，我就是怕,1,2019-09-06 22:35,1
@安静的橘十五,,哈哈哈哈几个菜喝这样  还有选赢的今天韩国两个主力没打还被垫下去一个赢四分,1,2019-09-06 22:32,1
@DD_REGAL,,想必一定是非洲的朋友把我们抬进世界杯,1,2019-09-06 22:32,1
@Austiiiiiiiin,,加油吧，虽然真的很难,0,2019-09-08 12:40,1
@VlogX,,,0,2019-09-08 06:59,1
@860318磊,,怎么可能赢尼日利亚，做梦呢么,0,2019-09-08 00:58,1
@智力保护谐会,,奥克吉和阿米奴能把中国的后卫和锋线爆成渣,0,2019-09-07 18:32,1
@SuperYue子,,我参与了@中国篮球 发起的投票【中国男篮下一场能击败尼日利亚吗？】，我投给了“能”这个选项，你也快来表态吧~,0,2019-09-07 14:40,1
@猥-琐-发育-别-浪,,别以为尼日利亚很好打，客观的人觉得很难，觉得能赢的更多只是主观的期待。,1,2019-09-07 12:39,1
@初心45492,,能,0,2019-09-07 12:37,1
@宝贝第8,,你民工,0,2019-09-07 12:36,1
@Viteor201703,,不战自溃,0,2019-09-07 12:36,1
@啊杨芳空间005,,111,0,2019-09-07 12:33,1
@温吞水93500,,还不能笑太早！,0,2019-09-07 12:30,1
@李小咪5400,,哦哦,0,2019-09-07 12:28,1
@什么都没有了当初,,加油中国,0,2019-09-07 12:26,1
@鹤岗东哥,,期待中国男篮赢下呢，尼日利亚，取得东京奥运会入场卷，让中国男篮在奥运赛场再创辉煌,1,2019-09-07 12:13,1
@落霜满地残花惜丶,,,0,2019-09-07 11:52,1
@平凡人生不平凡123456,,赢了能怎么样，进奥运还得上火！,0,2019-09-07 10:19,1
@康斐灯Watermelon,,看非洲兄弟政治觉悟了,0,2019-09-07 10:13,1
@北理工金哨,,晚上了，你在这儿做梦可以理解你。,0,2019-09-06 23:33,1
@诗与远方黎进开,,三分球很重要，三分球很重要，三分球很重要，三分球很重要，三分球很重要，三分球很重要，三分球很重要，中国队很需要，我可以帮中国队培养三分谢手，中国队用2分球赢了韩国3分球，中国队如果有3分就是90-120的得分，可惜呀。中国队需要三分教练，中国队需要我去做三分教练。,0,2019-09-06 23:27,1
@Leezh-713,,相信非洲兄弟,0,2019-09-06 23:27,1
@有点暴躁吧可能,,能不能真不预测，,0,2019-09-06 23:15,1
@sukywong8,,这次拿不到入场券就没机会了吗？,0,2019-09-06 23:10,1
@中距离急停跳投,,某些喷子黑子酸子，成天郭艾伦独，不传球，结果人家一场8个助攻，一场4个助攻，今天又5个助攻。李楠带了5个后卫，除了郭艾伦以外剩下那四个，哪个有郭艾伦的助攻数多？？,1,2019-09-06 23:01,1
@牵你手74647,,希望能用阿布都沙拉木,1,2019-09-06 23:00,1
@江皮球-Tiger11,,下一站加油，赵睿我觉得没毛病啊，两次假摔的吹罚我感觉不合理,0,2019-09-06 22:59,1
@呀我超喜欢你呀,,篮球的魅力就在于翻盘！我希望能赢！！,0,2019-09-06 22:57,1
@加图索的勇气,,,0,2019-09-06 22:54,1
@中秋佳節dy,,不运作的话  根本没机会,0,2019-09-06 22:38,1
@沈阳城的孩子200812,,我们要认清客观现实，现在这批球员能力，除了阿联，我们真没什么资本和尼日利亚抗衡。人种差异真没那么大，亚洲人种肌肉密度要比欧洲人种更大，更多的在于球员的自律和训练。看看阿联的身体就知道了，阿联和姚明刚出道时，也都很瘦，对抗差，但是他们后天训练很刻苦，也很自律。两个字，态度。,0,2019-09-06 22:37,1
@大筒木的輪廻眼,,信你最后一次吧,0,2019-09-06 22:35,1
@英伦-Eason,,显然不能，但是获得奥运会门票还是有希望,0,2019-09-06 22:33,1
