User,Reter,Comment,Votes,Time
@我一定会有一次冠军,,锤她妈棒子！！！,874,2019-09-06 11:11
@宋景瑜,,真的 赢下来吧  不能再输了,701,2019-09-06 11:12
@穿球鞋的中年人,,大家不是对中国队失望，中国不是经常能赢球的，我们是对中国新一代球员的态度失望。看不到08年硬刚美国全明星的那种劲儿,702,2019-09-06 11:14
@2046年才过期的凤梨罐头,,唉，学什么不好学国足,408,2019-09-06 11:11
@谁在熊,,不出意外的话，最后应该是输了,235,2019-09-06 11:15
@刘dahu,,加油,160,2019-09-06 11:19
@幽篁君,,加油！男篮加油！，中国加油,177,2019-09-06 11:12
@Alicexy1934,,骂也骂了 还是要支持的 毕竟跟我大哥有关,99,2019-09-06 11:18
@搞言承旭者死翘翘,,加油中国男篮！加油联哥,48,2019-09-06 11:13
@千黛汐Rebecca,,不管怎么说 加油打出自己的风采 拼！！！,43,2019-09-06 11:11
@强哥是个兵,,中国男篮，希望你们不负重托，能够创造奇迹！十四亿中国人，都是你们的期望！,35,2019-09-06 11:13
@520yangsang,,算了，这水平勉勉强强挤进奥运会还不是丢人,33,2019-09-06 11:11
@占卜师吉娜,,加油加油~~~！！！！不要再让我们失望了,25,2019-09-06 11:11
@不吃柠檬可不可-,,加油加油！,11,2019-09-06 11:11
@有梦想谁都了不起2000,,输不起了，加油，中国男篮,10,2019-09-06 11:14
@王子异0713,,中国加油！,11,2019-09-06 11:12
@komalo大伟,,加油！男篮加油！,9,2019-09-06 11:11
@屁大点事儿都怕,,求求真的要赢啊啊啊啊啊啊啊啊啊！！！！！！！！,7,2019-09-06 11:52
@商日二班燕旭杰,,04年奥运会我们八强 08年八强 12年小组赛没出线 16年小组赛没出线 莫非20年....,6,2019-09-06 11:14
@徐昭昭昭昭昭昭,,大侄子上一场受周琦的影响，然后对阵委内瑞拉怒砍1分帮助对手获胜,6,2019-09-06 11:25
@921派种花者,,请证明自己没被打趴下,6,2019-09-06 11:36
@Justin的fiancee,,还是要加油啊,8,2019-09-06 11:58
@徐卿之xh,,加油吧,4,2019-09-06 11:13
@你以为我喜欢会计吗,,加油！今晚! 一定!,2,2019-09-06 11:12
@刘梦梦的微博,,李楠加油，周琦加油,3,2019-09-06 11:12
@Wediless,,韩棒子还是搞得赢哦[加油][加油][加油],1,2019-09-06 12:13
@Devil慧1992ZYL,,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油,2,2019-09-06 12:13
@欣欣hh哈,,过去了，这场加油,1,2019-09-06 11:50
@AAWang0,,@郭艾伦 ,1,2019-09-06 11:34
@艺生未凉,,有直播吗？,1,2019-09-06 11:27
@艺生未凉,,,1,2019-09-06 11:26
@艺生未凉,,加油,2,2019-09-06 11:26
@LIbala-,,加油啊！打出精神来[加油],1,2019-09-06 11:25
@蓝姐姐Ada,,加油中国篮球,1,2019-09-06 11:24
@欣欣hh哈,,加油加油[加油][加油][加油],1,2019-09-06 11:20
@晴川姐姐,,加油,1,2019-09-06 11:19
@忘羡不羡仙啊,,加油吧,1,2019-09-06 11:16
@喷子,,赢下来，我已经收住嘴巴了,1,2019-09-06 11:15
@一线小小,,早点睡吧,2,2019-09-06 11:11
@流浪在英超,,小组出局没有一个球员敢站出来承认自身不足，辣鸡，拒绝一起扛，拒绝央视浓浓的官腔。,2,2019-09-06 16:05
@Nice鑫仔,,生死战打完了，这回该荣誉之战了。,2,2019-09-06 15:25
@曾曾曾小祯_,,中国队打大球最大的一个特点就是爱等 足球篮球都是 但就算丢一百次球也都会重新站在你身后一百零一次想你赢 加油,1,2019-09-06 14:51
@登月的小蜗牛,,再输的话，直接转到国足吧,2,2019-09-06 13:36
@Andy-王迪,,韩国加油，干死郭一分和周一板,2,2019-09-06 12:14
@我们握的手握紧,,嘴上说不看，晚上还是会自觉的守候，你们别让我们失望了。,2,2019-09-06 12:06
@BlingBling孙光耀,,我觉得还是输了好，这样更能深刻反思，要不然又该以为我们在亚洲还很强，缺的只是运气,2,2019-09-06 11:26
@徐昭昭昭昭昭昭,,我是大侄子，公认的亚洲第一控卫，但是比赛我就得1分。,4,2019-09-06 11:24
@芝莉呐,,加油哥哥们，你们一直都是最棒的,1,2019-09-07 19:55
@快乐的糖油饼,,大魔王总是用实际行动证明被骂是对的,1,2019-09-06 20:04
@恶之善人,,不能让周琦上场了,1,2019-09-06 19:46
@charlesgou,,不明白为何举办蓝球世界杯？其实整个国家并不非常重视体育，从一个考试则面就可以知道！英语满分120分，体育满分60分，这不开玩笑吗？？？以前我是不知道的！,1,2019-09-06 19:10
@这位幸运的宝宝,,加油,1,2019-09-06 19:08
@VVictoria_Y,,加油！！！！！,1,2019-09-06 19:04
@暖心的小窝_1988,,加油,1,2019-09-06 18:59
@爱笑的大喵小姐,,中国篮男加油加油加油！！不要败给韩棒子，不然真没脸了,1,2019-09-06 18:50
@Wendy起灵,,中国篮球加油！冲呀！支持！,1,2019-09-06 18:49
@梅小y丫,,中国男篮加油，依然相信你们,1,2019-09-06 17:37
@16ydl,,虽然有点……但是除了挺你，我也别无选择了，希望你们超常发挥吧,1,2019-09-06 17:10
@立亮PG8,,锤死棒子,1,2019-09-06 16:34
@涑素苏,,加油中国男篮！！！,1,2019-09-06 14:18
@元气小劉ov,,加油,1,2019-09-06 13:53
@BrittanyWD,,爱之深 恨之切,1,2019-09-06 13:51
@pinkboyhhhhhhh,,不管之前有多失望，下一次还是都抱有期望，加油！,1,2019-09-06 13:44
@你A也可爱,,中国男篮加油啊 晚上一定要赢,1,2019-09-06 13:03
@暖暖的小冷呢,,这局再输了。就,1,2019-09-06 12:49
@韋健vkin,,争口气吧,1,2019-09-06 12:25
@等待戈多的Evis,,再输我就寄砖头。,0,2019-09-06 12:21
@wyhhhf,,加油[加油][加油][加油]相信你们,1,2019-09-06 12:21
@没有舞台的演说,,小心韩国人手黑,1,2019-09-06 12:07
@猫哆哩ii,,再见,1,2019-09-06 12:05
@S一轩啦,,加油！！！,1,2019-09-06 12:04
@自分最高,,输谁也不能输棒子！！！,1,2019-09-06 12:00
@一个爱思考的年轻人,,望努力,1,2019-09-06 11:56
@puckyq,,希望打出血性。因为韩棒子同小日本，必须见一次灭一次。,1,2019-09-06 11:55
@是草莓味的琦崽呀,,不能输了！,1,2019-09-06 11:53
@我喜欢你鸦L03084,,加油吧！,1,2019-09-06 11:40
@CVEKSN,,谁都能输，棒子这种见一次就要锤一次,1,2019-09-06 11:16
@票总的头又大又圆,,我我我……唉╯﹏╰,1,2019-09-06 11:12
@鲨鱼座苏煜砚,,不看！坚决不看！不敢看啊,1,2019-09-06 11:12
@韩仔佳人,,凉凉。,1,2019-09-06 11:12
@还阳刀灬,,,1,2019-09-06 11:11
@柚子熟了芽,,加油吧,1,2019-09-06 12:02
@NameYan-,,加油,0,2019-09-08 13:59
@女巫王妃,,哎,0,2019-09-07 09:31
@藏族才让端智,,厉害了我的男神,0,2019-09-07 00:08
@凯撒不大帝,,周琦的三分真的太弱了，居然还有三不沾！你得支棱起来啊,0,2019-09-06 22:04
@贵州共青团,,中国队加油啊,0,2019-09-06 20:00
@So豆泥丸ya,,中国队加油,0,2019-09-06 19:58
@明伦北街的东老师傅,,加油加油！争气!,0,2019-09-06 19:53
@Beyond__the__Clouds,,加油,0,2019-09-06 19:50
