User,Reter,Comment,Votes,Time
@扬尼斯-阿德托昆博-中文网,,"Goodbye Nanjing, we meet in Shenzhen.。#字母哥救球#",75,2019-09-05 23:42
@化工学院的向日葵因为你是太阳,,MVP u r，champion u r,7,2019-09-05 22:51
@蒙布小小龟,,牛逼啊,1,2019-09-07 21:01
@亮哥说篮球,,#2019男篮世界杯# 字母哥加油！！！,0,2019-09-08 14:28
@阿萨梅兴,,加油,0,2019-09-08 06:18
@輝少爺Huihuang,,加油吧，阿德托昆博,0,2019-09-07 09:43
@花雨不沾衣RF,,MVP！！,0,2019-09-05 23:42
@种树姐姐,,MVP,0,2019-09-05 23:36
@遠走高飛2021,,中国话，你是最棒的！,0,2019-09-05 23:26
@街頭鐵匠,,这麒麟臂,0,2019-09-05 23:26
@NestaRoddick,,深圳见,0,2019-09-05 23:14
@等你进名人堂,,寄姆菇牛逼,0,2019-09-05 23:10
@xxiikid,,你太值得骄傲了。,0,2019-09-05 22:58
@陈子毅字不以,,Gang Gang!,0,2019-09-05 22:44
@JC晨,,MVP,0,2019-09-05 22:43
@April夏夏,,你太棒了。中国也需要一个字母哥。绝对MVP级的选手。飞身鱼跃惊爆全场。为你打call 评论配图,1,2019-09-06 01:46
@予悸里,,我做好了要与你过一辈子的打算,1,2019-09-06 00:15
@糖果男孩Candy,,这能力 这态度 未来制霸联盟,1,2019-09-05 23:31
@篮球实战指南,,@周琦_9,1,2019-09-05 23:12
@每天都在想七想八的弄弄,,MVP你值得,1,2019-09-05 22:51
@jznsnbzbs,,字母哥加油！,0,2019-12-01 09:44
@農濃儂噥,,字母哥，学学中文呗，博大精深的！要不然我每次都得用翻译软件,0,2019-10-07 01:43
@活着吧不管有多累_,,MVP,0,2019-09-12 21:22
@懒小胖cc,,Don't be upset. You're the best[加油][加油][加油],0,2019-09-09 20:44
@小米三的米,,,0,2019-09-09 20:40
@小米三的米,,没关系，回去nba好好练球，下个赛季取得好成绩！,0,2019-09-09 20:40
@废柴一个nnn,,come on,0,2019-09-09 19:16
@Irence20999,,,0,2019-09-09 18:53
@Jamelaaaaa,,keep going,0,2019-09-09 16:07
@小米三的米,,加油！字母哥,0,2019-09-08 19:42
@SACHI傻,,字母咕,0,2019-09-08 19:34
@草莓味的梓轩,,也不知道他们为啥不把球传给你,0,2019-09-08 17:41
@姐你惹不起82730,,,0,2019-09-08 16:56
@甜心先生的世界,,转发微博,0,2019-09-08 14:21
@球多拍几下,,The   Greece  is   bset  !    “字母哥”   come  on!,0,2019-09-08 13:54
@_啵唧啵唧y,,Your new fans,0,2019-09-08 12:00
@Doncic和James,,MVP MVP MVP,0,2019-09-08 11:42
@KINGJamesFOREVER23,,Let's go bust their ass[加油][加油][加油],0,2019-09-08 09:19
@T-MAC-CP3,,加油加油,0,2019-09-08 08:55
@Allen唷,,good job,0,2019-09-08 08:45
@字母哥超可爱的小粉丝34,,Welcome,0,2019-09-08 08:39
@既生瑜何生亮A,,好,0,2019-09-08 08:05
@懒小胖cc,,come on！you are the best！[加油][加油][加油],0,2019-09-08 07:30
@贼辣的权花花,,"Alphabet. Come on, world cup! ！ ！",0,2019-09-08 00:36
@痛x1n14927,,爸爸,0,2019-09-08 00:24
@皮卡超人111,,可惜啊,0,2019-09-08 00:23
@也曾听闻情话,,[加油][加油][加油],0,2019-09-08 00:23
@Chillyyiyiyi,,fighting man!,0,2019-09-07 23:43
@常小梓,,加油[加油][加油],0,2019-09-07 23:32
@小米三的米,,字母哥，加油，你是最棒的,0,2019-09-07 23:32
@已被列入black_list的OXYGEN,,just do it,0,2019-09-07 22:39
@秋禹先生的猫,,啊啊啊 太喜欢你了,0,2019-09-07 22:32
@sowee121,,全场高呼MVP！,0,2019-09-07 22:29
@画个圈圈圆不圆,,fighting,0,2019-09-07 22:23
@喜欢都藏在心里,,字母哥加油相信你会赢美国，带领希腊夺冠，爱你,0,2019-09-07 14:10
@皮蛋mark12138,,best kun,0,2019-09-07 11:52
@张储绎要努力,,出手即证明加油,0,2019-09-07 07:41
@豆你乐和自乐,,@字母哥Giannis34  yeah，come on ，MVP…,0,2019-09-06 22:13
@沙童童Sahin,,carry全场的NBA最佳球员,0,2019-09-06 11:09
@Martin000RS1,,MVP Giannis!,0,2019-09-06 07:50
@深海是她u,,字母咕：我摊牌了 我是NBA最有价值球员,0,2019-09-06 07:45
@炮哥爱泡妞,,let's go,0,2019-09-06 07:42
@我运气呢,,mvp,0,2019-09-06 07:14
@AchingSoul-,,[加油][加油][加油],0,2019-09-06 07:11
@李girlfriend,,MVP,0,2019-09-06 07:05
@可爱的高大上9800,,cool  man,0,2019-09-06 06:57
@孤鱼丶钓月,,态度决定高度,0,2019-09-06 06:47
@骑车骑到吐,,啊,0,2019-09-06 06:39
@许哥ing,,工具监控默默,0,2019-09-06 02:55
@琳怡宝,,好,0,2019-09-06 02:19
@学生伟健,,。,0,2019-09-06 01:53
@采蘑菇的胡滨,,。,0,2019-09-06 01:51
@Vans招,,牛逼,0,2019-09-06 01:39
@完美邹琳军,,屎,0,2019-09-06 01:37
@Square信玄,,加油……字母歌,0,2019-09-06 01:24
@徐常新,,,0,2019-09-06 01:23
@痛x1n14927,,。。。,0,2019-09-06 01:19
@回忆中的青春,,I was exhausted shouting for you at the scene!,0,2019-09-06 01:06
@洋葱Henry,,听听这地道的Chinglish,0,2019-09-06 01:06
@重磅系草莓味小仔,,@SHSAMA,0,2019-09-05 23:57
@阿米鑫哈,,MVP  go for it,0,2019-09-05 23:33
@筷筷523854,,MVP,0,2019-09-05 23:31
@筷筷523854,,you are the best,0,2019-09-05 23:30
@喔酒干倘卖无,,加油，字母菇,0,2019-09-05 23:30
@空中移臂DCY有点儿坏,,"keep fighting !not  only on spirit, but also on skills and tricks!",0,2019-09-05 23:30
@小蚊子今天爱库里了吗,,昆昆你好棒！！！！,0,2019-09-05 23:29
@寻找戏精男孩,,Good night,0,2019-09-05 23:28
@RobbieBryant,,Go ahead!Guy!You’re the best![加油][加油][加油],0,2019-09-05 23:28
@寻找戏精男孩,,You are the best,0,2019-09-05 23:27
@有钱的人运气不会太差,,good player always,0,2019-09-05 23:27
@小驴很屌,,You are the best,0,2019-09-05 23:26
@所累者何,,Are  u  the  real  Giannis?,0,2019-09-05 23:21
@梧杞,,真的太佩服了,0,2019-09-05 23:21
@芸汐ya,,这才是真正的体育精神,0,2019-09-05 23:17
@美丽的相逢47139,,A,0,2019-09-05 23:15
@是德善吧,,我就在现场看你！！！！啊啊啊啊啊！帅呆了！！！！筒子们顶我上去！！！,0,2019-09-05 22:54
@你食咗未啊,,希腊总冠军,0,2019-09-05 22:43
@哆哆咪乐,,字母哥加油，希腊队加油,0,2019-09-07 20:46
@爱吃樱桃Ya,,你是真的强,0,2019-09-07 02:44
@沉溺冰山,,圖片評論 评论配图,0,2019-09-06 02:24
@幕木说体育,,zimugo,0,2019-09-06 01:24
@羊笑掌,,,0,2019-09-06 01:12
@搭配的日常,,这可是新科NBA的MVP啊，都能为了一个球拼命。而为了进NBA怕受伤，奥运会不敢发力，现在打的也一点血性都没有，真的该学学。姚明很伟大，但你永远没有他努力没有他那种为了国家任何一场小比赛都拼尽全力那种精神，所以你永远达不到他的高度。,0,2019-09-06 01:03
@Lu__lululu,,,0,2019-09-06 00:40
@白衣叹天下丶,,他是真的拼,0,2019-09-06 00:23
@鹏鹏的家公馆,,厉害了,0,2019-09-06 00:14
@川沢绫野Ayano,,2,0,2019-09-06 00:08
@想把你留在这里ava,,希腊怪兽,0,2019-09-06 00:06
@魔术手DavidLam,,肌肉爆棚,0,2019-09-06 00:03
@一颗暖星星,,原价转让9月9日字母哥深圳的比赛门票,0,2019-09-05 23:47
@不想瞎忙活的温顺的徐罐裙,,and gifts,0,2019-09-05 23:39
@BEEN1,,今晚很棒,0,2019-09-05 23:33
@屁桃pinky,,,0,2019-09-05 23:33
@TUDOU土豆_,,哇啊,0,2019-09-05 23:33
@Jason_Levine,,MVP！,0,2019-09-05 23:32
@太傅高密侯,,这是你本人吗？,0,2019-09-05 23:30
@多喝热水呀亲,,字母哥nb字母哥的哥也nb,0,2019-09-05 23:28
@这世界另一个的我自己,,attitude determines anything... 查看图片,0,2019-09-05 23:18
@Ironcurryyyyyy,,@周琦_9 进来挨打,0,2019-09-05 23:15
@权权小冰冰,,About three weeks ago. your country's people that going to China for theWorld Police Council gave me your country's banknotes just as a souvenir. hhhhhhh,1,2019-09-05 23:36
@永恒蓝KeY,,要不要考虑下归化,1,2019-09-05 23:27
@保定白沟新城支丹服装销售部,,吃西瓜吗,0,2019-10-23 16:44
@阿睿没去过厦门,,谁知道希腊队住哪个酒店啊,0,2019-09-09 01:28
@lucaspao,,"It’s not your lacking shooting skills, it’s your lacking shooting confidence. Be tough.",0,2019-09-08 19:55
@羊盐鱼present,,字母哥加油啊！！keep fighting! we will support you forever!,0,2019-09-08 19:04
@热心市民陈先生来电,,这肌肉,0,2019-09-08 16:32
@不想不需要,,很好，不愧是我的弟子,0,2019-09-07 18:45
@把腹肌做成烤肉,,态度决定一切,0,2019-09-07 18:00
@BET8_KU游专员-月亮,,字母哥真帅,0,2019-09-06 19:34
@我是距离你一亿光年的小宇宙,,P.O.W.E.R,0,2019-09-06 12:04
@豹纹小拖,,attitude determines everything!! 态度决定一切！！！,0,2019-09-06 08:35
