User,Reter,Comment,Votes,Time,Count
@锦了个年,,什么鬼啊,1039,2019-09-05 18:41,1
@霍格沃茨的老巫婆,,范丞丞x mensuno,862,2019-09-05 18:38,1
@今天奶狗吹彩虹屁了么,,Swag炸了 期待丞丞的上星综艺追我吧 评论配图,796,2019-09-05 18:38,1
@RR的废话垃圾桶,,吹爆 ！范丞丞好帅啊！,683,2019-09-05 18:38,1
@灿伊伊伊伊伊,,属于我们酷帅少年的夏天,629,2019-09-05 18:40,1
@水亡口月女凡,,各种风格都能驾驭的很好的我们丞哥！,551,2019-09-05 18:39,1
@范丞丞的winkie,,感谢分享！来看帅哥啦！,449,2019-09-05 18:38,2
@橙可儿c,,酷！,220,2019-09-05 18:37,1
@史莱姆的大怪兽,,好野的帅哥，期待范丞丞的新综艺浙江卫视《追我吧》,198,2019-09-05 18:39,2
@史莱姆的大怪兽,,太酷了！！,164,2019-09-05 18:37,2
@你才宝宝呢,,范丞丞【FRED斐登品牌代言人】【资生堂品牌活力代言人】【Fenty Beauty大中华区品牌代言人】【长隆旅游度假区品牌代言人】【领养日爱心公益代言人】邀请您期待综艺《追我吧》，浙江卫视第四季度每周五21点播出！ 评论配图,144,2019-09-05 18:44,2
@mybinarystar,,勇于尝试,116,2019-09-05 18:48,2
@tracylee329,,新的尝试，街头风，很帅，非常喜欢！ 评论配图,119,2019-09-05 18:42,1
@多肉玫瑰冻,,我觉得可以 欣赏不来至少也请尊重吧,100,2019-09-05 18:41,1
@一颗颗颗颗颗颗橙子,,fcc很酷啊,93,2019-09-05 18:41,1
@就是不开心怎么开心起来,,#范丞丞蓝色脏辫# 好野,84,2019-09-05 18:44,1
@watamote58004,,感谢分享，范丞丞好帅 评论配图,74,2019-09-05 18:42,1
@K小俊俊K,,土狗！土狗！土狗,28,2019-09-05 18:39,1
@小丸子手帳,,好看 评论配图,55,2019-09-05 18:44,2
@求稳东,,酷,50,2019-09-05 18:43,1
@甜美可爱丞,,酷盖,44,2019-09-05 18:37,1
@一只书单,,#范丞丞蓝色脏辫# 我喜欢就行,38,2019-09-05 18:49,1
@oppnai,,丞丞好帅我好爱,29,2019-09-05 19:22,1
@飞雨惟星辰,,野性而不羁！张扬而耀眼！全新尝试彰显时尚个性！范丞丞脏辫造型很亮眼很酷啊！ 评论配图,27,2019-09-05 20:58,1
@用户Xia霞,,挺好看的大胆的尝试不一样的丞丞,25,2019-09-05 19:00,1
@大头橙子最好吃了,,丞丞好酷,25,2019-09-05 19:19,2
@美帅者联盟,,敢于尝试，不破不立。脏辫可以说很酷了 评论配图,25,2019-09-05 18:57,1
@三分鐘夏日影像詩,,造型有想法，但不适合...,13,2019-09-05 18:49,1
@记承天寺夜游cc,,年轻就是要多尝试,12,2019-09-05 18:51,1
@吧唧一口橙橙酱,,太酷了,20,2019-09-05 18:41,1
@E8asymoneySNiper,,？,7,2019-09-05 18:40,1
@njfchrfnkhfvj,,为什么这个又上热搜了?奇怪，上次不是上过热搜了吗,1,2019-09-05 19:32,1
@喃喃Ning,,额。。。,7,2019-09-05 18:38,1
@艾福西西,,范丞丞太帅了,9,2019-09-05 19:02,2
@晨之紫宴曦_1015,,好酷一少年,12,2019-09-05 18:52,1
@我以歌回报少年,,非常酷,7,2019-09-05 21:45,1
@嘁柒亟,,感谢分享，各种风格范丞丞都可以驾驭,6,2019-09-05 21:40,1
@你就当认识了个绅士吧,,……妖魔鬼怪,10,2019-09-05 18:49,1
@不好吃的蟹味菇,,帅炸！ http://t.cn/AiRmVMuC,5,2019-09-05 21:21,1
@唯爱Adam的甜欣,,范丞丞太帅啦,5,2019-09-05 21:17,2
@唯爱Adam的甜欣,,范丞丞简直太帅了,5,2019-09-05 21:16,2
@Airew颜丞,,哥好野哈哈哈哈哈哈哈哈冒着被小美知道的危险圆了脏辫梦,4,2019-09-05 22:06,1
@木子星丞,,挑战不同的自己 http://t.cn/AiRnIMUR,8,2019-09-05 18:43,1
@我来咬一口奶橙,,帅哥,7,2019-09-05 18:42,1
@庄亦锋,,好像蜘蛛啊,4,2019-09-05 18:41,1
@李可可Cola,,看评论，我可能视力出了问题,2,2019-09-06 09:41,1
@我头上有青龙,,@全糖小李_ emmmm,0,2019-09-05 22:42,1
@就爱吃丞子,,好帅,5,2019-09-05 18:42,1
@H黑哼哼-,,新造型新尝试 拍摄需要 不代表一直这个造型 看不惯的麻烦点开他微博看看现在风格,3,2019-09-05 23:41,1
@心想事丞616,,就是喜欢与众不同的你，就是喜欢酷bro，就是喜欢多变有质感的男孩子，不需要听别人说怎么好，想做的事趁青春无敌去做就对了！,2,2019-09-05 23:43,1
@不喝冰了,,@王心雨的微博ovo,0,2019-09-05 23:59,1
@Keleshh,,莫名想笑-_-别喷我我是打酱油的,1,2019-09-05 20:50,1
