User,Reter,Comment,Votes,Time,Count
@新浪科技,,5230用户集合一下,3956,2019-09-06 15:36,3
@新浪科技,,都说说，用诺基亚砸过什么？本浪砸过核桃，比锤子好使,716,2019-09-06 15:54,3
@一个桔子啊喂,,上图真的我家现在还有，11年前买的5230,1464,2019-09-06 15:45,1
@新浪科技,,这层留下当年用的型号，一样的就搞个对象吧,196,2019-09-06 15:58,3
@星辰81号,,一直没舍得扔掉，就是觉得太漂亮了。 评论配图,3369,2019-09-06 16:10,1
@劉十肆_,,他火的时候买不起，等买得起了他已经不值得买了,1713,2019-09-06 15:34,1
@桔梗美少女,,贪吃蛇,1610,2019-09-06 15:40,1
@演员李少勇,,诺基亚几代人的青春,284,2019-09-06 15:40,1
@张-玄尘-邯郸,,小学时候用诺基亚超爱炫超骄傲的,126,2019-09-06 15:46,8
@张-玄尘-邯郸,,掉水里都没事，还能继续用,135,2019-09-06 15:46,8
@柏原风,,翻盖手机？滑盖手机跪求出一个！,133,2019-09-06 15:59,1
@戚个咙咚锵,,别的不说以前诺基亚是真的挺牛的……小时候放学回家  忘记带钥匙  我给我哥打电话让他给我开门   结果他泡澡睡着了  然后手机泡在浴缸里………竟然还能用………,102,2019-09-06 16:47,1
@今日宝藏,,诺基亚的键盘机，键盘的好处就是开车打电话不用看屏幕,42,2019-09-06 18:07,31
@后·半,,图片评论 评论配图,63,2019-09-06 18:28,1
@青予_Y,,N97 mini，滑盖横置26键，当时可喜欢了，现在也喜欢，导致一直不会九宫格打字,50,2019-09-06 15:51,1
@Chikiyo琪,,超爱我的e63,56,2019-09-06 23:13,1
@iBingo,,不知道支不支持5G,47,2019-09-06 15:36,16
@一姐是我吗,,翻盖手机，好坏排线,20,2019-09-06 15:33,2
@我系十三號,,曾经的N73和N97mini使用者飘过,26,2019-09-06 15:58,1
@drfunk15,,5800了解一下,17,2019-09-06 15:54,1
@请叫我马十七,,E63集合,21,2019-09-06 15:50,1
@执念1613,,还能砸核桃该泡面吗,14,2019-09-06 15:42,1
@苏骝亮,,诺基亚6120ci路过,19,2019-09-06 15:47,1
@就是爱潘潘,,曾经深爱过 评论配图,17,2019-09-06 19:09,1
@xIceAgex,,有用过N79的吗,15,2019-09-06 16:11,1
@微博媒体,,Hi，我已将你的微博收录到新鲜事 今日最热投票 ，微博会被推荐给更多用户（什么是新鲜事收录？）。如不希望微博下出现新鲜事标签，请戳 删除标签说明,0,2019-09-07 11:57,5
@去看树上的蚂蚁,,N81听音乐很好,11,2019-09-06 15:46,1
@沐浴兰芳,,5700,10,2019-09-06 16:47,2
@张子莘Candy,,5320飘过，绝美的音乐手机啊,7,2019-09-06 22:55,1
@火箭少女101_pdd,,出国的时候备一个不好吗，，查你手机短信社交工具的时候拿出来一点脾气没有,9,2019-09-06 17:56,8
@Samira777,,怀念翻盖手机，我的手机初心啊,12,2019-09-06 15:35,1
@pescado魚_余禾,,13年7月份，现在它的按键盘不在了,15,2019-09-06 20:21,1
@不男不女鸡你太美,,N95时候特别喜欢装逼。拿出来轻轻一推，咔嚓的声音很屌的。喂，马上到。,8,2019-09-06 19:23,1
@恽莉0925,,想当年，反手开机盲发短信，都是这种键盘，一手掌握,8,2019-09-06 19:19,1
@陈独秀的同桌丶,,Lumia520,5,2019-09-06 22:35,1
@酥心糖_Doris,,C500了解一下,9,2019-09-06 15:47,1
@丶洋娃娃,,其实我最喜欢诺基亚的滑盖手机，翻盖的moto比较经典，还有夏普！,1,2019-09-07 02:20,2
@昵男BOY,,用了13部诺基亚，一部摩托，后来安卓一直就是OPPO了,3,2019-09-06 21:04,1
@逗你开心逗你玩5201314,,手机型号8250在这里集合下！！！,2,2019-09-07 22:27,2
@有钱哥哥的贤内助,,特别想艾特一下我的语文老师，她是诺基亚的脑残粉,1,2019-09-07 07:58,1
@MUUEE,,我记得我爸是这个 评论配图,1,2019-09-07 07:45,1
@一颗柠檬啊9-,,图片评论 评论配图,4,2019-09-07 00:57,1
@超然不燃233,,5233集合！！！！！,4,2019-09-06 16:27,1
@蓝忘玑119,,其实觉得长相还不错。支持,1,2019-09-07 10:16,1
@仓鼠上仙,,我supreme表示不服,1,2019-09-07 00:24,1
@Kninnng_,,诺基亚重出江湖了吗？,1,2019-09-07 00:12,1
@小米粥O3O,,我的青春又回来了,3,2019-09-06 15:34,1
@酸甜苦辣辣,,如果诺基亚质量不变，出智能机肯定买！,2,2019-09-06 23:28,1
@写蝶,,感觉603用的人好少啊,1,2019-09-06 23:07,1
@一笑倾尘,,KaiOS主攻印度市场，应该不会在国内上市！,1,2019-09-06 17:42,1
@独孤漠延,,不得不说，我dad第一部手机就是诺基亚,1,2019-09-06 16:10,2
@不吃冰淇淋的小遥,,那时候就能上网能连wlan的26键诺基亚 充一次电能用一周。。。还能偷别人家网 那时候WiFi在诺基亚上就是叫WLAN哈哈哈,6,2019-09-06 16:06,1
@圈圈圆圆小妞妞,,挺怀念翻盖机的,1,2019-09-06 15:59,5
@梦雪樱飞5871,,,0,2019-09-07 10:46,1
@郭在晨分手后会大湿吗,,,0,2019-09-07 09:27,2
@武清大石头2019,,我参与了@新浪科技 发起的投票【你用过诺基亚手机吗？】，我投给了“用过”这个选项，你也快来表态吧~出来一定得买一个，不是为了什么情怀，就是单纯的这些年直板手机的审美疲劳,0,2019-09-07 07:33,1
@Kimsylyia,,我参与了@新浪科技 发起的投票【你用过诺基亚手机吗？】，我投给了“用过”这个选项，你也快来表态吧~5230我的最爱,0,2019-09-07 07:06,1
@小飞鱼Y,,没买过,0,2019-09-07 06:51,2
@莉莉_xl,,诺基亚翻盖手机用过,0,2019-09-07 06:38,2
@龚仔仔的妞妞,,5230塞班系统，我的第一款用的久的手机,0,2019-09-07 00:28,1
@BrillianT-ao,,E66集合一下,3,2019-09-06 23:33,1
@Veronica_Yuan,,想起来2004还是2005年高中时第一个手机就是诺基亚的，1110吧好像，这是自己第一次攒钱买的东西,0,2019-09-06 23:13,2
@有缘千里来冲浪,,5230,0,2019-09-06 21:53,6
@落在沙漠相信星星会开花,,谁能告诉我这款手机去哪里买？？急求,1,2019-09-06 21:41,1
@爱狐尼克的兔朱迪,,完蛋，想买,1,2019-09-06 21:22,1
@JAM爆炸吧,,我参与了@新浪科技 发起的投票【你用过诺基亚手机吗？】，我投给了“用过”这个选项，你也快来表态吧~我的第一款手机就是诺基亚的 查看图片,0,2019-09-06 17:58,1
@D女郎_雅儒,,,4,2019-09-06 17:52,1
@宋二狗子1,,e71有用过的吗？,1,2019-09-06 17:45,1
@不要丧了没人理你,,5200是我用过的第一步手机,2,2019-09-06 17:37,3
@天晴9999,,诺基亚5330,0,2019-09-06 16:33,2
@曲中走板他能听,,2005年用的第一部忘了，2006年第二部是诺基亚,4,2019-09-06 15:37,1
@敲梨,,这个现在还留着呢,2,2019-09-07 00:36,1
@百诺恩股东太阳sun,,诺基亚 我的青春,2,2019-09-06 22:16,2
@DLNNN,,多少人拿去换脸盆了,2,2019-09-06 21:11,1
@Michael大冬,,6300集合下,2,2019-09-06 18:41,1
@喝奶茶要吗炎亚纶,,老人机诺基亚好用到爆，怎么摔都摔不烂的,2,2019-09-06 15:58,1
@美橙子日式美肌管理中心,,3100，粉色,2,2019-09-06 15:42,3
@Leslie·Daffy,,用过我姐的旧诺基亚，高二的时候被我妈摔坏了,2,2019-09-06 15:40,1
@TFBOYS-橙橙,,7210c有人用过吗？,1,2019-09-07 10:12,1
@弗雷德海默的家庭作业,,翻盖手机当时是各种装×必备哈哈哈哈，不好好合上非得甩上,1,2019-09-06 21:42,1
@星空下的胡萝卜,,学生党表示很爱用,1,2019-09-06 21:40,1
@莫得感情的追星娃娃,,以前翻盖手机很火的时候，看到日剧里的手机超漂亮的，但是那时候没钱买，到现在有钱买的时候，翻盖手机已经不漂亮了,1,2019-09-06 21:10,1
@Y园ing,,2004年的第一部手机诺基亚3100.，第二部也是3100，第三部诺基亚、第四部手机诺基亚～,1,2019-09-06 17:00,1
@先森姓-陈,,5530XM路过,1,2019-09-06 16:14,1
@啊茅呀,,5233,2,2019-09-06 16:06,1
@热带鹿,,e63飘过～,1,2019-09-06 16:05,1
@王甜甜今天发自拍了没,,掉厕所了还能用，后来被抢走了,1,2019-09-06 16:02,1
@言归零,,炒冷饭有什么意思嘛。不停的亏钱。,1,2019-09-06 15:36,1
@门背后的天堂0,,爱了。快上市我赶紧换手机。,0,2019-09-08 21:18,3
@五讲肆美叁熱爱,,2002年用过诺基亚8250，蓝色屏幕的，超级炫当时，后来就一直摩托罗拉了，现在一直三星,0,2019-09-08 16:13,1
@张晓军-Dabuyshine,,在诺基亚最巅峰的时候我用的小灵通,0,2019-09-07 14:11,1
@Aimy721,,诺基亚，真的很好!特耐用耐摔，我的第一部手机诺基亚翻盖的经历泡水晾干经历滚楼梯再拼合，到现在还可以开机使用，能用但不合现在时势只是偶尔拿出充电，如果有合适的，我的下一部就选诺基亚,0,2019-09-07 13:49,1
@辣条丨,,n72n81n97,0,2019-09-07 08:36,1
@小王剪下刘海好吗,,5230,0,2019-09-07 07:16,1
@徐-伟东,,,0,2019-09-07 06:33,1
@kylz,,用过好几款了 5230 e63还有叫不出的型号,0,2019-09-07 02:19,1
@咸散人士,,记不清型号，不翻盖，滑不滑盖也忘了，但是红色的九键真的很好看,0,2019-09-07 02:12,1
@你必须一生平安喜乐,,想要一个滑盖的,0,2019-09-07 02:06,1
@嗡嘛呢呗咪吽啊,,爸妈的老人机有着落了,0,2019-09-07 00:42,1
@2019要瘦下来的跳跳糖,,7610s,0,2019-09-07 00:26,1
@Angela_嫣儿,,诺基亚c201,0,2019-09-07 00:15,1
@泡糖小凶凶,,当年N97可是奢侈品啊,1,2019-09-06 23:52,1
@二的指数--Jason,,还不如推个翻盖的触屏游戏机,0,2019-09-06 23:31,2
@哦对是我不一样的烟火,,我爸居然有这款手机  ,0,2019-09-06 23:04,1
@我期待的一路向北,,6120ci@醒着做梦我醒着做梦,0,2019-09-06 23:00,2
@不高兴滴阿语,,能用QQ么,0,2019-09-06 22:33,1
@草原上的小奶狗,,图片上那个手机，用的我气死了，怎么摔也摔不破。,0,2019-09-06 22:04,1
@蔡菜单呀,,听说内存才512MB?,0,2019-09-06 21:47,1
@FOPTU,,我参与了@新浪科技 发起的投票【你用过诺基亚手机吗？】，我投给了“用过”这个选项，你也快来表态吧~,0,2019-09-06 18:51,1
@妳是千堆雪我是长街_,,不出智能机能活？,0,2019-09-06 18:31,1
@罗那耳朵的垃圾筒,,不到黄河心不死,0,2019-09-06 18:04,1
@Inhoton,,老人机，鉴定完毕,0,2019-09-06 17:20,1
@温柔打了卷儿的猪尾巴,,我的诺基亚5230到现在还好用,0,2019-09-06 17:10,1
@Pantonus烈焰,,没用过九宫格诺基亚，用的是e全键盘就换安卓苹果了,0,2019-09-06 16:36,1
@木记ING,,08年用过nokia5000,0,2019-09-06 16:25,1
@吃肉使我心情快乐,,N79,0,2019-09-06 16:13,1
@今天希儿出了吗,,诺基亚5310的有吗,2,2019-09-06 16:10,1
@下巴痒痒,,用过，却不曾拥有,0,2019-09-06 16:01,1
@额图困的额娘,,诺基亚S6了解一下，可以全键盘，也可以触摸,0,2019-09-06 15:58,1
@断桥风雨情,,如果塞班系统，支持Java应还不错,0,2019-09-06 15:57,1
@我家六只猫的日常,,5300集合了,3,2019-09-06 15:53,1
@红尘小,,想买，在哪可以啊？,0,2019-09-06 15:49,1
@梅徐安泽,,我现在都还在用诺基亚,0,2019-09-06 15:46,1
@柳暗花明Oooo,,诺基亚n72，用了3年,0,2019-09-06 15:46,1
@萌娘娘参上,,当年刚出的时候买的N97,2,2019-09-06 15:44,1
@有梦想的猪也能上天,,没用过,1,2019-09-06 15:43,3
@我有口锅没背,,N86过来集合啦,1,2019-09-07 02:15,1
@赵俊河a,,我的17岁买的 现在25岁了。还在用。而且很新 当时给它买的小黄壳把它保护的很好。 评论配图,1,2019-09-06 23:49,2
@写在冬日晨风里,,看按键就知道 当时我是有多爱不释手这款手机 ,2,2019-09-06 22:57,1
@福尔i猫叔,,E66当时欣喜若狂 评论配图,1,2019-09-06 22:12,3
@冰城小瑞,,家里有十几部诺基亚手机，都是好的，但是没什么用处，摆在架子上看,1,2019-09-06 20:29,1
@童的天台,,诺基亚:我始终带着你爱的款式，等待你付得起价格买到我的那一天！,1,2019-09-06 19:29,2
