User,Reter,Comment,Votes,Time,Count
@迷路的木子洋洋阿,,最近好想经济都不景气，好多大公司都在裁员。真的好害怕，不然我可怎么办，去天桥上表演胸口碎大石么。,72,2019-09-06 11:55,14
@粥暖,,厉害了这名字 大卫...所罗门...以色列两代国王的名字,35,2019-09-06 12:28,3
@智齿拔不拔y,,新官上任，三把火,18,2019-09-06 11:57,15
@张-玄尘-邯郸,,留下一帮有资源的xx二代就可以了，再留点学霸给他们当助理就完美了,7,2019-09-06 13:01,8
@花花公主V5,,,4,2019-09-06 07:16,1
@Donmarclean-Nancy,,他走的也快,4,2019-09-06 12:04,1
@成玉馒头猫,,@我叫姜二呆,0,2019-09-06 05:34,1
@袁岳,,行,0,2019-09-06 12:46,4
@互相夸奖感谢bot,,哦？,0,2019-09-06 12:10,2
@疯行者X,,清理门户 这个词是不是用的不对？,1,2019-09-06 12:12,1
@_随_便_1I_,,转发微博,1,2019-09-06 12:03,1
@summer的幸福生活呀,,清理合伙人？,0,2019-09-06 12:54,3
@Tulip_Beauty,,风投公司,0,2019-09-06 12:24,3
@达莉sama,,被当枪使了怕是,0,2019-09-06 12:19,3
@uauana1116,,,0,2019-09-06 12:15,3
@Send霍霍,,刘邦,0,2019-09-06 12:14,2
@英路系,,可见高盛内部也分歧严重,0,2019-09-06 13:01,3
@mn泡沫人,,我居然看到了26条评论的热搜,0,2019-09-06 12:43,3
@秋名山上开宇宙飞船的总舵主,,留下一帮有资源的xx二代就可以了，再留点学霸给他们当助理就完美了,16,2019-09-06 12:05,1
@艺海贝壳HXDSLELSD,,GoldmanSachs 都裁员了!!!,0,2019-09-06 12:05,1
@英路系,,可见高盛内部也分歧严重,0,2019-09-06 13:01,3
@张-玄尘-邯郸,,留下一帮有资源的xx二代就可以了，再留点学霸给他们当助理就完美了,7,2019-09-06 13:01,8
@summer的幸福生活呀,,清理合伙人？,0,2019-09-06 12:54,3
@袁岳,,行,0,2019-09-06 12:46,4
@mn泡沫人,,我居然看到了26条评论的热搜,0,2019-09-06 12:43,3
@粥暖,,厉害了这名字 大卫...所罗门...以色列两代国王的名字,35,2019-09-06 12:28,3
@Tulip_Beauty,,风投公司,0,2019-09-06 12:24,3
@达莉sama,,被当枪使了怕是,0,2019-09-06 12:19,3
@uauana1116,,,0,2019-09-06 12:15,3
@英路系,,可见高盛内部也分歧严重,0,2019-09-06 13:01,3
@张-玄尘-邯郸,,留下一帮有资源的xx二代就可以了，再留点学霸给他们当助理就完美了,7,2019-09-06 13:01,8
@summer的幸福生活呀,,清理合伙人？,0,2019-09-06 12:54,3
@袁岳,,行,0,2019-09-06 12:46,4
@mn泡沫人,,我居然看到了26条评论的热搜,0,2019-09-06 12:43,3
@粥暖,,厉害了这名字 大卫...所罗门...以色列两代国王的名字,35,2019-09-06 12:28,3
@Tulip_Beauty,,风投公司,0,2019-09-06 12:24,3
@达莉sama,,被当枪使了怕是,0,2019-09-06 12:19,3
@uauana1116,,,0,2019-09-06 12:15,3
@Send霍霍,,刘邦,0,2019-09-06 12:14,2
