User,Reter,Comment,Votes,Time,Count
@蒺藜谷,,看红楼，没必要执迷于专家的观点，每个人，都可以有自己的看法，言之有理就行。,2874,2019-09-07 16:04,1
@江苏神秘市民刘女士,,“一朝入梦，终身不醒。”,2650,2019-09-07 16:01,6
@鸢时拾柒,,谢谢周涛导演，有了红楼梦古典之夜,1387,2019-09-07 16:03,1
@卡了个卡又卡,,“一朝入梦，终身不醒。”真的，无出其右啊！！,1018,2019-09-07 16:03,2
@峰骑士女孩FENG,,我好喜欢听这个音乐,959,2019-09-07 16:03,1
@Vlann_VIE,,这曲调一出，就有些悲伤被带出来，真的凄美啊。红楼梦还是87版经典，不要翻拍，就停留在这个版本也不错。,901,2019-09-07 16:12,1
@慕容为光,,感谢总导演周涛,419,2019-09-07 16:03,1
@墨绿色面皮粥,,我必须表白一下这场音乐会的总导演---周涛(对就是主持人周涛),369,2019-09-07 16:04,1
@馬曉慧_V,,真的是我最最最喜欢的一本书了 看了无数无数了 百看不厌 小时候阿姨送了彩图本 图多字少 情节都不完整 那时候就想 一定要看完整本 后来上了高中 不许读课外书 偷偷藏着看 后来毕业了被捐给学校了 现在来云南上了大学 又买了一套 放在书架上 书架特别小 但是一定有他的位置 满纸荒唐言 是我爱的荒唐言！,227,2019-09-07 16:40,1
@农夫的桨,,昨天的红楼真是超级爱了，前天的也很棒诶，互动太有趣了，周涛总导演很走心，所有的演奏家指挥家演唱家还有朗读都有心了！,184,2019-09-07 16:35,1
@暖暖的郁蓝,,超爱！我妈在我小学的时候买了《红楼梦》的磁带，我听了不知道多少遍。一转眼快三十年了，现在的我依然会唱里面的好多曲子,57,2019-09-07 16:22,1
@十拾呀,,“一朝入梦，终身不醒”对于87版红楼真的很喜欢，后面出的几版看了觉得还是喜欢87版,44,2019-09-07 16:04,1
@SugarfreeFE,,我好喜欢枉凝眉，瞬间能让我入戏,47,2019-09-07 16:16,1
@首席助理小尾巴,,真的太感谢奥林匹克公园音乐季的总导演周涛女士及其团队了！给我们带来了这么一场价格亲民、超一流演出阵容的精彩节目！,47,2019-09-07 17:23,1
@一颗星星醉了酒,,《枉凝眉》太伤了啊,44,2019-09-07 18:57,1
@摩托小区的小小花,,经典永流传！,39,2019-09-07 16:05,1
@林黛玉,,一个是阆苑仙葩，一个是美玉无瑕,34,2019-09-07 16:03,3
@Xback_興夫人,,前段时间刚看了一遍这版的红楼梦,26,2019-09-07 16:06,1
@幸运的小阿慧,,致敬经典,29,2019-09-07 16:34,2
@虞山DAYTOY,,经典永远都是经典,27,2019-09-07 16:04,1
@-鲨鱼儿-,,《牧羊曲》也是王立平作词谱曲。,28,2019-09-07 18:03,1
@珠海画儿,,87版的红楼梦也是我一生的最爱电视剧[贊][鮮花][微風]了不起的作曲，了不起的演员们[鮮花][鮮花][鮮花],27,2019-09-07 16:30,1
@郁_Melissa,,“一个是阆苑仙葩，一个是美玉无瑕”不光《枉凝眉》，昨晚红楼梦古典之夜的《葬花吟》，《聪明累》等很多红楼金曲。感谢周涛导演给我们带来了这样一场音乐盛宴！,28,2019-09-07 16:10,1
@爱蒲公英的夏夏-,,,23,2019-09-07 16:35,1
