User,Reter,Comment,Votes,Time
@刘雯FansClub,,跟表姐一起做公益 勇敢潮前 守护G7公路,248,2019-09-07 09:54
@雯悦欣动,,#刘雯[超话]#勇敢潮前，守护G7公路，我们一起来[求关注],91,2019-09-07 10:42
@等日出的YOYO,,和大表姐一起做公益,51,2019-09-07 09:52
@Fil_蚊蚊,,#为地球增添一抹G7绿# 跟表姐一起,45,2019-09-07 09:54
@Ziggy·,,用自身影响力去影响更多的人来参与加入公益活动 雯雯真棒,27,2019-09-07 10:25
@今天也很喜欢超宠我的苏苏,,早安姐姐！真棒,21,2019-09-07 09:52
@大禹的_Pluto,,姐姐，我在向你看齐啊，下一步就是get你的穿衣style了嘻嘻爱宁,12,2019-09-07 09:56
@漂亮美眉集中2,,冲鸭,12,2019-09-07 09:52
@一闪一闪亮晶晶blingbling哒哒哒,,益路同行,11,2019-09-07 10:07
@二娇猫,,#刘雯[超话]# 腾讯99公益日@刘雯 #为地球增添一抹G7绿#,7,2019-09-07 11:05
@一乐乐乐乐乐乐乐一乐,,我们和大表姐一起做公益,1,2019-09-07 10:38
@一生要做一件很酷的事,,一起和宝贝支持公益,2,2019-09-07 12:37
@陳_momo,,漂亮,1,2019-09-07 10:06
@鸽鸽沐019,,买起来啊,0,2019-09-07 09:53
@顾梓柚_,,你一点绿我一点绿，地球就变绿，和大表姐一起做公益吧,1,2019-09-07 22:39
@是咸柠七呀,,表姐超级棒！,1,2019-09-07 16:19
@青灯古佛若何Z,,腾讯也做公益了？震惊 评论配图,2,2019-09-07 16:08
@岛屿飞鸟,,和姐姐一起,1,2019-09-07 12:26
@尊重结尾处,,和表姐一起为爱旅行,1,2019-09-07 12:24
@猫团子同学,,绿帽子有点迷 但这个绿真的real好看了,1,2019-09-07 12:13
@a香烟a红酒a,,棒棒哒,2,2019-09-07 11:36
@可乐被我喝光了,,姐姐 真棒,1,2019-09-07 09:59
@我雯的小表妹-sun,,#为地球增添一抹G7绿# 跟表姐一起#刘雯[超话]# 一起为地球增添一抹绿色,1,2019-09-07 09:55
@Y先生你好我是L,,姐姐依旧这么优秀,1,2019-09-07 09:54
@雩风十七时,,姐姐真棒！,1,2019-09-07 09:53
@Flyhigher-man,,爱你,2,2019-09-07 09:53
@一只170的崽儿,,大表姐营业了,1,2019-09-07 09:52
@说好不哭再也不见,,我说国模中刘雯大表姐是最大气的没有人反对吧？,0,2019-09-10 08:05
@le啦a梦,,,0,2019-09-09 17:04
@宋大傻是只苦逼的兔纸,,#刘雯[超话]# 和你一起守护最美G7公路！,0,2019-09-09 15:59
@CoverPerson,,你说的都对,0,2019-09-09 11:45
@Drea-Bei,,,0,2019-09-08 16:54
@Liamet,,雯姐姐穿的就是这件衣服哎,0,2019-09-08 15:51
@刘兴照lxz,,,1,2019-09-08 15:03
@花钱的精,,种棵树 评论配图,0,2019-09-08 10:21
@这个姑娘叫婕哥,,我在上班,0,2019-09-08 09:45
@这个姑娘叫婕哥,,你在休息吗,0,2019-09-08 09:45
@这个姑娘叫婕哥,,周末好啊,0,2019-09-08 09:45
@Memory的杂货铺,,超爱大表姐,0,2019-09-08 09:32
@话山鬼,,美死了,0,2019-09-08 08:36
@JM闵闵,,,0,2019-09-08 08:15
@Koromiton,,可憐的,1,2019-09-08 07:54
@刘魔性呐,,#为地球增添一抹G7绿# 共同守护,0,2019-09-08 07:20
@苏念阿纯,,,0,2019-09-08 06:28
@footlessbirds,,图片评论 评论配图,0,2019-09-08 01:01
@失眠的人都在想什么,,,0,2019-09-08 00:35
@苏小兔子,,,0,2019-09-07 23:22
@诺铭ing,,加油,0,2019-09-07 22:51
@茄子爱肉肉,,,0,2019-09-07 22:13
@早更男子,,我只想问衣服在哪里买，我要买，好好看啊可以和表姐穿同款,0,2019-09-07 21:32
@Zhoumei1006,,雯雯,0,2019-09-07 20:57
@小宝晶晶,,#刘雯[超话]# 爱上你，爱上公益,0,2019-09-07 20:46
@CrazyLiu璐璐,,原来是胡杨树绿。一直以为是牛油果绿,0,2019-09-07 20:17
@ellse68,,#刘雯[超话]#做公益我雯一直是身体力行，爱你[心],0,2019-09-07 19:39
@_小依涵,,优秀了，大表姐,0,2019-09-07 19:37
@紫色罂粟790607,,守候,0,2019-09-07 19:05
@婷哥v5吖,,超帅的,0,2019-09-07 18:31
@这个姑娘叫婕哥,,,0,2019-09-07 18:06
@这个姑娘叫婕哥,,,0,2019-09-07 18:06
@这个姑娘叫婕哥,,,0,2019-09-07 18:06
@这个姑娘叫婕哥,,,0,2019-09-07 18:06
@这个姑娘叫婕哥,,你最棒,0,2019-09-07 18:05
@这个姑娘叫婕哥,,,0,2019-09-07 18:05
@_关于刘雯_,,,0,2019-09-07 17:38
@林夕爱猫,,我爱刘雯！ 评论配图,0,2019-09-07 16:52
@要瑶瑶摸摸头i,,我来了,0,2019-09-07 16:06
@糖杰西,,表姐又美翻了！ 但就这绿帽子一点 就说明品牌并没有研究中国文化,0,2019-09-07 14:33
@小猪佩奇我配选,,和你一起,0,2019-09-07 14:27
@阿敏呀敏o,,#刘雯[超话]#[人人公益节],0,2019-09-07 14:23
@这个姑娘叫婕哥,,cool,0,2019-09-07 14:13
@这个姑娘叫婕哥,,,0,2019-09-07 14:13
@这个姑娘叫婕哥,,守护你,0,2019-09-07 14:12
@这个姑娘叫婕哥,,,0,2019-09-07 14:12
@这个姑娘叫婕哥,,,0,2019-09-07 14:12
@这个姑娘叫婕哥,,,0,2019-09-07 14:12
@这个姑娘叫婕哥,,,0,2019-09-07 14:12
@龙鸣玉的娇妻,,,0,2019-09-07 14:07
@微微Coffee,,加油哦,0,2019-09-07 14:04
@Amrzsgali,,我也想穿上G7绿，但是帽子还是不要的好,1,2019-09-07 13:52
@这个姑娘叫婕哥,,#为地球增添一抹G7绿# 如此正能量，永远跟随你,0,2019-09-07 13:51
@CJSEVEN-,,胡杨种起来[微風] 评论配图,0,2019-09-07 13:39
@coco666123,,雯雯,1,2019-09-07 13:38
@妖精bell,,和大表姐一起环保,0,2019-09-07 13:26
@阿舒深夜食堂,,好酷哦,0,2019-09-07 13:24
@没有特别喜欢的东西,,#为地球增添一抹G7绿# ,1,2019-09-07 13:17
@小鱼吃冬瓜,,,0,2019-09-07 13:17
@King_wanting,,,0,2019-09-07 12:35
@大人小孩up,,#为地球增添一抹G7绿# ,0,2019-09-07 12:28
@1988刚刚好,,#为地球增添一抹G7绿# 和你一起，守护最美G7公路,0,2019-09-07 12:25
@摄影师张锋,,表姐，你好,0,2019-09-07 12:16
@Yes我超可爱的,,姐姐,0,2019-09-07 11:41
@只爱片片的南南,,三观正 正能量表姐,0,2019-09-07 11:38
@你们的鱼干,,,0,2019-09-07 11:31
@SeaFog-,,,0,2019-09-07 11:25
@雯子丶,,,0,2019-09-07 11:24
@看到我请让我滚去画图,,姐,0,2019-09-07 11:23
