User,Reter,Comment,Votes,Time
@Fearless飘,,哈哈哈哈哈,48,2019-09-07 14:50
@小葵花养护员,,为什么会这样,35,2019-09-07 14:59
@葵葵的wink,,天哪 太可爱了吧,33,2019-09-07 14:51
@樱桃式主义,,今天我朋友发给我的时候，我还叫她别给我发黑图,51,2019-09-07 14:45
@这是你的坤,,哈哈哈哈哈，是风格独特多变的蔡徐坤啦 评论配图,43,2019-09-07 14:50
@抹茶姐姐c,,哈哈哈哈小葵出没,21,2019-09-07 14:56
@溪如若玥,,是很不一样的蔡徐坤,26,2019-09-07 14:51
@Joyce_丹,,蔡徐坤太可爱了,3,2019-09-07 15:02
@amiki在行动,,转发微博,13,2019-09-07 14:52
@万年小胖平,,喜欢这个一秒变小葵的大奎,5,2019-09-07 14:55
@给葵一点甜,,反差好可爱,11,2019-09-07 14:50
@lkun-兔妞小宝,,哈哈哈,1,2019-09-07 15:00
@kun的歌迷,,哈哈，这才是百变大咖蔡徐坤@蔡徐坤,2,2019-09-07 14:56
@小小秋葵wow,,萌萌哒蔡徐坤,1,2019-09-07 14:56
@葵葵的小卷毛-,,哈哈哈哈,1,2019-09-07 14:56
@王王王王王女青,,#GQ名利场回眸# 太可爱了叭,1,2019-09-07 14:56
@一个不会唱歌的英语老师,,#GQ名利场回眸# 反差萌,1,2019-09-07 14:56
@徐坤欧巴啊,,大可爱石锤,3,2019-09-07 14:52
@流量小花在线养菜,,打得好真实哈哈哈哈猝不及防,1,2019-09-07 15:55
@82雪未眠,,哈哈哈哈哈哈哈哈哈哈哈我宝宝太可爱啦@蔡徐坤,1,2019-09-07 15:32
@so婕昕to,,蔡徐坤就是可盐可甜的爱豆！他有做演员的潜质,1,2019-09-07 15:11
@跳十遍,,一开始我还以为是真的呢,1,2019-09-07 15:08
@一只被打瘸了的猫,,一秒回到小葵,1,2019-09-07 14:55
@储蓄卡的菜妈,,来了,1,2019-09-07 14:55
@长发男e,,dd,1,2019-09-07 14:55
@烈燃呀,,哈哈哈哈哈哈,0,2019-09-07 17:43
@钱钱hy,,#蔡徐坤[超话]#cxk#蔡徐坤新歌蒙着眼# 帅[太开心]可爱,0,2019-09-07 17:25
@吃蔡少女,,哈哈哈哈哈,0,2019-09-07 17:06
@Tiffy_05,,搞笑,0,2019-09-07 16:35
@用户巧妙97531,,哈哈哈哈哈,0,2019-09-07 16:30
@爱吃西瓜的雅呀牙婷,,哈哈哈哈！特别可爱！,0,2019-09-07 16:08
@灰色_小猫咪,,#GQ名利场回眸#,0,2019-09-07 16:05
@X-葵奎宝典,,哈哈哈,0,2019-09-07 16:03
@璇玑_20245,,哈哈,0,2019-09-07 15:51
@呆梦梦-,,打喷嚏是因为我们在想他！！！,0,2019-09-07 15:30
@蔡小葵家的姐姐秋梓,,蔡徐坤,0,2019-09-07 15:28
@LIANGTING0604,,好可爱,0,2019-09-07 15:24
@82号米粒儿,,来了,0,2019-09-07 15:23
