User,Reter,Comment,Votes,Time
@农家晓燕,,那就是国家队的易哥,5,2019-09-08 22:21
@涛涛同学ing,,这不跟阿联一样吗,6,2019-09-08 22:01
@GUOJLiekkas,,我就想看看字母哥的腿，你说了半天，腿呢,2,2019-09-12 04:04
@人生若只如初见3519,,为了自己的国家怎么不值了？,2,2019-09-10 06:18
@十年生死_两茫茫,,三英战吕布,2,2019-09-08 11:29
@Dooms-明,,看阿联，比他还惨，队友演阿联,1,2019-09-12 16:55
@我保证再也不改名了,,跟阿联喝一杯吧,1,2019-09-10 19:34
@请输入代码_,,。,0,2019-09-11 07:10
@裸奔全世界_92075,,科尔这次也来了？,0,2019-09-10 08:05
@YO老頑童,,自导自演,1,2019-09-08 19:38
@海狗在发呆,,是因为长，所以看起来细,0,2019-09-12 16:16
@流浪的书中,,转发微博,0,2019-09-14 19:34
@pian孤独的像一条狗,,转发微博,0,2019-09-11 12:52
@wgmt洋-周,,又一个没看过几场就来尬吹的，字母相对于希腊就相当于一个规划外援一样。希腊本身实力就是不错的，字母更不用说，球队明显就是磨合出了问题，字母美式打法，希腊一直都是欧式团队打法，两个之间一直都找不到平衡点。不要动不动就尬吹尬黑……,1,2019-09-11 02:35
@笑魇依然u,,好期待！！,0,2019-09-07 22:35
@沫丶璃w,,赞一个，很不错的样子，立马关注去。,0,2019-09-07 22:34
@pe浅墨u,,不错，分享了,0,2019-09-07 22:34
@髅娜绯i,,太赞了,0,2019-09-07 22:33
@黛微丶w,,不错哦，分享给我的朋友们,0,2019-09-07 22:33
@少钩鈏我丶娇美,,很喜欢，大饱眼福，会推荐给周围的朋友的,0,2019-09-07 22:32
@外向孤独患者nzk,,没有白看啊，很有收获啊,0,2019-09-07 22:29
@孤街浪途9n4z,,很用心啊，支持你，继续努力,0,2019-09-07 22:29
@琴已毁弦已断丶趴,,好运气快来找我吧。好开心啊。,0,2019-09-07 22:28
@島是海哭碎菂訫_惧怕,,这个不错，很得偶喜欢,0,2019-09-07 22:28
@时光碎影_lic,,虽然要上课，还是来赞一个,0,2019-09-07 22:28
@晴丶兮g,,这么给力啊，我喜欢,0,2019-09-07 22:27
@bx温支集韵师拣k,,我可以说。。。写的真好。。,0,2019-09-07 22:26
@mj把泪吊起来晒干1,,众里寻他千百度，却在这来看到你啊,0,2019-09-07 22:25
@690孤傲残雪,,这个必须顶，不然都对不起自己了呀,0,2019-09-07 22:25
@聆听呼吸的声音_ylm,,支持。！！~~~ ,0,2019-09-07 22:25
@哎盐丶b,,看的我好心动！·······,0,2019-09-07 22:25
@卜许嵩手e,,来转一个,0,2019-09-07 22:23
@bi旧巷里的少年郎n,,打心眼里喜欢这样的,0,2019-09-07 22:23
@奈河桥头等你_kyk,,我们看好你,0,2019-09-07 22:22
@凉丶梦n,,支持微博主，永远努力哦,0,2019-09-07 22:21
@独爱迩d,,今天我开微博了...,0,2019-09-07 22:21
@流浪的书中,,转发微博,0,2019-09-14 19:34
@Dooms-明,,看阿联，比他还惨，队友演阿联,1,2019-09-12 16:55
@海狗在发呆,,是因为长，所以看起来细,0,2019-09-12 16:16
@流浪的书中,,转发微博,0,2019-09-14 19:34
@Dooms-明,,看阿联，比他还惨，队友演阿联,1,2019-09-12 16:55
@海狗在发呆,,是因为长，所以看起来细,0,2019-09-12 16:16
@GUOJLiekkas,,我就想看看字母哥的腿，你说了半天，腿呢,2,2019-09-12 04:04
@pian孤独的像一条狗,,转发微博,0,2019-09-11 12:52
@请输入代码_,,。,0,2019-09-11 07:10
@wgmt洋-周,,又一个没看过几场就来尬吹的，字母相对于希腊就相当于一个规划外援一样。希腊本身实力就是不错的，字母更不用说，球队明显就是磨合出了问题，字母美式打法，希腊一直都是欧式团队打法，两个之间一直都找不到平衡点。不要动不动就尬吹尬黑……,1,2019-09-11 02:35
