User,Reter,Comment,Votes,Time
@头顶有星光,,好希望他有相爱的人啊。 评论配图,22795,2019-09-07 15:57
@喜脉洗脉,,陈坤这张 评论配图,4375,2019-09-07 16:39
@清蒸肥羊别放盐,,看烟花这里真的绝了 评论配图,17880,2019-09-07 15:41
@二十八号彗星,,图片评论 评论配图,12937,2019-09-07 15:41
@一个平凡的好公民,,人群中也算抢眼  抢眼的孤独难免 评论配图,14238,2019-09-07 15:47
@火锅我们火锅-,,图片评论 评论配图,7541,2019-09-07 15:42
@是日和也是hiyori,,不满您说，权志龙纪录片我看一次哭一次 评论配图,7495,2019-09-07 15:54
@Miraitowa-Pluto,,图片评论 评论配图,7631,2019-09-07 15:42
@温袭人间刺骨凉,,他好像在冬日等待什么人，又好像没有。 评论配图,6561,2019-09-07 17:31
@王一博的香菜精宝贝,,喧嚣褪去 评论配图,5364,2019-09-07 15:42
@图图亚亚有话说,,他们说落幕就是散场…… 评论配图,3823,2019-09-07 16:08
@本大王吃瓜呢,,傅菁这张吧 评论配图,3315,2019-09-07 16:56
@-Joycetay-,,,2688,2019-09-07 15:41
@fxxkfakefriends,,图片评论 评论配图,2023,2019-09-07 15:45
@银河无证驾驶员,,图片评论 评论配图,1927,2019-09-07 15:45
@白敬哼,,Comment with pics 评论配图,2039,2019-09-07 15:46
@绿琈,,图片评论 评论配图,1987,2019-09-07 15:48
@小张不烦恼,,冠军是他们的 评论配图,1906,2019-09-07 17:38
@喜脉洗脉,,陈伟霆 评论配图,1415,2019-09-07 16:53
@喜脉洗脉,,梁博 评论配图,1429,2019-09-07 16:43
@把侧妃hill咯哦哦PSP去涂鸦www,,我毛 评论配图,1172,2019-09-07 17:26
@喜脉洗脉,,张涵予 评论配图,602,2019-09-07 16:50
@晗蜀黍-,,我大舅子,516,2019-09-07 17:35
@多啦a葵,,蔡徐坤这个让我觉得孤单落寞，想抱抱他 评论配图,4305,2019-09-07 15:48
@逐風執事,,蔡徐坤这个吧,3241,2019-09-07 15:48
@叶西M,,那次比赛他的车坏了，小孩还想发动车接着走，可是没有效果，靠在墙上拍了这张。后来，他拿了新人组的冠军,2511,2019-09-07 15:50
@十年没吃晚饭了,,挺孤独的 评论配图,1838,2019-09-07 15:42
@冇1点点困,,图片评论 评论配图,2535,2019-09-07 15:46
@八酒吃不胖leon,,这张！ 评论配图,2446,2019-09-07 15:45
@卤煮烧饼萌萌哒,,这个 评论配图,2146,2019-09-07 15:48
@储蓄卡余额足,,这张 视频截图 好想抱抱他 评论配图,2076,2019-09-07 15:47
@八月如烟,,这张吧 评论配图,1980,2019-09-07 15:47
@顾氏野瑰,,还有这个，他真的很累，素颜的截图，没修 评论配图,1922,2019-09-07 15:48
@兔子饲养员爱吃胡萝卜,,宝贝的航班不要再延误了,1506,2019-09-07 15:42
@羊羊的超级ok,,易烊千玺那个靠电梯的图！（我不能发图555,1182,2019-09-07 15:41
@女友在线冲浪,,图片评论 评论配图,1709,2019-09-07 15:44
@只爱漂亮弟弟,,如果可以 我想抱抱你 评论配图,1664,2019-09-07 15:49
@顾氏野瑰,,这张吧 评论配图,1522,2019-09-07 15:47
@怎样你很厉害嘛,,这个背影吧 评论配图,1191,2019-09-07 15:42
@Mars199112,,这样的！ 评论配图,1504,2019-09-07 15:47
@超爱蓝玫瑰i,,图片评论 评论配图,1481,2019-09-07 15:48
@帅哥我能做你手里的金麦吗,,蔡徐坤 评论配图,1337,2019-09-07 15:49
@DiosHermosa,,我也是 把他这张设成了相册封面 让我永远记住他那时候看起来的孤独与落寞 要明白他等来有一天烟花为他而绽有多不容易 也让自己记得 他永远需要我爱 哪怕我只是那漫天烟火的荧荧一点 因为他一定在看,1033,2019-09-07 15:51
@葳蕤ooo,,图片评论 评论配图,1028,2019-09-07 15:48
@-LuoA欣,,蔡徐坤呀 评论配图,903,2019-09-07 15:49
@王耶啵我想和你一起跑马拉松,,图片评论 评论配图,481,2019-09-07 15:40
@八月狮子喵,,这张真的要我命 评论配图,881,2019-09-07 15:49
@图南要up,,图片评论 评论配图,699,2019-09-07 15:41
@miiiiiiiiiiie,,这样？？ 评论配图,602,2019-09-07 15:41
@限定偷心小偷,,有种孤独的流浪诗人（？）感觉 评论配图,782,2019-09-07 16:59
@xxx_小鬼,,看起来好像很热闹 可惜只是 看起来 评论配图,621,2019-09-07 16:57
@啊梦是小赞的小朋友鸭,,这个不是孤独，是仙子在凡尘，一身烟火气 评论配图,626,2019-09-07 15:44
@-晨er啊-,,图片评论 评论配图,584,2019-09-07 15:42
@吃胖月亮,,一个人坐在椅子上想自己没有出道应该怎么办 评论配图,488,2019-09-07 15:44
@今天鱼鱼沙雕了吗,,图片评论 评论配图,489,2019-09-07 15:41
@羊二miu,,害 评论配图,609,2019-09-07 15:49
@哎呀这是岚岚啊,,图片评论 评论配图,429,2019-09-07 16:07
@北野胖虎,,图片评论 评论配图,415,2019-09-07 15:41
@阿嫣呐bo,,这个吧，讲他写蒙着眼的过程，看得我心碎 评论配图,550,2019-09-07 15:53
@Nobreath·,,疲倦美真的杀我 评论配图,449,2019-09-07 15:43
@今天的伊伊超可爱,,边伯贤 评论配图,410,2019-09-07 15:45
@你可以回头看我一眼吗,,小白这个又帅又觉得有点心疼 评论配图,342,2019-09-07 15:42
@那我萬事勝意,,图片评论 评论配图,307,2019-09-07 15:44
@八零二困了,,蔡徐坤这个 评论配图,436,2019-09-07 17:45
@嘴角缝不住,,他真的好好,228,2019-09-07 15:41
@BBI_M,,吴世勋啊 评论配图,354,2019-09-07 16:59
@梦天水幻,,是未闻花名，未名声大噪，未人前显贵 评论配图,332,2019-09-07 16:45
@薯条小鬼,,图片评论 评论配图,283,2019-09-07 15:42
@北野胖虎,,生人勿近的感觉 后来才知道那段时间他在拍小北,287,2019-09-07 15:42
@日岳明辉,,王一博 评论配图,267,2019-09-07 15:44
@今天的伊伊超可爱,,金钟仁！ 评论配图,270,2019-09-07 15:44
@明天多喝水,,图片评论 评论配图,271,2019-09-07 16:11
@小张骑猪抢妹宝,,“不要丢下蔡徐坤，不要把他一个人留在那里” 评论配图,321,2019-09-07 18:09
@啵悄悄悄,,耶啵机场抓紧时间休息 评论配图,240,2019-09-07 15:42
@BBI_M,,这种的可以拥有姓名吗 评论配图,273,2019-09-07 16:55
@富贵最喜欢刘彬彬啦,,那个lay 虽然现在很多人讨厌他 但他是我追星启蒙 这张真挺心疼的 评论配图,269,2019-09-07 16:48
@刘北山欠小许一次,,这个吧，真的觉得他好累啊 评论配图,223,2019-09-07 15:47
@苜蓿笙笙,,web 评论配图,228,2019-09-07 15:51
@一只我来了,,或许 你们还记得那年生日 和机场孤独的他吗,248,2019-09-07 18:24
@顽固少女Dream,,李沁,253,2019-09-07 18:02
@沫琛啊,,图片评论 评论配图,212,2019-09-07 15:42
@啵悄悄悄,,与世独立 评论配图,209,2019-09-07 15:48
@Hey迅迅迅迅迅妹儿,,这个是小赞杀青在看烟花 有点点难过 因为他演戏真的很共情 舍不得角色舍不得剧组 他真的很好,203,2019-09-07 15:41
@OO的菜菜,,这张吧，感觉异常的孤独。 评论配图,216,2019-09-07 15:46
@三十四块七毛八,,我jio得2013鹿晗生日那张可以,207,2019-09-07 15:42
@bykookie,,田柾国在弘大看公演的那次！心疼,223,2019-09-07 15:42
@鹿屿烟,,我的哥哥呀 评论配图,208,2019-09-07 16:54
@Unstoppable-leo,,图片评论 评论配图,163,2019-09-07 15:57
@Tmibt,,权志龙在舞台上唱跳到缓不过气低头大口喘气的样子 权志龙给粉丝行大礼的样子 我永远爱巨星哥哥 ,159,2019-09-07 16:18
@试试还能改名吗,,存了很久的图。嘟嘟不是我爱豆，但他这张看起来内心很孤独的压子 评论配图,170,2019-09-07 15:57
@软糖珍尼,,田柾国 未满20岁的时候 评论配图,194,2019-09-07 16:30
@燃橙十年,,小凯这张 评论配图,179,2019-09-07 15:47
@去看蓝色鲸鱼吗,,全网黑到现在应该不止脱了一层皮吧@TFBOYS-王俊凯 评论配图,158,2019-09-07 16:01
@怪我是个情种,,图片评论 评论配图,143,2019-09-07 15:42
@楓蓇,,宝贝地上凉啊,100,2019-09-07 15:45
@一包小鱼干儿_,,这张吧，参加的他 评论配图,98,2019-09-07 15:43
@活泼雨荨,,图片评论 评论配图,126,2019-09-07 15:47
@暴躁老3在线骂人,,这张吧 评论配图,95,2019-09-07 15:41
@-卜卜高升-,,卜凡,86,2019-09-07 15:48
@八月两号,,可能是这张叭 那时 深夜录音的哥哥 刚刚从录音室出来，看到这张照片的 好像抱抱他 评论配图,126,2019-09-07 17:41
@洁yool,,2017的他，感觉每一刻都充满孤独寂寞和无奈，只有看到粉丝才会露出一点笑颜 评论配图,90,2019-09-07 17:04
@王甜甜要骑小摩托嘛,,图片评论 评论配图,87,2019-09-07 15:54
