User,Reter,Comment,Votes,Time,Count
@xh_xiaohan,,就算打上警示标志有些孩子还是会模仿，所以娃儿还是该尽量杜绝看这些短视频，平台也该自己审审。,927,2019-09-07 14:20,2
@墨引欧,,全选吧,184,2019-09-07 14:19,1
@溧溧溧溧,,我的角度看 父母孩子确实可怜，父母的确有责任，但是14对孩子思维活跃充满好奇，父母没有时时刻刻了解孩子想法的能力，每分每秒也不可能都呆在孩子身边。身为枣庄老乡，听视频里父亲的话确实又崩溃又无助，某些人指责也是过分了，不能全全推卸责任于父母，网络平台与视频博主也该承担责任。,796,2019-09-07 14:31,1
@凤兰词,,其实个人觉得小野很多视频都是哗众取宠，一开始关注过觉得有意思，后来觉得假跟题材不感兴趣就取关了，除了为了商业，没有哪个公司行政和物业能不干涉她的行为,450,2019-09-07 14:31,1
@舟不载我,,有些评论酸的很 等轮到你家孩子看你还全怪在孩子身上么 唉 戾气真的好重,140,2019-09-07 14:30,1
@齐之侃-,,拍视频还是不要拍一些奇奇怪怪的视频吧，小孩子真的会去学,156,2019-09-07 14:28,3
@hhhgggppp,,很多人真的脑子有屎还在替小野说话。那个博主真的有毛病好哦？本身她那个团队就有问题，为她洗地的人还在抓着小女孩家长有责任说为什么要怪小野？？？发生这种事情之后小野团队还是在继续若无其事地营销发视频好吧？龟缩起来假装看不见甚至控评。这种流量真的让人气，只知道赚钱不负责。吃人血馒头。,73,2019-09-07 16:54,2
@zkbluewellye,,很不喜欢一些视频做一些有杀伤力的实验啥的 还有的自制小炮弹 小弹弓啥的杀伤力都贼大,86,2019-09-07 14:31,1
@酹风月,,还有人说父母的话小孩不一定听，那警示语他们就看了？所以为什么不直接让他们不玩手机，他们现在没有经济来源，父母不给他们，他们怎么有手机？,50,2019-09-07 14:38,2
@酹风月,,应该不让孩子玩手机才对吧，直接禁视频，跟广电不是一个套路吗？以后全看新闻联播？真的一会儿一个主意啊？广电被骂的时候都忘了？,47,2019-09-07 14:37,2
