User,Reter,Comment,Votes,Time
@九秒内撤回,,从前从前有个人爱你很久 以后也会继续爱你@TFBOYS-王俊凯 [愛你],7630,2019-09-06 23:25
@球球别搞了,,路人粉求一个音源版本,5247,2019-09-06 23:29
@醉不成欢江浸月,,我觉得太可以了  。我不是王俊凯的粉丝，但是看了中餐厅，我觉得这个男孩真的太棒了！！！,5320,2019-09-07 11:27
@是小奶俊呐,,今天也是为王俊凯心动的一天,5179,2019-09-06 23:28
@秋天九点下课喔,,我晕 纯路人get到了凯凯,4361,2019-09-07 11:06
@LJNONG,,周杰伦的歌！！！,4223,2019-09-06 23:34
@小凯的颜值,,小凯的歌好有画面感 评论配图,3479,2019-09-06 23:27
@彩云追月·,,不愧是铁粉。周杰伦,2917,2019-09-06 23:27
@濯水绾颜,,王俊凯唱的晴天这首歌，让我回想起了那年的初恋,2531,2019-09-06 23:29
@坚强的阿彤彤,,对会弹吉他的男生毫无免疫力 重点是还长的好看,2405,2019-09-07 11:12
@我觉得就是这个样子,,还不错 音色干净  希望他以后能出这种风格的歌,2184,2019-09-07 11:57
@凯凯压我头发了,,我的天,2099,2019-09-06 23:26
@六级过一过,,心动一下,1794,2019-09-06 23:38
@他们真的有好好长大,,太帅了卧槽妈呀我爱豆唱我爱豆的歌,1680,2019-09-06 23:27
@薄土-,,粉了粉了,1409,2019-09-07 11:43
@KH从开始到未来,,唱歌好听到爆,1350,2019-09-06 23:42
@枫雪轻霓馨,,好听，唱出了自己的风格，棒,994,2019-09-07 12:19
@忌妃不肥O,,俊凯哥哥！！！,1036,2019-09-06 23:26
@猫语悠幽,,太动听了！,837,2019-09-06 23:55
@溱潼南-,,今天也是为王俊凯心动的一天,755,2019-09-07 12:32
@小飞蛾冉冉,,弟弟唱的好心动，好好听,703,2019-09-07 12:25
@属猫科的小兔子,,王俊凯真的是对自己爱豆周杰伦的歌信手拈来,736,2019-09-07 01:10
@恋空二字就是故事,,他开口唱的《唯一》一开口，哇噻，好动人,623,2019-09-07 12:47
@Lucky遇见wjk,,又一次听到《晴天》了,607,2019-09-06 23:47
@我不吃肥肉www,,他唱歌也太有感觉了吧！！但是这个弟弟商业头脑也是绝了！图片里是秦海璐转述的他的话 评论配图,258,2019-09-07 11:53
@黄晓娴娴娴,,小凯是杰伦粉认证啦[贊],239,2019-09-07 12:08
@Double莜ZZ,,好好听，路转粉,246,2019-09-07 12:53
@凯星星的小耳朵,,爱音乐 爱生活,181,2019-09-07 07:12
@只等春日出逃,,唱的真好听,153,2019-09-07 10:53
@·戀汀記·,,我的天小凯,144,2019-09-06 23:57
@Wings战,,好听,38,2019-09-07 12:31
@宇宙不亮,,真的好听,63,2019-09-07 12:37
@陈陈陈陈陈阿果,,妈耶这是仙子，我宣布王俊凯是我新墙头,68,2019-09-07 12:29
@Cheyong林二里_,,我又有新曲学了！,49,2019-09-07 11:27
@陈-大树树树树,,,65,2019-09-07 13:15
@灿烈请白贤喝旺仔,,没看中餐厅前，对王俊凯是路人，现在觉得他真的很不错！！！,62,2019-09-07 13:36
@LLLLianYing,,在现场！我是王俊凯的话筒,41,2019-09-07 12:44
@彩色泡泡啊,,一个路人jio得他好可爱啊,60,2019-09-07 13:09
@你的-漂亮女孩,,天哪 哥哥唱情歌太好听了，超级期待10月的演唱会,43,2019-09-07 11:26
@最后带上一个句号,,,30,2019-09-07 12:18
@Zekzek,,弟弟唱功真的越来越好了,58,2019-09-07 12:08
@兔子还是吃了窝边草,,我晕，我get到王俊凯的颜了！,27,2019-09-07 13:37
@俊凯是吃可爱长大的,,从前从前有个人爱你很久 以后也会继续爱你@TFBOYS-王俊凯 [愛你],24,2019-09-07 07:31
@纯笑笑,,杨紫唱的太好了,27,2019-09-06 23:29
@橘子柠檬果酱你,,看中餐厅对小凯路转粉辽,22,2019-09-07 13:36
@F恋夏,,就让我爱你很久,15,2019-09-07 12:32
@你好白白白白,,爱了,15,2019-09-06 23:27
@karry的蓝色天空,,听到这首歌，就想到读书时的回忆都是周杰伦的陪伴。,10,2019-09-07 11:46
@王快乐冲呀,,真的陶醉了，很好听很好听,13,2019-09-07 11:35
@忆往昔-109921,,好听,13,2019-09-07 10:54
@永远都做小朋友,,这少年感冲破屏幕,21,2019-09-07 13:02
@Jasminesoda,,看了中餐厅被王俊凯死死的拿住 我一个临产的孕妈妈要变姐姐粉了吗,18,2019-09-07 14:54
@邱邱邱201002,,我一直觉的他的唱功比二字和四字好,17,2019-09-07 13:37
