User,Reter,Comment,Votes,Time
@爱__蓝海,,估计挺费粉底的,32,2019-09-06 20:46
@王一宝的奶膘,,不要再cue林俊杰了好吗,14,2019-09-06 21:43
@Smile-初衷,,你确定这不是林总的头吗！,12,2019-09-06 20:47
@K_aura,,最后一张和安宰贤迷之相似,4,2019-09-06 21:19
@诗_语LcyqC,,真亮啊,1,2019-09-06 20:47
@冬季出生的夏超人,,,0,2019-09-06 22:23
@张金兔Hare,,我估计是痱子粉,0,2019-09-06 22:12
@小钊jane,,@happy_勇sir ,0,2019-09-06 21:35
@花花世界里的小帅哥,,估计挺费粉底的,1,2019-09-06 20:47
@我叫杰克婶,,@一个five小女孩,0,2019-09-06 21:54
@Rihanavy小金鱼,,还是很像。。。,0,2019-09-06 21:29
@你瞒我瞒3418,,,0,2019-09-06 20:48
@静静等我看着你,,哈哈,0,2019-09-06 20:47
@你的油条哥哥,,,0,2019-09-06 20:47
@瑾7960518,,哈哈哈有特点,0,2019-09-06 20:47
@松本探支萘qaq,,哈哈哈哈哈哈笑死我了,0,2019-09-06 20:47
@20根深蒂固,,哈哈,0,2019-09-06 20:47
@有福不该享,,有人躺枪,0,2019-09-06 20:47
@6666月儿弯弯88888,,转发微博,0,2019-09-06 20:47
@林俊杰的1307小迷妹,,别说我家老林，好吗？根本不是一个类型,0,2019-09-06 22:08
@5uenZh3n9,,我要笑死了哈哈哈@宇宙真饱,0,2019-09-06 20:52
@墨-歌,,果然是脑壳灵光的人。,0,2019-09-06 20:48
@左_佴,,支持,0,2019-09-06 20:47
@小王子工作室呀,,淘宝店铺搜：苏藤由奈,0,2019-09-07 10:33
@爱喝汽水的SAM大叔,,哈哈看见他就想笑,0,2019-09-07 02:16
@是天甜呀,,把买洗发水省下的钱用来买化妆品了,0,2019-09-07 02:02
@Nicetomeetu-Summer,,@Hmmii 莫把我笑死了,0,2019-09-06 23:55
@汪小丿,,哎这不是那个郭冬林俊杰吗？,0,2019-09-06 23:23
@不向高考低头,,你们懂什么，这是控油，怕出油,0,2019-09-06 22:46
@纳兰-琳琅,,,0,2019-09-06 22:39
@爱忧伤000,,确实觉得他像林俊杰,0,2019-09-06 22:37
@冬天里的小背心_DD,,@Ted__Yang ,0,2019-09-06 22:36
@biubiu喵控,,我猜他打的是高光？,0,2019-09-06 22:34
@我的人生怎么这么无趣,,你不说我还真没发现像林俊杰,0,2019-09-06 22:03
@劈柴喂马的小玛丽,,还是像林俊杰,0,2019-09-06 21:46
@不知道取什么昵称的沙雕网友,,@su静霞,0,2019-09-06 21:37
@小鬼_汀凌,,像林俊杰是什么梗,0,2019-09-06 21:34
@Zx章小鱼yu,,@你好哇WWind,0,2019-09-06 21:16
@Jingle_UESTC,,但是我再也不能直视林俊杰了,0,2019-09-06 21:13
@呜呼拉呼you,,哈哈哈笑死了,0,2019-09-06 20:47
@是云飞了,,就是不一样,0,2019-09-06 20:47
@NANA怪怪的就是不想说话,,@不高兴和没头脑啊 那他应该很费粉,0,2019-09-06 22:39
@ge那年17你34,,我这么可爱，不应该给我点个赞么？,0,2019-09-06 20:49
@didy黑黑小熊,,有没有人给我点赞？没有的话我过会再来问一遍。,0,2019-09-06 20:49
@ge那年17你34,,有趣,0,2019-09-06 20:48
@媳妇啊嘿,,落叶归根，我归你,0,2019-09-06 20:47
@媳妇啊嘿,,地球和太阳都不是宇宙的中心，你才是,0,2019-09-06 20:47
@粥粥不在家,,@木桑Os-,0,2019-09-07 12:26
@你的YAMAHA和LEGO,,@秋金金,0,2019-09-06 22:32
@__金桔柠檬茶,,@__奶盖乌龙茶,0,2019-09-06 21:53
@一九九八B两招elle,,第一张好漂亮，很仙女,0,2019-09-06 21:50
@吃饭睡觉打清清,,@一只酥皮呀 ,1,2019-09-06 21:36
@我一把推开了说这是另外的价钱,,@劉大嘴巴1,0,2019-09-06 21:25
@粥粥不在家,,@木桑Os-,0,2019-09-07 12:26
@小王子工作室呀,,淘宝店铺搜：苏藤由奈,0,2019-09-07 10:33
@爱喝汽水的SAM大叔,,哈哈看见他就想笑,0,2019-09-07 02:16
@是天甜呀,,把买洗发水省下的钱用来买化妆品了,0,2019-09-07 02:02
@Nicetomeetu-Summer,,@Hmmii 莫把我笑死了,0,2019-09-06 23:55
@汪小丿,,哎这不是那个郭冬林俊杰吗？,0,2019-09-06 23:23
@不向高考低头,,你们懂什么，这是控油，怕出油,0,2019-09-06 22:46
@NANA怪怪的就是不想说话,,@不高兴和没头脑啊 那他应该很费粉,0,2019-09-06 22:39
@纳兰-琳琅,,,0,2019-09-06 22:39
@粥粥不在家,,@木桑Os-,0,2019-09-07 12:26
@小王子工作室呀,,淘宝店铺搜：苏藤由奈,0,2019-09-07 10:33
@爱喝汽水的SAM大叔,,哈哈看见他就想笑,0,2019-09-07 02:16
@是天甜呀,,把买洗发水省下的钱用来买化妆品了,0,2019-09-07 02:02
@Nicetomeetu-Summer,,@Hmmii 莫把我笑死了,0,2019-09-06 23:55
@汪小丿,,哎这不是那个郭冬林俊杰吗？,0,2019-09-06 23:23
@不向高考低头,,你们懂什么，这是控油，怕出油,0,2019-09-06 22:46
@NANA怪怪的就是不想说话,,@不高兴和没头脑啊 那他应该很费粉,0,2019-09-06 22:39
@纳兰-琳琅,,,0,2019-09-06 22:39
@爱忧伤000,,确实觉得他像林俊杰,0,2019-09-06 22:37
