User,Reter,Comment,Votes,Time
@中国消防,,致敬！有勇有谋！,14987,2019-09-07 08:52
@Mommytofcc,,挺佩服这样的人，敬佩！,7462,2019-09-07 08:52
@盒子U盒子,,群众二等功！和平年代真的少见了！,6066,2019-09-07 08:59
@吃不胖的甜心超人,,如果我们遇见这种情况，我们肯定也想救人，但是我们跟他比，可能缺少的就是勇气。致敬英雄！,5561,2019-09-07 08:53
@鹿晗关晓彤多久能分手,,这样的人真的让人敬佩，真英雄！,2197,2019-09-07 08:53
@小坤坤小ss,,致敬英雄！,1146,2019-09-07 08:52
@Parfait_zayn,,致敬,855,2019-09-07 10:28
@白的脚印,,真是厉害了，感觉看了一个真实的电影特技,1049,2019-09-07 08:58
@Optimistic·Adam,,幸好碰到的是猛男,871,2019-09-07 08:54
@买块豆子的表,,穿上我心爱的小背心上电视,795,2019-09-07 08:54
@有玉惊逍,,二等功，没问题！,504,2019-09-07 08:56
@伯居易,,好人会有好报的，一生平安。,405,2019-09-07 08:56
@Qin_秦曼,,不是一般人可以做到 很难很难 无论理智还是技术 都好难,418,2019-09-07 09:06
@KO酱酱可爱,,危险面前挺身而出的真英雄,310,2019-09-07 09:00
@nbmnbmn123,,实际情况是很危险的，如果跑的速度跟不上或者摔倒会直接被卷入车底,275,2019-09-07 10:54
@伯居易,,真英雄，实至名归。终于见到这大哥正面了。,244,2019-09-07 08:56
@戳戳我的小耶啵,,所谓英雄，在思考之前，身体就率先行动起来了！,233,2019-09-07 09:11
@胖哥杨力,,如果在他生活的城市还没落户的话，希望能给落户。如果已经落户，希望能有实物的奖励。毕竟太危险了！！没他出手可能后果不堪设想！,132,2019-09-07 09:38
@邢立达,,应该授权他多生几个娃，把DNA多延续点，勇气爆棚,106,2019-09-07 09:03
@祥康驿站,,艺高人胆大，挺身避灾害。,91,2019-09-07 08:54
@芯一小马农,,这种人的反应，让人佩服，大部分人，只会站在那目瞪口呆，大喊尖叫，挪不动步，各种纠结，怎么办，怎么办。,100,2019-09-07 10:41
@___Jans,,课代表解释一下这个二等功,93,2019-09-07 08:53
@淡漠苦中苦,,我觉得这个二等功实至名归！！,78,2019-09-07 10:29
@谁还不是个年费会员,,点赞,55,2019-09-07 08:52
@晴川姐姐,,致敬英雄,43,2019-09-07 08:53
@JIAO虎,,解决问题的人让我们肃然起敬，产生问题的人到底怎么处理,27,2019-09-07 09:14
@是一个萝卜头呀,,致敬,16,2019-09-07 08:52
@小赞爱吃薯片,,致敬,14,2019-09-07 08:53
@牙藤虎,,应该的,12,2019-09-07 08:52
@徐卿之xh,,致敬,11,2019-09-07 08:56
@Emily_Khoo,,致敬,11,2019-09-07 08:52
@Matulaak12,,你见过真正的超级英雄吗？这就是了,18,2019-09-07 09:19
@不及MISS若离,,敬佩,10,2019-09-07 08:52
@是姓咩的乜,,好人会有好报的，致敬,12,2019-09-07 08:54
@爱娜小妞0506,,致敬英雄！,6,2019-09-07 09:11
@南昌铁路,,为英雄点赞！,11,2019-09-07 09:11
@阅读手记,,赞你,7,2019-09-07 09:01
@zyloooong居,,有勇有谋，正义感十足,8,2019-09-07 08:59
@拾贝源,,大哥，智勇双全，侠者仁心！,13,2019-09-07 08:57
@小五的故事199305,,致敬,6,2019-09-07 08:58
@弱水三千只取一梨,,为英雄点赞英雄，值得我们骄傲。,7,2019-09-07 09:19
@牙套-小阿姨ya,,好人还是很多,7,2019-09-07 09:01
@你们都是胖子胖子胖子胖子,,有勇有谋有实力,9,2019-09-07 08:55
@懒惜言,,刹车不好只能撞山，一个完全不顾自己生命安全救人的英雄,5,2019-09-07 13:23
@倾聍,,没时间考虑，行动比思想还快！致敬真英雄,7,2019-09-07 12:32
@椰果味蜜蜂,,应该得到这个表扬,4,2019-09-07 08:52
@嗨萧同学,,我非常佩服他，因为我没他勇敢，换成我可能还在纠结要怎么做呢。,3,2019-09-07 13:34
@科技标杆美学,,无证驾驶，驾驶证c1不能驾驶a2,2,2019-09-07 15:30
@湖南消防,,致敬，有勇有谋，胆识过人,4,2019-09-07 10:51
@iBingo,,强[加油][加油],2,2019-09-07 10:42
@钓鱼岛派出所110,,谨此，向刘文忠同志致以崇高的革命敬礼！,5,2019-09-07 10:27
@DONEPIEC,,,2,2019-09-07 08:52
@血洗香港废青,,请问群众二等功对于一个群众来说出了光荣之外 这代表了什么？有特殊待遇吗,3,2019-09-07 14:02
@思念4186,,这是不顾个人的安全，将损失降到最低,6,2019-09-07 13:24
@Mukkoka,,很危险啊 伟大致敬,2,2019-09-07 08:53
@楓露微紫与blingbling,,此种荣誉，是他应得的,3,2019-09-08 00:39
@蜗牛还是牛,,好样的，二等功！真羡慕！我是拉住了一辆手刹失灵，顺着山路加速下滑的越野！,5,2019-09-08 00:03
@往事随风_美丽的世界,,救人一命，胜造七级浮屠。更何况是救了很多人一命,4,2019-09-07 09:00
@男_神太多ID写不下,,现实中的超级英雄,2,2019-09-07 21:49
@黄小_cat,,英雄！,1,2019-09-07 13:21
@情感文字语录,,这是骨子里带的，来不及反应！致敬！,6,2019-09-07 12:03
@拐走周震南,,我真的觉得太厉害了，致敬,3,2019-09-07 11:15
@信贷上海频道,,社会需要这种正能量！,3,2019-09-07 09:04
@Denlyping,,致敬,2,2019-09-07 09:03
@D女郎官网丰胸-奇迹,,英雄,1,2019-09-07 16:38
@你该如何珍惜时光,,真勇敢,1,2019-09-07 13:46
@夕颜颜颜颜lxing,,,1,2019-09-07 13:07
@oh寒山,,respect,1,2019-09-07 12:31
@Mr_孫紅偉,,厉害啦！英雄,1,2019-09-07 12:28
@嘉伦有情吾有意,,真英雄，致敬！,1,2019-09-07 11:59
@夏柏歌,,佩服,2,2019-09-07 11:53
@昆图斯就是昆兰,,太棒了 这种人就是要好好奖励 拯救了很多人的生命呢,4,2019-09-07 11:27
@战斗民族超级赛亚人,,浙江温州浙江温州皮革厂，倒闭了倒闭了，老板娘和小姨子……,2,2019-09-07 10:31
@璐济珈,,这个表彰让我热血沸腾，莫名感动。因为我很早在第一时间就发表了个人对英雄赞赏与崇拜，但毕竟当时没任何的表彰，只能默默支持着，现在有了，好开心,9,2019-09-07 10:30
@刘_翔_大_侠,,当代英雄，敬礼！,2,2019-09-07 10:08
@于君起,,机智过人！致敬！,1,2019-09-07 09:36
@ThatGirl-我叫小小明,,用正义感，而且勇敢，真的佩服,2,2019-09-07 08:59
@是我爱的肖战呀,,向英雄致敬,2,2019-09-07 08:56
@网络热新闻,,这才是速度与激情吧，超级英雄只在关键时刻出现,1,2019-09-07 11:38
@想要就说出来_白牙,,牛牛,2,2019-09-07 10:43
@赶快把耳朵叫醒,,这种人真的要奖励，不管物质方面还是工作方面，真的要奖励一下,5,2019-09-07 14:25
@芋圆不是圆,,致敬,1,2019-09-07 12:59
@不喜欢在水中的鱼,,致敬,1,2019-09-07 12:57
@电影吐槽酱,,#飞身刹停货车司机被授二等功# 没有披风，也没有超能力，但却是生活中真真实实的超级英雄，佩服,3,2019-09-07 11:08
@沐沐芊喆,,这个时代需要这样的正能量！[加油],1,2019-09-07 10:55
@花尽子规啼,,好强啊，,1,2019-09-07 09:34
@郑州市贝壳新房销售18135798216,,牛批,2,2019-09-07 09:09
@菜哭包子,,真英雄！,2,2019-09-07 09:00
@日服,,,1,2019-09-07 09:00
@又是一路好风景,,致敬英雄！,1,2019-09-07 08:59
@绍兴鹤君,,其实非常危险，但是确实英勇,2,2019-09-07 14:49
@阿卡索资讯,,给这位英雄点赞！但有点太惊险了！让人后怕，切记安全第一！,1,2019-09-07 14:46
@尹0809,,这是真英雄,2,2019-09-07 13:29
@Blue·W,,致敬,2,2019-09-07 09:30
@田丽芳TLF,,英雄！,1,2019-09-19 10:25
@爱吃肠粉的美少女麻麻,,真英雄 致敬！,1,2019-09-08 09:10
@啵啵看这里-,,好人一生平安！致敬英雄,1,2019-09-08 09:00
@ZY要努力吖,,哇真的很佩服这样的人,1,2019-09-07 15:54
@烟杆儿垛垛,,向英雄致敬!,1,2019-09-07 15:42
@吃掉小乌龟,,致敬,1,2019-09-07 14:22
@倩颖颖颖颖颖萤火虫,,佩服,1,2019-09-07 14:10
@虾车诞,,真男人,1,2019-09-07 14:06
@自由的游方僧,,绝对英雄！！,1,2019-09-07 14:06
@白羊座小慢慢,,有勇有谋，真英雄！,1,2019-09-07 13:58
@快乐的阿鑫呀,,如此的气魄和胆量是真英雄！！！,1,2019-09-07 13:58
@去吃苦去付出,,不是一般人敢做的，有英雄气概,1,2019-09-07 13:26
@温州瓯海星星,,真心英雄,1,2019-09-07 13:19
@一只阿狗啊,,这种人是真厉害,1,2019-09-07 12:49
@A3bandIn-A3,,牛逼,1,2019-09-07 12:40
@善果心花如此报,,致敬,1,2019-09-07 12:08
@红烧喵子头,,真的佩服,1,2019-09-07 12:04
@Cutie-Y撅嘴女人,,绝对是英雄,1,2019-09-07 11:52
@Mibow太阳系,,果敢！[加油],1,2019-09-07 10:15
@莫里里是小锦鲤,,英雄,1,2019-09-07 10:14
@麦麦946,,这个要顶，要赞，真英雄！！！,0,2019-09-07 10:11
@张子的os,,佩服，应该的,1,2019-09-07 09:59
@深圳国际游戏动漫展,,有司机眼看货车自己跑还傻傻地站着！等发生事故！！就一脸后悔！！死人货车撞人撞车,1,2019-09-07 09:01
@愿余生常伴-,,伟大的人！感激！,0,2019-09-07 21:14
@马rimba毅,,英雄！！,1,2019-09-07 13:29
@谭小宝5,,不懂就问，这种个人二等功，对他有什么实际的好处吗,1,2019-09-07 10:27
@看那遥远的彩虹,,#飞身刹停货车司机被授二等功# 这个必须点赞,1,2019-09-07 10:18
@阿yo爱脐橙,,拿命救人，英雄！,1,2019-09-07 10:17
@马爽ms_,,跳上车的那一刻帅爆了,2,2019-09-07 09:32
@梁秋实LDG,,致敬,0,2019-10-17 19:02
@小世今天一定能可以,,佩服,0,2019-10-03 11:41
@jeffxiaodong,,真英雄,0,2019-09-22 03:32
@基督山伯爵swl,,太帅了吧,0,2019-09-19 17:37
@吾之忧伤无人知,,6666,0,2019-09-12 19:49
@程向内柔温,,英雄,0,2019-09-11 23:56
@爱追星的花心橙子,,没有时间考虑个人安危，和平时代的真英雄,0,2019-09-11 13:41
@那是娜娜呀,,点赞,0,2019-09-10 23:07
@米粒小米粒呀,,有勇有谋，真英雄！刘文忠！,0,2019-09-08 21:45
@网一,,,0,2019-09-08 15:20
@浪漫蛋炒饭一号,,#浙江精神在身边# 江南四季光景靓丽，帅气精神刚柔并济，有干事创业的韧劲，有见义勇为的勇气！这样的浙江，这样的浙江人，将继续书写勤劳奋进有勇有爱的浙江精神！,0,2019-09-08 15:16
@军事a马妍,,#飞身刹停货车司机被授二等功#和平年代对群众授予二等功，会唤醒很多想做好事又犹豫观望的人们！国家是通过这种方式告诉人们，国家是肯定正能量，支持正能量的！,0,2019-09-08 13:21
@宇宙是彩虹色的,,我的天，真英雄！,0,2019-09-08 12:07
@林小琳从来不靠谱,,太棒了，致敬,0,2019-09-08 11:31
@即幕,,,0,2019-09-08 10:23
@花花花小豆豆,,英雄！,0,2019-09-08 08:48
@龙魂骑兵,,#浙江精神在身边# ,0,2019-09-08 07:19
@王自荣,,#飞身刹停货车司机被授二等功#授予一等功也不为过啊。,0,2019-09-08 07:12
@纳兰我在,,向他致敬,0,2019-09-08 06:21
@中医李晓梅Priscilla,,真英雄[加油],0,2019-09-08 06:17
@瓜皮盲仔爱居居,,厉害了,0,2019-09-08 01:23
@水女木,,致敬！,0,2019-09-08 00:44
@同济博士抄袭论文1,,微博就该多报道一些这种正能量的新闻，不要整天流量明星放个屁都能热搜,0,2019-09-08 00:36
@喵阿绾,,,0,2019-09-08 00:10
@宣城公安在线,,,0,2019-09-08 00:06
@中警安徽,,致敬！,0,2019-09-07 23:49
@与李一起现在未来,,敬佩！,0,2019-09-07 23:06
@张家的小蜻蜓,,,0,2019-09-07 22:46
@袭月L,,转发微博,0,2019-09-07 22:26
@jizhangduo,,转一个,0,2019-09-07 22:01
@还没长大的yohann,,真的佩服,0,2019-09-07 21:57
@一览众山xiao-,,好人有好报,0,2019-09-07 21:10
@麻烦先停停,,这的是多大的勇气啊 ,0,2019-09-07 20:53
@定期要改名不然被发现怎么办,,太太太帅了啦,0,2019-09-07 20:39
@QuantumN,,真大侠，佩服,0,2019-09-07 20:29
@CY是只峯了的猪猪,,,0,2019-09-07 19:40
@传说中的女网警,,#女网警说# #女网警说[超话]# 致敬,0,2019-09-07 19:38
@依松探岳,,,0,2019-09-07 19:12
@二利_Samuel,,勇敢！,0,2019-09-07 19:09
@猫罐头和鱼饼干,,敬佩！这位真的又英勇又厉害！,0,2019-09-07 19:07
@师兄一米八,,真的孤胆英雄,0,2019-09-07 18:53
@万言万当不如一默11,,,0,2019-09-07 18:49
@三分无奈是离愁,,向英雄致敬,0,2019-09-07 18:44
@王家豪King,,向英雄致敬,0,2019-09-07 18:41
@暗夜烟花,,哇啊厉害！！！,0,2019-09-07 18:36
@郗玥chris,,这个真的太难了,0,2019-09-07 18:34
@sunsunsunmz,,这身手太厉害了,0,2019-09-07 18:12
@画扇绿水皱,,致敬//@吃不胖的甜心超人:如果我们遇见这种情况，我们肯定也想救人，但是我们跟他比，可能缺少的就是勇气。致敬英雄！,0,2019-09-07 18:06
@朱一点燃尘,,致敬,0,2019-09-07 17:30
@熊猫幽灵猪,,英雄,0,2019-09-07 17:29
@桃子和半夏,,是英雄,0,2019-09-07 17:24
@rena权,,有功就该奖励,0,2019-09-07 17:14
@冥王星pluto·,,,0,2019-09-07 17:03
@又要想昵称668,,这个是真的牛逼！！！关键身体素质还有够硬！,0,2019-09-07 17:01
@茶茶在苏州,,这是真英雄！试问有几人能在这样的时刻有这么快的反应，还要有勇气去实施。敬佩这样有勇有谋心怀大义的人！,0,2019-09-07 16:57
@呱豆,,-O也太厉害了！！！,0,2019-09-07 16:51
@Shelby_H,,超级英雄,0,2019-09-07 16:50
@悦丽呀,,,0,2019-09-07 16:06
@没有美丽的白云,,,0,2019-09-07 15:43
@云自在zy,,实至名归,0,2019-09-07 15:42
@水晶骷髅与黑色玫瑰,,量力而行//@hhj海洋:对，身体不那么好的，或者身手不够敏捷的，万一一下没上去说不定摔倒了自己躺车轮底下了，这活儿不是谁都能干的了//@Optimistic·Adam:幸好碰到的是猛男,0,2019-09-07 15:39
@职场管理学,,,0,2019-09-07 15:37
@重工组长于彦舒,,应该！！……不过还第一次见到和平年代个人立功,0,2019-09-07 15:36
@花香满径789,,,0,2019-09-07 15:31
@视频主,,真英雄！#飞身刹停货车司机被授二等功# 转发点赞,0,2019-09-07 15:26
@土耳其不顺路,,我看见了只会哇哇哇,0,2019-09-07 15:24
@月如梅黄,,为什么我能看泪目,0,2019-09-07 15:00
@_橙汁柠檬可乐水儿_,,致敬,0,2019-09-07 15:00
@取昵称真的会让纠结星人很纠结,,,0,2019-09-07 14:57
@坤妈粉,,点赞,1,2019-09-07 14:54
@李晓华-深圳福华汇财税,,真心英雄,0,2019-09-07 14:50
@等大熊猫的小能苗,,好汉子！！,0,2019-09-07 13:46
@健康养生日志,,英雄,0,2019-09-07 13:44
@小個不是我本名哟,,致敬,0,2019-09-07 13:41
@昵称是我随便取得,,致敬,0,2019-09-07 13:33
@小机智少女,,,0,2019-09-07 13:29
@风中摇曳几多处,,英雄,0,2019-09-07 13:27
@是小山鬼呀,,,0,2019-09-07 13:24
@安然anning,,转发微博,0,2019-09-07 13:19
@Jackson亚特,,,0,2019-09-07 13:19
@筱歌e,,致敬,0,2019-09-07 13:16
@奉旨上班啊,,幸好有视频为证,0,2019-09-07 13:08
@奮鬥的奧斯卡,,这个真的是超级英雄了,0,2019-09-07 13:08
@长春这噶儿,,挺身避灾害,0,2019-09-07 13:00
@清月199707,,,0,2019-09-07 12:56
@荤兔有只小猫仔,,真实的超级英雄,0,2019-09-07 12:56
@伦恩福戈,,,0,2019-09-07 12:55
@拒绝诱惑3点14,,有功就该奖,0,2019-09-07 12:49
@怨念2的3457,,这种第一反应真的牛逼，好人一生平安,0,2019-09-07 12:42
@Maigoo芳芳,,致敬英雄,0,2019-09-07 12:41
@風雨顺德人,,赞一个,1,2019-09-07 12:39
@sugar小小小小饼,,好人一生平安,0,2019-09-07 12:36
@ETTT_陆陆LXY,,真的很善良很勇敢,0,2019-09-07 12:31
@小苏ss的皮皮,,佩服！,0,2019-09-07 12:31
@机智的牙牙酱,,真.超级英雄！！！！！,0,2019-09-07 12:28
@唐初景,,很棒啊,0,2019-09-07 12:24
@蝶落指尖花落颊,,真的好勇敢啊,0,2019-09-07 12:21
@南极蓝q,,英雄,0,2019-09-07 12:18
@NEETNEVES_雯w,,太优秀了！！！！！！,0,2019-09-07 12:11
@海之月lunasea,,超级帅的男人啊,0,2019-09-07 12:10
@黄萍萍90,,致敬,0,2019-09-07 12:04
@Lucky女孩_QY,,致敬！,0,2019-09-07 12:01
@心心念念欢欢,,致敬,0,2019-09-07 11:59
@指尖清风丶,,敬佩。这大哥敏捷度已经拉满。[加油][加油][加油],0,2019-09-07 11:57
@_证明_,,这才是偶像这才是英雄,0,2019-09-07 11:53
@貌似一个憨包,,致敬,0,2019-09-07 11:52
@爱云南的天空,,英雄,0,2019-09-07 11:49
@幼儿1班数学老师,,,0,2019-09-07 11:47
@luck_td,,致敬,0,2019-09-07 11:45
@神秘橘子头,,向英雄致敬,0,2019-09-07 11:43
@陕西中公事业单位培训,,#飞身刹停货车司机被授二等功# 致敬！真英雄,0,2019-09-07 11:42
@风里飞扬土里安详,,当之无愧！！！,0,2019-09-07 11:33
@天水事儿,,真英雄！#飞身刹停货车司机被授二等功# 转发点赞,0,2019-09-07 11:32
@听雨荷花爱猫猫的妈妈,,真正的英雄！,0,2019-09-07 11:32
@赖不出皮,,责任在民间,0,2019-09-07 11:29
@羡羡三岁了szd,,真的很值得敬佩！！有勇气，身手矫健，完美,0,2019-09-07 11:20
@柯基尾巴小ZZ,,英雄,0,2019-09-07 11:17
@stronger_LYT,,致敬！,0,2019-09-07 11:11
@智泉古道,,,0,2019-09-07 11:11
@rx徐徐,,为你致敬,0,2019-09-07 11:10
@浦东男小歪,,额...何等的勇气，自愧不如,0,2019-09-07 11:07
@毛绒小森快偷猪,,之前看过这个视频，现在才知道是温州人，自豪！,0,2019-09-07 11:06
@Shmily--峰,,致敬  ！,0,2019-09-07 11:05
@何昱bass-baritone,,superman,0,2019-09-07 11:04
@终点现,,敬佩！,0,2019-09-07 11:04
@貓貓醉,,好样的师傅！,0,2019-09-07 11:03
@shinee-seek,,我是真心佩服，如果让我我真做不到！！！所以更加佩服！！,0,2019-12-07 12:54
@木木十日十月金日比,,看着就恐怖。。。,0,2019-11-20 11:28
@慈恩伊奥,,从老人逼停火车，避免事故新闻过来，看流泪了。被英雄们的伟大感动,0,2019-11-17 17:55
@梁秋实LDG,,致敬,0,2019-10-17 19:02
@工程师-贾小厮,,英雄不问出处,0,2019-10-14 21:45
@工程师-贾小厮,,怎一个佩服了得！！！,0,2019-10-14 21:43
@hhh哈喽阿敏,,@一捧泽漆 太牛了这人！,0,2019-10-06 00:21
@冯yuchun,,敬佩,0,2019-10-04 23:40
@小世今天一定能可以,,佩服,0,2019-10-03 11:41
@shinee-seek,,我是真心佩服，如果让我我真做不到！！！所以更加佩服！！,0,2019-12-07 12:54
@木木十日十月金日比,,看着就恐怖。。。,0,2019-11-20 11:28
@慈恩伊奥,,从老人逼停火车，避免事故新闻过来，看流泪了。被英雄们的伟大感动,0,2019-11-17 17:55
@梁秋实LDG,,致敬,0,2019-10-17 19:02
@工程师-贾小厮,,英雄不问出处,0,2019-10-14 21:45
@工程师-贾小厮,,怎一个佩服了得！！！,0,2019-10-14 21:43
@hhh哈喽阿敏,,@一捧泽漆 太牛了这人！,0,2019-10-06 00:21
@冯yuchun,,敬佩,0,2019-10-04 23:40
@小世今天一定能可以,,佩服,0,2019-10-03 11:41
@森enguge,,责任感,0,2019-09-30 14:12
