User,Reter,Comment,Votes,Time
@白居易公子,,范玮琪：隐隐约约有听说啦,63172,2019-09-08 16:28
@谁还不是个年费会员,,范玮琪：删了让我说,47792,2019-09-08 16:28
@小宇好蜜,,范玮琪：快删了 让我说,26654,2019-09-08 16:28
@暴富,,大家好像都隐约有听说啦,18375,2019-09-08 16:28
@高昊然,,离过婚的男人脏了，二手货谁敢要,15588,2019-09-08 16:30
@宋景瑜,,范玮琪嘴巴摔破了，说不了啦，你们好过分，这个消息被你们先说了,4627,2019-09-08 16:33
@宋景瑜,,网友：谁给你的勇气离婚,3004,2019-09-08 16:36
@逻辑鬼才发言bot,,范玮琪：听我的  我说了离他们就离了,2581,2019-09-08 16:28
@怂货鹿一,,范玮琪：快删了 让我说,1634,2019-09-08 16:28
@肖意欢,,爱情会离开你，婚姻也会离开你，只有社会主义坚持不动摇,1100,2019-09-08 16:34
@受不了就滚,,分手快乐 祝你快乐 你可以找到更好的,641,2019-09-08 16:28
@我的前任是贱人,,下一个更乖,580,2019-09-08 16:27
@宇宙男德,,离过婚的女人能找个乖的，离过婚的男人便宜货，脏了,586,2019-09-08 16:33
@还是喜欢你们的一天,,唉。爱真的需要勇气,468,2019-09-08 16:28
@三命通会命理,,梁静茹，己土生在午月，日元得禄，得年柱午火，天干两劫财做午火，命主日元强旺，整个八字形成了食神生财，2017年丁酉夫妻宫酉酉自刑，感情就开始不太好了，因为这个八字，前三柱没有见官杀，大运走官杀的时候感情才会好。49岁会再次动婚的。,160,2019-09-08 16:43
@武陵人不知魏晋,,所以一开始干嘛否认，很打脸耶,246,2019-09-08 16:30
@酒酿丸子芒果冰,,范玮琪给的勇气,205,2019-09-08 16:28
@晴川姐姐,,一别两宽,77,2019-09-08 16:28
@星座命理李-东水河南粉丝,,多留点私人空间吧，梁静茹78年6月16日，日主己土生于夏令的午火旺月，印绶当令主事。忌神在午火印绶，午火破坏了命局酉金的流通之情。用神在亥子水，去掉午火的燥热之气，润土生金，流通原局的金水之情，故名气佳！祝福,42,2019-09-08 16:38
@我的笑容是你给的,,我记得李宗盛和静茹合唱明明白白我的心   的时候说 小女生 长大了希望你不要经历老豆那么多哦,79,2019-09-08 17:39
@第一眼的你啊,,范玮琪：听我说 都听我的,78,2019-09-08 16:34
@娱乐兔兔,,看来对于梁静茹来说，承认离婚也是需要勇气的,65,2019-09-08 16:36
@王莯紫,,离了就离了 之前还遮遮掩掩的 能遮过去也行 现在到打自己的脸 离婚不丢人 过不下去了 就应该离 何必委屈自己,64,2019-09-08 16:39
@发光的甜辣酱,,儿子很帅,63,2019-09-08 16:30
@我是大天仙,,哈哈哈范玮琪上热搜预警！,42,2019-09-08 16:31
@太太难了,,离过婚的男人脏了，二手货谁敢要,42,2019-09-08 16:29
@flabbergacted,,你又开始整理了吗,26,2019-09-08 16:28
@白猫师尊2019,,据说因为老公是gay?？同妻？,30,2019-09-08 16:47
@Pirlo-Ben,,还是玛莎好,38,2019-09-08 18:38
@彭冠英今天出圈了吗,,分手快乐,10,2019-09-08 16:46
@耶椰子,,自打有了网红，不知道有多少家庭离婚，多少孩子变成单亲家庭！！！！男人，呵呵，宁愿给钱养别人孩子，也不养自己的孩子！！,14,2019-09-08 18:28
@我想改个微博名称而已,,果然明星的感情，只要出绯闻了就是真的,16,2019-09-08 17:43
@是自发光体呀,,？！！！！没事，只要她幸福不就好了,8,2019-09-08 16:29
@海上雄鹰kkk,,可惜不是你！,12,2019-09-08 16:28
@IT连线,,哎，真的需要勇气，来面对流言蜚语……,12,2019-09-08 16:42
@扫黑除恶总指挥,,爱真的需要永琪来面对六眼飞鱼,6,2019-09-08 16:38
@羊哥今天想恬恬了吗,,分手快乐祝你快乐 你可以找到更好的,15,2019-09-08 16:43
@羊哥今天想恬恬了吗,,心疼,6,2019-09-08 16:42
@无语行为阅览,,范玮琪:无语。。。,3,2019-09-08 16:29
@85号成为我最后的爱把,,以后会更好的,8,2019-09-08 16:28
@颠覆江山只为你,,谁给你的勇气离婚？,3,2019-09-08 16:29
@卷毛龄,,长这样的男的还劈腿，妈的，可惜我女神了,7,2019-09-08 20:31
@zzzzzxy_0318,,各自安好,2,2019-09-08 16:28
@Lx-metoo,,这回自己听自己唱的分手快乐,3,2019-09-08 19:39
@1大于2的道理,,动物世界，离婚结婚跟交配有什么区别！,2,2019-09-08 19:24
@等等只想静静,,沉默许久……啧啧啧,2,2019-09-08 17:26
@SheillaCastro13,,隐隐约约有听说啦,7,2019-09-08 16:28
@沈月得不到的生发仪,,看把范玮琪嘴磕得,7,2019-09-08 17:21
@阿七爱吃,,才送17万的求婚戒指,4,2019-09-08 21:36
@银河下的星河,,分手快乐 终究唱给自己 评论配图,7,2019-09-08 16:43
@阿白500铁骑,,范玮琪：快删了 让我说,3,2019-09-08 17:55
