User,Reter,Comment,Votes,Time
@戴戴今天瘦了吗,,棉花糖,12,2019-10-06 07:20
@帮我熄灯吧,,@WWKAIDNGXH,0,2019-10-06 11:00
@嗨香蕉香蕉香蕉-,,@嘿苹果苹果苹果- 你好坚强！,0,2019-10-06 10:44
@双份珍珠三分甜,,@Li李悦Yue,0,2019-10-06 09:02
@优秀啊小呆瓜,,@陈陈陈大力呀 力力还是那只玩具狗。,0,2019-10-06 09:01
@JIALULULU,,@Ami曹莹雯,0,2019-10-06 08:40
@是阿依土拉公主不是阿依土鳖公主,,@我是小小小小小刘,0,2019-10-06 07:45
@一只英俊的橘子灯,,小白棉花糖~,1,2019-10-06 07:12
@TsKugelElf,,@查耳闻 昨天的我们,1,2019-10-06 14:15
@百花图谱,,中国机长刘传健说挡风玻璃爆了的时候他觉得脸被吹变形，大概就是这种感觉吧,1,2019-10-06 14:49
@别惹Tan叔叔,,你！怎么！能忍心不把它抱在怀里不让它承受这个体格不该承受的风暴？！,1,2019-10-06 12:43
@胡圣琦,,@一只爱狗如命的猴子 ，讲道理，你刚说让你儿子面对疾风，下面刷到的就这条,0,2019-10-06 09:18
@Angel_9815,,@揪啊揪啊 老鑫!它又来了!,0,2019-10-06 09:11
@大岛外来务工乙女Q,,@阿鸭鸭鸭鸭,0,2019-10-06 08:54
@Chau9nim,,@王可乐OwO,0,2019-10-06 07:29
@RL文,,@Lilia-Li,0,2019-10-06 07:17
@钟琴琴要开心呀,,发型乱了啊小狗砸,0,2019-10-06 19:20
@DAWN-STAR辰星,,@姜佳楠注册,0,2019-10-06 14:44
@格叽格叽啧啧啧,,@枏觅-别来无恙,0,2019-10-06 09:23
@滕滕不说话,,@八咕冬菇呀,0,2019-10-06 09:14
@别抢俺的猪,,@一只很酷的猪啊,0,2019-10-06 09:09
@明月灆,,我想轻轻的推它一把 看能不能吹跑了~,0,2019-10-06 09:04
@丁乐的小号,,天呀 @丁Self,0,2019-10-06 08:33
@敲卡爱,,这不就是在风中凌乱的我的样子,0,2019-10-06 07:20
@__夢与伱,,好可爱,0,2019-10-06 07:09
@-不会飞的懒虫,,@唐桔桔,1,2019-10-06 10:46
@猫皈,,@PoneyBoy,1,2019-10-06 10:45
