User,Reter,Comment,Votes,Time
@阿云龙你压着我头发了,,他的付出值得他的成就,24991,2019-09-07 17:35
@徐坤号专属奶盖,,凯凯真的很好,14413,2019-09-07 17:35
@xhlaiyx,,小凯 超级努力,11272,2019-09-07 17:33
@果果的小千金,,重庆小伙子很优秀,10370,2019-09-07 17:36
@蓝小俊的奶茶工,,孝顺的小凯,6786,2019-09-07 17:35
@没有盖盖的钟钟,,@youfeiyf 别人的十九岁,4792,2019-09-07 17:33
@王俊凯的蓝色蟹kk,,哥哥不要哭,4244,2019-09-07 17:36
@如果有人陪谁愿意一个人,,看得出来是个孝顺孩子加油 越来越好,3276,2019-09-07 17:37
@谁用温柔掩饰沧桑,,表白王俊凯，真的是很努力很优秀的boy,2419,2019-09-07 17:37
@彭摆鱼呀啦啦啦,,确实是被王俊凯打动了，这么孝顺真的很优秀。,2220,2019-09-07 17:39
@阿呀龚,,小凯不哭，你已经很棒了，一起加油努力,2047,2019-09-07 17:38
@你的好总会有人发现,,看得我都心疼凯凯了 ，未来可期,1849,2019-09-07 17:38
@万万要出去玩要变瘦要努力工作,,不管不管，三字弟弟也太好了吧，暑假里见过他爸妈，和蔼到炸裂,1700,2019-09-07 17:43
@止痛药加点盐,,最近真的有点被王俊凯给圈粉了。,1684,2019-09-07 17:52
@年轻人的绝症,,小凯真的太棒了 不过你做到了,1397,2019-09-07 17:38
@薛之谦的歌迷粉,,你很优秀了,1154,2019-09-07 17:35
@冇冇有33,,王俊凯我一直都很喜欢你 就是你的人品没问题,909,2019-09-07 17:43
@秋殇雪霏霏,,付出都是有回报的呢！加油啊,754,2019-09-07 17:39
@我团我骄傲,,孝顺的孩子,715,2019-09-07 17:36
@薛之谦的歌迷粉,,小凯哥哥不要哭,623,2019-09-07 17:35
@一横二竖三点捺,,你的19岁已经做的很好了 为你骄傲,608,2019-09-07 17:39
@麋鹿知友,,我承认我真的羡慕，可我也承认我不如他，日复一日的训练是我做不到的！,566,2019-09-07 17:39
@_静候葡萄成熟时,,我自愧不如,482,2019-09-07 17:36
@天秤座的微风拂柳,,小凯实力证明了努力终会有回报[加油],422,2019-09-07 17:44
@用鼠标的那只手真冷,,王俊凯比同龄的孩子辛苦很多，能有今天的成就也是值得的,409,2019-09-07 17:56
@Followyourheart哈喽,,最近真的被三字弟弟圈粉，又帅又孝顺情商又高!,401,2019-09-07 18:18
@王快乐冲呀,,年少成名少不了心酸，希望这个男孩子越来越好,358,2019-09-07 17:37
@原味旺仔牛仔糖,,谢谢小凯给我们带来的快乐，但是小凯也要注意自己的身体，毕竟开心才是最重要的,227,2019-09-07 17:51
@愛喝奶茶的懶喵vv,,太孝顺了,232,2019-09-07 17:36
@饕餮魍魉,,我也想这样啊，毕竟人和人还是不一样的，各自努力啊,161,2019-09-07 17:33
@kameweb,,招人疼，小小的少年，大大的担当,118,2019-09-07 17:52
@哔哔啦啦啦啦,,小凯真的很棒很努力，真的优秀爆了,94,2019-09-07 17:41
