User,Reter,Comment,Votes,Time
@夜记之,,说实话，对王俊凯纯路人，但是看这一季，圈粉了，真的人家红不是没有理由的,10261,2019-09-08 15:46
@保庆哥哥的百变小樱桃吖,,谁不想有个这样的弟弟 评论配图,4597,2019-09-08 15:01
@沙雕萌鹅,,小凯真是又有梗又暖心的一个男的,4356,2019-09-08 15:00
@聊天大王,,林大厨因为不适应摄影和肉质问题难过时暖心安慰林大厨，主动承担洗碗的活三个小时手洗了一桌子的碗，给姐姐默默做珍珠奶茶放在她案头，惦记着一直在后厨帮忙的仝卓没出去玩出去时特地叫一声，节目结束后特地去帮晓明哥宣传新电影，王俊凯对人又好又温柔 评论配图,3911,2019-09-08 15:43
@想吃酱丸子,,三字弟弟一直都很细心呐,2669,2019-09-08 15:06
@泡帅凯,,温柔细心又懂事的大男孩我可以喜欢好多年,1960,2019-09-08 15:03
@凯猫酱,,这种细心体贴，然后默默付出的男孩子真的太拉好感了吧,1035,2019-09-08 15:59
@红西柚等你们的来到,,王俊凯温柔细心,1117,2019-09-08 15:42
@且行且珍惜Karry的叶,,王俊凯真的是暖男本男，确认无疑了。,851,2019-09-08 15:00
@凯凯的hxy,,小螃蟹们能拥有凯哥哥真的是太幸福了！,671,2019-09-08 15:47
@KLaLune,,真的绝了…看到秦海璐出汗了，就出去把女孩子悄悄叫过去帮她擦汗，再默默的放一杯冰珍奶在她手边…教科书级别的啊简直了@湖南卫视中餐厅 你真的没有心这种素材怎么能剪掉呢？？？,767,2019-09-08 15:59
@追寻光的少年,,王俊凯宝藏男孩了解一下,466,2019-09-08 15:57
@拉伊萨Pauca,,中餐厅太圈粉了 说到底还是人品性格超级好 所以和他相处过的人都很喜欢他,570,2019-09-08 15:54
@小米豆的嫡母,,弟弟太优秀了，只能夸,420,2019-09-08 15:48
@今天喝果汁不喝奶茶,,三字弟弟真的是神仙弟弟,376,2019-09-08 15:54
@小姜科二过了么,,不愧是我男朋友,434,2019-09-08 15:01
@柠檬树下的猫喵喵喵,,他就是一个普通又真诚的男孩子，只不过他是明星王俊凯而已。,377,2019-09-08 15:35
@彩云追月·,,厉害了我的哥,219,2019-09-08 15:57
@Hu_xinyyyu,,够我喜欢好多年,196,2019-09-08 15:58
@-KKen-,,看了中餐厅真的是被王俊凯圈粉！！！！,179,2019-09-08 16:12
@Karry_苏格儿con,,所以哥哥能得到那么多人的喜爱啊,128,2019-09-08 15:59
@ZZZZZX8呐,,暖心的小凯,109,2019-09-08 15:57
@深海霸王蟹,,暖心弟弟,135,2019-09-08 15:02
@他是我心里的小太阳,,好暖心一孩子,127,2019-09-08 15:43
@朗诗_在挖金矿,,“在我心里，树是一种既强大又温柔的植物，默默地站在一个地方从来不言不语，实际上根扎得很深，在别人注意不到的时候就已经慢慢生长，变得高大繁茂，也从来不索求什么。我也希望做像树一样的人，温柔而强大，沉默又宽容。”——王俊凯《十九岁的时差》,118,2019-09-08 16:28
@贝里内利撸撸,,谁要是嫁给了他，那真的不仅仅是拯救了地球，我的妈呀！！,114,2019-09-08 15:54
@sisilia-zeny,,中餐厅不怎么看，但看了几段被王俊凯圈粉了！一个小孩，能不卑不亢，有自信不谄媚，在娱乐圈本身就比较稀罕！,130,2019-09-08 16:22
@沙棘花199409,,细心温暖，技能满点，多才多艺,96,2019-09-08 15:09
@一份甜甜k,,王俊凯粉丝表示王俊凯最近热搜经常出现，但是路人别烦，我们也是受宠若惊，之前小凯闭关9个月拍749局基本上没有热搜，最近是活动多所以才会有的,115,2019-09-08 16:22
@王快乐冲呀,,也许没有这个采访我们都不会知道这些细节，他真的很好，爱死这个暖心的男孩子了,58,2019-09-08 16:15
@一生只许王俊凯,,弟弟很好,55,2019-09-08 15:56
@小黑爱妈妈,,看到别人总热搜，内心：又买热搜？一天天的玩儿营销不见长本事，看你什么时候糊！王俊凯上热搜，内心：哇，弟弟好帅气，人好好哦，爱了爱了！是的，我《中餐厅》后双标就是这么重！,107,2019-09-08 16:41
@慕之桃KW,,他对粉丝也是，越长大越不知道怎么说，所以都是用行动表达，真的，我觉得粉丝一直被他保护着,95,2019-09-08 15:46
@仿似_阿止,,路人然后现在粉了,98,2019-09-08 16:38
@Tae-kiyomin,,他看到客人把包放在地上，主动给每张桌子加了椅子，让他们放包，当时觉得这男孩绝了,91,2019-09-08 16:21
@一生只许王俊凯,,弟弟很好谢谢姐姐,41,2019-09-08 15:57
@天天开心鸭知道吗,,被王俊凯圈粉了，懂事孝顺的男孩，愿越来越好,80,2019-09-08 16:17
@三周ooO,,虽然这样说不太好，但是海璐姐的采访可以看出来小凯忙里忙外的甚至累到睡着，正片干活的镜头却很少,76,2019-09-08 16:10
@上岸鸭_,,本来是冲着明学去看的中餐厅，结果快要被王俊凯圈粉了，上一季知道他厨艺的时候其实就好感了,67,2019-09-08 16:27
@深海霸王蟹,,害，谁不想拥有一个这样的弟弟,49,2019-09-08 15:05
@是王俊凯的结婚对象,,永远臣服于他的温柔,28,2019-09-08 15:43
@Dududuxy-,,真的看中餐厅被真情实感圈粉,40,2019-09-08 16:24
@时间陪我寂寞515,,王俊凯一身的优点，他太好了,21,2019-09-08 16:13
@是可爱笑啊-,,真是路人   通过中餐厅  感觉他真的很棒,34,2019-09-08 17:04
@满天都是可爱的繁星,,woc路转粉了,30,2019-09-08 16:51
@Yimo疯子傻子头,,有点戳我，那个擦汗的细节,31,2019-09-08 16:23
