User,Reter,Comment,Votes,Time,Count
@银河度月明,,鸡蛋的错，你说你没事长什么壳,302,2019-09-09 18:24,1
@楊二少爺_,,我倒是觉得是不想吃多一点,145,2019-09-09 18:28,1
@iBingo,,是不想吃吧,68,2019-09-09 18:58,22
@锦鲤本鲤呀2333,,说不定是这个蛋的壳，就是不好剥呢,11,2019-09-09 18:40,1
@不滅天蠍,,确定不是不爱吃？,34,2019-09-09 18:37,1
@锅子_222,,？不吃就是因为不会剥,20,2019-09-09 19:13,1
@城上清笳城下杵,,也许他们是真的不想吃呢,14,2019-09-09 19:03,4
@渺渺惜宇怀,,可能不知道要敲破敲裂吧，或者不知道怎么好剥，小时候老是剥得坑坑洼洼的蛋白跟着壳，当然里面估计有些人不想吃有些人看好多人没吃不好意思吃了,11,2019-09-09 19:15,1
@南部之星V587,,一 群 傻 蛋……,2,2019-09-09 22:02,1
@最爱的背叛最疼,,适合吃软蛋,1,2019-09-09 19:52,1
@daizhipan,,这么神奇的吗,2,2019-09-09 18:40,1
@我想的那样i,,鸡蛋啊，鸡蛋也不会剥！！那就吃蛋壳吧,4,2019-09-09 18:25,1
@SoWHAT_JH,,这哪是家长过于呵护，这是根本不管啊,2,2019-09-09 20:06,1
@遭殃番薯,,？鸡蛋又不是香菜，有那么难吃吗？还不爱吃？？？,0,2019-09-10 06:03,1
@豆豆大恶魔,,我要吐槽我们学校那个鸡蛋!肉和壳是粘在一起，可以拨一个小时，然后拨完看看自己的蛋发现只剩蛋黄了。,5,2019-09-09 19:53,1
@梅德韦姨夫,,饿三天看他们吃不吃！,2,2019-09-09 19:40,1
@章发财和章发财,,我都二十七了，可是还不会挣钱，谁的错,2,2019-09-09 19:00,1
@看来我嘚改个ID了,,鸡有问题，生的什么蛋,4,2019-09-09 18:26,1
@不吃萝卜垂耳兔,,可是煮鸡蛋真的太难吃了，我要能想出这个借口我早就用了,1,2019-09-09 20:38,2
@麦瑞的记事本,,是不是都傻，这么大了哪有不会剥鸡蛋，只是不想吃啦,2,2019-09-09 19:20,1
@你也知道-我很重要,,这是传到台湾还得了，大陆大学生没吃过煮鸡蛋，甚至都不会剥！！,0,2019-09-10 11:39,1
@小李李李李李李李李李,,家长,0,2019-09-10 09:33,1
@vic培,,我觉得假新闻,0,2019-09-09 23:55,1
@困与倦,,我记得几年前看过这个新闻，还有人不会用火柴，等等,0,2019-09-09 22:05,1
@我会看到那最美的光,,吃豆腐，豆浆之类的多好，不用嚼，不怕卡喉咙，非要吃鸡蛋,0,2019-09-09 20:32,1
