User,Reter,Comment,Votes,Time
@泡糖片儿,,好像是，单身贵族的身份叭。 评论配图,6986,2019-09-09 18:31
@記住跟你沒關係,,我啥都爱收 我妈啥都丢,4768,2019-09-09 18:33
@_Katze___,,车票 机票,2202,2019-09-09 18:28
@ynaddd月中月,,我感觉我啥都舍不得扔，断舍离困难户。。,4051,2019-09-09 18:30
@给德拉科抹发胶,,我自己,1591,2019-09-09 18:28
@清婉悠扬,,12岁生日，妈妈送我一只玩具狗，今年37了，还在床上放着。,1602,2019-09-09 18:32
@养成手册w,,钱,1650,2019-09-09 18:28
@抽啊抽的土豆,,身上的肥肉,838,2019-09-09 18:28
@是LN啦,,大概是上学时候收到的各种贺卡和信吧,786,2019-09-09 18:29
@恭喜发财酥,,盖了很久的纯棉被套,547,2019-09-09 18:32
@韶林寺2轩,,火灾那天穿的牛仔裤,397,2019-09-09 18:33
@小猪欢乐,,布娃娃,30,2019-09-09 18:31
@大智障哦,,体重,32,2019-09-09 18:28
@里哈哈hihihihihi,,我的奖状,26,2019-09-09 18:30
@夏小妖qwq,,被子,28,2019-09-09 19:00
@小李小李聪明无比,,漫画书,16,2019-09-09 18:28
@我这把犹大下去的话,,芭比娃娃,13,2019-09-09 18:29
@Orangeade是馊主意大王,,脸,11,2019-09-09 18:28
@吃不胖的小5,,我是小学的作文 但现在找不到了,9,2019-09-09 18:33
@超神汽水,,钱,4,2019-09-09 18:28
@往上看的我是黑色的,,没什么舍不得的，除了贫穷和肥胖，咬咬牙我都能扔了,19,2019-09-09 19:09
@小凫能在水上浮,,它叫小咖啡（因为是咖啡色），看到它就感觉自己被治愈了ovo，幼儿园的时候在路边摊买的，现在在大学宿舍里跟我一起睡觉,56,2019-09-09 22:07
@初恋第五年,,男朋友写的检讨,18,2019-09-09 18:34
@4又23,,出生盖到现在的一张小被子！我上大学了……就带到学校里来，放假了又带回家,18,2019-09-09 18:46
@吱蛋DAYTOY,,陪我16年的天线宝宝…别吓到你们 评论配图,19,2019-09-09 22:19
@一朵包包,,外婆给我缝的小被子～,15,2019-09-09 18:34
@百香果红橙西米露,,我出生时候妈妈买的毛巾被现在还在，我今年32了。,11,2019-09-09 20:44
@等待已久,,是她给我的发圈吧 虽然我已经没带了 可我还是放在那里（这是之前拍的 我们已经分手了） 评论配图,15,2019-09-09 23:53
@鳀鱼罐头,,时间长了好像该扔不该扔的都扔了,8,2019-09-09 18:34
@喵卜卜喵,,对家人的爱,3,2019-09-10 00:45
@猩猩历险记,,被子[太開心],3,2019-09-09 18:50
@晚间星河_,,爱豆周边 一直攒着,5,2019-09-09 22:57
@小桐biubiu_,,我上小学的时候攒了一个月的钱定制的伯贤抱枕...现在十八岁了，哥哥曾经是我努力的动力，舍不得放起来，一直在床上放着,3,2019-09-09 23:06
@小桐biubiu_,,我掉的牙...虽然有点瘆得慌但是我一直没扔，放在一个小盒子里面,3,2019-09-09 23:08
@半罐甜可乐,,初中传的纸条 小学和朋友写的信,6,2019-09-09 19:55
@胜南没话说,,左边的笔筒 爸爸买给我的第一件礼物 也是唯一一件 右边的水晶球是18岁生日姐姐买给我的 我最珍贵的两件礼物,4,2019-09-09 19:29
@乃又皿啦,,肥肉吧,3,2019-09-09 19:06
@一只橘子味的棒棒糖,,我小时候的毯子，就是那种婴儿的包被，感觉摸着很安心,5,2019-09-09 18:39
@蜜豆哒豆D,,前任,3,2019-09-09 23:01
@鲁国的花花,,希望我送他，然后分手又把钱给我了的枕头没有扔。。。,1,2019-09-09 22:58
@白开水儿唻,,不到一岁的时候有的一只玩具狗 搬了三次家了 一直留着呢,3,2019-09-09 20:20
@吃吃要努力,,如果可以我什么都不想丢，但是因为地方不够而且家里又有个洁癖麻麻，所以，她想丢啥丢啥,2,2019-09-09 19:57
@野合春基,,美貌吧,3,2019-09-09 18:45
@草莓的海·,,和爱豆有关的旧东西,2,2019-09-10 00:29
@小纯甜绝啦,,买衣服买鞋的袋子,6,2019-09-09 19:28
@叹息之牙kiva,,都被我爸妈瞒着我送人了、扔了,1,2019-09-12 20:32
@龙泷的菠萝,,我的小被子！天天带着他！太爱它啦,1,2019-09-10 00:11
@想在火星种朵须绒花,,读书时和暗恋人传的纸条,2,2019-09-09 22:23
@不吃辣椒不要生气,,演唱会门票,3,2019-09-09 21:58
@Hxxxxx_xxxxxxxxxx,,钱,1,2019-09-09 18:49
@想吸汤老师的原味裤衩惹,,一分钟不到 我收藏的星巴克杯子放在桌子上 上个厕所回来就被我外公扔了,1,2019-09-09 23:04
@阳光下的星星0629,,我应该算这种吧：就是看到什么用着好的或者喜欢的就会对我妈说这个别给我扔了，我妈就会说好。然后她要趁我不注意把它们都扔了，反正扔了也就扔了，并不会因此大发雷霆。比如我那些书啊。都让他们当废纸给我卖了，完全不明白那都是花好多钱买回来的而且是代表了知识啊。唉。没的办法。,2,2019-09-09 20:14
@嘤嘤嘤樱桃呀,,以前的手机,2,2019-09-09 19:21
@瞎嗑cp,,塑料袋,1,2019-09-09 18:39
@灵灵果实能力者,,小学传的小纸条！,0,2019-09-19 03:02
@徐行先生,,塑料袋,0,2019-09-11 19:35
@海盐味的鲵_,,我的宝贝娃娃们,0,2019-09-11 13:57
@HUQIAN16,,好看的袋子,0,2019-09-10 11:48
@鮦塵,,好看的东西都不扔,0,2019-09-10 09:00
@CRAZY_A_GO_GO,,书 看过的都带着 搬家书将近两个26寸行李箱 问题我现在还在买（哎！,0,2019-09-10 06:20
@吃笑笑糖长大的吕孩子,,穿到不能再穿的队服（训练衣）,0,2019-09-10 00:15
@特立独行的正经人,,她的白毛衣,0,2019-09-10 00:03
@WINNERSOUTHTH,,那些过往的书信，  每年整理的时候都会为它落一遍泪 ，回不去的时光和不再亲密的人。 评论配图,4,2019-09-09 22:19
@榴莲味的白团子,,六岁生日礼物 还在呢。去哪里都带着,0,2019-09-09 22:01
@我条哥的女孩,,钱 ,0,2019-09-09 20:12
@Ssshmily-,,从小陪到大的玩具,1,2019-09-09 19:52
@渡口灰原哀,,一床从心就用的爸爸给我买的床单、但是现在被弄丢了。,0,2019-09-09 19:19
