User,Reter,Comment,Votes,Time,Count
@庚辰_立夏,,粉丝表示，不用警告，头发早在熬叶追全职的时候就掉光啦,522,2019-09-09 15:21,1
@来碗赤豆元宵,,#杨洋深夜秃头警告# ,226,2019-09-09 15:24,1
@兴欣战队_艳阳杉9199,,粉丝表示，哥哥这么关心羊毛发际线的话就不要大半夜来撩，还撩完就跑 让羊毛怎么睡,202,2019-09-09 15:26,1
@心动燕破岳,,杨洋真的绝了,149,2019-09-09 15:27,1
@i杨洋,,哈哈哈哈哈哈哈哈太开心了,16,2019-09-09 15:28,1
@听见了么听到请回答,,发际线我怕了怕了,11,2019-09-09 18:49,1
@古月二宇,,#杨洋0909生日快乐# 熬叶的时候就秃了，已经不在乎了,12,2019-09-09 18:13,2
@yangyang_0099,,给大家品品,6,2019-09-09 20:18,1
@羊咩0909,,皮皮羊 越来越皮了,4,2019-09-09 18:51,1
@白桃汽水DL,,粉丝太好玩了哈哈哈红红火火恍恍惚惚哈哈哈哈,2,2019-09-09 20:10,1
@Cathelina520杨洋,,#杨洋深夜秃头警告# 表示发际线已后移，想请问@杨洋 哥哥有没有补救的办法,2,2019-09-09 19:40,1
@黏黏糊糊的芋圆,,粉丝表示，哥哥这么关心羊毛发际线的话就不要大半夜来撩，还撩完就跑 让羊毛怎么睡,3,2019-09-09 18:17,4
@多年以后还是我的菜,,i祝杨洋生日快乐,1,2019-09-10 00:24,1
@花心伤,,一个生日也上热搜了,1,2019-09-10 00:09,1
@莫浔清欢,,哈哈哈,1,2019-09-09 22:17,1
@羊可爱的宁Amy-,,,1,2019-09-09 22:08,1
@Yaya-Lei,,发际线随爱豆。不担心,1,2019-09-09 20:59,1
@鹿九唯,,#杨洋0909生日快乐# 粉丝表示很感动,2,2019-09-09 18:13,3
@宠羊小妹毛小花155,,请杨洋远离粉丝生活,2,2019-09-09 15:36,2
@海蓝见鲸吖,,校草警告,0,2019-09-09 23:40,1
@仙谍晴幂,,真的是很暖心的一个男孩子了，喜欢杨洋一万年,0,2019-09-09 22:56,1
@美如冠玉翩翩少年郎,,美好杨洋生日快乐@杨洋 #杨洋0909生日快乐# ,2,2019-09-09 16:06,1
@筱晚晚晚,,#杨洋深夜秃头警告# 羡慕我哥的发量和发际线！,3,2019-09-09 15:26,2
@一湾回眸,,你得先问问他深夜发图勾引我们干嘛,1,2019-09-09 22:58,1
@奈何碧霄,,#杨洋0909生日快乐# 秃头，发际线后退，都怪他，谁叫他晚上撩毛来着,1,2019-09-09 15:28,1
@惟愿岁月静好Maggie,,#杨洋0909生日快乐# 生日快乐@杨洋 ,1,2019-09-09 15:28,1
@和许弋吃火锅,,#杨洋0909生日快乐# 可可爱爱,1,2019-09-09 15:28,1
@超级huimei,,#杨洋0909生日快乐#,1,2019-09-09 15:28,1
@虹咩与蓝图,,杨洋哥哥生日快乐,1,2019-09-09 15:27,4
@改个id挺容易咩,,祝杨洋生日快乐,1,2019-09-09 15:17,1
@窥探银河,,生日快乐，永远快乐！,0,2019-09-10 09:45,4
@芳闺梦里人,,哥哥昨天在超话成功引起了我的注意，然后就一走了之了@杨洋,0,2019-09-10 09:32,1
@月半木又,,发际线还行，我从头顶掉，我怕地中海,0,2019-09-10 09:06,1
@天秤座羊毛,,还关心体重,0,2019-09-10 07:41,2
@小圆阿源,,我姐是杨洋的粉丝,0,2019-09-10 00:11,1
@宁小九_,,我的妈，今年我也是0909生日,0,2019-09-10 00:05,1
@天空很美丽_,,@蘑菇大王007 你老公,0,2019-09-09 23:59,1
@Felicityvan,,哎呀 和爱豆一起玩儿一起怼的感觉真好  太逗了,0,2019-09-09 23:51,3
@百诺恩菠萝兔周娜,,明天是不是胡歌,0,2019-09-09 23:50,1
@英雄花开满羊城,,不用警告，毕竟头发多得是,0,2019-09-09 23:47,1
@洋zousister,,转发微博,0,2019-09-09 23:45,1
@佛系看脸,,,0,2019-09-09 23:44,1
@粼粼雪,,快乐，杨总好帅！,0,2019-09-09 23:34,1
@李骏1995,,多擦点雪花膏 军艺前校草沈叔叔已经有警告了,0,2019-09-09 23:25,1
@鑫姐纯羊毛,,为了等你的九宫格，秃头算什么@杨洋 #杨洋[超话]#,0,2019-09-09 23:02,1
@台风眼先生的潋七七,,杨洋不仅关心粉丝发际线，还关心体重呢,0,2019-09-09 23:02,1
@Y-c柚子呀,,秃头羊毛在线祝我哥生日快乐,0,2019-09-09 22:50,1
@你就是我遇见的初心,,,0,2019-09-09 22:33,1
@诚实的小猪会飞,,太有爱了！,0,2019-09-09 22:32,1
@真诚的风雨过后见彩虹17,,熬叶男孩都是发际线难人,0,2019-09-09 22:10,1
@著名日黑陈皮狗粮,,皮皮羊:今年皮完也开心了,0,2019-09-09 22:08,1
@炸开气泡的雪碧,,,0,2019-09-09 22:07,1
@可爱多小甜豆0909,,熬叶女孩，发际线有点堪忧啊@杨洋 ,0,2019-09-09 22:04,2
@Guardmie,,只能宠着,0,2019-09-09 22:04,1
@你看你还认识我吗,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-09 21:57,1
@我家老杨是秤砣哈,,没事，过来剃头吧@杨洋,0,2019-09-09 21:55,1
@熊大的胖头鱼,,没事我们都是熬叶女孩，可是发量多#杨洋0909生日快乐#,0,2019-09-09 21:41,1
@YOUNG杨洋909,,#杨洋0909生日快乐# 我说我不慌你信吗@杨洋,0,2019-09-09 21:34,1
@橙子我是梦溪,,#杨洋0909生日快乐#,0,2019-09-09 21:26,1
@yy你家橘子丢了,,发量多的不怕,0,2019-09-09 21:21,1
@爱看书的团团咩,,#杨洋0909生日快乐# ,0,2019-09-09 21:18,2
@岁末冬绥·,,我头发在追全职的时候已经秃了呢,0,2019-09-09 21:12,1
@咩咩家的小晶子,,哈哈哈，咩咩这也太可爱啦@杨洋,0,2019-09-09 21:06,2
@小申你在干嘛,,我们哥哥好容易学了新词 得来展示展示,0,2019-09-09 21:05,1
@一只橙小果,,今天来超话才是真的宠啊啊啊啊啊,0,2019-09-09 21:04,1
@南方快要下雪了,,#杨洋0909生日快乐# 杨洋宝贝生日快乐！！！,0,2019-09-09 21:00,1
@秋水揽星河日月,,我的发际线很安全#杨洋0909生日快乐#,0,2019-09-09 20:59,1
@卯月拾叁,,自家的，没办法,0,2019-09-09 20:57,1
@小仙女的另类小世界,,不一样的配方，同样的杨大志。,0,2019-09-09 20:57,2
@咩咩的小细粉儿,,#杨洋0909生日快乐# @杨洋,0,2019-09-09 20:56,2
@小仙女的另类小世界,,哈哈，不用担心，我的头发早就掉光了,0,2019-09-09 20:55,2
@木风而归,,只要还有头发，就给他练手,0,2019-09-09 20:54,1
@杨家卷毛,,早在熬叶的时候掉好多了,0,2019-09-09 20:53,1
@周西斯的小酸奶,,熬叶秃头，心甘情愿,0,2019-09-09 20:53,1
@今天我绿了吗,,我可以吐槽帅哥的睡衣吗   土掉渣了,0,2019-09-09 20:52,1
@兴欣战队叶修_心空丶,,在追全职的是就没了,0,2019-09-09 20:52,1
@狼毛爱蛋黄酥,,不 我们才不掉头发,0,2019-09-09 20:47,1
@在努力的乔渔,,我i了,0,2019-09-09 20:46,1
@-可可酱icon,,#杨洋深夜秃头警告#刷全职，追叶修的时候早就光啦,0,2019-09-09 20:41,2
@杨洋无敌最俊郎,,#杨洋0909生日快乐# 已经秃头，不用警告,0,2019-09-09 20:35,3
@爱娃娃羊,,#杨洋0909生日快乐# 不怕,0,2019-09-09 20:32,2
@YYmmLove99,,#杨洋0909生日快乐#宠着呗,0,2019-09-09 20:30,1
@二月末梵高,,逐渐林狗化,0,2019-09-09 20:29,1
@向羊而行,,#杨洋0909生日快乐#,0,2019-09-09 20:17,3
@阿阿阿阿阿咩呀,,#杨洋0909生日快乐#,0,2019-09-09 20:15,3
@摸一摸寸头,,#杨洋0909生日快乐# 羡慕你的发量,0,2019-09-09 20:15,2
@我就是宇霏,,不用警告，为了杨洋，秃头我也愿意,0,2019-09-09 20:13,1
@第107个,,。。。。。。。，,0,2019-09-09 20:11,1
@周穆云,,啊啊啊啊啊哥哥生日快乐啊宝贝,0,2019-09-09 20:03,1
@摸一摸寸头,,#杨洋0909生日快乐# 就是宠着呀,0,2019-09-09 20:01,2
@流浪的细毛,,#杨洋0909生日快乐#,0,2019-09-09 20:00,6
@YANG_小妞,,仙女从来不会掉头发,0,2019-09-09 19:29,1
@九颗羊角酥,,#杨洋0909生日快乐# ,0,2019-09-09 19:28,1
@咩咩圈吖头,,#杨洋0909生日快乐#,0,2019-09-09 19:27,1
@缺觉的杨小茹,,#杨洋0909生日快乐#,0,2019-09-09 19:26,1
@蒲公英羊少年-cici,,我就是天天刷他相关微博到半夜刷秃的,0,2019-09-09 19:26,1
@洋颜如玉_,,我的天 我们现在这么火的吗,0,2019-09-09 19:23,1
@杨咩咩的小刺猬,,抱住自己，告诉自己不要熬夜。,0,2019-09-09 19:23,1
@是杨洋的宝贝,,#杨洋0909生日快乐#,0,2019-09-09 19:22,1
@wuli--,,发量和你一样多的我不担心，哈哈#杨洋0909生日快乐#,0,2019-09-09 19:18,1
@乌苏wusuli,,除了宠着，能有什么办法呢,0,2019-09-09 19:17,1
@筱筱雨婷儿,,现在@杨洋 经常熬夜,0,2019-09-09 19:17,1
@Wing_200805,,#杨洋0909生日快乐# 最好的你@杨洋,0,2019-09-09 19:14,2
@hh糖衣,,我爱豆优秀,0,2019-09-09 19:13,1
@安心等林动,,哈哈哈哈，你开心就好，谁让你是寿星呢@杨洋 #杨洋0909生日快乐# ,0,2019-09-09 19:12,5
@山今_小言,,这种关心很暖心啊，但本羊毛没有这个忧虑,0,2019-09-09 19:10,1
@爱看书的团团咩,,#杨洋0909生日快乐# 头发多，掉了就掉了吧，还会有的,0,2019-09-09 19:10,2
@飘尘留侯233,,不用警告！,0,2019-09-09 19:09,1
@可乐呀那个鸡翅,,#杨洋0909生日快乐# 还好我发量多,0,2019-09-09 19:08,1
@咩咩是大阳光,,#杨洋0909生日快乐#,0,2019-09-09 19:07,2
@君子质洁,,杨洋也早点睡啊~小心发际线~,0,2019-09-09 19:05,1
@一只萌安抱美人,,？我不秃头，熬叶我也是仙女,0,2019-09-09 19:05,2
@虹咩与蓝图,,杨洋哥哥生日快乐@杨洋,0,2019-09-09 19:05,4
@忽如一夜春风来icon,,#杨洋0909生日快乐#,0,2019-09-09 19:04,1
@锦微言,,转发微博,0,2019-09-09 19:04,1
@洋君子icon,,#杨洋0909生日快乐# 熬叶女孩早已头秃,0,2019-09-09 19:03,2
@bloom5518,,他愿意剃我可以把我头寄给他//@庚辰_立夏:粉丝表示，不用警告，头发早在熬叶追全职的时候就掉光啦,0,2019-09-09 19:02,1
@暖咩咩,,他好可爱,0,2019-09-09 19:01,1
@怒赞个咩,,不怕不怕#杨洋0909生日快乐# @杨洋,0,2019-09-09 19:01,1
@笙笙的小叮噹口袋儿,,#杨洋0909生日快乐#,0,2019-09-09 19:01,3
@Young卢小郗,,及腰长发，离发际线后移还远着呢,0,2019-09-09 19:00,1
@程诺··,,#杨洋0909生日快乐# 谁说的，仙女不掉头发@杨洋,0,2019-09-09 19:00,1
@我的一颗钻石心,,#杨洋0909生日快乐# 哈哈，被宠爱的感觉,0,2019-09-09 19:00,2
@坑货的小迷妹,,头发早掉光了,0,2019-09-09 19:00,1
@咩咩家的小贝壳,,,0,2019-09-09 18:58,5
@咩咩家的小贝壳,,,0,2019-09-09 18:58,5
@Y赫尔墨斯Y,,#杨洋0909生日快乐# 哈哈,0,2019-09-09 18:56,1
@唯愿时光不负你丶,,哈哈哈哈哈哈,0,2019-09-09 18:54,1
@破破的军装,,哈哈哈最后三张图的ymls都是魔鬼吗,0,2019-09-09 18:54,1
@随便tutu,,#杨洋0909生日快乐# 祝宝贝生日快乐,0,2019-09-09 18:53,1
@屁股一扭一扭的小柯基,,#杨洋0909生日快乐#,0,2019-09-09 18:53,3
@舞动的羊咩咩,,熬叶真的熬秃了，现在在养生ing。。,0,2019-09-09 18:53,1
@念卿如许,,爱怼人的爱豆,0,2019-09-09 18:52,1
@吃饭睡觉打豆豆打豆豆豆豆,,我要@杨洋 当我的Tony!,0,2019-09-09 18:52,2
@黯夜流萤,,去杨洋理发店做造型,0,2019-09-09 18:51,1
@淘一只洋咩咩,,仙女怎么会掉头发呢,0,2019-09-09 18:50,1
@药美女,,#杨洋0909生日快乐# ,0,2019-09-09 18:49,1
@jessicaV2012,,哈哈哈，咩老师是不是可以考量代言一款防脱洗发水？ 这样熬叶女孩们发际线有救了,0,2019-09-09 18:43,1
@李子树上的小红果,,#杨洋0909生日快乐# 不怕，暂时不怕掉，量多,0,2019-09-09 18:43,1
@小怪兽的KT猫,,祝福我崽生日快乐,0,2019-09-09 18:43,1
@___扬沙,,#杨洋0909生日快乐# 今晚就早睡,0,2019-09-09 18:41,1
@窥屏羊的一根羊毛,,仙女的头发叫头发吗？那叫仙发！仙发是不会掉的！,0,2019-09-09 18:41,1
@羊又丢了O,,#杨洋0909生日快乐# 我想告诉我的爱豆，秃头咱不怕,0,2019-09-09 18:35,2
@霜晓清爱红烧肉,,#杨洋0909生日快乐#，杨洋生日快乐万事胜意,0,2019-09-09 18:31,1
@虚无缥缈中虔诚,,#杨洋0909生日快乐# 没事我头发多,0,2019-09-09 18:31,1
@是咩咩酱吖,,#杨洋0909生日快乐# 我想立马si掉，真是哪壶不开提哪壶,0,2019-09-09 18:29,1
@杨洋洋啊啊啊,,我发量多不怕不怕@杨洋,0,2019-09-09 18:23,1
@柠萌很安静,,他开心就好,0,2019-09-09 18:21,1
@期待遇见幸运毛,,粉丝表示，不用警告，被杨洋剃光了,0,2019-09-09 18:19,2
@你有点可爱袄,,生日快乐啊啊啊#杨洋0909生日快乐#,0,2019-09-09 18:18,1
@职业养猫经理人,,我头发早没了,0,2019-09-09 18:17,1
@有你安心的温柔yummy,,粉丝表示，不用警告，最近熬叶女孩已经地中海了#杨洋0909生日快乐#,0,2019-09-09 18:16,1
@小虎咩0909,,#杨洋0909生日快乐# 有这样暖心的爱豆，感觉好幸福！,0,2019-09-09 18:16,2
@洋总家的咩咩呀,,没事 哥哥我们一起秃顶@杨洋,0,2019-09-09 18:16,2
@离歌殇6,,哈哈,0,2019-09-09 18:15,2
@杨大志的Renesmee呀,,就是半夜刷他微博不自觉摸摸头发,0,2019-09-09 18:15,1
@茶小柒同学,,早就在追全职的时候掉光了,0,2019-09-09 18:15,1
@洋总家的咩咩呀,,转发微博,0,2019-09-09 18:14,2
@曾有二货小二,,发际线是什么,0,2019-09-09 18:14,1
@怎么没有名字留给我,,那就……亲亲他吧,0,2019-09-09 18:14,1
@家无小羊,,#杨洋0909生日快乐#  @杨洋  他喜欢就好，我变成啥样无所谓（捂着我的胸口说）,0,2019-09-09 18:13,1
@杨洋无敌最俊郎,,#杨洋深夜秃头警告# ,0,2019-09-09 18:13,3
@idol肌肉比脸大,,,0,2019-09-09 18:13,1
@童心童趣幸福,,熬夜归熬夜，发际线还在线,0,2019-09-09 18:13,1
@阿咩一遇一追寻,,,0,2019-09-09 18:13,1
@羊毛陪你闯天下_0909,,#杨洋0909生日快乐#,0,2019-09-09 18:13,1
@阿阿阿阿阿咩呀,,想让他给我理发，拯救我的发际线,0,2019-09-09 18:13,3
@这月炸了十三次,,#杨洋0909生日快乐#,0,2019-09-09 18:13,1
@乐乐乐乐乐young,,#杨洋0909生日快乐#,0,2019-09-09 18:12,2
@虹咩与蓝图,,杨洋哥哥生日快乐@杨洋,0,2019-09-09 18:11,4
@陌末子兮,,#杨洋0909生日快乐# ,0,2019-09-09 18:11,1
@蒲公英的瓶子,,#杨洋0909生日快乐#,0,2019-09-09 18:00,2
@春夏暖洋光,,宠唄,0,2019-09-09 17:28,2
@无敌最俊朗会长夫人鹿先森,,表示以后为了老杨也不能熬夜了,0,2019-09-09 17:11,1
@肖奈啃奶酪林动吃乌冬大志八个饼,,爱豆关心我们的体重还关心我们的发际线,0,2019-09-09 16:33,2
@筱筱家的果冻,,#杨洋0909生日快乐# ,0,2019-09-09 16:31,1
@人生若只璐初见icon,,#杨洋0909生日快乐# 哈哈哈,0,2019-09-09 16:15,1
@snowsisi,,#杨洋0909生日快乐# 一生可爱 一生被爱@杨洋,0,2019-09-09 16:13,1
@阳光的微笑1221,,#杨洋0909生日快乐#,0,2019-09-09 16:06,1
@飼洋員手記,,#杨洋0909生日快乐#,0,2019-09-09 16:02,1
@祄小燮,,暖心,0,2019-09-09 16:01,1
@安心等林动,,@杨洋 你太调皮了#杨洋0909生日快乐#,0,2019-09-09 15:58,5
@我是山山呐,,#杨洋0909生日快乐#,0,2019-09-09 15:56,1
@LL_Judyyy,,#杨洋0909生日快乐# 哈哈哈哈哈哈,0,2019-09-09 15:52,1
@杨杨杨阿珂,,#杨洋0909生日快乐#,0,2019-09-09 15:51,1
@木槿花开只为你99,,粉丝表示：熬叶女孩不怕头秃,0,2019-09-09 15:47,1
@古月二宇,,哈哈哈，不怕不怕,0,2019-09-09 15:47,2
@四喜可乐炸丸子,,#杨洋0909生日快乐# 熬叶女孩很快落@杨洋,0,2019-09-09 15:43,6
@宠羊小妹毛小花155,,转发微博,0,2019-09-09 15:35,2
@杨总的小黑本,,我是熬夜冠军,0,2019-09-09 15:36,1
@陪伴着我的太阳,,不用警告,0,2019-09-09 15:35,1
@早点睡哦祝你有个甜甜的梦,,杨洋是我唯一一个觉得动漫脸的男明星,1,2019-09-09 23:56,1
@Y欧阳_Fighting,,太幽默的杨洋了哈哈哈,1,2019-09-09 23:44,1
@4一个小朋友,,陪哥哥度过的第五个生日 生日快乐我们的大志,1,2019-09-09 23:38,1
@两百斤的大月半子,,发量多的小仙女不care,1,2019-09-09 23:23,1
@铭月smy,,熬叶高手哈哈哈哈,1,2019-09-09 22:40,1
