User,Reter,Comment,Votes,Time,Count
@天然宅橘猫,,这样的杨紫真的很酷了，气场很大啊 评论配图,894,2019-09-09 11:21,1
@吸仙气的仙女,,哇哇哇，姐姐好酷啊,651,2019-09-09 11:20,2
@勇敢的aUnion,,小猴子耳朵上戴的那个东西沉不沉啊,540,2019-09-09 11:22,1
@微笑5516wx,,我喜欢这种坚毅而清冷的眼神儿，喜欢小猴子，她的演技太棒了,122,2019-09-09 11:25,1
@低温幕川,,好酷,98,2019-09-09 11:19,2
@风华千载,,杨紫的风格真的很多变啊，而且每种风格都没有违和感,104,2019-09-09 11:26,1
@故事很长而余生很短,,小猴子表现力真的太棒了，这个耳坠有点精致#杨紫金色假耳耳坠# 评论配图,89,2019-09-09 11:24,1
@菡菡good,,#杨紫红与黑#高贵典雅的黑与炽热如火的红碰撞，正如@杨紫 性格里的内敛羞涩和活泼开朗相融合，两种不同的个性都是她，也正是这两种不同的颜色成就了独一无二的她 评论配图,70,2019-09-09 11:45,3
@W小小圈,,杨紫真的越来越优秀，喜欢她的风格！,57,2019-09-09 11:35,1
@时诚倾心,,这么大耳坠，也就是杨紫敢任性而为了。小猴紫认真起来好酷啊,48,2019-09-09 11:28,1
@一只可爱的小美咪,,真的太有气场了……好喜欢,50,2019-09-09 11:52,1
@钦一钦一,,这个还真的太霸气了，小猴子真美,49,2019-09-09 11:24,1
@等灵拾年又何妨,,杨紫资源越来越好了，希望能一直这样,48,2019-09-09 11:41,1
@菡菡good,,#杨紫红与黑# 超炫的人生 超酷的@杨紫  气场强大 美到窒息！ 评论配图,38,2019-09-09 11:37,3
@Distantmonologue,,紫妹好酷！,33,2019-09-09 11:22,1
@只爱学习ing,,真酷,30,2019-09-09 11:21,2
@我请你吃棒棒糖869,,这表现力满分，眼神都是酷酷的,29,2019-09-09 11:54,1
@我朋友叫浪莎,,好看,25,2019-09-09 11:27,1
@椿日止歌,,这次的妆容角度都可以，可比她那个剧里的造型好看多了…,21,2019-09-09 11:21,1
@-予以时光以深爱-,,紫妹,21,2019-09-09 11:20,1
@我爱赤豆沙,,只想问，耳朵疼吗？,7,2019-09-09 11:31,1
@DDDo嘟,,啊啊啊啊啊啊啊啊,15,2019-09-09 11:53,1
@奥奥爱吃糖,,酷酷的杨紫A爆了@杨紫 评论配图,9,2019-09-09 11:30,2
@琥珀琥珀小小琥珀,,很酷@杨紫,10,2019-09-09 11:52,1
@YUYANJIEN,,我们小猴紫真是帅气又可爱,7,2019-09-09 11:25,1
@无敌可爱娟,,酷酷的杨紫 评论配图,9,2019-09-09 11:25,1
@玉儿姑娘luo,,这还是我可爱的小猴子吗？真是太有魅力了,6,2019-09-09 11:31,2
@心有余悸为了他,,杨紫真的是很百变啊！爱了,6,2019-09-09 11:31,1
@星辰大海·lucky,,#杨紫[超话]#这真是一个超级酷A爆了的杨紫姐了！太有魅力了！ 评论配图,4,2019-09-09 11:34,1
@佑岸佐转唯皮宝,,期待杨紫，真的好好看@杨紫,4,2019-09-09 11:29,1
@ZHU_是我啊,,小猴子气场很足哦,4,2019-09-09 11:29,1
@nannan朱,,#杨紫金色假耳耳坠# 好A啊，这样的小猴紫我喜欢！ 评论配图,4,2019-09-09 11:29,1
@一粒紫米a,,杨紫红与黑，气场全开！,6,2019-09-09 11:36,2
@我是一直老海豚哦,,没想到小猴子还有这么霸气的一面啊,5,2019-09-09 11:34,1
@君影草与君莫笑,,紫妹这样超好看,4,2019-09-09 11:32,1
@夜猫安智雅,,买啦买啦！,2,2019-09-09 11:35,1
@起风了749628,,图一这个耳环一般人hold不住,2,2019-09-09 11:28,1
@鸿儒09,,果然是颜值高的人什么风格都能hold住,1,2019-09-09 11:28,2
@会录取的,,酷酷的杨紫,3,2019-09-09 11:27,3
@会录取的,,杨紫酷girl@杨紫,3,2019-09-09 11:27,3
