User,Reter,Comment,Votes,Time
@爱美的臭屁桃,,#肖战变白用小白瓶# 感谢@OLAY 和肖战一起白里透光@X玖少年团肖战DAYTOY,1007,2019-09-06 22:07
@zyl的崽崽,,#肖战变白用小白瓶# 感谢@OLAY 和肖战一起白里透光@X玖少年团肖战DAYTOY,861,2019-09-06 22:06
@-奶黄包呀,,感谢@OLAY ，和肖战一起白里透光@X玖少年团肖战DAYTOY,310,2019-09-06 22:08
@杨佳熙子DAYTOY,,买买买!@X玖少年团肖战DAYTOY,251,2019-09-06 22:08
@晓太阳鸭,,肖战哥哥我来啦@X玖少年团肖战DAYTOY  小白瓶很好用呢,176,2019-09-06 22:09
@Wu月-鱼,,#肖战变白用小白瓶# 小白瓶也get了，在用@OLAY ,23,2019-09-06 22:14
@DAYTOYTIME,,#肖战变白用小白瓶#  期待肖战！一起变白吧！@X玖少年团肖战DAYTOY,7,2019-09-06 22:12
@2333肖战的海绵宝宝,,#肖战变白用小白瓶# 感谢@OLAY 买肖战哥哥同款呀 看看我 抽的到我吗 想要,1,2019-09-08 19:05
@黄嘉雯0428xxxF,,#肖战变白用小白瓶#   不知道多少天了 但会一直爱下去的,1,2019-09-06 23:13
@都叫你胖胖了还吃,,#肖战变白用小白瓶# 希望五瓶小白瓶用完，能跟哥哥一样白,1,2019-09-06 23:06
@迷路时你就往肖战身边走-AKI秋秋,,#肖战变白用小白瓶# 和肖战一起敷出白里透光肌@OLAY @X玖少年团肖战DAYTOY,1,2019-09-06 22:58
@汪星人纠纠萌萌哒,,#肖战变白用小白瓶#,1,2019-09-09 16:44
@上山小爱,,#肖战变白用小白瓶#这个夏天用OLAY小白瓶面膜，和肖战男神一起与阳光battle，收获清透焕白美肌！@OLAY @X玖少年团肖战DAYTOY,1,2019-09-08 21:18
@Verse她姓张,,#肖战变白用小白瓶# 用哥哥同款小白瓶，一起变白变好看！闪闪发光！@OLAY @X玖少年团肖战DAYTOY,1,2019-09-06 22:24
@云吸我的战甜甜,,第489天！和OLAY一起敷出白里透光肌！#肖战变白用小白瓶# ,1,2019-09-06 22:24
@翻过山巅扮鬼脸,,#肖战变白用小白瓶# @OLAY @X玖少年团肖战DAYTOY 我不管我一年没中奖了，哥哥给我好运吧,0,2019-09-09 18:50
@猫猫喜欢玩球球,,#肖战变白用小白瓶# 感谢@OLAY 和肖战一起白里透光@X玖少年团肖战DAYTOY,0,2019-09-09 08:14
@是可爱的尾巴吖,,#肖战变白用小白瓶# 感谢@OLAY 和肖战一起白里透光@X玖少年团肖战DAYTOY,0,2019-09-07 08:20
@壹只小红帽,,#肖战变白用小白瓶# 感谢@OLAY 和肖战一起白里透光@X玖少年团肖战DAYTOY,0,2019-09-07 07:32
@兔酱随笔,,#肖战变白用小白瓶# 是不是拍戏晒成小黑兔的 @X玖少年团肖战DAYTOY 要用@OLAY 小白瓶白回来,0,2019-09-07 00:30
@一坨生姜,,#肖战变白用小白瓶# 感谢@OLAY 和肖战一起白里透光@X玖少年团肖战DAYTOY,0,2019-09-06 23:35
@二吖头2,,olay小白瓶用起来，和肖战一起白里透光,0,2019-09-26 10:09
@水希琳子,,#肖战变白用小白瓶# 希望五瓶小白瓶用完，能跟哥哥一样白,0,2019-09-21 17:03
@不续丶,,一起用olay小白瓶,0,2019-09-11 00:01
@加绒破洞裤,,#肖战变白用小白瓶# 我在期待,0,2019-09-09 17:37
@燃烧的巧克力呀,,#肖战变白用小白瓶# 白白的呦@X玖少年团肖战DAYTOY xz@OLAY,0,2019-09-09 16:41
@九歌不加糖,,#肖战变白用小白瓶# 感谢@OLAY 和哥哥一起变白吧～@X玖少年团肖战DAYTOY,0,2019-09-09 16:37
@Titanium1015DAY,,#肖战变白用小白瓶# @OLAY @X玖少年团肖战DAYTOY 好啊，一起当白萝卜呀哈哈,0,2019-09-09 16:02
@褚-M,,#肖战告白靠小白瓶#哎呦 拦不住自己,0,2019-09-09 15:23
@金明洙大大,,#肖战变白用小白瓶#   拔草拔草拔草@OLAY @X玖少年团肖战DAYTOY,0,2019-09-09 12:12
@一条想变成锦鲤的胖咸鱼,,#肖战变白用小白瓶# @OLAY @X玖少年团肖战DAYTOY,0,2019-09-09 01:06
@花落人散秋风凉,,Olay小白瓶面膜精华液超多，上脸服帖，很温和。,0,2019-09-26 20:34
@春风嘉许_,,用含有半瓶美白精华的olay小白瓶面膜,0,2019-09-26 00:54
@努力做任务的脸圆圆,,周护理当然不能少olay小白瓶面膜呀,0,2019-09-25 23:38
@Rabbitmu520,,OLAY小白瓶面膜，使用很方便，补水美白，一片搞定！,0,2019-09-25 21:32
@Luna璐子大大,,用olay小白瓶搭配小白瓶面膜，效果更上一层楼,0,2019-09-25 17:50
@余癫癫阿,,OLAY光感小白瓶真的是很赞！一直空瓶一直回购！！美白祛黄祛痘印都可！,0,2019-09-25 11:20
@小婷仙儿,,Olay小白瓶面膜，一片就含有大半瓶小白瓶精华，天呢感觉好奢侈呀，这美白效果一定杠杠的！,0,2019-09-24 20:29
@茕茕木蕾,,#肖战变白用小白瓶# 战战好白的呢,0,2019-09-09 18:06
@不可能戒糖,,#肖战变白用小白瓶# 我又来了！！！！@OLAY @X玖少年团肖战DAYTOY,0,2019-09-09 00:42
@雪の桜,,#肖战变白用小白瓶# 敢哦，只要是肖大神的挑战，即使我手脚不协调也还是要玩哦@OLAY,0,2019-09-09 08:16
@空暇梦,,来啦肖战,1217,2019-09-06 22:06
@满满星河_,,不知道是第几天！可是爱他的心每天都一样！@X玖少年团肖战DAYTOY,1128,2019-09-06 22:05
@南征北战古月忆铃,,来啦来啦来啦来啦@X玖少年团肖战DAYTOY,763,2019-09-06 22:05
@肖兔紙奶糖,,肖战哥哥@X玖少年团肖战DAYTOY,644,2019-09-06 22:06
@toarey00419,,来了,477,2019-09-06 22:06
@YaNgPeiEI,,准时来,491,2019-09-06 22:07
@疏桐DAYTOY,,害，我这不来了,460,2019-09-06 22:05
@疏桐DAYTOY,,来了来了，啊啊啊@X玖少年团肖战DAYTOY,397,2019-09-06 22:05
@神睡了呐,,@X玖少年团肖战DAYTOY  我来啦,373,2019-09-06 22:05
@顾九loveyou,,来了来了，肖战@X玖少年团肖战DAYTOY,340,2019-09-06 22:05
@哦呦呦风很大,,来啦来啦,266,2019-09-06 22:08
@肖兔紙奶糖,,#肖战变白用小白瓶# ,229,2019-09-06 22:08
@Cool_yer,,#肖战变白用小白瓶# 感谢@OLAY 和肖战一起白里透光@X玖少年团肖战DAYTOY,207,2019-09-06 22:07
@8parkle,,#肖战变白用小白瓶# 感谢@OLAY 和肖战一起白里透光！@X玖少年团肖战DAYTOY,172,2019-09-06 22:07
@战哥的小天才DAYTOY,,肖战哥哥,141,2019-09-06 22:07
@一一阿楠,,来啦来啦，支持@X玖少年团肖战DAYTOY ，做个水嫩光滑的白萝卜,120,2019-09-06 22:06
@微风刚好···我喜欢你zz,,好的、快去对暗号，领福利啦～@X玖少年团肖战DAYTOY,97,2019-09-06 22:11
@喜欢肖美人的苏七,,#肖战变白用小白瓶# 感谢@OLAY 和肖战一起白里透光@X玖少年团肖战DAYTOY,103,2019-09-06 22:07
@草莓味de星辰,,OLAY你好会啊,87,2019-09-06 22:10
@有钱的一只小兔子,,#肖战变白用小白瓶# 感谢@OLAY 和肖战一起白里透光@X玖少年团肖战DAYTOY,87,2019-09-06 22:11
@月亮营业中,,我在olay霸霸这的qz是认真的吗,71,2019-09-06 22:09
@满满星河_,,行，我当白萝卜，你也当白萝卜，四舍五入你是我老公@X玖少年团肖战DAYTOY,75,2019-09-06 22:07
@Maxyolo,,肖战 评论配图,55,2019-09-06 22:11
@艽艽Shmily,,@X玖少年团肖战DAYTOY 好的呀！！变白变白！,51,2019-09-06 22:09
@DAYTOYTIME,,认识肖战的第476天，认识你很开心,34,2019-09-06 22:10
@倾左听心,,#肖战变白用小白瓶# 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊@OLAY @X玖少年团肖战DAYTOY,27,2019-09-06 22:09
@大家好我是工作,,只要你开心都可以@X玖少年团肖战DAYTOY,21,2019-09-06 22:10
@月亮营业中,,我可以做白萝卜！但赞赞也是白萝卜！！！,29,2019-09-06 22:10
@肖氏曲奇饼,,买买买！！！！！！！@X玖少年团肖战DAYTOY,17,2019-09-06 22:05
@-只有一点点kwin-,,我来了我来了！,14,2019-09-06 22:05
