User,Reter,Comment,Votes,Time,Count
@一只懒惰的肥肥,,看快看，美丽的风景线,7294,2019-09-09 19:56,3
@海上雄鹰kkk,,这是废青的反向输出？,4436,2019-09-09 19:56,8
@改名字上热评,,别问，问就是美丽风景线,3813,2019-09-09 19:56,5
@___Min丶煦,,美国：其实我看你家的风景线看得也很欢喜。,2463,2019-09-09 19:57,1
@简心归晨,,这是正确地表达和平诉求，不是什么了不起的事,1947,2019-09-09 19:56,3
@王_小豆,,美丽的风景线，登陆英国,1263,2019-09-09 19:57,1
@林比坚尼,,不错,647,2019-09-09 20:46,1
@sissinini,,看来香港出口了。,554,2019-09-09 19:56,1
@矜持小女孩儿,,听说英国一些示威者举起了五星红旗。,483,2019-09-09 19:58,8
@zty-sss,,百因必有果，你的报应，，，不好意思走错片场了,360,2019-09-09 19:57,1
@金钟云的金小手,,AAAA的风景线还是AAAAA的风景线？,291,2019-09-09 19:58,1
@bala丸,,李先生以为脱离了香港，大本营转向英国就没事，哈哈哈，更大惊喜在后头,236,2019-09-09 20:04,1
@三也鱼,,互相伤害吗？,200,2019-09-09 19:56,1
@ETC_9527,,文化输出,163,2019-09-09 19:56,1
@员外2018,,风景线，还应更靓丽……黑口罩的要么？,135,2019-09-09 20:02,2
@徐研玲,,互相伤害吗？美丽的风景线,117,2019-09-09 19:57,4
@娱乐兔兔,,加油，支持英国人罢工,88,2019-09-09 19:58,4
@alacrimia9128,,虽然美国经济制裁，贸易制裁，颜色革命，但是中国的出口还是居高不下，不降反升啊，这不，废青文化也出口了,73,2019-09-09 20:13,1
@矜持小女孩儿,,@唐纳德·特朗普总捅 你看，我们就没干预别国的内政，新闻报道也很客观。,54,2019-09-09 20:00,8
@阿娜耶糯,,他们的目标不是要乱我们吗？怎么倒反是英国乱起来,45,2019-09-09 20:15,1
@看到你勒就开心222,,怪不得bbc转风向了,49,2019-09-09 19:58,1
@搇衣,,哈哈哈哈厉害了香港废青这是以废港之力忍辱负重输出啊,48,2019-09-09 20:01,1
@阅读手记,,港独门去英国示威了吗,36,2019-09-09 20:00,4
@wall糖朵朵,,现世报，不是不报，时候未到 现在时候到了,42,2019-09-09 20:13,1
@思路敏锐,,废青回老家了,38,2019-09-09 20:00,1
@提醒我放下手机,,可能他们发现自己的国家非常欣赏这种合理表达诉求的方式，于是就用这种办法表达自己的诉求,32,2019-09-09 21:10,1
@快乐的起飞了,,,28,2019-09-09 19:58,1
@系禁仙,,真是美丽的风景线,28,2019-09-09 19:56,1
