User,Reter,Comment,Votes,Time,Count
@最诗词,,为什么不可以像地铁那样安检，不用翻包。这里就规定大过法？,940,2019-09-08 19:05,3
@深秋的落雨声,,允许带食物后，你就会发现，到处都是蹲着吃泡面的人。,550,2019-09-08 19:22,1
@小张张的宝,,。。。。我挺支持翻包的，不为什么食物考虑，纯粹为安全考虑。毕竟游乐园人多,270,2019-09-08 20:27,1
@艾尔之光喷薄而出,,不允许带食物都没什么，酒店就是也是这样，为什么坚持搜包，不肯像地铁那样，到底想干什么,203,2019-09-08 19:10,1
@XXI-TOPClassMrG,,其实那时去玩，他们也不属于翻包，就是让打开包看而已。,223,2019-09-08 19:20,1
@大肥丶兔兔宝贝,,游乐场有很多、迪士尼全球只有六个、如果没有任何检查、白雪公主旁边就能站着一个吃韭菜盒的、唐老鸭旁边放着一盒泡面……你愿意去这样的迪士尼么？,94,2019-09-08 20:36,2
@AAAAAAdrian,,说实话挺支持翻包的，毕竟在有明文规定的情况下，中国人的素质和自觉性并不是很高，说里面东西很贵的，你们可以选择不吃，也可以选择不去，我反正相信如果可以自己带吃的进去里面必将是一片垃圾场,84,2019-09-08 20:40,1
@手机用户_2011955683551127,,之前不给带食物也不是可以，毕竟迪士尼的地盘人也想自己赚点伙食费，但物价远超园区外的设定就不可理喻。。。你要园区内的可乐也就比便利店贵个几块钱都勉强接受，贵十几二十块那这做的真就很土匪了。长隆也一样…,56,2019-09-08 19:32,1
@可可________,,评论里攻击别人记者身材的人脑子都有泡吧,32,2019-09-08 19:18,1
@做你的COcaine,,榴莲干！！！麻烦考虑一下准许带食品入园之后迪士尼会变成什么样好吗！！！即将不会是一个fairyland了就是个大集会！,25,2019-09-08 20:52,1
@李那个sei,,搜你包能怎么滴你，现在报复社会的人那么多。你们真就不怕那些神经病们带着管制刀具，汽油火机什么的进去吗。,22,2019-09-08 21:00,1
@享受无奈4,,大粪倒蹬几遍都不臭了 咋还报呢？我就想问问那个大学生去法院搞迪士尼后是自己掏的诉讼费吗？,16,2019-09-08 19:22,1
@大肥丶兔兔宝贝,,别说什么地铁安检、机器能看出你带的是韭菜盒子还是馒头么？坐地铁大家有共识不吃东西或者不吃带刺激性气味的东西、迪士尼能有么？,16,2019-09-08 20:37,2
@北海总在,,拜托，下一个请喵准同样检查包的长隆,13,2019-09-08 20:47,1
@海吻鲨鱼说混沌,,所以，你迪士尼是认为我大中国不满你们翻包是因为不让自带食品？这是两件事！,10,2019-09-08 19:24,1
@橡树与蜡烛,,真胖，都这样了你还敢去玩？…,4,2019-09-08 19:15,1
@小SWAT林,,这个胖子又出现了。,10,2019-09-08 19:08,1
@营养科普汤哥,,翻包涉嫌违反消法，侵犯消费者权益。,7,2019-09-08 20:45,1
@小新少个蜡笔,,迪士尼:我买不起安检设备，只能人工检,7,2019-09-08 21:18,1
@咖啡的肤色,,新京报的这个记者好像就是当时报道台风的那个,7,2019-09-08 19:43,1
@不懂人生的Soulferryman,,我只能说法律只是最低限度 这都达不到可以让其滚蛋了,3,2019-09-08 20:48,1
@酸菜肉沫饭,,这是不是不怕台风那个,3,2019-09-08 19:18,1
@这要怎么烧,,地铁安检这么多年也没见哪个媒体敢质疑一下必要性。,2,2019-09-09 01:28,1
@三色堇9520,,翻包违法了吧！,2,2019-09-08 22:06,1
@LOW-OWL-WLO,,典型行政不作为，上海工商领导应该被上海监察委谈话。,2,2019-09-08 20:37,1
@反作战驱逐舰,,我觉得那种泡面，烤鸡鸭熟食类的还是禁止的好，饼干面包类的可以，不然会脏死,1,2019-09-09 11:25,1
@Honey冰淇霖,,万众期待下上海好不容易建起了迪士尼  现在倒是开始杠带吃的 安检这种小事情…每个地方都有每个地方的规则 演唱会不也一样要安检各种检查？游乐园这么大的游客量给大家安全保障不好吗 出去玩带那么多吃的干啥不沉吗 去过两次带了小零食安检之前都是假装看不见的啊,6,2019-09-08 22:10,1
@小亚未有一撮智慧的呆毛飘啊飘,,翻包可以接受呀，为了安检啊，设备会慢很多的。上海迪士尼体验已经很差了，看露天表演很多人都前面打伞挡住后面的人的视线，记得在日本迪士尼海洋游行表演的时候，戴个帽子都会被工作人员（笑的超开心那种让你超快乐那种）提醒要摘下来不要挡到后面的人。并且日本的迪士尼跟环球影城都是翻包的。,5,2019-09-08 22:06,1
@煜皓_,,我其实对于不让带食物进园区这件事觉得没什么不对 我敢说让自带食物进去了 和不让带进去 园区里的环境一定会有变化 我一直不是很明白为什么会有人抓着不让自带食物这件事不放 ,6,2019-09-08 22:05,1
@貓不可及,,搞不懂那些不肯被翻的人到底在抗拒什么 你不去就行了吧 bb什么,5,2019-09-08 20:42,1
@低温蘑菇云,,上海堡垒是你吗？,2,2019-09-08 19:07,1
@瞧把你能的油,,迪士尼求你去了？,1,2019-09-09 21:41,1
@想拥有一身让人脸红的肌肉,,我觉得禁食品完全没问题啊...要是我排队的时候旁人啃着凤爪磕着瓜子,5,2019-09-09 02:37,1
@qqq猫,,这记者也是有病，带这么多吃的还有榴莲干真的很过分，你排队的时候周围都是榴莲味好吗,4,2019-09-08 22:14,1
@吸奶茶吗,,这个记者有病,4,2019-09-08 22:04,1
@oarion,,我在美国的迪士尼也翻包的啊....可能就是检查有没有枪支弹药吧....像地铁的设备是不能带小刀什么的？？而且一个游乐园而已，那种设备会不会太贵了,4,2019-09-08 21:00,1
@水源肥子,,呵呵，允许带食物了这几天就有人带了一整只西瓜和西瓜刀，还有苹果和水果刀。不翻包这些刀可就都带进去了,4,2019-09-08 20:55,1
@hun_hun_hun,,到时候园里全是大爷大妈蹲着拉屎的姿势吃泡面,4,2019-09-08 20:45,1
@WABailey,,谈的隐私和自由，可是人身安全呢？,1,2019-09-08 22:03,1
@裁诗为骨玉为神28862,,迪士尼反正过几天他们就忘了，到时候我们继续翻包检查,2,2019-09-08 22:03,1
@请记得带我回家,,这不是台风天不动如山的小胖记者吗？新京报这次又派出了大将,2,2019-09-08 22:02,1
@lovelotso,,你们就一个记者吗？每次都派他去？？？还有乐园已经换摆设了，门口的胡迪早就拿走了好伐，拿之前拍摄的视频糊弄谁呢？,3,2019-09-08 21:46,1
@外科手术,,反正中国人没骨气,3,2019-09-08 21:36,1
