User,Reter,Comment,Votes,Time,Count
@烦恼的名字J,,反正影片上了，男主是彭彭就去支持电影，是王大陆就再见了,5320,2019-09-09 13:05,1
@雨落宇夏,,王大陆工作室这时候跳出来是觉得自家艺人身上太干净，之前彭彭名字在前边是觉得自己忍气吞声？首映排前边了还挺傲娇？,4159,2019-09-09 13:11,1
@锦衣卫N号,,其实我一直以为是三男主,3088,2019-09-09 13:08,1
@那个少年他变了,,这事就是片方瞎搞，又想拉拢王大陆又想利用彭昱畅，两边不讨好,2172,2019-09-09 15:31,1
@满阶红叶_,,王大陆是什么大可爱啊，签的男一没有男一待遇，还傻乎乎的跑路演乐乐呵呵等电影上映,1899,2019-09-09 15:28,1
@放下所有梦和烦恼,,两位演员实惨，对片方无语了,1628,2019-09-09 15:30,1
@最想成为你的我,,王大陆和彭昱畅都签的男一，名两个人都有一番的权利，所以他俩都是受害者呀，是片方骚操作吧。,1561,2019-09-09 15:30,1
@陈颖萱微博,,宣传了这么久了，我一个只听过彭昱畅名字，只能勉强把人和名字对上号的小白都知道彭昱畅是一番了，王大陆要真签的一番合同这么长时间居然不闹，说不是王大陆方和片方串通谁信啊,2009,2019-09-09 13:11,1
@机智洋596,,大勋花摇身一变变成男二了？哈哈哈,1539,2019-09-09 13:08,1
@K情歌滴宅男,,都别去看，看着彭昱畅有人气了就乱来,1492,2019-09-09 13:08,3
@盛煜天下,,心疼我大勋就自己是配角,1346,2019-09-09 13:16,1
@墙头遍布半边天,,王大陆工作室这番言论真的是不要脸到了极致,1003,2019-09-09 13:16,1
@VIRGO623,,都男1对吧？？？主演一共三个人，这是瞧不起我们大勋花怎么的,603,2019-09-09 13:15,1
@OliviaLivvy,,明明签的是彭昱畅一番。管你双男主三男主，只认彭昱畅一番。 评论配图,473,2019-09-09 13:18,1
@奶油卷卷M桑,,反正彭彭解约了，票房也不会给他了，我还是不去看了,473,2019-09-09 13:09,1
@西西ohxixi,,所以说，王大陆从最开始就知道自己是男一，然后戏里戏外都还在扮演着好兄弟，和片方一起耍彭彭？？？想到这里。。。。当年金马影帝提名应该给你啊,408,2019-09-09 13:53,7
@时光索引,,逻辑不通啊，制片申明彭昱畅、王大陆都是男一，那为啥新出的电影片头，明显王大陆很突出，彭昱畅和魏大勋并列，那也应该是彭昱畅和王大陆并列突出吧，欺负观众好糊弄，还是欺负大陆艺人？,395,2019-09-09 13:25,1
@有点甜但不是特别甜的糖人,,别去看别贡献票房 现在湾湾港台还想着欺负内地演员呢 时代都变了 不看还不行吗,344,2019-09-09 13:16,2
@郭大宝天天见,,抱走大勋花跟彭彭，wdl你一人儿玩吧。这么好的兄弟要不起。,272,2019-09-09 13:27,1
@星十七X,,祝大嘴早日凉凉，脸之大，真让人害怕，嘴之大，兄弟番位吞的下,210,2019-09-09 13:15,1
@小丑鱼滴第八秒,,心疼大勋心疼彭彭,141,2019-09-09 13:19,2
@小可爱扑捉一只,,王大陆名声都臭了，胜利那个事他说明白了？本来就是个玩咖,154,2019-09-09 13:33,4
@事事南断,,什么情况，好像有点乱啊啊,121,2019-09-09 13:03,1
@南柯一梦夜清浅_,,反正彭彭不是男一就拜拜,121,2019-09-09 13:09,1
