User,Reter,Comment,Votes,Time,Count
@暴躁老3在线骂人,,我好喜欢看他微微抿嘴啊这个可爱精灵,97,2019-09-29 21:50,1
@Morning_木偶人,,他吃东西好好看 让人觉得他嘴里的就是人间美味,89,2019-09-29 21:50,1
@薛洁洁的眼镜儿,,宝宝和泡芙一样甜甜,44,2019-09-29 21:54,1
@行走制冷尬,,脸上写满了 我想吃我想吃我想吃我想吃我想吃我想吃...,23,2019-09-30 06:47,2
@薛之谦的小衣领,,请问活动名字是啥 想看全程,8,2019-09-29 22:47,1
@-程陌渊-,,我爱花衬衫,2,2019-09-29 23:05,1
@是阿茜吖-,,我想亲哭他,2,2019-09-30 17:25,1
@酸菜鱼2217,,吃的是什么？我饿了,1,2019-09-29 23:02,1
@段·小·西,,好吃,1,2019-09-29 22:00,1
@邮一瓶可乐_,,好想他啊啊啊！,2,2019-09-29 21:54,1
@乔安娜栀虞,,,5,2019-09-30 12:10,1
@一只薛迷妹er,,我喜欢他短发啊啊啊啊,2,2019-09-30 12:23,1
@CharmingWink,,我哥是真的好可爱,1,2019-09-30 14:35,1
@好想谦你的手,,这是什么时候的？,1,2019-09-29 23:30,1
@考拉爱吃桉树叶鸭_,,宝贝！,0,2019-10-02 13:19,1
@薛之谦的脑细胞,,咽口水好明显哈哈哈,1,2019-10-02 00:32,2
@谦哥的肥燕吖,,让我捏捏你的脸,0,2019-09-30 19:25,1
@止渊一生有你,,,0,2019-09-30 17:25,1
@薛之谦的苏达马拉松r,,啊啊啊啊小宝贝太可爱了,0,2019-09-30 14:44,1
@泡芙芙芙芙w,,爱泡芙也爱哥哥,0,2019-09-30 10:40,1
@回不去的娜个我来自纽约,,超级萌 超级可爱,0,2019-09-30 09:27,1
@薛先森_wow,,可可爱爱,0,2019-09-30 07:43,1
@简单de星,,想亲,0,2019-09-30 05:25,1
@-伤口就是小伤本伤-,,好喜欢看崽崽吃东西,0,2019-09-29 22:48,1
@你的天份啊,,这个是去年的嘛,0,2019-09-29 22:36,1
@谦颖易日不思阳,,可爱,0,2019-09-29 22:35,1
@谦百渡,,看见他好好吃的好样子，表示我饿了，我也想吃,0,2019-09-29 22:25,1
@薛之谦说陪我逛街,,没有声音嘛,0,2019-09-29 22:12,1
@阿薛等等我www,,fufufufu,0,2019-09-29 22:11,1
@暧昧的天份,,好奶的薛啊,0,2019-09-29 22:06,1
@我叫薛小琦,,这是什么时候的？,3,2019-09-30 03:39,1
@隐藏的谦友,,他好像想吃,1,2019-09-30 18:41,1
@致商巍,,萌化了,1,2019-09-30 14:32,1
@喜欢阿薛x,,阿薛在吞口水嘛,1,2019-09-30 06:24,1
@Joker的吉他,,,1,2019-09-29 23:04,1
@西瓜爱吃香蕉葡萄咖喱鸡,,好喜欢看他吃东西是怎么回事,2,2019-09-29 22:25,2
@不努力怎么能配得上自己喜欢的人,,这是去年的吧……一定不是今年的……就看这脸就能看出来,0,2019-10-06 10:48,2
@我的世界没有光啊,,啊啊啊啊啊啊,0,2019-10-03 18:54,2
@十七-Su,,超级可爱,0,2019-10-01 11:44,2
@哈和吴赛,,没见过耶,0,2019-09-30 21:47,1
@阿薛的汤小喵w,,好可爱,0,2019-09-30 20:23,1
@狐狸小姐爱怪咖先生,,他手干嘛那么白我干,0,2019-09-30 20:18,1
@一克胖仔,,哎呀！,0,2019-09-30 20:08,1
@爱颖谦年嘛,,啊啊啊太爱了,0,2019-09-30 19:23,1
@xzq和平,,转发微博,0,2019-09-30 18:44,1
@雪笙离,,好可爱,0,2019-09-30 18:21,1
@苏黎世的717,,,0,2019-09-30 17:31,1
@两个重要的男人,,吃个东西都这么可爱,1,2019-09-30 11:20,1
@Thefairy92332,,我也想,0,2019-09-29 23:29,1
@不是董小姐的巩小姐,,可爱,0,2019-09-29 23:27,1
@Lucky萌君,,,0,2019-09-29 23:25,1
@Koikoi2933,,哥哥在咽口水,0,2019-09-29 23:25,2
@心有独钟nk,,他在咽口水 哈哈,0,2019-09-29 23:20,1
@雪团子敲可爱,,好可爱,0,2019-09-29 23:19,1
@曦白Crazy,,前面几秒！！！按头给我看！,0,2019-09-29 23:16,1
@谦味少女心_717,,我去，没看过,0,2019-09-29 23:10,1
@她说爱情并不美丽,,真的好帅呀，我的天啊，我哥太帅了，好可爱,0,2019-09-29 23:05,1
@慢半拍的木偶人突然笑场szd,,睡不着了,0,2019-09-29 22:59,1
@背过手1991,,你说说吧  是吃的你都喜欢吧啊  体重！！！！,0,2019-09-29 22:57,1
@一罐土豆泥,,我也好想吃,0,2019-09-29 22:47,1
@薛之谦的帝王蟹,,好甜呜,0,2019-09-29 22:46,1
@Koikoi2933,,感觉他特别想吃,0,2019-09-29 22:02,2
@摩天大楼里传说美乐蒂意外谦手,,666,0,2019-09-29 22:01,1
@娇娇男神,,好想他呀，这是最近的嘛,0,2019-09-29 21:59,1
@老薛味的小笼包,,这是....什么时候的呀,0,2019-09-29 21:58,1
@小唐喜欢薛之谦瘟琑,,太可爱啦,0,2019-09-29 21:54,1
@薛之谦的小揪揪鸭,,这是什么活动啊,1,2019-09-29 21:52,1
@myself198103,,如此可爱,0,2019-09-29 21:50,1
@薛洁洁小可爱,,,0,2019-10-02 00:22,1
@薛之谦的小仙女阿,,可爱呀。,0,2019-10-01 12:33,1
@薛薛的酒酿丸子,,想偷偷次的可爱崽,0,2019-10-01 08:27,1
@三上小又,,,0,2019-09-30 19:35,1
@老薛味的老毕,,抿嘴我的天！！！！！,0,2019-09-30 18:39,1
@悠悠我心_JOKER,,#薛之谦[超话]#哥哥这是馋了,0,2019-09-30 18:37,1
@谦谦会红一辈子,,可,0,2019-09-30 10:50,1
@双尾鲤鱼王,,,0,2019-09-30 08:51,1
@乐观且善良,,帅哥,0,2019-09-29 23:52,1
@谦1717,,吞口水哈哈哈哈哈,0,2019-09-29 23:05,1
@珊_Shan_c,,可爱,0,2019-09-29 22:40,1
@Babe伦-,,我居然没看过啊啊啊！！,0,2019-09-29 22:36,1
@吐司吃饱了吗,,好好看,0,2019-09-29 22:18,1
@joker薛洁洁i,,好可爱,0,2019-09-29 22:13,1
@薛范fan,,可,0,2019-09-29 22:13,1
@Erica梦游中,,甜,0,2019-09-29 22:10,1
@谦谦如卿,,好吃,0,2019-09-29 22:10,1
@唱响美好与未来09024,,谦谦！,0,2019-09-29 22:09,1
@乔默芝麻Elation,,可可爱爱,0,2019-09-29 22:02,1
@大芝士丸,,冷饭…这一看就是刚起床的样子,0,2019-09-29 22:01,2
@長青頁_,,好甜啊,0,2019-09-29 21:57,1
@簡單愛Sa,,什么时候的呢，好帅,2,2019-09-30 16:18,1
@薛之谦的小朋友i,,想偷吃一个，又不敢,1,2019-09-30 14:35,1
@薛之谦的小姐姐丫,,哇～好吃～,0,2019-10-02 00:21,1
@薛之谦的猫ovo,,好乖啊啊我爱,0,2019-10-01 22:42,1
@Cinderella6053,,好乖！,0,2019-10-01 08:58,1
@薛先生的未然LIN,,心理独白:什么时候能拍完，我能吃啊？,0,2019-09-30 23:17,1
@In_her_ent7,,,0,2019-09-30 20:12,1
@老薛的嘤嘤吖,,好可爱啊,0,2019-09-30 12:24,1
@Pluto--77,,转发微博,0,2019-09-30 12:09,1
@老薛家的W半仙儿哎,,@薛家大神529 @小雪糕的初心姐姐,0,2019-09-30 10:50,1
@世界和平_020,,好好吃喔,0,2019-09-30 10:43,1
@志在谦里的angel,,阿薛不安稳的小嘴巴哈哈哈,0,2019-09-30 09:47,1
@最帅薛之谦,,可爱的老薛,0,2019-09-30 09:35,1
@Peterpan1998,,超可爱,0,2019-09-30 09:33,1
@Soysause酱油,,,0,2019-09-30 09:30,3
@Soysause酱油,,,0,2019-09-30 09:30,3
@Soysause酱油,,,0,2019-09-30 09:29,3
@嘿嘿嘿我要,,,0,2019-09-30 08:05,1
@薛之谦的小小明,,,0,2019-09-30 07:59,1
@谦谦一笑很暖心,,真可爱,0,2019-09-30 07:45,1
@薛小雨阿,,薛之谦,0,2019-09-30 07:30,1
@薛崽的盛世美颜,,转发微博,0,2019-09-30 07:27,1
@薛谦谦的小宝贝,,啊啊啊啊啊 好可爱啊 我还可以！！！！！,0,2019-09-30 06:56,1
@琑琑公子,,哈哈哈,0,2019-09-30 06:48,1
@怪咖的风,,,0,2019-09-30 05:56,1
@搞事业的女孩,,哥哥姐姐，你好，冒昧打扰您，,0,2019-09-30 05:49,1
@九个林_,,爱了,0,2019-09-30 04:57,1
@谦与谦寻717717717,,前面他是在咽口水吗,0,2019-09-30 03:00,1
@小草迎朝阳2017,,这个男人好可爱,0,2019-09-30 02:54,1
@瑞总biu,,好喜欢！！！,0,2019-09-30 01:12,1
@违背的小青春717,,,0,2019-09-29 23:50,1
@MORAN墨染墨染,,可爱,0,2019-09-29 23:47,1
@易肖风云,,,0,2019-09-29 23:40,1
@陪洛洛一起摘星星,,太可爱了,0,2019-09-29 23:38,1
@谦谦的小鹿女,,好想吃,0,2019-09-29 23:37,1
@阿黄2翔,,,0,2019-09-29 23:34,1
@可乐不喝可乐o,,好吃多吃点,0,2019-09-29 23:30,1
@晚安阿薛,,哥哥你要不要这么可爱,0,2019-09-29 23:30,1
@永远支持谦谦的Athena_谦友,,我饿了……,0,2019-09-29 23:25,1
@爱谦谦的小草莓,,什么男人啊也太可爱了吧,0,2019-09-29 23:07,1
@薛之谦我化成传说守护你啊,,我的妈呀，崽崽好可,0,2019-09-29 22:42,1
@达拉崩吧王子的一次性内裤,,,0,2019-09-29 22:35,2
@达拉崩吧王子的一次性内裤,,,0,2019-09-29 22:35,2
@薛禅要一直做谦友,,可爱犯规了,0,2019-09-29 21:52,1
@薛之谦的发型,,宝贝心里:可以吃…怎么还在拍啊，可以吃了…诶，怎么还有人拍？可以吃了吗？,1,2019-09-30 18:38,1
@仙气琳琳fairy_,,老薛：可以吃嘛，看起来好好吃的样子，怎么办，好想吃。。,2,2019-09-30 12:12,1
@Min-徐敏,,等不及哈哈哈哈哈哈,0,2019-10-01 22:46,1
@贪睡猫40741,,转发微博,0,2019-09-30 22:10,1
@無懮0824,,,0,2019-09-30 20:56,1
@大利-qian,,,0,2019-09-30 16:05,1
@英俊潇洒薛三岁,,怎么还是那么可爱,0,2019-09-30 08:08,1
@xzq_xyj,,,0,2019-09-30 08:00,1
@薛先生的爱_雪糕,,,0,2019-09-30 07:48,1
@你的郭彤彤,,特别是咬下一口的时候，咬下一口后关注表情，太可爱了,1,2019-09-30 02:30,1
@隔壁村的柿子,,哎呀妈 太喜欢了.,0,2019-09-30 01:28,1
@听歌只听我家谦的歌,,喜欢薛之谦的所有,2,2019-09-30 01:26,1
@香芋加奶,,这个造型真的好帅 绝了,0,2019-09-30 00:26,1
@曲折的夕阳负责格挡Leslie,,好可爱,0,2019-09-29 23:21,1
@谦哥哥爱你,,好可爱啊，哥哥,0,2019-09-29 22:10,1
@点击复制thbfn,,其实崽崽拍的时候就想吃了，一脸馋,0,2019-10-13 13:18,2
@Feeei啊,,,0,2019-09-30 20:09,1
@心里住着谦谦,,看看谦谦，一脸害羞,0,2019-09-30 20:08,1
@李雪晨的美,,转发微博,0,2019-09-30 19:40,1
@唯C味儿,,转发微博,0,2019-09-30 14:51,1
@清梦忧忧,,卧槽我特么全程姨母笑什么情况,1,2019-09-30 10:57,1
@张Joker717,,#薛之谦[超话]# 老薛老薛,0,2019-09-30 10:42,1
@慧心717,,,0,2019-09-30 10:04,1
@假粉丝ing,,啊呀他吃东西的样子太可爱啦,2,2019-09-30 07:57,1
@詹向斌bin,,老薛太帅了,0,2019-09-30 07:36,1
@骆驼困了_,,啊啊啊啊啊啊卧槽！！我可以！,0,2019-09-30 06:23,1
@呀是阿薛吖,,这是啥时候的，都没见过,0,2019-09-30 06:09,1
@weiguangm,,甜甜的,1,2019-09-30 05:32,1
@13执子之手与子偕老,,好喜欢看他吃东西的样子啊,0,2019-09-30 01:11,1
@郭佳茗,,艹 我死了,2,2019-09-30 00:49,1
@北回归线tsx,,嗯,0,2019-09-30 00:45,1
@点击复制thbfn,,其实崽崽拍的时候就想吃了，一脸馋,0,2019-10-13 13:18,2
@不努力怎么能配得上自己喜欢的人,,这是去年的吧……一定不是今年的……就看这脸就能看出来,0,2019-10-06 10:48,2
@我的世界没有光啊,,啊啊啊啊啊啊,0,2019-10-03 18:54,2
