User,Reter,Comment,Votes,Time
@Yena-野味男仔,,大家化妆包里或者平时的包里 最最最必备的是什么东西！口红除外,9,2019-09-12 11:48
@不吃柠檬可不可-,,来晚了也要好好做功课,74,2019-09-11 19:53
@Mamihlapinatapai一一,,敲黑板！ 贝印细节修眉刀 elf妆前棒 仟慕秀粉底刷 黛末遮暇刷 毛蛋 darkness假睫毛胶水 刷子清洁盒 旁氏散粉 炸开的腮红刷,49,2019-09-11 19:30
@Yena-野味男仔,,这几个神器你们被种草了几个呀！！好久没玩喊停了～老规矩随机喊停抽三个仔仔送美妆小礼物！！九点结束！,24,2019-09-11 19:14
@JYL嘉六六,,第一,0,2019-09-11 19:05
@欢欢好Lay哟,,虽然我都想拿下，但也就是想想了,0,2019-09-12 09:17
@MiSs空城sS,,干皮被种草妆前棒,0,2019-09-12 04:13
@Gotcha_ww,,散粉新用法！,0,2019-09-12 00:12
@活的善良bitter,,我真喜欢这个化妆包  有序还能装,0,2019-09-11 22:40
@Dantalian666,,我就是买了贝印的修眉 大 刀,0,2019-09-11 20:45
@我是林开心,,不行，小林同学我又回来了,0,2019-09-11 19:58
@yokyai_k,,疯狂加购中,0,2019-09-11 19:55
@JYL嘉六六,,炸开的腮红刷什么牌子的,0,2019-09-11 19:51
@jjkuf,,我试试。。。上班族练车太难了让世界充满爱吧。。。,0,2019-09-11 19:40
@不啊喜欢你,,今天这个妆好好看！！,0,2019-09-11 19:38
@汉堡不夹肉Cathy,,想画挑眉还是把多余的眉毛刮了吧！我个人还是喜欢干净一点的感觉,0,2019-09-11 19:36
@可爱的小恶魔a,,740喜欢好久了,0,2019-09-11 19:32
@JYL嘉六六,,今天在线看到男仔宠粉回复,0,2019-09-11 19:28
@木木木i_,,更了更了,0,2019-09-11 19:24
@甜豆不甜啦,,唉，好久才来,0,2019-09-11 19:40
@茶衣白山,,腮红刷!!!,0,2019-09-12 11:26
@翘臀小鸭,,来了来了！男仔的视频看得我就是舒服！,0,2019-09-11 19:36
@我是林开心,,我来啦,0,2019-09-11 19:16
@这里是叭叭猪,,提前庆祝一下自己抽奖成功,0,2019-09-11 19:13
@斗鸡哪吒,,第九,0,2019-09-11 19:14
@_为什么这么爱吃薯片啊_,,想拥有,0,2019-09-11 19:13
@-青柠萌-,,来啦！,0,2019-09-11 19:12
@-Sharon-nope,,第六？,0,2019-09-11 19:12
@牛油果味丸子_,,我来啦！,0,2019-09-11 19:08
@苏慕九然,,那我排个第三,0,2019-09-11 19:08
@小狐狸Cream,,哇，我居然最长草化妆包,0,2019-09-12 06:57
@吃旺仔小馒头的小仙女,,胶水弄眉毛这个方法真的是没想到,0,2019-09-11 22:02
@小颜沫沫mua,,贝印的修眉刀早就爱上了,0,2019-09-12 09:42
@小胖轩nancy,,昨天还从室友哪里用分装盒弄了点旁氏散粉,0,2019-09-12 07:06
@余生孤勇,,男仔真的很良心,0,2019-09-12 01:04
@Yeeeeeps,,那个粉底刷和遮瑕刷，我吃素也要弄到手,0,2019-09-12 00:24
@大鱼还是小虾米,,我来也 男仔会不会忘了我 ,0,2019-09-11 23:49
@可爱一脸的juice,,真的满满都是干货，爱了,0,2019-09-11 23:24
@福星星xx,,今天崽崽妆看起来好高级！,0,2019-09-11 23:15
@一只201804,,我有那个修眉刀。超好用,0,2019-09-11 21:27
@失之交臂5,,好不容易更了我要看八遍,0,2019-09-11 21:08
@取名字不怕尾巴长,,旁氏散粉 我买两年多了 还剩一半呜呜呜呜,0,2019-09-11 20:57
@高甜奶糖兔,,冲冲冲！马上下单修眉刀！,0,2019-09-11 20:56
@小哭包張張,,种草修眉刀和腮红刷,0,2019-09-11 20:43
@二十京,,妆前棒和刷子get了！,0,2019-09-11 20:37
@唯有行动才能解除你所有不安,,来蹲一个位,0,2019-09-11 19:37
@泽泽wz07,,会是我嘛,0,2019-09-11 19:37
@我是林开心,,仔在吗,0,2019-09-11 19:35
@疯癫的闹姐,,好想要,0,2019-09-11 19:33
@抱一下乖,,那个修眉刀也太可爱了,0,2019-09-11 19:33
@源味系少女玺玺凯,,看完视频的我再看一遍,0,2019-09-11 19:32
@JYL嘉六六,,看你推荐平价的小东西 都很好用,0,2019-09-11 19:31
@吳紹燦同學,,商家咋合作,0,2019-09-11 19:31
@JYL嘉六六,,种草了修眉刀和腮红刷 遮瑕有了一个坡形的 巨好用 就是懒人得去洗了 不洗 遮瑕扒在刷子上就不完美啦～～,0,2019-09-11 19:29
@我是林开心,,看完的崽崽在等停,0,2019-09-11 19:28
@我是林开心,,看完报道,0,2019-09-11 19:27
@我是林开心,,好喜欢毛蛋,0,2019-09-11 19:25
@木木木i_,,还没喊第一个停吧,0,2019-09-11 19:24
@美凌格---爱CR7的孩纸,,码上,0,2019-09-11 19:24
@谁都不能随便欺负我的崽,,太有用了，这就去下单,0,2019-09-11 19:24
@斯多葛式的坚定,,干货又来了！超级喜欢男仔介绍的东西，真的很好用！！学生党的真正福音,0,2019-09-11 19:23
@kinetochore_z,,看完打开淘宝系列,0,2019-09-11 19:23
@源味系少女玺玺凯,,会不会一顺手眉毛就是刮没了,0,2019-09-11 19:23
@Adada爱漫威爱美队,,感觉都需要，不过我是手残,0,2019-09-11 19:23
@陈菜芳诶,,让我多说几句 显示我对你滴爱,0,2019-09-11 19:22
@凛zzzzz,,宝藏女孩，非男仔莫属了,0,2019-09-11 19:22
@MuuuuQing,,仔，保持这个发色，好看死了,0,2019-09-11 19:20
@逮族首长,,三连走起,0,2019-09-11 19:18
@桃花玄机,,我的妈最近高产！先评论再看！,0,2019-09-11 19:18
@这里是叭叭猪,,是我吗 是我,0,2019-09-11 19:13
@今天也要吃的饱饱,,粉底刷怎么买啊！！！！！,0,2019-09-12 11:40
@等一会儿小姐Q,,必定有餐巾纸,0,2019-09-12 11:25
@浅水草莓kh,,所有的美妆博主说话都一个调调,0,2019-09-12 11:21
@袁老板家有月亮,,黛末遮瑕刷是什么型号的啊？好多都很像分不出了,0,2019-09-12 11:03
@啊资猫,,贝印的T字修眉刀也很好用,0,2019-09-11 23:20
@小南爱七七,,我,0,2019-09-11 21:06
@SecretGardenBelongsToShero,,种草了视频最后的刷子诶！刚需！,0,2019-09-11 19:30
@哎呀我滴个乖乖,,这个美瞳有点吓人,0,2019-09-11 19:37
@繁星眨眼般短暂,,我缺的不是工具，是手啊,0,2019-09-12 11:19
@oh慌什么慌,,仔仔我来定时收看你的视频了喜欢呀,1,2019-09-11 19:33
@oh慌什么慌,,男仔我来了哈哈哈哈哈哈哈,1,2019-09-11 19:32
@今天不想遛猫,,你的美瞳好好康哦~,1,2019-09-11 19:31
@匡_葳180包,,像我这种单身的好奇的进来看,1,2019-09-12 11:00
@翘臀小鸭,,是我吗,0,2019-09-11 19:37
@wo心終有谦谦結xzq,,看完视频立马关注了,1,2019-09-12 16:56
@半半不打烊,,抽我抽我,1,2019-09-11 19:18
@幸福de王小妞,,请问男仔你的elf妆前棒是哪里买的？官方旗舰店竟然没有啊,1,2019-09-19 11:02
@谢大妈i,,淘宝上没有找到腮红刷,0,2019-09-17 20:07
@小琦要努力鸭,,想试试,0,2019-09-15 16:50
@·甜奶贩卖机·,,三连,0,2019-09-14 15:55
@nice尚尚,,,0,2019-09-13 23:23
@蔡程昱我可以追你吗,,来当分母,0,2019-09-13 22:35
@咬碎月亮蘸果酱,,,0,2019-09-13 08:13
@小野想吃糖-,,贝印修眉刀太利了 新手小心小心再小心！！,0,2019-09-13 00:53
@YURor,,安排,0,2019-09-12 12:02
@Olivineeee,,@小欣energetic,0,2019-09-12 11:29
@屠大大yu,,740740我来了,0,2019-09-12 11:17
@种花家杨先生的阿萌兔,,希望我的脑子和手都能学会,0,2019-09-12 11:06
@PInkChamagn,,,0,2019-09-12 10:09
@还是垂眉摆渡翁啊,,,0,2019-09-11 23:12
@你的绘里酱,,哇哦,0,2019-09-11 23:08
@ukiyocarnival_,,转发微博,0,2019-09-11 22:36
@嘿你的眼里有星星,,,0,2019-09-11 22:35
@偷亲月亮和你,,冲鸭,0,2019-09-11 21:50
@uniqueness-Zern,,好看!,0,2019-09-11 20:39
@洋甘菊葡萄柚,,,0,2019-09-11 20:33
@研研还是妍妍呢,,打卡,0,2019-09-11 20:32
@拨星星,,我可以！！,0,2019-09-11 20:11
@拨星星,,没有吧,0,2019-09-11 20:11
@拨星星,,新手来了,0,2019-09-11 20:10
@不吃柠檬可不可-,,停了吗,0,2019-09-11 20:10
@拨星星,,新手叭叭叭,0,2019-09-11 20:09
@拨星星,,ddd,0,2019-09-11 20:09
@拨星星,,天呢 我来了,0,2019-09-11 20:09
@元气少女岳云鹏m,,来晚了但是安排,0,2019-09-11 20:06
@初巷人_,,哇 感觉都好棒啊,0,2019-09-11 20:02
@不吃柠檬可不可-,,我来啦！,0,2019-09-11 19:54
@不吃柠檬可不可-,,喊停了吗,0,2019-09-11 19:54
@隔壁呆瓜Aurora,,哦来了,0,2019-09-18 20:26
@居居居本居,,买起来,0,2019-09-18 17:05
@老知己的酒,,感觉到好好啊,0,2019-09-18 16:41
@与你何干233,,妆前棒是擦完水和乳之后用嘛 还是上完水，乳，防晒，之后用啊 我搞糊涂了 很多化妆步骤都搞混了,0,2019-09-16 21:55
@雪饼味草莓,,哈哈哈哈 可以的,0,2019-09-15 19:32
@_无羡哇,,,0,2019-09-15 08:28
@天真有邪与超人,,什么时候抽到我,0,2019-09-15 08:26
@楠梓大正太,,厉害。,0,2019-09-14 22:14
@我是哥哥的小猫猫,,男仔宠我！！,0,2019-09-14 20:49
@夏一cyan,,,0,2019-09-14 19:02
@粉毛怪,,,0,2019-09-13 01:11
@诺飞思,,心水遮瑕刷呀,0,2019-09-13 01:08
@踏月色行凶HL,,希望自己可以,0,2019-09-13 00:18
@迈克小房子,,没看视频的我来报道,0,2019-09-12 23:34
