User,Reter,Comment,Votes,Time
@百乔有毛病,,ios 和 安卓 你更喜欢哪个（这层抽三个奶茶）,610,2019-09-11 11:43
@VVVvvv_Stephanie,,图片评论 评论配图,23,2019-09-11 12:12
@不爱说话的小梁同学,,图二不是@TF家族新生-陈泗旭 的手机嘛,15,2019-09-11 11:26
@多客拼团-小海平,,苹果前置摄像头照亮你的丑，又黑又黄贼丑，还大小眼，也不知道是不是本来就长那样，哎,18,2019-09-11 14:16
@小苏在吗,,@乐乐困了吗,2,2019-09-11 11:29
@土味大福,,@看风景的猫- 俺也有 评论配图,3,2019-09-11 17:13
@LIU某某l,,看我的手机漂亮不，老贵老贵了 评论配图,6,2019-09-11 15:33
@大爱unicorn,,我也不想再用苹果了，说的信息安全，其实一点也不安全，甚至自己的账号忘记了凭借身份证这些证明材料都无法取回，以前手机内的云资料自己都没办法删，给客服打电话也是无法解决！拿着解不开密码的手机就等于用不了！要换新的！手机没坏就强迫你换新的！而且苹果公司窃取中国大数据信息也是很可恶！,7,2019-09-11 14:12
@Devilow丶恐鱼弟弟,,@_波多野猪,1,2019-09-11 11:27
@诗与远方JK,,真实,0,2019-09-11 11:24
@-贤嫂,,@瓦釜到底要鸣多少次才足够 @吴一蕤,0,2019-09-11 11:18
@Jesus·,,苹果新款 24个月 懂的私聊,5,2019-09-11 10:43
@晚睡小王子,,@Hanannnnnnnn,1,2019-09-11 11:30
@yyyyssstt,,@妮妮世界第一萌 ,0,2019-09-11 11:30
@要不先瘦十斤,,@大白馕的橘子少女 @忻欣- @Arrojo_sy,0,2019-09-11 11:30
@美丽迷人的羊,,姐妹选一个送我,0,2019-09-11 11:30
@一个没人要的小煎饺,,@_汪了个二哈 @枋柚 我本人,0,2019-09-11 11:28
@居居的后jiojio,,@KSYST4L,0,2019-09-11 11:21
@XhangQAQ,,@爱黏人的小周,0,2019-09-11 11:21
@柠檬汽水不要冰,,@柠檬汽水加点醋 噗,0,2019-09-11 11:18
@芝士胖子朋友,,@Bene的混世女巫 @不是血而是灵魂,1,2019-09-11 11:17
@炸炸原味鸡米花,,@Freya-wxy 哈哈哈,0,2019-09-11 11:16
@Rainne,,@奥利奥Ao-,0,2019-09-11 11:15
@燕彧,,去和嫂子商量商量,12,2019-09-11 10:45
@小可今天学习了吗,,哈哈哈哈哈哈哈哈哈 评论配图,2,2019-09-11 10:44
@我辣到吐奶,,我想要的和我的能力,1,2019-09-11 11:10
@李小炭哈,,小兔子挺好看的,1,2019-09-11 10:44
@Dayyiz,,@zzaqi 哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-11 10:46
@大名桂阿宝,,我男朋的苹果六，用了四年了打游戏还是很流畅，我的安卓机用了一年半卡的不行,2,2019-09-11 12:50
@小桐biubiu_,,好矛盾，喜欢苹果的系统又他妈觉得这个丑的一起批...真让人浴霸不能,4,2019-09-11 12:47
@毛豆花生米l_e,,@帝王血脉_ 评论配图,0,2019-09-11 10:57
@越美丽越让我忐忑i,,想拥有图2的手机,1,2019-09-11 10:44
@一名优秀的退堂鼓选手,,扎心了铁子,1,2019-09-11 10:43
@人间至乐,,你们不吃饭吗？,3,2019-09-11 11:30
@胆小刚王,,哈哈哈哈哈哈全靠抽奖,1,2019-09-11 11:15
@我白飞飞要害人了,,？,0,2019-09-11 12:22
@the-starry,,@我的印象笔记,0,2019-09-11 11:50
@我叫立十,,小苹果，5万4个，嘿嘿！,3,2019-09-11 11:32
@帮我消消黑眼圈8,,,0,2019-09-11 10:46
@小刘小刘可爱一流嘿,,哈哈哈哈哈哈哈哈哈哈别说了,0,2019-09-11 10:44
@谢耳朵朵朵朵朵,,相信你都能买得起,0,2019-09-11 10:43
@超字辈的村民,,纽曼曾经还是周华健代言的,1,2019-09-11 19:23
@田亦柏阿,,没有5g不买，（卡里余额不足）,1,2019-09-11 16:24
