User,Reter,Comment,Votes,Time,Count
@24岁初吻还在男网友,,再红的红灯，也拦不住部分中老年骑电瓶车闯红灯的心,1635,2019-09-11 08:33,5
@余生是李ing,,大河北这次不是因为雾霾上新闻了！好感动,1169,2019-09-11 08:38,2
@a--不懂,,创意很好，建议可以广泛应用，点赞,969,2019-09-11 08:33,2
@阅读手记,,实用,279,2019-09-11 08:32,9
@在田间草堆里默默堆石头的蜗牛,,这只适用于使用全色灯的路口，万一有箭头灯就不行了,252,2019-09-11 08:38,2
@陪你走过一世繁华,,我们邯郸终于不是因为雾霾上新闻了,180,2019-09-11 08:36,2
@火星妹子s,,像往常一样看热搜，what？邯郸？哈哈！邯郸终于上热搜了,139,2019-09-11 09:27,2
@你也好奇怪,,郑州早都推行了,113,2019-09-11 08:39,2
@漫随天外嘿,,邢台市早就有了,27,2019-09-11 08:47,2
@妖眼的小雨,,为心系职责做实事和做好事的点赞,18,2019-09-11 08:36,2
@之桃与月,,父老乡亲们，俺们上热搜了,31,2019-09-11 09:36,2
@今日宝藏,,我jio得有点好看、也很实用,17,2019-09-11 10:20,27
@绿树碧海蓝天,,再也不怕前边停着大客或大卡了。,12,2019-09-11 08:38,2
@FLYMAN66,,山东菏泽也有！,12,2019-09-11 08:36,2
@仙土本土陈小柴,,呜呜呜这种正面热搜看见我家 感动,17,2019-09-11 09:16,2
@泥鳅面相,,还会有人看不见,6,2019-09-11 08:32,2
@草莓与甜橘,,左转该怎么办,9,2019-09-11 08:32,2
@煎蛋不加盐会有好运,,咦，俺邯郸被翻牌了,13,2019-09-11 08:36,2
@爱上苹果的虫--,,这个创意太好了,4,2019-09-11 08:32,2
@M晴空下的彩虹,,邯郸人民有点骄傲,10,2019-09-11 09:43,2
@画船煮酒,,emmm不错，不过大沭阳早就有了,2,2019-09-11 09:14,2
@富有金银细软,,老远就看见红绿灯，挺好的了！,2,2019-09-11 14:02,5
@Dream·Launch,,有点好看,3,2019-09-11 10:51,2
@就MC,,这给今后的自动驾驶技术造成了更多的障碍~~~一个技术和行业的进步遭遇种种阻碍。。。又同情又可惜,1,2019-09-11 09:47,2
@洒着阳光的月亮,,这个红绿灯可以的,1,2019-09-11 11:03,2
@我就是一个星星,,只有想不到 没有做不到,2,2019-09-11 09:01,2
@警犬zzz,,河北在一步步变好，还是感受得到的,5,2019-09-11 09:31,2
