InfoID,Title,Search,OnTime,HiRank,Link
1,吴昕演技,4641536,2小时30分,1,https://weibo.cn/comment/hot/I6DYHdjVh?rl=2
2,杨幂,4114030,8小时20分,1,https://weibo.cn/comment/hot/Ib1IF4zhz?rl=2
3,王丽坤新恋情,3710533,6小时50分,1,https://weibo.cn/comment/hot/I6yhUyxMt?rl=2
4,16岁女孩隔2小时就失忆,3641395,4小时50分,2,https://weibo.cn/comment/hot/I6CpyewvZ?rl=2
5,断桥时装秀模特后台,3544269,1小时20分,3,https://weibo.cn/comment/hot/I6DZfslrU?rl=2
6,王宝强炎亚纶结合体,3463455,5小时10分,1,https://weibo.cn/comment/hot/I6APYAOuD?rl=2
7,微博抽10人送6666红包,3343934,2小时10分,3,https://weibo.cn/comment/hot/I4DFctvxu?rl=2
8,无印良品道歉,3307065,12小时40分,2,https://weibo.cn/comment/hot/I6z2jbIf0?rl=2
9,小红弹火了,3219861,1小时50分,3,https://weibo.cn/comment/hot/I6u8q3YXl?rl=2
10,唐鹤德为张国荣庆63岁冥寿,3196586,4小时20分,1,https://weibo.cn/comment/hot/I6xEh0Xvf?rl=2
11,李多喜身材比例,3183925,8小时20分,1,https://weibo.cn/comment/hot/I6BjB3dYL?rl=2
13,微博抽10人送中秋红包,2948480,0小时20分,3,https://weibo.cn/comment/hot/I49Hpqzin?rl=2
14,参加婚礼偶遇另一个自己,2757134,10小时50分,2,https://weibo.cn/comment/hot/I6u9XcByH?rl=2
15,阿玛尼大师粉底液,2746577,0小时50分,3,https://weibo.cn/comment/hot/I36p9y1wI?rl=2
16,央视主播痛斥暴徒是不是找不着北了,2673631,0小时40分,2,https://weibo.cn/comment/hot/I6DNRgk6l?rl=2
17,912无陷宝贝计划,2665591,2小时0分,3,https://weibo.cn/comment/hot/I6yOCwaUV?rl=2
18,肖战 谈恋爱等于失业,2610139,4小时40分,3,https://weibo.cn/comment/hot/I6CTs7zF6?rl=2
19,一眼看见修护力,2509064,2小时0分,3,https://weibo.cn/comment/hot/I9dcKnf83?rl=2
20,向佐郭碧婷婚礼,2463262,9小时50分,1,https://weibo.cn/comment/hot/I6tKesja7?rl=2
21,刘强东涉性侵案举行听证,2440189,2小时0分,1,https://weibo.cn/comment/hot/I6AdUsOuR?rl=2
24,罗志祥为周扬青庆生,2221772,7小时50分,1,https://weibo.cn/comment/hot/I6AF3iuy2?rl=2
25,学生诉上海迪士尼禁带饮食获赔50元,2164092,9小时20分,1,https://weibo.cn/comment/hot/I6BE56gXt?rl=2
26,nova5校园Vlog大赛,2112494,1小时20分,3,https://weibo.cn/comment/hot/Iaztnj4oA?rl=2
27,魏则西父母生下试管婴儿,2045532,2小时20分,2,https://weibo.cn/comment/hot/I6BJyiVSe?rl=2
29,郭碧婷向佐婚纱照,1998753,2小时30分,5,https://weibo.cn/comment/hot/I6yvL0LDi?rl=2
30,舒马赫已清醒,1998421,7小时20分,3,https://weibo.cn/comment/hot/I6yKcmrhc?rl=2
31,心疼朱广权搭档的手语老师,1991109,4小时10分,5,https://weibo.cn/comment/hot/I6D7bpmdl?rl=2
33,莲蓉蛋黄成最受欢迎月饼,1973337,8小时30分,2,https://weibo.cn/comment/hot/I6B6JgB7x?rl=2
34,周杰伦无人机告白昆凌,1961997,7小时10分,5,https://weibo.cn/comment/hot/I6yv78GzD?rl=2
35,陈意涵杨和苏营业中,1944361,0小时40分,3,https://weibo.cn/comment/hot/I6zKV116P?rl=2
36,开启你的更好生活,1935302,1小时20分,3,https://weibo.cn/comment/hot/I6gSOcEcM?rl=2
37,张恒审美,1926140,5小时50分,3,https://weibo.cn/comment/hot/I6C475W5E?rl=2
38,孙杨代言沛纳海,1907446,0小时40分,3,https://weibo.cn/comment/hot/I6yRsmrLf?rl=2
39,吴谨言演技,1897252,3小时0分,4,https://weibo.cn/comment/hot/I6zDsyetq?rl=2
40,第一部手机,1861246,0小时40分,3,https://weibo.cn/comment/hot/HFBVPrRgU?rl=2
41,柯南的正确打开方式,1845420,2小时50分,6,https://weibo.cn/comment/hot/I6To5wePc?rl=2
43,于正回应吴谨言演技,1835367,1小时20分,4,https://weibo.cn/comment/hot/I6DOnuJKL?rl=2
44,张铭恩40度戴毛线帽,1834917,6小时40分,3,https://weibo.cn/comment/hot/I6Bf42Boa?rl=2
46,你拍的视频可能侵权了,1810310,7小时10分,4,https://weibo.cn/comment/hot/I6AQj0EeV?rl=2
47,小小的愿望,1794433,7小时20分,7,https://weibo.cn/comment/hot/Ib2P3lrWs?rl=2
48,美国队两连败,1730537,2小时10分,6,https://weibo.cn/comment/hot/I6I3d174O?rl=2
49,阴阳师周年庆,1661621,1小时0分,3,https://weibo.cn/comment/hot/I7WkQ7znC?rl=2
50,胡歌 我不是爆炸头,1626650,2小时10分,3,https://weibo.cn/comment/hot/I6yuz9w9z?rl=2
51,一分钱原作女儿不认可改词,1607921,4小时30分,7,https://weibo.cn/comment/hot/I6CX4mT1r?rl=2
52,莫格利凌熙甜,1582768,0小时30分,6,https://weibo.cn/comment/hot/I6CMahWH0?rl=2
53,谢娜演技,1581078,1小时0分,10,https://weibo.cn/comment/hot/I6DYHdjVh?rl=2
54,狼人的中秋烦恼,1553448,1小时0分,3,https://weibo.cn/comment/hot/I6oZJEssl?rl=2
55,吴京看胡歌的眼神,1545035,5小时10分,4,https://weibo.cn/comment/hot/I6BUVmARw?rl=2
56,华为5G手机Mate30,1490141,0小时40分,3,https://weibo.cn/comment/hot/I6rGIvIdr?rl=2
57,拍月亮大赛,1457778,5小时10分,13,https://weibo.cn/comment/hot/I6LYmFfl8?rl=2
58,央视主播喊话二师兄别太飘,1437864,6小时20分,4,https://weibo.cn/comment/hot/I6uq35Ggp?rl=2
59,周琦回归新疆队,1378853,7小时20分,2,https://weibo.cn/comment/hot/I6BXeEYsn?rl=2
60,肖战搂李沁脖子,1341031,9小时20分,4,https://weibo.cn/comment/hot/I6tbYoEjk?rl=2
61,秋日情歌,1340504,0小时40分,3,https://weibo.cn/comment/hot/I6joXntNl?rl=2
62,有必要改变内向性格吗,1339416,0小时40分,6,https://weibo.cn/comment/hot/I6zBlCTCE?rl=2
63,陈坤晒儿子校服照,1318836,8小时10分,2,https://weibo.cn/comment/hot/I6ziR9sIc?rl=2
