User,Reter,Comment,Votes,Time
@八组天真妹,,不懂就问 延禧攻略靠演技出圈的不是秦岚和佘诗曼吗,9604,2019-09-12 22:58
@我可没时间陪你胡闹,,……我寻思着，她还红吗？不是延禧攻略那一阵风吹过而已？,129,2019-09-13 00:33
@华玥宝花语,,路人飘过，延禧攻略喜欢吴谨言，还可以吧，这部用力过度了，但是ab颜值演技还是可以的。,68,2019-09-12 23:02
@乔瑜WHITE,,？？？她演戏小动作好多,90,2019-09-12 22:58
@幸福的猫咪l,,她已经30岁了，按说表演该有些经验的，看延禧攻略时就觉得她噘嘴瞪眼，咬牙切齿的,68,2019-09-13 00:19
@柚昱昱,,.. ab起码好看，这个是真崩,67,2019-09-13 01:04
@颖氏帝国,,于正这个死丫头是要笑死我？？？臭丫头的嘴骗人的鬼,59,2019-09-12 22:50
@韵韵人儿,,吴谨言长得就有点奇怪,74,2019-09-12 23:10
@人间超值得呀,,她在剧里演了一个傻子嘛？？（没看过不懂就问）,56,2019-09-13 00:57
@孝念,,咦，那个坏人是季区长？,30,2019-09-12 22:51
@城上清笳城下杵,,地铁 评论配图,16,2019-09-12 22:50
@改名了吧算了吧,,演技不济也就算了，颜也差,25,2019-09-13 01:56
@南小忧-NY,,觉得表情可能有点夸张了,23,2019-09-12 23:14
@一鹿微白,,她延禧的时候，就瞪眼，说话嘴巴特别夸张。只不过眼睛没有baby大，所以不突出,15,2019-09-13 01:29
@玉妆成-太羽惊鸿,,当年被央6点名的那位,19,2019-09-12 23:13
@初一十五的一呀,,被她的颜值劝退，一直没看延禧攻略，,13,2019-09-13 01:30
@狗伊_,,…你爹都比她会哭@冰摇桃桃乌龙qia,5,2019-09-12 23:10
@地球叶小敏,,守护丽人演的挺好的啊,5,2019-09-13 01:57
@趙頌薯,,没有杠的意思，认真问一句，她剧中角色是弱智还是正常人？,6,2019-09-18 10:36
@dear许dear,,这演技真的尬死了，跟当年的lxk有得一拼,4,2019-09-13 01:13
@鱼儿vihck,,于妈还真是亲妈啊？一有事就下场,4,2019-09-13 07:55
@Rgr做自己,,我一个路人看动图要笑死了,9,2019-09-13 00:52
@蒸鱼想睡到自然醒,,笑死我了,7,2019-09-12 22:55
@女王_Song,,演的是个傻子吗,4,2019-09-13 08:56
@丢小诗,,我好像看到季杨杨的爸爸拿着枪,5,2019-09-13 07:30
@ahri阿狸mm,,同样是公司旗下艺人....吴谨言挑了多少部大梁  反观其他艺人....,5,2019-09-13 00:37
@女乃6_9并瓦,,真的靠面部表情太狰狞了，演技没看到！谢谢…,2,2019-09-19 00:58
@1nenexx,,他怎么天天都在回应？？,5,2019-09-12 23:08
@句三开,,王砚辉怎么会来演这剧,0,2019-09-19 15:32
@少先队员小红,,确实和baby演技有的一拼,0,2019-09-19 00:06
@空巢青年梁PP,,图五还以为她在笑呢....,4,2019-09-13 08:44
@如花啊姐姐,,她很努力的在演,3,2019-09-13 00:16
@李易峰的小情书,,白鹿演技 颜值比她好太多了   于妈真的是作妖,4,2019-09-12 23:54
@南烛四月,,当时我就对延禧攻略抢在如懿传前就耿耿于怀，就像当年的宫一样，先播火了后狂踩别的剧。但是佘诗曼和秦岚真的演的挺好，魏璎珞那会也没看出有啥演技啊,3,2019-09-19 00:10
@我要当萌神神也拦不住,,这个人设就不好，演技还不错吧，………能怪吴谨言么？？？,3,2019-09-13 01:30
@未未elfa,,看得我眉头不自觉皱起来,2,2019-09-12 23:52
@Oos小森林soO,,感觉动图上的样子是刻意的在表演上了！就像演出来的，不是成为里面人物的那种自然流露,6,2019-09-12 23:17
@隐隐隐隐隐隐隐啊,,额，如果光看这个图，感觉这个人智商可能有点…当然只是通过动图，不上升演员什么的,6,2019-09-12 22:50
@一杯兮也,,我想问问吴谨言同学，你这演技是参照大宝贝演的吗？嗯？佘诗曼秦岚聂远那么好的演技你不去模仿？！,6,2019-09-13 09:40
@冯小样91,,我觉得她演技一般。但这个电视剧人物设定就是这样的。能不能给演员点空间。有延禧攻略在前。就否定其他类型的剧啊 她又不能只演一种类型 她长得其实还行,0,2019-09-13 08:29
@-Xpying,,好像ab啊,0,2019-09-13 07:51
@理想三旬都归你,,恕我直言 延禧攻略只是让老演员翻红一遍,3,2019-09-13 02:05
@晞瑒---娪殇,,于正的造星能力不错，从他那边出来的演员，都走红呀。挺厉害的,0,2019-09-13 00:38
@每天要按时睡觉的浅唱,,我记得她之前和舒畅他们演的那部剧也还挺好的鸭……难不成是因为那个角色很高冷？,0,2019-09-13 00:25
@云吞最爱马叔,,@搖滾小番茄 看这动图快要笑死本宝宝了,1,2019-09-12 23:55
