User,Reter,Comment,Votes,Time,Count
@喜欢躲猫猫啊,,我们宿舍改名大海，小花，杜鹃，美玉,32,2019-09-11 22:22,1
@夜晚云朵里的星星,,同学就叫菊香，我们喊她阿香,6,2019-09-12 00:05,1
@大心瑜,,哈哈哈哈哈哈哈哈 菊姐好！！！,0,2019-09-12 14:25,3
@小白喝旺仔,,跟我奶奶撞名了姐妹,10,2019-09-11 22:04,1
@沈神经吖,,哈哈哈哈,0,2019-09-12 01:36,1
@Love妮子xy,,哈哈，突然好想知道你尊姓大名,5,2019-09-11 21:55,1
@这糖咋不甜,,妈耶 我之前一度以为这是你本名,0,2019-09-12 08:41,2
@l天地山雨欲来l,,谁批准你出道了？还艺名,0,2019-09-12 07:32,2
@好滴噶说话,,我的朋友，就因为她的床单上有很大的花，之后就一直叫她大花,9,2019-09-11 21:22,1
@贱人雪大死的早,,哈哈哈，有意思,2,2019-09-11 19:46,2
@-LP刘萍-,,@DXTIAN- @闫铭- @单方子,0,2019-09-11 23:43,1
@英雄联盟手游bot,,叫菊香的，那他的菊花茶一定很香,1,2019-09-12 07:21,2
@yanyan68526,,哈哈哈挺好的,2,2019-09-11 19:46,2
@鲁国的花花,,关注你的家禽养殖。。。她们还在吗,0,2019-09-12 08:00,9
@散mio辞Alyt,,哈哈哈,0,2019-09-11 21:21,1
@什傅,,我们这有个叫菊香的开了个菊香酒楼，超火,0,2019-09-12 07:45,2
@再也不当傻子了,,和我奶奶一个名,0,2019-09-12 07:19,1
@比你少个S,,哈哈哈,0,2019-09-12 07:09,1
@惜酷女孩,,我叫陈桂芬（真名）,0,2019-09-12 06:57,1
@甜甜甜甜儿啊,,亲爱的 你和我小学班主任撞名字啦,0,2019-09-12 06:34,1
@棠koyoi,,就好像我至今都不明白，为什么我闺蜜会叫我马蹄,0,2019-09-12 03:11,1
@尹聿脩,,李菊福？菊姐小狗剩？,0,2019-09-12 00:36,1
@红眼睛yi,,当家的女人哈哈哈,0,2019-09-12 00:00,1
@见不到易烊千玺不改名_,,QQ昵称花裤衩  这个昵称都用三年了  到现在都没舍得换,0,2019-09-11 23:09,1
@黄小婷婷婷婷有一米六耶,,我的网名牛掰吗,0,2019-09-11 23:04,1
@易可凡_Kiedd,,真 养鸡能手！,0,2019-09-11 22:49,1
@习惯罢了9,,巧了，我有个同学真叫张菊香。你这么一说我刚发现这个名字土的,0,2019-09-11 22:44,1
@迷茫的阿慢,,桂芬:别cue我哈哈哈,0,2019-09-11 22:16,1
@梅子小梅梅子,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-11 21:43,1
@女人就得洒脱的活着,,初中时候，我的几个闺蜜叫我大毛。到现在她们也这么叫我！说实话，我也不知道大毛这个名字怎么来的,1,2019-09-11 21:40,1
@大耳朵秦萝卜,,我的名字是因为我耳朵很大，我之前有个外号叫小萝卜头，所以我朋友就给我取这么一个名字，就一直这么叫着了,0,2019-09-11 21:26,2
@柒汪汪_,,@Naomi-YH,0,2019-09-11 20:55,1
@刘源唯一的宝贝老婆,,我吃鸡游戏叫李狗皮,0,2019-09-11 20:27,1
@西红柿炒番茄烩圣女果,,哈哈哈有意思,0,2019-09-11 19:52,5
@风清扬-198502,,哈哈，挺好的,0,2019-09-11 19:51,1
@蜀黍选择幸运的命运,,哈哈哈，都懂的,0,2019-09-11 19:50,1
@meishi18,,是这样的,0,2019-09-11 19:45,1
@第四颗行星_,,哈哈哈哈哈哈哈,0,2019-09-11 19:45,2
@嘿忘了告诉你,,能有什么秘密呢？,0,2019-09-11 19:45,3
@rain-yuting,,需要好好取名字,0,2019-09-11 19:45,1
@哥_呀,,笑出声来了,0,2019-09-11 19:44,3
@未来充满希望Y,,没想到这名字背后还有故事,0,2019-09-11 19:44,3
@烟雨茉寂,,原来如此。,0,2019-09-11 19:44,1
@四方同一行,,真的很好听的呀,0,2019-09-11 19:43,1
@如果你爱就抱抱我,,原来如此,0,2019-09-11 19:43,1
@我的自己呀,,哈哈超好听,0,2019-09-11 19:43,2
@蔓丹露,,谢分享,0,2019-09-11 19:43,1
@一米阳光aaab,,挺有意思啊,0,2019-09-11 19:47,1
@薛雁西,,请叫我薛薛,0,2019-09-12 06:40,1
@撩人的魂y,,求求你 悄悄告诉我你的真名 我突然好好奇（小声bb）,0,2019-09-11 23:15,1
@稚子垂钓-,,@幸运的我心向阳,0,2019-09-15 10:37,3
@十七lllllllll,,@文文的欧尼 哈哈哈哈,0,2019-09-12 08:33,2
@神爱辛西娅,,@pedestrian987,0,2019-09-12 07:42,2
@1357whisper,,@-是鱼儿吖 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-12 07:21,2
@Komorebi200307,,笑死我了,0,2019-09-12 07:19,1
